,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_verano,Junio,Julio,Agosto
PC1,0.14717495211519735,0.1430662306878906,-0.0034179734518555577,0.10657195317085069,0.11530190629364902,0.1306768700090534,0.13138055055348974,0.1471740599278046,0.1471749521151974,0.09669802033541633,0.14430834810565374,0.14068066143299476,0.1256826695829296,0.08868095709984522,0.14717495211519743,0.14046530085247516,0.1408046321376039,0.1456272475956757,0.14390860538257125,0.14318029163764964,0.14063500656758374,0.14191987335896633,0.14561143041668353,0.1441053499578171,0.09669802033541629,0.14430834810565374,0.1406806614329948,0.12569836979016796,0.0886809570998452,0.14046530085247522,0.14080463213760389,0.1456272475956757,0.14390860538257128,0.14318029163764967,0.1406350065675837,0.1419198733589664,0.14561143041668362,0.14410534995781715,0.14717495211519738,0.08173393451491133,0.11801044507273704,0.07631983592744179,0.12521131219932646,0.055147340839748885,0.14074602921024182,0.1363384454038948,0.14055390615432545,0.1372193531427353,0.1399695856431971,0.1257247641396408,0.13920288692945657,0.14393103180782815,0.13331517504289417,0.14306623068789073,0.1408485587151636,0.14413372719417863,0.14411004657426316
PC2,0.011758316551447792,-0.11499388204427567,-0.25060421474635747,-0.174651824921888,0.007532273498500167,0.09345358649429021,0.1483389515553118,0.011900496128690645,0.011758316551447575,0.20496423756281182,-0.059679210836628256,-0.05132297541835482,0.04438673358665662,0.31712249512943763,0.0117583165514476,0.12936492314020137,0.11873133840629388,0.026288402536261215,0.06271260172375065,-0.044245651869061264,-0.1050643460624697,-0.025069282076788157,0.05350895106088811,-0.07106375535000264,0.2049642375628121,-0.059679210836628166,-0.051322975418354795,0.04392710010220359,0.3171224951294377,0.12936492314020137,0.11873133840629391,0.026288402536261156,0.06271260172375066,-0.044245651869061216,-0.10506434606246971,-0.025069282076788182,0.05350895106088806,-0.07106375535000266,0.01175831655144761,0.039596413463174406,-0.25014862529363147,0.3624368049875157,-0.19766808976298153,0.2769375470282059,-0.03424381682923947,0.05661930940589487,-0.11999434941016641,-0.0005277244269456572,-0.11624511658617631,-0.190940645675403,-0.12044721648762256,-0.05972233562767226,-0.17986425386942365,-0.11499388204427557,0.00476135912042467,0.04889486571813795,-0.021607040151872398
PC3,-0.022485115925213538,-0.014269838484929935,0.08691753723917332,0.27910787360156775,0.28070483853136485,0.2105344330953548,-0.020128671989784096,-0.022667627591370372,-0.02248511592521348,0.3357213204279445,-0.03947684942156838,-0.06978418647545337,-0.15162565280048496,0.18435232743010221,-0.022485115925213472,-0.05970610188454579,-0.09965795633731409,-0.05142716073042196,-0.06594913209901457,-0.058245570595803715,0.12212782845692485,-0.0058415531606455465,-0.06728202406205679,0.06679252500264035,0.33572132042794456,-0.039476849421568344,-0.06978418647545341,-0.1515319308490869,0.18435232743010221,-0.059706101884545795,-0.09965795633731404,-0.05142716073042208,-0.06594913209901453,-0.05824557059580375,0.12212782845692478,-0.005841553160645567,-0.06728202406205683,0.06679252500264034,-0.02248511592521347,0.36606243367760405,0.036332570007172174,-0.03346463416758038,0.1903325110606611,-0.15759194875542284,-0.11168462558477214,-0.19742830993205132,-0.015200582745689082,-0.17582974380967845,-0.06988302926485473,0.1543024220892009,-0.05466194205424502,-0.09856289474811918,0.09735477438618206,-0.014269838484930353,-0.04776542241206259,0.04626074472650317,-0.06956788611085271
