,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_otoño,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_otoño,Septiembre
PC1,0.15660315087248378,0.14907108264378938,0.06906784774408566,0.1268346567185933,0.12509798445304574,0.13903884192178514,0.15251931096543062,0.15660315087248383,0.15660315087248383,0.12786940209549374,0.14650792936001344,0.14099210979399726,0.13465405537695754,0.10174311948599243,0.1566031508724838,0.15111613640850796,0.15174528202800844,0.14960958221405307,0.1415141175670697,0.15109956990147036,0.13947273653447545,0.13650878461479704,0.1543247323485493,0.14379701228243064,0.12786940209549372,0.1465079293600135,0.1409921097939973,0.13465405537695757,0.10174311948599249,0.15111613640850796,0.15174528202800852,0.14960958221405313,0.14151411756706975,0.15109956990147033,0.13947273653447537,0.13650878461479699,0.15432473234854927,0.1437970122824306,0.15660315087248383,0.0951395993475265,0.061068049469601995,0.06420228382061667,0.11004660381883348,0.020304712027087335,0.12963947803865322,0.13498367606546413,0.11977916542017207,0.1015482310791494,0.1400451894447181,0.11904382186182191,0.1043738549728902,0.14351025051708952,0.12328897176600888,0.14907108264378918,0.15660315087248383
PC2,-0.03603212329226271,0.1444193865862009,-0.1724555003498996,0.0054617702878564664,-0.25709929827280414,-0.1933224447170507,-0.05086513026978541,-0.03603212329226281,-0.036032123292262824,-0.059885401317423446,-0.036051760565273976,-0.1342389156051229,0.032954100915971646,0.08645381401210434,-0.036032123292262824,-0.02470041336190663,-0.03435320453078827,0.029503001242515522,0.028813135206363968,-0.10305792935983002,0.019299609494287308,-0.12184526837694964,-0.02006293409787852,-0.0642109022764637,-0.05988540131742357,-0.036051760565274045,-0.13423891560512297,0.032954100915971674,0.08645381401210449,-0.024700413361906728,-0.03435320453078824,0.029503001242515446,0.028813135206364002,-0.10305792935983002,0.019299609494287353,-0.12184526837694959,-0.020062934097878543,-0.06421090227646388,-0.03603212329226285,-0.21723400986939753,0.1602723916926351,0.3461892872060614,0.19238866135390917,0.43106675044624654,-0.03086903609513013,0.1109007981813234,0.24221317209827917,0.2654569352611492,0.01641448665801999,0.2524775448002837,0.11339599344524824,0.0942077884895066,0.20081910963422994,0.14441938658620104,-0.03603212329226285
PC3,0.008434936963588581,-0.012574888216758229,-0.10182410423619805,0.045381386964747715,-0.02225153051462609,0.10351414121097939,-0.0058772950021156595,0.008434936963588683,0.008434936963588583,-0.0860315976241933,-0.10728761931334174,0.03011657440479478,0.06383540161870473,0.3232848999251045,0.00843493696358859,-0.03569391750757693,-0.07675401108366482,-0.1215235545412023,-0.14442885812416428,-0.05975342136049751,0.21569082759317115,0.18259772017173448,-0.08973798123552501,0.2053397887220521,-0.08603159762419343,-0.10728761931334163,0.03011657440479486,0.06383540161870481,0.32328489992510434,-0.03569391750757702,-0.07675401108366488,-0.12152355454120241,-0.14442885812416428,-0.05975342136049756,0.21569082759317115,0.18259772017173448,-0.08973798123552504,0.2053397887220521,0.008434936963588607,-0.06994220311238226,-0.11142183927462394,-0.1297613791919901,-0.04641616412595433,0.12310976308997516,-0.08618988751733576,-0.15223504849563882,-0.18799657830113906,-0.1971390829209096,-0.13802486829749322,0.16056445023007307,0.28989908089089156,-0.16441136219766633,0.23175283713248945,-0.012574888216758203,0.008434936963588616
PC4,0.03669728224168794,-0.10256837335906752,0.4561153432396377,-0.2944448951968542,-0.005952520451022513,0.052317576109474476,0.06329317538451765,0.03669728224168791,0.03669728224168797,-0.05476034739194897,0.07136466072967734,-0.14464935998421324,0.18557863438730413,0.08460223368163482,0.03669728224168791,0.04854293530166519,-0.02670045532427266,0.0692140935748075,0.19901937464249986,-0.019706743128084053,0.08017170605220894,-0.07532011581900765,0.05747553138647727,-0.009252716395998176,-0.05476034739194902,0.07136466072967731,-0.14464935998421313,0.1855786343873043,0.08460223368163489,0.048542935301665174,-0.026700455324272634,0.06921409357480741,0.19901937464249989,-0.019706743128084056,0.08017170605220897,-0.07532011581900752,0.057475531386477215,-0.009252716395998197,0.03669728224168792,-0.4001293875916571,-0.15812606031530715,-0.14496785371176232,0.07800546137773404,-0.030274340260937595,-0.2476924061920033,-0.13713810798791895,0.004641606028642658,0.18012019120501493,-0.18870839218939336,0.035183743740066026,-0.1405536702271973,-0.13046246557732807,-0.04552109247658553,-0.10256837335906713,0.03669728224168792
PC5,-0.007460137462013346,-0.02506000809174619,0.16550537593675987,0.14220723201182328,0.1973024265369891,0.056497710992425204,-0.08010789524552063,-0.007460137462013634,-0.007460137462013508,0.09784564558478079,0.010980307532856367,-0.097461524885728,-0.23841903399862077,0.27761616255300203,-0.007460137462013363,-0.046926746298390186,0.08408693014460474,-0.027291036937276445,0.022792552940826886,0.06642623356146414,0.09376333988187974,-0.16604837147498816,0.017738641344701087,-0.057412929332193274,0.09784564558478082,0.010980307532856396,-0.09746152488572798,-0.23841903399862088,0.27761616255300214,-0.04692674629839032,0.08408693014460482,-0.02729103693727662,0.022792552940826844,0.0664262335614641,0.09376333988187975,-0.1660483714749881,0.017738641344701007,-0.05741292933219331,-0.007460137462013415,0.0222671129602436,0.44267670781974805,-0.26242072857415033,-0.20621612221542754,0.2734480036808254,-0.030402254687860033,0.08339038510962418,-0.06648973236931398,-0.05370167851816386,0.0609810602032935,0.09949284970891716,-0.25498587038855614,0.010137496772803175,-0.0982424907150889,-0.02506000809174621,-0.007460137462013426
