,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.1417091312558931,0.1315833197993382,0.019001036724474014,0.11092876341698317,0.10417719781695318,0.12632718298092568,0.13942665093371565,0.14170913125589332,0.14170913125589327,0.12103636206557884,0.137189741840339,0.13165612231753565,0.1361086042747945,0.09136831069418926,0.1417091312558933,0.10294424045495604,0.12038667134290472,0.12754174543919466,0.12831081836870467,0.14030207548633322,0.13986577306483458,0.13862682152299038,0.1414239524084255,0.12103636206557877,0.13718974184033902,0.1316561223175357,0.1361086042747946,0.09134089218753302,0.10294424045495607,0.12038667134290468,0.12754174543919464,0.12831081836870462,0.14030207548633325,0.1398657730648346,0.13862682152299036,0.14142395240842554,0.12875305385474112,0.13772186882175436,0.13872279989016167,0.1157503782075994,0.09058065674340392,0.07124542030220782,0.01239864197737797,0.05462029544094918,0.09699661657136811,0.06617899935726784,0.05453645966678277,0.08984422271578447,0.11232680427667972,0.12385791949677427,0.13061887468934755,0.12008411523814753,0.13052132010274736,0.10430333572032345,0.11940748411803985,0.10193715112620323,0.10978100637398008,0.13084143399454184,0.10238762381378748,0.13176072598146643,0.13494358650831256,0.125471025814885,0.11600288532379516,0.1133034740958645,0.10925093781163454,0.12585000060842833,0.12702492685692904,0.12837978743294343,0.12815261156542918
PC2,-0.024495430876099344,0.05141982776530143,0.08765568109070924,-0.0030732313972092,-0.22388339360414422,-0.16820828981288946,-0.02311208583926297,-0.024495430876099494,-0.024495430876099532,0.03330359217890327,0.01942242034418761,-0.06485509540340609,0.03154327408022763,-0.17656607089657236,-0.02449543087609941,0.05958866390457748,0.12696373538535188,-0.0969753851094098,-0.10946985123125536,-0.04342066020942059,-0.007402603840833332,-0.014480208790066958,-0.025606571882869873,0.033303592178903205,0.019422420344187653,-0.06485509540340602,0.031543274080227585,-0.17662184410338208,0.05958866390457753,0.12696373538535188,-0.0969753851094098,-0.10946985123125537,-0.04342066020942063,-0.007402603840833348,-0.014480208790066992,-0.025606571882869866,0.1563997485573126,0.06136176531121352,-0.033713339828446286,-0.21269625717030957,0.2009515326815924,-0.019400355476224346,0.04459640840934828,0.2283941647972953,-0.05907464079674063,0.15754341130495741,0.25418164255607983,0.056003665428940766,-0.11058964942647674,0.013376132097524291,0.0825207285709293,0.1359459409080738,0.04411537939256785,0.23238481979761363,0.1836019693125377,0.24797813996097154,-0.1712958892312863,0.11919995580041721,0.18346318656186872,0.0970455348861874,-0.09037352169498537,-0.10334646481171841,-0.16735307860162207,-0.22248446015625112,-0.2318135635730591,-0.07938954461163154,0.0807442333382306,0.1435658144918276,0.14235566685362072
PC3,-0.01084916990104524,-0.0801383325586259,-0.24031778657345998,-0.03472810720937364,0.03479040943785251,0.025625971710435347,0.004619598687437863,-0.010849169901045135,-0.010849169901045048,0.008713300706586722,-0.11303743910417761,-0.07923504918911783,0.046795348158339446,0.3268454481045525,-0.010849169901045128,0.32344438040900136,0.08349170817704465,-0.04973281308234301,-0.07370510178755821,-0.01883778468730496,-0.017929258916756913,0.05255931237730798,-0.018558236251630247,0.008713300706586791,-0.11303743910417753,-0.07923504918911788,0.04679534815833936,0.32690455607055185,0.32344438040900136,0.0834917081770447,-0.04973281308234302,-0.07370510178755821,-0.018837784687304893,-0.017929258916756844,0.052559312377307967,-0.01855823625163026,0.009807026016604476,-0.02056176923439346,-0.0037329495336758376,-0.025680106208084284,-0.19357796899652374,-0.03583120491127653,0.3216746404005062,0.015961590657393106,0.1889788876253259,0.35609710281166207,0.009182384431471992,-0.0960804411314896,-0.16094251653621372,-0.10202993881231895,-0.0581086098769908,0.06767058539982129,-0.09001306722234509,0.021036225050027862,-0.0019043902504628405,-0.04491515137783139,-0.13294402824588972,-0.009066215602433479,0.04183944931060719,0.021557348512077776,-0.01616394608789131,-0.015915774576157657,-0.06681185635085915,-0.01340448309236124,0.004717964426288617,0.13184811797416698,-0.10276305485633275,-0.07697569568768917,-0.0016365994825833187
PC4,0.009712409033838692,0.16470991730862586,-0.08156144308994766,0.17005282131005897,-0.0862287310172129,-0.02180703454714695,-0.05149368475614111,0.009712409033838704,0.009712409033838576,-0.24691342978264655,0.04689785654887865,0.06951349084041347,-0.03163849099260807,0.04450078514411124,0.00971240903383869,-0.06168448230040854,0.09908867250680341,-0.17361986491643833,-0.1648767844730422,0.043442691729856785,-0.0001414020490137963,-0.08942701588891169,0.02179945604110779,-0.24691342978264647,0.046897856548878646,0.06951349084041343,-0.031638490992608105,0.044204562676520134,-0.06168448230040848,0.09908867250680335,-0.17361986491643833,-0.16487678447304224,0.04344269172985674,-0.00014140204901385187,-0.08942701588891178,0.02179945604110786,0.006710460330321377,-0.06721327826400476,-0.07521664093346712,0.12285950586337584,0.01762767470104657,0.09744199429296589,-0.12255316366200848,-0.2917136134697228,0.29406111202497653,0.021773759063559613,0.2046790594494132,-0.24704322821814767,-0.0967833078607774,0.19770102280316312,0.12474362811519797,0.06309195848625203,0.16948382526414635,0.12306822644367617,0.05814318245567303,-0.03798558669778077,0.17025347413796174,-0.13127823721495208,0.18618568569777458,0.01153704121428504,-0.0589444533976271,-0.17749712287235025,0.1644691171995136,0.0998152614288904,0.09567852766622399,-0.08374042387958787,-0.10054172958143717,-0.019868930620494257,-0.01815204751173688
PC5,-0.02835130233499551,0.11820102808972922,0.4561037267435438,0.30980001949787334,0.01445030524922334,-0.02160187510928863,-0.09740934223610083,-0.028351302334995658,-0.028351302334995856,-0.041331581367791276,-0.0035922138790242613,-0.14268029998546639,0.06541693832559968,0.02231443586628907,-0.02835130233499557,0.032013648726768096,-0.06800042489945607,0.07091187582831102,-0.041727373652157895,0.03729388166663272,-0.09833172023873529,-0.0056846095032773054,-0.030992676693851636,-0.04133158136779132,-0.0035922138790242483,-0.14268029998546625,0.06541693832559975,0.022290591766242273,0.032013648726768096,-0.06800042489945612,0.07091187582831109,-0.04172737365215775,0.037293881666632625,-0.09833172023873525,-0.0056846095032773505,-0.030992676693851688,-0.07103810154372409,-0.030088737436376932,-0.06431763321222207,0.04709138216310896,0.012828483707736583,0.20796839693635835,0.5005524872594608,0.12539423179823705,-0.03265255627701854,0.03878699762288791,-0.0720947286873409,0.18586414932286702,-0.09340452325417203,0.23011884213891115,-0.03822717360653937,-0.04678689794818351,0.1262365310573937,-0.10388923070024753,0.04247163294437734,0.0834984018012304,0.21081049958397935,-0.01957347982681102,-0.11992974040566015,-0.06341551540910224,-0.013464432558135805,-0.11560409700141898,0.08973956790389065,0.04827124451398247,-0.00024252680449954122,-0.05362416033177783,-0.07649274017122826,0.024464121903260017,-0.06602907316549658
