,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.13363862562386059,0.1263874736578409,0.07986895925997162,0.09856462771811406,0.09986574503684215,0.1152938586596555,0.12916990871932135,0.13363862562386086,0.13363862562386086,0.10902318503370267,0.12408090824482283,0.1255890325896016,0.12107701213781728,0.08740907800395088,0.13363862562386078,0.1288276494808904,0.130830683524599,0.13268354426124773,0.12909023180707827,0.12872396690077448,0.12884027837927933,0.12715462165035288,0.13187664896404366,0.1292201360891081,0.10902318503370265,0.12408090824482286,0.12558903258960158,0.12107701213781731,0.08740983810881248,0.12882764948089034,0.13083068352459906,0.1326835442612477,0.12909023180707827,0.1287239669007745,0.1288402783792794,0.1271546216503529,0.13187664896404364,0.1292201360891081,0.11898753449754595,0.1266798310884655,0.1297890207224966,0.10494965764365427,0.09862694106482517,0.07607433144385356,0.03333006659685785,0.06910122858301078,0.08900583805927265,0.1202265828651606,0.11959620552906253,0.1206194851573232,0.1240846887877577,0.12378284785737438,0.11021040235259376,0.11817501143834601,0.1252991173248114,0.11681772988490548,0.09615767966981706,0.11729807479818956,0.09548712403088176,0.10189340231079355,0.12154179546454304,0.11004503578114744,0.12536700464815587,0.12746396719026312,0.1209544876809458,0.10528581437419057,0.10068735314104897,0.10117877164989765,0.12153426586460367,0.12104652015800589,0.12453294396311408,0.11734828240867426
PC2,-0.026066914590812548,0.05364386292590839,-0.15820380949105414,0.007838760269447173,-0.20790029748946467,-0.1781164459196817,-0.011368211830654921,-0.026066914590812573,-0.026066914590812517,0.18100074252459727,-0.08055154798059072,-0.06753605100086832,0.06801966894890793,-0.13254571957918088,-0.026066914590812482,0.018336823945822922,0.011561076581816552,0.002058428035597269,-0.026061755863904974,-0.09348232972969939,-0.054334241415834275,-0.020306286959315356,-0.0197842457889658,-0.03763183647703614,0.1810007425245972,-0.08055154798059065,-0.06753605100086835,0.06801966894890797,-0.13253592407138667,0.018336823945822936,0.011561076581816501,0.002058428035597271,-0.026061755863904943,-0.09348232972969932,-0.05433424141583431,-0.020306286959315384,-0.019784245788965805,-0.03763183647703615,0.17265912547834228,0.022200132693624697,0.0005730805299693981,-0.22983604464022403,0.0850924257948258,-0.1472747098324929,0.2637020582803772,0.2081714243674115,0.032207316400676984,0.11036045289278652,0.11259293695180898,0.08733704427306936,0.056516076911165766,-0.0314742942694071,-0.0037476659582333974,0.0700012808172671,0.0641417231464455,0.028328920769590146,0.24909027021861413,0.14130472972134134,0.25469998946796596,-0.21133651222987712,0.15257197476203005,0.19864705249647688,0.10628104438848694,-0.04339587597201698,-0.06418605728933627,-0.21391039419493232,-0.23538051102972005,-0.22070720515520018,-0.06304274332248093,0.023816579459410136,0.09131057414670919,0.1590277548885229
PC3,-0.03878329878143658,0.17254988145146694,0.13258498748900255,0.22832628414813505,-0.14124445661422713,-0.11420321187941314,-0.10193950813337427,-0.03878329878143644,-0.038783298781436465,-0.12010179147076039,-0.036029834123624906,0.10299102383157042,-0.04391414667448477,-0.16528196678046572,-0.038783298781436465,-0.1165499039709092,-0.10165698478139122,-0.07517010321289326,-0.1320697856455396,-0.055076659832211404,0.0953686063938379,0.0716611123700964,-0.09647449144398604,0.08428234275559214,-0.12010179147076035,-0.03602983412362479,0.1029910238315704,-0.04391414667448459,-0.1653570240089408,-0.11654990397090918,-0.10165698478139124,-0.07517010321289325,-0.13206978564553962,-0.055076659832211376,0.09536860639383779,0.0716611123700964,-0.09647449144398591,0.08428234275559222,-0.030247116889192842,-0.12248711769975239,-0.11481611097461072,0.07561919222416887,0.2716392994163684,0.09007939374222304,-0.026559746895061086,-0.04727831652775117,0.09794418239795433,0.1136022646471487,0.08658346962793537,0.1507922398329653,0.08041032190384034,0.14660989706756586,0.26178324731436786,0.21611865019492965,0.12306235486359807,0.2500822470179708,0.10945029993679459,0.016061214941983065,0.006490417070878563,0.1935246454474538,-0.04506824385303078,-0.03951255707372956,-0.06507894322761344,-0.07841991744503757,-0.19352913619967327,0.10808215477551344,0.008830957987860258,0.11101078502454273,-0.18059822889523516,-0.1636307282130131,-0.024763086497878808,-0.006099808429140537
PC4,-0.011317961692252325,0.04015747971420115,0.02573468821533045,-0.019400247719970187,0.007018906678536875,-0.00759050624446822,-0.0906745181260151,-0.011317961692252443,-0.01131796169225237,0.029179133759233887,-0.19063619287627603,-0.07907484136770364,0.061681410481035294,0.3708003168962742,-0.011317961692252434,0.014378050060241449,0.05207247121137352,0.004751267254828345,-0.034863097012064866,0.016454248886374433,-0.05210473685556605,-0.06212437409393086,0.011164788819952736,-0.05767456832227076,0.029179133759233825,-0.19063619287627606,-0.07907484136770362,0.061681410481035225,0.37077643161117235,0.014378050060241307,0.05207247121137355,0.004751267254828177,-0.034863097012064914,0.01645424888637443,-0.05210473685556602,-0.062124374093930824,0.011164788819952663,-0.05767456832227073,-0.00439330119447888,-0.130192843292644,-0.05453107978446299,0.09160599470301653,-0.09929694150122959,-0.029306340970329012,0.39059957944854573,-0.09452181752099943,0.4281467771251811,0.06373929215027539,0.16799942242481827,0.08219879803681802,0.09460863686989518,0.10038604767000242,-0.06376979435210607,-0.0383047531708954,0.10348913229118156,-0.061523219027968507,0.08109941336950449,-0.12211160676368418,-0.08832612240300866,0.013379368778915478,-0.052267606950140016,0.08514647451682208,-0.009955605148113616,-0.06702580942028481,-0.08166608819510278,0.10929768095793378,0.1165524298113998,0.043148002361446496,-0.10258403430707269,-0.15401155554003504,-0.12035529422321085,-0.03653366109257555
