,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_verano,Julio
PC1,0.15257660915052743,0.14396470847796294,0.047425195200282065,0.12421766285788145,0.11788656714381536,0.12607294042120695,0.13498682913954077,0.15257660915052695,0.15257660915052693,0.0920265317061462,0.14837199219389516,0.1461975904101955,0.13494832883688754,0.10021498449164548,0.15257660915052693,0.14828976624045248,0.137266918912116,0.14853384262513497,0.14629960615695534,0.14811353359409776,0.14860699991412218,0.1388740794227115,0.1509711687625953,0.14937187732910123,0.09202653170614618,0.14837199219389513,0.14619759041019548,0.1349483288368875,0.10021498449164551,0.14828976624045245,0.1372669189121161,0.14853384262513497,0.14629960615695528,0.14811353359409768,0.14860699991412216,0.1388740794227115,0.15097116876259528,0.1493718773291012,0.15257660915052693,0.08004315217268364,0.10490716373505365,0.05059315893953933,0.1383296173227541,0.05070505354156932,0.14617742709774476,0.13062524154831132,0.13115200717728573,0.13661527724753686,0.13264196509052997,0.13523235244601217,0.12390520041793734,0.14481898946769045,0.13912741321744868,0.1439647084779631,0.15257660915052693
PC2,0.023648664262791236,-0.16042154598287683,-0.17609690521176682,-0.1535513250145729,0.17347880385638778,0.19020760380248491,0.19132188868831962,0.023648664262791216,0.023648664262791358,0.26859334086027464,-0.06215328280518924,-0.03687185245276251,0.0343764356089815,0.3336453462009873,0.02364866426279127,0.10032948356943265,0.15872765637489508,-0.002945227985258522,0.09872337151674704,-0.057908027768047654,-0.06852940989473956,0.0006640341507584582,0.05516937006043757,-0.041306679069760835,0.26859334086027464,-0.06215328280518922,-0.03687185245276252,0.034376435608981445,0.3336453462009873,0.10032948356943261,0.15872765637489505,-0.00294522798525857,0.09872337151674698,-0.05790802776804763,-0.06852940989473953,0.0006640341507584361,0.05516937006043758,-0.04130667906976081,0.02364866426279127,-0.005348047342512622,-0.23997753081452763,0.114397429974615,-0.12999830060086565,0.10538660903125424,-0.10974664813105273,0.04065030635828898,-0.18956900083875064,-0.02455561613817707,-0.2274660711447188,-0.16879443344716516,-0.10494603970334695,-0.1458380225068018,-0.17573908021074608,-0.160421545982877,0.023648664262791268
PC3,0.01658336904525045,0.010015675456654908,-0.3950657137198313,-0.22265521354281947,-0.30027122357683833,-0.19353475177068838,0.003407106698153656,0.016583369045250526,0.0165833690452504,-0.2678864378182272,0.02970169043426327,0.03417155838589928,0.11268094411864381,-0.06751044007022564,0.016583369045250436,0.040769000770408424,0.1118115114727741,0.03922350194705623,0.06951519852009468,-0.022272221719449443,-0.0888095332801351,0.021010029467911164,0.046561811195065174,-0.044943570904493135,-0.26788643781822713,0.02970169043426327,0.03417155838589931,0.11268094411864385,-0.06751044007022554,0.04076900077040848,0.11181151147277407,0.03922350194705621,0.06951519852009486,-0.022272221719449384,-0.08880953328013513,0.021010029467911133,0.046561811195065125,-0.04494357090449314,0.016583369045250446,0.12332758747625638,-0.1356750858600141,-0.13909984553505506,-0.16698323729140077,0.46615079782534535,0.06450052858625475,0.2220142505900728,0.010288166229794678,0.18722516166383482,-0.006998375877323351,-0.10046473460634318,0.10891977869886638,0.055825894804023626,-0.06130960788103467,0.010015675456654624,0.016583369045250446
PC4,-0.01927444939483363,0.038945201300768596,-0.25794903671667935,0.17786616930672502,0.006057369467218108,0.14471320555532452,0.09361349034291838,-0.019274449394833627,-0.0192744493948333,-0.16837092176127014,0.010151879324446153,-0.16516343053212867,0.2302943355831657,0.12296668652461332,-0.01927444939483355,0.03855170796581717,0.06381178420883911,0.13947278514128852,-0.041525934459624006,-0.10410314413622726,0.0023004790140165525,-0.23661714278769186,0.020640438435907956,-0.09944319543547869,-0.16837092176127014,0.010151879324446023,-0.16516343053212867,0.23029433558316573,0.12296668652461294,0.038551707965817174,0.06381178420883908,0.1394727851412884,-0.04152593445962407,-0.10410314413622715,0.002300479014016584,-0.23661714278769191,0.020640438435907987,-0.09944319543547886,-0.019274449394833543,-0.15671618936599294,0.3378960800935103,0.15955235524840242,0.004703230117688915,0.06889957194312431,0.02249541246286778,-0.13703692804579384,0.22803300815425534,-0.21730733406114006,-0.006110201582821747,0.16376310766678898,-0.30592950814011205,0.03254790380093672,0.04807646137200419,0.03894520130076868,-0.01927444939483355
