,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_primavera,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_primavera,Mayo
PC1,0.15994950815947956,0.12824604250762317,0.09185977284842489,0.1272338917014107,0.12452305838209955,0.14270187403362755,0.15697812712724254,0.15994950815947936,0.15994950815947942,0.1455776106878796,0.15036286767991172,0.1517423298033325,0.1443401262498296,0.12097886449871757,0.15994950815947942,0.1565093674115272,0.15235019879772957,0.15644397165675855,0.1548533839908429,0.1510279991113361,0.1448050923306922,0.14324795220631684,0.15898299610161812,0.14653723383020797,0.1455776106878797,0.15036286767991172,0.1517423298033325,0.14434012624982961,0.12097886449871754,0.1565093674115272,0.1523501987977296,0.15644397165675852,0.15485338399084284,0.15102799911133613,0.14480509233069222,0.1432479522063168,0.15898299610161812,0.146537233830208,0.15994950815947936,0.01313925888987803,-0.0016163293338239786,0.042054814869002116,0.033167066078089294,0.056511196781959816,0.10428820711547658,0.09295853363128721,0.07631151455497459,0.09939354481819034,0.08559768831653798,0.14957411792268524,0.09492719928457802,0.10095780263535342,0.13818589924397673,0.1282460425076232,0.15994950815947945
PC2,-0.04207680347088489,0.22477023489081463,-0.09815796915060507,0.07980448055965517,-0.22260800064891603,-0.1642188419359085,-0.01782166015655003,-0.0420768034708849,-0.04207680347088492,0.06295844702071246,0.02383074221182006,-0.04211668375252353,-0.05364649929133654,-0.19753985952096584,-0.04207680347088494,-0.004005552932142554,-0.0035324947201518463,0.016533030762394315,0.013441164196474589,-0.022344030502505056,-0.14364833875339017,-0.09712548335592837,-0.00033207064331588283,-0.12505786195256727,0.06295844702071246,0.02383074221181994,-0.04211668375252362,-0.05364649929133649,-0.19753985952096578,-0.004005552932142541,-0.0035324947201518337,0.016533030762394353,0.013441164196474521,-0.02234403050250508,-0.14364833875339011,-0.0971254833559283,-0.00033207064331597266,-0.12505786195256724,-0.04207680347088493,0.20428881688062994,0.23181397053671499,0.058073044826577484,0.21850062720463595,0.06562557124620329,0.2377541983947194,0.24908074264783484,0.28877333704950436,0.25049851447642746,0.27460745098879985,0.018434410342484074,0.1574558259896726,0.2881922241287673,0.0806417353054511,0.22477023489081474,-0.042076803470884924
PC3,-0.01657176589175359,0.02012970743988517,-0.09091577590408946,0.1680947232323134,0.05402716379535905,-0.032979893081850446,-0.059036977025739894,-0.016571765891753576,-0.016571765891753597,0.13383698972049018,-0.0750641456381189,0.11837759596731513,-0.12381571724598707,-0.04656554419699875,-0.01657176589175348,-0.07663414663329393,-0.07357795803364837,0.009588210904991217,-0.06766694447648551,-0.17289563007172068,0.10149198811591159,0.14903882083141648,-0.08354446564142089,0.12466741382819062,0.1338369897204903,-0.07506414563811889,0.11837759596731523,-0.123815717245987,-0.04656554419699868,-0.0766341466332939,-0.07357795803364842,0.009588210904991207,-0.06766694447648551,-0.17289563007172068,0.10149198811591163,0.14903882083141642,-0.0835444656414209,0.1246674138281906,-0.016571765891753614,0.3391781005506219,0.17668309328323153,0.49102180209148855,-0.2331545642044899,-0.1739981291268141,-0.10412982815605235,-0.036795616244059415,0.051726938325700376,-0.07286638221925576,-0.1956107735810919,0.13973045828159927,0.21875219513770697,-0.07416039127593002,0.1957561679744041,0.020129707439885777,-0.016571765891753625
PC4,-0.006831307589620446,-0.0025858461582781577,-0.27134775067162037,0.2019846746613695,0.05441823238879209,0.06955647525337406,-0.059215353144594765,-0.0068313075896208,-0.006831307589620772,-0.013540836560293604,-0.14304726337108206,-0.001650408154919581,-0.06611877955766708,0.27370721281986865,-0.006831307589620715,-0.006932353082022735,0.11285345275828738,0.09665040958542212,-0.11955879437933457,0.03338135092101121,-0.005947841616472799,-0.10035756980545829,0.013553835743521422,-0.04867626324996124,-0.013540836560293503,-0.1430472633710821,-0.001650408154919577,-0.06611877955766711,0.27370721281986865,-0.00693235308202286,0.1128534527582873,0.09665040958542216,-0.11955879437933462,0.03338135092101114,-0.005947841616472704,-0.10035756980545837,0.013553835743521443,-0.04867626324996122,-0.006831307589620633,-0.11310039748887792,0.26616394864790754,0.073183267425988,-0.29884571965465295,0.46824223697838,0.012714448133387546,0.13983464760239253,0.2752077567905781,-0.18126543191560307,0.01729986352406411,-0.02780885244096329,-0.1872799126063791,0.037201270362397544,-0.10159241371508547,-0.0025858461582784612,-0.006831307589620632
