,0,1
media_consumo,0.17519996438746435,0.30331975160256397
std_consumo,0.19258089139226586,0.33777545722733215
min_consumo,0.029222222222222222,0.047875
max_consumo,1.797111111111111,3.164
percentil_25_consumo,0.07075000000000001,0.112625
percentil_50_consumo,0.11455555555555555,0.185875
percentil_75_consumo,0.18941666666666668,0.35659375
promedio_por_dia,0.17519996438746432,0.3033197516025639
consumo_medio_diario,4.204799145299145,7.279674038461536
Mañana,0.16249305555555554,0.2744142427884614
Mediodia,0.22844480056980052,0.3676578124999996
Tarde,0.20440170940170935,0.36863834134615375
Noche,0.1996314102564102,0.3894320913461538
Madrugada,0.09467094017094013,0.1572980769230769
sum_consumo,218.64955555555557,378.5430499999998
Miércoles,0.17519996438746435,0.30331975160256397
Entre semana,0.17519996438746435,0.30331975160256397
s_Mañana,33.79855555555556,57.07816249999998
s_Mediodia,71.27477777777779,114.70923749999987
s_Tarde,42.51555555555555,76.67677499999999
s_Noche,41.52333333333334,81.001875
s_Madrugada,29.537333333333336,49.077
s_Miércoles,218.64955555555557,378.5430499999998
s_Entre semana,218.64955555555557,378.5430499999998
s_invierno,55.68444444444444,107.9836749999999
s_otoño,48.66166666666666,80.08567499999998
s_primavera,51.70388888888888,89.995
s_verano,62.599555555555554,100.47869999999998
std_Mañana,0.05166928774562724,0.0977253410245329
std_Mediodia,0.06678236032103703,0.12264458119075486
std_Tarde,0.05797478822077021,0.09585452536767283
std_Noche,0.05802832665486939,0.12146671212320165
std_Madrugada,0.022151554821761444,0.04752643426633318
std_Miércoles,0.19258089139226586,0.33777545722733215
std_Entre semana,0.19258089139226586,0.33777545722733215
std_invierno,0.19594854005394607,0.36225362332516325
std_otoño,0.14472572826223418,0.23735849405068477
std_primavera,0.17818115985058897,0.2580525889159697
std_verano,0.20701620441108648,0.3871132613890256
Enero,23.126555555555555,42.48953749999998
Febrero,15.279666666666666,30.161949999999962
Marzo,17.033666666666665,30.573875
Abril,19.087222222222223,34.237249999999996
Mayo,15.583000000000002,25.183875
Junio,23.011,32.64875
Julio,23.934555555555555,42.79369999999996
Agosto,15.654,25.03625
Septiembre,14.439333333333334,23.134799999999974
Octubre,19.437555555555555,30.588625
Noviembre,14.784777777777776,26.36225
Diciembre,17.278222222222222,35.33218749999997
total_mean_consumption,1321.4538504322109,2287.91898429311
