hour,0,1,2,3,4
0,0.11435274004338578,0.28252745098039217,0.29002352941176474,0.23078947368421054,0.3377
1,0.09652711189739054,0.20011960784313723,0.5329764705882353,0.16436842105263158,0.18262352941176468
2,0.08678060697963395,0.13783921568627452,0.4376823529411765,0.13364912280701755,0.16702352941176468
3,0.08139400181125081,0.11335686274509804,0.3486941176470588,0.13412280701754387,0.1749058823529412
4,0.07403748973273519,0.10419803921568627,0.25577647058823527,0.12705263157894736,0.16094117647058823
5,0.07451683831427307,0.09708627450980394,0.12628235294117646,0.14214035087719298,0.11767647058823529
6,0.07693304690297172,0.09607058823529413,0.1612470588235294,0.12782456140350876,0.10727647058823529
7,0.08946060845390788,0.11351568627450981,0.20088235294117646,0.2808421052631579,0.3175823529411765
8,0.14090223141888333,0.22194901960784316,0.222,0.31359649122807015,0.8066588235294117
9,0.1652561656241444,0.2375372549019608,0.19856470588235295,0.26682456140350874,0.5043294117647059
10,0.157453223394621,0.25581960784313723,0.19588235294117645,0.44052631578947365,0.3715529411764706
11,0.15896638655462184,0.29162941176470586,0.23718823529411767,0.5208421052631579,0.33140000000000003
12,0.1604965744192414,0.25064313725490195,0.24874117647058824,0.6847543859649122,0.41725882352941174
13,0.1880341662980982,0.29395490196078433,0.2525058823529412,0.8890701754385965,0.44317058823529415
14,0.21193006044523074,0.37928627450980396,0.32525882352941177,0.7614561403508772,0.44831764705882354
15,0.25955173964322575,0.4202901960784314,0.35794117647058826,0.5924035087719299,0.541564705882353
16,0.21409391756702684,0.3446470588235295,0.27431764705882355,0.5242280701754386,0.41618823529411764
17,0.16927632737305448,0.3040333333333333,0.19002352941176473,0.47582456140350876,0.35278235294117644
18,0.1537326151513237,0.29515294117647056,0.17925882352941178,0.4677017543859649,0.3281411764705882
19,0.1699609664918599,0.3046843137254902,0.17481176470588236,0.4416491228070175,0.41966470588235294
20,0.22380167646005772,0.3433333333333333,0.16811764705882354,0.5798421052631579,0.6015764705882353
21,0.28077590825804005,0.4128254901960784,0.16994117647058823,0.5086491228070176,0.7972176470588235
22,0.20945973968534784,0.43646862745098036,0.2691529411764706,0.42450877192982456,0.8465588235294118
23,0.14041009877635263,0.36377450980392156,0.5062941176470588,0.44384210526315787,0.5781176470588235
total_mean_consumption,3.698104241696679,6.300743137254901,6.323564705882353,9.676508771929827,9.770229411764706
