archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Martes,s_Martes,std_Martes,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.2263661858974359,0.2393742571924796,0.047,1.546,0.071,0.124,0.271,282.505,0.2263661858974359,5.432788461538463,0.09394230769230769,0.08417307692307692,0.07909615384615386,0.07896153846153846,0.07907692307692307,0.11390384615384616,0.1901346153846154,0.23763461538461542,0.18840384615384617,0.16759615384615384,0.2219423076923077,0.2522884615384615,0.24148076923076925,0.39265384615384613,0.4228461538461538,0.2956346153846154,0.24275,0.20584615384615385,0.2618846153846154,0.39173076923076927,0.4836923076923077,0.3371923076923077,0.23525000000000001,0.13467307692307692,4.885,4.377,4.113,4.106,4.112,5.923,9.887,12.357000000000001,9.797,8.715,11.541,13.119,12.557,20.418,21.988,15.373,12.623,10.704,13.618,20.37,25.152,17.534,12.233,7.003,4.885,4.377,4.113,4.106,4.112,5.923,9.887,12.357000000000001,9.797,8.715,11.541,13.119,12.557,20.418,21.988,15.373,12.623,10.704,13.618,20.37,25.152,17.534,12.233,7.003,0.1959423076923077,0.304474358974359,0.27555288461538463,0.29770192307692306,0.0881923076923077,40.756,94.996,57.315,61.922,27.516000000000005,0.024444569724357348,0.0555087114115157,0.052905271681370006,0.08707072374345529,0.04034217381759287,0.2263661858974359,282.505,0.23937425719247957,0.2263661858974359,282.505,0.23937425719247957,0.242625,0.21712820512820513,0.22983333333333333,0.21587820512820513,75.699,67.744,71.708,67.354,0.25912725849135904,0.2399575047573478,0.25565835405450055,0.1979694784020043,23.084,16.788,18.897,25.782,23.065,28.826,24.677,22.196,26.606,25.972,19.13,27.482,24.677,22.196,26.606,25.972,19.13,27.482,23.084,16.788,18.897,25.782,23.065,28.826,4.296,2.742,4.634,4.751,6.661,5.488,3.826,4.346,3.128,6.244,5.63,2.621,4.402,7.449000000000001,3.586,5.997,2.618,6.132,6.699,7.739,4.543,4.084,5.017,5.477,4.139,4.258,9.935,5.578,6.211,6.269,6.619,1.385,6.572,5.184,9.055,6.762,5.713,8.256,5.875,7.299,6.37,1.416,5.854,5.033,4.461,5.767,4.4030000000000005,4.499,6.511,5.953,6.622,8.396
AJVG,0.2675665064102564,0.42292359743838237,0.028,3.691,0.053,0.0895,0.241,333.923,0.2675665064102564,6.421596153846154,0.09496153846153846,0.09826923076923078,0.08640384615384616,0.09857692307692309,0.08721153846153847,0.21796153846153846,0.5146153846153847,0.6368461538461538,0.30165384615384616,0.09784615384615385,0.1306153846153846,0.12507692307692306,0.17117307692307693,0.17074999999999999,0.19178846153846155,0.14103846153846153,0.1721923076923077,0.2729423076923077,0.40815384615384614,0.64325,0.5911346153846154,0.4915,0.4550384615384615,0.22259615384615383,4.938,5.11,4.493,5.126,4.535,11.334,26.76,33.116,15.686,5.088,6.792,6.504,8.901,8.879,9.973,7.334,8.954,14.193,21.224,33.449,30.739,25.558,23.662,11.575,4.938,5.11,4.493,5.126,4.535,11.334,26.76,33.116,15.686,5.088,6.792,6.504,8.901,8.879,9.973,7.334,8.954,14.193,21.224,33.449,30.739,25.558,23.662,11.575,0.3877403846153847,0.15507371794871794,0.37413461538461534,0.4400673076923077,0.11389743589743591,80.65,48.382999999999996,77.82,91.534,35.536,0.19323245316079204,0.08152561136814028,0.24684734666467228,0.1824508115300332,0.08132008385000207,0.2675665064102564,333.923,0.42292359743838237,0.2675665064102564,333.923,0.42292359743838237,0.47009294871794877,0.1853429487179487,0.25746474358974364,0.1573653846153846,146.669,57.827,80.32900000000001,49.098,0.6490166053605415,0.23581776920254116,0.38939049417306737,0.16884405889925494,20.698,11.554,13.949,23.503,20.375,53.53,46.925,46.214,36.603,25.961000000000002,17.765,16.846,46.925,46.214,36.603,25.961000000000002,17.765,16.846,20.698,11.554,13.949,23.503,20.375,53.53,4.908,5.201,3.161,3.724,3.704,1.678,1.8,4.135,3.9410000000000003,3.59,3.509,1.931,4.919,3.63,5.246,4.417,4.489,5.721,4.318,5.385,4.637,6.035,14.466000000000001,11.651,12.632,13.136,1.645,10.482,15.99,14.739,5.714,8.927999999999999,14.411999999999999,9.43,13.444,8.841000000000001,7.627,11.6,8.535,5.537,6.773,5.939,4.284,3.428,5.548,5.024,4.095,3.098,3.146,3.441,3.19,7.069
ATF,0.1395176282051282,0.1410524412713095,0.05,2.105,0.07,0.111,0.143,174.118,0.13951762820512822,3.348423076923077,0.09228846153846154,0.0909423076923077,0.09034615384615385,0.09017307692307693,0.08542307692307692,0.0796923076923077,0.09092307692307691,0.1224423076923077,0.12959615384615383,0.12890384615384615,0.13492307692307692,0.1546346153846154,0.19203846153846155,0.25334615384615383,0.20203846153846156,0.1538076923076923,0.1486730769230769,0.14461538461538462,0.12925,0.15023076923076922,0.1906346153846154,0.19859615384615384,0.15934615384615383,0.13555769230769232,4.799,4.729,4.698,4.689,4.442,4.144,4.728,6.367,6.739,6.703,7.016,8.041,9.986,13.174,10.506,7.998,7.731,7.5200000000000005,6.721,7.812,9.913,10.327,8.286,7.049,4.799,4.729,4.698,4.689,4.442,4.144,4.728,6.367,6.739,6.703,7.016,8.041,9.986,13.174,10.506,7.998,7.731,7.5200000000000005,6.721,7.812,9.913,10.327,8.286,7.049,0.11796634615384614,0.18179807692307692,0.14319230769230767,0.17103365384615385,0.08814423076923078,24.537,56.721,29.784000000000002,35.575,27.500999999999998,0.026487090014704128,0.05160593407053144,0.01844540276127472,0.07154242384784815,0.003057696003122346,0.1395176282051282,174.118,0.14105244127130961,0.1395176282051282,174.118,0.14105244127130961,0.1462596153846154,0.14417307692307693,0.11004807692307693,0.1575897435897436,45.633,44.982,34.335,49.168,0.19601171278043183,0.1034989577567815,0.0677633549881356,0.15743044692161834,22.896,9.446,14.707,18.193,12.082,24.124,11.648,9.861,7.764,14.59,11.981,16.826,11.648,9.861,7.764,14.59,11.981,16.826,22.896,9.446,14.707,18.193,12.082,24.124,6.436,4.6419999999999995,2.398,2.177,7.243,2.288,2.293,2.468,2.3970000000000002,3.693,3.729,3.366,3.919,3.831,4.12,3.694,2.954,3.594,3.605,2.229,3.3120000000000003,2.936,2.484,2.825,3.1270000000000002,10.179,5.509,2.449,3.9699999999999998,2.376,2.853,2.126,3.987,1.789,1.959,2.058,1.964,1.79,1.952,2.746,3.052,3.186,3.124,2.482,3.661,3.261,1.992,3.067,2.742,3.475,7.174,3.435
FJAG,0.3920286057692296,0.44636803390372565,0.0280999999999478,4.395,0.182,0.2885,0.425,489.25169999999855,0.39202860576922965,9.408686538461511,0.22192499999999898,0.198674999999999,0.18357884615384515,0.19163653846153747,0.25771153846153844,0.21401923076923077,0.31859615384615386,0.2386730769230769,0.3717134615384605,0.3117557692307662,0.39546730769230465,0.45393076923076525,0.4993730769230729,0.4856596153846124,0.5001384615384595,0.5557115384615384,0.47100192307692207,0.5706557692307682,0.6091365384615375,0.765,0.5202692307692308,0.4245,0.34759615384615383,0.30196153846153845,11.540099999999947,10.331099999999948,9.546099999999948,9.965099999999948,13.401,11.129,16.567,12.411,19.329099999999947,16.21129999999984,20.564299999999843,23.604399999999792,25.96739999999979,25.254299999999844,26.007199999999894,28.897,24.492099999999947,29.674099999999946,31.675099999999947,39.78,27.054000000000002,22.073999999999998,18.075,15.702,11.540099999999947,10.331099999999948,9.546099999999948,9.965099999999948,13.401,11.129,16.567,12.411,19.329099999999947,16.21129999999984,20.564299999999843,23.604399999999792,25.96739999999979,25.254299999999844,26.007199999999894,28.897,24.492099999999947,29.674099999999946,31.675099999999947,39.78,27.054000000000002,22.073999999999998,18.075,15.702,0.3101846153846144,0.4817134615384589,0.6039485576923069,0.39858173076923076,0.21125769230769165,64.51839999999979,150.29459999999918,125.62129999999983,82.905,65.91239999999979,0.3135701851173759,0.18653883748679087,0.08270753975007691,0.048920981936158306,0.18779300986925593,0.39202860576922965,489.2516999999986,0.4463680339037256,0.39202860576922965,489.2516999999986,0.4463680339037256,0.3627378205128185,0.35185192307692176,0.3949253205128193,0.458599358974359,113.17419999999937,109.77779999999959,123.21669999999963,143.083,0.3700664738831931,0.3927838766527302,0.33936027640616595,0.6209440352553537,50.959,47.756,36.04919999999989,38.569,35.159599999999685,42.182,30.374,40.61819999999937,37.94969999999963,50.66,34.607,44.368,30.374,40.61819999999937,37.94969999999963,50.66,34.607,44.368,50.959,47.756,36.04919999999989,38.569,35.159599999999685,42.182,7.234,4.03,6.245,8.577,24.873,19.484,20.218,3.9859999999999998,4.068,8.298,7.305,12.615199999999895,7.831,8.024000000000001,7.7540000000000004,7.056,8.465,7.2700000000000005,6.401,8.12,5.696,14.942599999999686,8.783,6.741,7.845,10.653,8.16,7.022,7.439,8.151,7.7620000000000005,8.02,7.237,12.080699999999633,13.280499999999737,7.769,6.888,8.161999999999999,15.130699999999633,10.428,10.465,9.673,10.085,10.009,9.1,9.307,9.209,6.991,7.214,9.297,7.2490000000000006,20.608
FMB,0.22679647435897438,0.26993619535464275,0.023,2.0,0.056,0.157,0.25925,283.04200000000003,0.22679647435897438,5.4431153846153855,0.10907692307692307,0.07130769230769231,0.09403846153846153,0.08675000000000001,0.08375,0.0973653846153846,0.11542307692307692,0.17323076923076924,0.2841730769230769,0.3108076923076923,0.37265384615384617,0.3961730769230769,0.4783846153846154,0.4024423076923077,0.2573846153846154,0.27576923076923077,0.2894038461538461,0.26598076923076924,0.31023076923076925,0.27292307692307693,0.1900769230769231,0.18738461538461537,0.1526346153846154,0.16575,5.672,3.7079999999999997,4.89,4.511,4.355,5.063,6.002,9.008000000000001,14.777,16.162,19.378,20.601,24.876,20.927,13.384,14.34,15.049,13.831,16.132,14.192,9.884,9.744,7.937,8.619,5.672,3.7079999999999997,4.89,4.511,4.355,5.063,6.002,9.008000000000001,14.777,16.162,19.378,20.601,24.876,20.927,13.384,14.34,15.049,13.831,16.132,14.192,9.884,9.744,7.937,8.619,0.22090865384615382,0.3638012820512821,0.28463461538461543,0.17396153846153845,0.09038141025641024,45.949,113.50600000000001,59.204,36.184,28.198999999999998,0.11069438301946992,0.04361040637025237,0.03954874937068995,0.05434075905279029,0.016231728473209542,0.22679647435897435,283.042,0.2699361953546428,0.22679647435897435,283.042,0.2699361953546428,0.272775641025641,0.18244230769230768,0.23903846153846153,0.21292948717948718,85.106,56.922,74.58,66.434,0.3454929201319821,0.2264166759104743,0.2607269674786555,0.2216278451918134,21.766000000000002,16.555,16.114,20.332,20.476,32.215,30.899,21.992,23.341,29.25,21.989,28.113,30.899,21.992,23.341,29.25,21.989,28.113,21.766000000000002,16.555,16.114,20.332,20.476,32.215,3.01,3.5469999999999997,4.293,5.457,5.459,6.8,2.84,2.633,4.282,3.0780000000000003,4.608,4.912,3.516,3.924,3.856,2.683,3.127,6.742,3.593,8.079,4.633,4.171,3.962,4.981,4.975,6.634,11.663,9.082,9.582,4.6290000000000004,7.606,7.066,4.928,4.256,5.742,5.978,4.837,6.289,6.237,5.797,4.225,6.386,7.641,5.201,4.673,6.185,4.865,6.266,4.59,7.004,6.797,9.722
GPC,0.17343269230769232,0.1961825335866724,0.027,1.691,0.069,0.107,0.17625,216.44400000000002,0.17343269230769234,4.162384615384616,0.09832692307692309,0.13153846153846155,0.11921153846153845,0.07559615384615384,0.06884615384615385,0.10126923076923076,0.2650192307692308,0.34823076923076923,0.18286538461538462,0.13757692307692307,0.11880769230769231,0.10376923076923077,0.09963461538461539,0.21205769230769228,0.25975,0.23490384615384616,0.19546153846153846,0.16417307692307695,0.21513461538461537,0.3604423076923077,0.3095576923076923,0.16442307692307695,0.10967307692307693,0.08611538461538461,5.113,6.84,6.199,3.931,3.58,5.266,13.781,18.108,9.509,7.154,6.178,5.396,5.181,11.027,13.507,12.215,10.164,8.537,11.187,18.743,16.097,8.55,5.703,4.478,5.113,6.84,6.199,3.931,3.58,5.266,13.781,18.108,9.509,7.154,6.178,5.396,5.181,11.027,13.507,12.215,10.164,8.537,11.187,18.743,16.097,8.55,5.703,4.478,0.23342307692307693,0.17148717948717948,0.2338028846153846,0.1674423076923077,0.09913141025641024,48.55200000000001,53.50399999999999,48.631,34.828,30.929000000000002,0.07085225869098193,0.0757147812220999,0.06556112695375821,0.08500087102209365,0.04973568991342622,0.1734326923076923,216.444,0.19618253358667223,0.1734326923076923,216.444,0.19618253358667223,0.18723076923076923,0.17927884615384615,0.16256410256410256,0.16465705128205127,58.416,55.935,50.72,51.373,0.24011702254619147,0.20496683709790317,0.18345071021999604,0.1434531450947638,22.613,13.115,20.613,21.483,13.839,25.992,17.442,14.982,16.0,19.819,14.901,15.645,17.442,14.982,16.0,19.819,14.901,15.645,22.613,13.115,20.613,21.483,13.839,25.992,5.046,3.975,3.57,5.044,4.978,1.894,3.434,4.728,3.059,6.07,5.047,5.551,3.945,4.202,4.436,2.7560000000000002,4.849,5.24,3.63,2.953,2.644,4.612,4.2,3.631,3.0700000000000003,4.309,10.782,4.62,3.652,4.8229999999999995,4.347,5.317,3.5020000000000002,2.839,3.324,3.9379999999999997,4.365,4.46,3.237,3.519,5.178,1.508,6.0969999999999995,3.517,4.598,3.932,2.888,3.483,4.047,3.432,4.3420000000000005,3.824
JACL,0.1510328525641026,0.1851045428473175,0.035,1.193,0.067,0.103,0.143,188.48900000000003,0.15103285256410257,3.624788461538462,0.13448076923076924,0.08259615384615385,0.07423076923076923,0.08890384615384615,0.07473076923076924,0.07296153846153847,0.08755769230769231,0.09569230769230769,0.10682692307692307,0.09973076923076923,0.12363461538461538,0.13334615384615384,0.1510576923076923,0.23075,0.28259615384615383,0.20334615384615384,0.19851923076923078,0.18090384615384617,0.16896153846153844,0.17315384615384616,0.1984423076923077,0.2503461538461539,0.22782692307692307,0.18419230769230768,6.993,4.295,3.86,4.623,3.886,3.794,4.553,4.976,5.555,5.186,6.429,6.934,7.8549999999999995,11.999,14.695,10.574,10.323,9.407,8.786,9.004,10.319,13.018,11.847,9.578,6.993,4.295,3.86,4.623,3.886,3.794,4.553,4.976,5.555,5.186,6.429,6.934,7.8549999999999995,11.999,14.695,10.574,10.323,9.407,8.786,9.004,10.319,13.018,11.847,9.578,0.09745192307692307,0.18745512820512822,0.18038461538461542,0.21520192307692307,0.08798397435897436,20.27,58.486,37.519999999999996,44.762,27.451,0.017814891721794558,0.05734230252734611,0.00592584468347864,0.035268039864539656,0.02234189726804557,0.15103285256410257,188.489,0.1851045428473174,0.15103285256410257,188.489,0.1851045428473174,0.10789423076923078,0.10347435897435897,0.10952243589743589,0.2832403846153846,33.663000000000004,32.284,34.171,88.371,0.0652838843931966,0.06824407197490769,0.06519798792953801,0.3175146803763787,35.173,24.219,9.666,12.339,10.279,13.391,10.298,9.974,11.035,13.341,9.795,28.979,10.298,9.974,11.035,13.341,9.795,28.979,35.173,24.219,9.666,12.339,10.279,13.391,2.475,6.794,6.151,7.14,12.613,8.957,6.6690000000000005,3.71,4.883,2.688,2.201,2.404,2.3729999999999998,2.281,3.001,2.18,2.455,2.422,2.805,2.438,2.638,2.398,2.465,2.262,3.095,2.722,2.847,2.454,2.456,2.628,2.76,2.481,2.641,2.445,2.407,2.5,3.0010000000000003,2.887,2.647,2.773,3.12,2.443,2.461,2.544,2.407,2.25,2.903,2.235,2.692,8.704,6.734,10.849
JALG,0.2808501602564103,0.2514414562441484,0.053,1.633,0.125,0.1885,0.3455,350.50100000000003,0.28085016025641024,6.740403846153847,0.13751923076923075,0.11528846153846153,0.11167307692307693,0.11457692307692308,0.11315384615384616,0.10967307692307693,0.17298076923076922,0.28259615384615383,0.31311538461538463,0.2370576923076923,0.22242307692307695,0.2990576923076923,0.4701346153846154,0.47165384615384615,0.3620769230769231,0.30963461538461534,0.3543846153846154,0.28286538461538463,0.30659615384615385,0.40625,0.520576923076923,0.4800384615384615,0.3225,0.2245769230769231,7.151,5.995,5.807,5.958,5.884,5.703,8.995,14.695,16.282,12.327,11.566,15.551,24.447,24.526,18.828,16.101,18.428,14.709,15.943,21.125,27.07,24.962,16.77,11.678,7.151,5.995,5.807,5.958,5.884,5.703,8.995,14.695,16.282,12.327,11.566,15.551,24.447,24.526,18.828,16.101,18.428,14.709,15.943,21.125,27.07,24.962,16.77,11.678,0.2514375,0.35583012820512816,0.3375240384615385,0.3869230769230769,0.11698076923076924,52.29899999999999,111.019,70.205,80.47999999999999,36.498000000000005,0.08731515169894552,0.08387571750782666,0.07209227945387064,0.10415939145169957,0.008654063119444765,0.28085016025641024,350.501,0.2514414562441485,0.28085016025641024,350.501,0.2514414562441485,0.30855128205128207,0.27544871794871795,0.2708173076923077,0.26858333333333334,96.268,85.94,84.495,83.798,0.2616797653860516,0.27409139684550043,0.20990459160602956,0.25453433828784544,33.387,18.945,22.676,35.76,27.504,36.664,30.058,29.546,26.642,30.428,27.425,31.466,30.058,29.546,26.642,30.428,27.425,31.466,33.387,18.945,22.676,35.76,27.504,36.664,6.682,6.489,5.553,6.411,8.252,2.248,5.4110000000000005,5.784,5.502,5.536,5.149,5.652,6.3389999999999995,7.499,6.846,5.719,6.58,9.116,5.361,9.793,5.721,6.629,8.413,5.944,6.144,7.128,9.035,5.934,6.973,7.045,10.106,7.75,8.673,6.243,6.88,5.622,6.815,6.815,7.39,5.419,6.194,5.681,6.675,6.459,7.104,6.432,7.2860000000000005,6.603,7.325,6.502,6.902,10.737
JLG,0.15125160256410256,0.17742919795265544,0.039,1.346,0.055,0.094,0.159,188.762,0.15125160256410258,3.630038461538462,0.07590384615384616,0.056961538461538466,0.058096153846153846,0.05730769230769231,0.058673076923076925,0.05626923076923077,0.06092307692307693,0.0693076923076923,0.10663461538461538,0.16378846153846152,0.19659615384615386,0.2124423076923077,0.20425000000000001,0.1969423076923077,0.23640384615384613,0.23121153846153847,0.20265384615384616,0.1864230769230769,0.1806923076923077,0.21742307692307694,0.21990384615384617,0.23403846153846153,0.20315384615384616,0.14403846153846153,3.947,2.962,3.021,2.98,3.051,2.926,3.168,3.604,5.545,8.517,10.223,11.047,10.621,10.241,12.293,12.023,10.538,9.693999999999999,9.396,11.306000000000001,11.435,12.17,10.564,7.49,3.947,2.962,3.021,2.98,3.051,2.926,3.168,3.604,5.545,8.517,10.223,11.047,10.621,10.241,12.293,12.023,10.538,9.693999999999999,9.396,11.306000000000001,11.435,12.17,10.564,7.49,0.10016346153846153,0.21297435897435898,0.19679807692307694,0.20028365384615385,0.060535256410256415,20.834,66.44800000000001,40.934,41.659,18.887,0.07517313660758455,0.03835725540131687,0.034655219175640434,0.02888341375255191,0.008094384218792786,0.15125160256410256,188.762,0.17742919795265558,0.15125160256410256,188.762,0.17742919795265558,0.128375,0.1166602564102564,0.11781089743589743,0.24216025641025643,40.053,36.397999999999996,36.757,75.554,0.12677492429841225,0.09803116485860672,0.12928156468607876,0.26961858248845755,25.143,20.516,9.299,15.543,11.556,17.128,11.0,11.925,11.959,13.937,10.861,29.895,11.0,11.925,11.959,13.937,10.861,29.895,25.143,20.516,9.299,15.543,11.556,17.128,1.9849999999999999,1.232,3.924,6.377,11.625,7.918,5.8790000000000004,2.918,3.8009999999999997,2.461,2.61,1.85,2.378,2.761,2.844,4.215,2.761,2.9619999999999997,2.277,3.3609999999999998,2.642,3.276,3.69,2.324,2.735,5.269,3.1100000000000003,2.334,3.168,2.516,2.982,3.7760000000000002,2.455,2.536,3.158,3.46,2.459,2.7030000000000003,3.337,2.205,2.5020000000000002,1.613,5.309,2.308,2.692,2.1390000000000002,2.091,3.939,3.5140000000000002,7.063,7.47,11.848
JMM,0.2655512820512821,0.2326792050102998,0.071,1.88,0.12,0.199,0.30825,331.408,0.2655512820512821,6.373230769230769,0.15796153846153846,0.13076923076923078,0.12128846153846154,0.1184423076923077,0.11546153846153845,0.11415384615384615,0.15032692307692308,0.21536538461538463,0.23461538461538461,0.2300769230769231,0.24461538461538462,0.3880192307692308,0.4788269230769231,0.55025,0.33403846153846156,0.2629230769230769,0.26811538461538464,0.3407307692307692,0.42496153846153845,0.32965384615384613,0.37046153846153845,0.29575,0.26942307692307693,0.227,8.214,6.8,6.307,6.159,6.004,5.936,7.817,11.199,12.2,11.964,12.72,20.177,24.899,28.613,17.37,13.672,13.942,17.718,22.098,17.142,19.264,15.379,14.01,11.804,8.214,6.8,6.307,6.159,6.004,5.936,7.817,11.199,12.2,11.964,12.72,20.177,24.899,28.613,17.37,13.672,13.942,17.718,22.098,17.142,19.264,15.379,14.01,11.804,0.20759615384615385,0.3764455128205128,0.34086538461538457,0.29065865384615386,0.12634615384615383,43.18,117.451,70.89999999999999,60.457,39.419999999999995,0.03052164796538904,0.11959714421654867,0.09097878645731218,0.09074615407219146,0.01677188945993799,0.2655512820512821,331.408,0.2326792050102999,0.2655512820512821,331.408,0.2326792050102999,0.2859326923076923,0.26563141025641024,0.24288141025641025,0.2677596153846154,89.211,82.877,75.779,83.541,0.2399604441313446,0.25569616598535944,0.21618088630094773,0.21551743590846423,33.989,27.893,23.179,33.33,26.368,41.313,27.322,20.576,27.079,28.82,19.88,21.659,27.322,20.576,27.079,28.82,19.88,21.659,33.989,27.893,23.179,33.33,26.368,41.313,6.329,5.1370000000000005,6.479,7.9750000000000005,8.069,7.723,7.840000000000001,5.896,6.434,4.853,5.016,6.219,7.091,5.9430000000000005,5.072,6.51,8.955,6.85,5.411,9.517,4.752,6.688,5.3629999999999995,4.913,11.663,9.736,9.638,6.681,5.321,9.551,5.769,5.8180000000000005,5.1370000000000005,5.059,4.562,5.5760000000000005,4.647,7.179,9.677,5.186,4.464,6.264,7.44,5.466,4.758,6.328,5.516,3.278,5.386,4.923,5.64,5.71
