archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Domingo,s_Domingo,std_Domingo,Fin de semana,s_Fin de semana,std_Fin de semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.20150320512820513,0.23889646720419694,0.033,2.005,0.068,0.096,0.21425,251.476,0.20150320512820513,4.836076923076923,0.11647058823529413,0.0963076923076923,0.08047169811320753,0.08242307692307692,0.08490384615384615,0.08090384615384615,0.11138461538461539,0.14911538461538462,0.151,0.18069230769230768,0.27348076923076925,0.25490384615384615,0.19582692307692307,0.26549999999999996,0.31625000000000003,0.31476923076923075,0.2293076923076923,0.16642307692307692,0.19626923076923075,0.34965384615384615,0.4775384615384616,0.3364423076923077,0.1955,0.13123076923076923,5.94,5.008,4.265,4.286,4.415,4.207,5.792,7.7540000000000004,7.852,9.395999999999999,14.221,13.255,10.183,13.806,16.445,16.368,11.924,8.654,10.206,18.182,24.832,17.495,10.166,6.824,5.94,5.008,4.265,4.286,4.415,4.207,5.792,7.7540000000000004,7.852,9.395999999999999,14.221,13.255,10.183,13.806,16.445,16.368,11.924,8.654,10.206,18.182,24.832,17.495,10.166,6.824,0.14804807692307692,0.27012179487179483,0.23541346153846154,0.2851778846153846,0.09024679131449387,30.793999999999997,84.27799999999999,48.965999999999994,59.31699999999999,28.121000000000002,0.029365096386895443,0.06579335169557966,0.08908179284930663,0.1152256683488911,0.022605352681279063,0.20150320512820513,251.476,0.23889646720419705,0.20150320512820513,251.476,0.23889646720419705,0.25079807692307693,0.20316346153846154,0.2043621794871795,0.14768910256410256,78.249,63.387,63.761,46.079,0.29522694022435003,0.2260154553479616,0.23533800057271356,0.1727908503121725,14.168,15.038,18.785,20.711,23.891,24.498,26.307,27.444,26.428,16.206,21.127,16.873,26.307,27.444,26.428,16.206,21.127,16.873,14.168,15.038,18.785,20.711,23.891,24.498,1.673,4.422,3.432,4.641,4.237,1.919,2.458,6.4239999999999995,3.623,3.61,1.633,3.162,6.757,4.71,5.81,5.653,4.538,6.016,9.77,4.984,3.121,2.682,3.476,6.05,9.05,3.24,2.929,8.163,5.888,9.327,1.401,6.743,7.679,11.621,4.719,5.167,7.0969999999999995,3.72,5.7250000000000005,3.379,1.438,6.612,4.777,7.026,2.998,4.647,6.4559999999999995,1.972,2.199,3.821,7.157,1.724
AJVG,0.2601161858974359,0.3843308478432159,0.028,3.199,0.05575,0.103,0.249,324.625,0.2601161858974359,6.242788461538463,0.16741176470588237,0.11013461538461539,0.07967924528301887,0.08923076923076922,0.07923076923076923,0.08851923076923077,0.0886923076923077,0.11175,0.17161538461538461,0.2272307692307692,0.47909615384615384,0.4831730769230769,0.3543461538461538,0.482076923076923,0.3250769230769231,0.2985,0.2784615384615385,0.26221153846153844,0.2620961538461538,0.4090384615384615,0.4596923076923077,0.4230384615384616,0.33625,0.17792307692307693,8.538,5.727,4.223,4.64,4.12,4.603,4.612,5.811,8.924,11.815999999999999,24.913,25.125,18.426,25.067999999999998,16.904,15.522,14.48,13.635,13.629,21.27,23.904,21.998,17.485,9.252,8.538,5.727,4.223,4.64,4.12,4.603,4.612,5.811,8.924,11.815999999999999,24.913,25.125,18.426,25.067999999999998,16.904,15.522,14.48,13.635,13.629,21.27,23.904,21.998,17.485,9.252,0.14982211538461537,0.4037115384615384,0.3029519230769231,0.3492259615384615,0.10236773243404763,31.163,125.958,63.013999999999996,72.639,31.851,0.10217597057011421,0.0882162155294519,0.09381153936835761,0.17004494095409958,0.0403396309113917,0.2601161858974359,324.625,0.38433084784321586,0.2601161858974359,324.625,0.38433084784321586,0.38104166666666667,0.21874038461538461,0.27016666666666667,0.17051602564102564,118.885,68.247,84.292,53.201,0.5103420215558406,0.32754954938565484,0.40973450479043483,0.17917258847996334,11.633000000000001,12.279,19.033,21.536,27.678,37.357,30.806,50.722,54.206,14.488999999999999,15.597,29.289,30.806,50.722,54.206,14.488999999999999,15.597,29.289,11.633000000000001,12.279,19.033,21.536,27.678,37.357,3.1310000000000002,3.42,2.439,2.6430000000000002,1.626,1.775,5.407,3.471,2.425,6.458,2.864,3.819,3.467,5.537,5.51,5.082,5.407,3.035,6.432,5.0809999999999995,13.129999999999999,9.935,1.635,12.631,11.407,1.7489999999999999,1.67,9.909,10.578000000000001,8.649,10.238,19.246,11.671,9.567,12.958,12.513,16.576,8.343,3.816,3.128,3.485,2.082,5.794,4.773,6.051,2.429,2.344,5.355,5.367,4.7780000000000005,9.007,4.782
ATF,0.11157371794871795,0.09672192143752488,0.042,1.304,0.061,0.094,0.125,139.244,0.11157371794871795,2.677769230769231,0.09431372549019607,0.08598076923076924,0.09026415094339622,0.08713461538461538,0.0836923076923077,0.09023076923076924,0.10636538461538461,0.09321153846153847,0.1033846153846154,0.1061923076923077,0.11232692307692307,0.1308076923076923,0.13001923076923078,0.13159615384615383,0.11657692307692308,0.10913461538461539,0.11988461538461538,0.11424999999999999,0.11644230769230769,0.12923076923076923,0.16034615384615383,0.14923076923076922,0.11851923076923078,0.09871153846153846,4.81,4.471,4.784,4.531,4.352,4.692,5.531,4.847,5.376,5.522,5.841,6.802,6.761,6.843,6.062,5.675,6.234,5.941,6.055,6.72,8.338,7.76,6.163,5.133,4.81,4.471,4.784,4.531,4.352,4.692,5.531,4.847,5.376,5.522,5.841,6.802,6.761,6.843,6.062,5.675,6.234,5.941,6.055,6.72,8.338,7.76,6.163,5.133,0.10228846153846155,0.12174358974358974,0.11995192307692307,0.13170192307692308,0.08860272299534232,21.276000000000003,37.983999999999995,24.95,27.394,27.639999999999997,0.04237243713663937,0.038144492718370046,0.03021753018090773,0.035652923873039116,0.003478967782728597,0.11157371794871795,139.244,0.09672192143752495,0.11157371794871795,139.244,0.09672192143752495,0.09232692307692308,0.1333621794871795,0.09113141025641025,0.12947435897435897,28.806,41.609,28.433,40.396,0.04685898163935087,0.09976992944892868,0.04885721739820492,0.14623728454765128,10.772,9.308,16.396,13.206,12.007,11.624,8.038,9.144,9.977,10.1,8.356,20.316,8.038,9.144,9.977,10.1,8.356,20.316,10.772,9.308,16.396,13.206,12.007,11.624,3.324,2.289,2.186,2.973,2.257,2.368,2.186,2.497,3.584,2.692,3.255,2.92,3.945,3.086,2.882,3.912,3.326,4.009,3.406,2.458,2.134,3.082,1.697,2.326,2.777,1.742,1.7670000000000001,1.831,2.224,2.216,2.651,2.223,2.3970000000000002,1.873,1.804,1.788,2.812,1.8840000000000001,1.689,2.317,2.453,2.986,2.344,2.287,1.795,2.598,1.676,2.052,2.771,2.155,9.874,3.464
FJAG,0.46692283653846045,0.4806179537983976,0.0210999999999472,4.246,0.17975,0.295,0.59525,582.7196999999986,0.46692283653846034,11.206148076923048,0.23950980392156862,0.19455769230769232,0.1848490566037736,0.18498076923076923,0.18457692307692308,0.19892307692307692,0.21428846153846154,0.2796923076923077,0.29511923076922875,0.3265057692307662,0.5712173076923046,0.731526923076919,0.8061807692307652,0.7110653846153805,0.6424673076923046,0.688349999999998,0.6395615384615365,0.6915,0.8298653846153846,0.7844230769230769,0.5773269230769231,0.5145192307692308,0.40492307692307694,0.31126923076923074,12.215,10.117,9.797,9.619,9.598,10.344,11.143,14.544,15.346199999999895,16.97829999999984,29.703299999999842,38.03939999999979,41.92139999999979,36.97539999999979,33.40829999999984,35.7941999999999,33.2571999999999,35.958,43.153,40.79,30.021,26.755,21.056,16.186,12.215,10.117,9.797,9.619,9.598,10.344,11.143,14.544,15.346199999999895,16.97829999999984,29.703299999999842,38.03939999999979,41.92139999999979,36.97539999999979,33.40829999999984,35.7941999999999,33.2571999999999,35.958,43.153,40.79,30.021,26.755,21.056,16.186,0.27890144230769104,0.6918012820512787,0.7363374999999994,0.45200961538461537,0.1978995536773006,58.011499999999735,215.84199999999893,153.15819999999988,94.018,61.690000000000005,0.04809973796402303,0.13063107512479413,0.049683694068829116,0.08343317071340212,0.028201445008334103,0.46692283653846045,582.7196999999986,0.4806179537983976,0.46692283653846045,582.7196999999986,0.4806179537983976,0.3890775641025621,0.3805,0.47912820512820514,0.6189855769230744,121.39219999999938,118.716,149.488,193.1234999999992,0.3949479645116047,0.3070318018238334,0.22753361556385251,0.7663286268049495,60.81569999999963,52.499,48.412,36.353,33.951,42.96959999999969,41.735599999999685,36.687,48.067,55.075,46.346000000000004,79.80879999999958,41.735599999999685,36.687,48.067,55.075,46.346000000000004,79.80879999999958,60.81569999999963,52.499,48.412,36.353,33.951,42.96959999999969,4.073,19.72569999999963,10.445,26.572,19.451,24.642,4.22,4.186,10.873,8.303,8.771,9.608,10.857,10.103,7.38,9.135,9.735,8.625,9.82,8.333,7.173,5.407,7.315,12.548599999999686,9.286,8.413,7.984999999999999,7.534,11.208,15.008599999999687,8.745,10.158,8.393,9.391,9.068999999999999,8.709999999999999,4.968,9.853,15.467,14.256,14.058,12.892,13.869,12.339,12.457,12.489,9.061,15.55,8.886799999999578,10.314,22.602,22.456
FMB,0.2181955128205128,0.31266335816207613,0.023,2.683,0.05,0.097,0.25125,272.308,0.21819551282051283,5.236692307692308,0.10105882352941176,0.08892307692307691,0.08284905660377359,0.09011538461538461,0.09886538461538462,0.06680769230769232,0.09267307692307693,0.09892307692307692,0.17882692307692308,0.16509615384615386,0.2755384615384615,0.1947307692307692,0.35325,0.29803846153846153,0.2405576923076923,0.23546153846153844,0.304,0.41617307692307687,0.5229230769230769,0.48794230769230773,0.29825,0.2338269230769231,0.1731346153846154,0.13907692307692307,5.154,4.624,4.391,4.686,5.141,3.474,4.819,5.144,9.299,8.585,14.328,10.126,18.369,15.498,12.509,12.244,15.808,21.641,27.192,25.373,15.509,12.159,9.003,7.232,5.154,4.624,4.391,4.686,5.141,3.474,4.819,5.144,9.299,8.585,14.328,10.126,18.369,15.498,12.509,12.244,15.808,21.641,27.192,25.373,15.509,12.159,9.003,7.232,0.1338798076923077,0.2662628205128205,0.4327596153846154,0.2110721153846154,0.08810323643245398,27.847,83.074,90.014,43.903,27.469999999999995,0.05021388204599323,0.08223408844272485,0.07149611489325462,0.06919406698492878,0.02363677544300895,0.2181955128205128,272.308,0.3126633581620761,0.2181955128205128,272.308,0.3126633581620761,0.24409615384615385,0.22596153846153846,0.20308974358974358,0.19963461538461538,76.158,70.5,63.364,62.286,0.420807694947037,0.30482080307718873,0.2647756405528257,0.2248721705201639,17.582,12.606,26.515,21.665,22.32,39.693,21.044,15.421000000000001,25.63,18.362,19.372,32.098,21.044,15.421000000000001,25.63,18.362,19.372,32.098,17.582,12.606,26.515,21.665,22.32,39.693,2.867,4.694,4.027,5.994,5.532,2.396,2.495,2.183,6.487,4.484,4.057,6.491,4.9959999999999996,6.205,3.818,3.788,7.853999999999999,7.0520000000000005,5.3790000000000004,3.782,6.107,3.815,7.023,2.86,2.007,23.988,7.484,4.175,4.888,4.497,4.784000000000001,3.537,3.359,3.741,5.334,4.871,3.47,6.95,5.005,4.588,4.809,4.771,4.194,4.351,6.391,6.131,2.499,6.895,2.9330000000000003,3.0020000000000002,10.477,8.791
GPC,0.17902644230769232,0.2178557716271895,0.026,2.236,0.067,0.1015,0.18925,223.425,0.1790264423076923,4.296634615384615,0.082,0.07684615384615384,0.07347169811320756,0.07019230769230769,0.07838461538461537,0.07298076923076922,0.08767307692307692,0.12688461538461537,0.23384615384615384,0.2947692307692308,0.2108269230769231,0.2598076923076923,0.3783653846153846,0.3250192307692308,0.21046153846153848,0.16342307692307692,0.15946153846153846,0.17773076923076922,0.20567307692307693,0.2768653846153846,0.3098076923076923,0.21042307692307693,0.1233846153846154,0.08850000000000001,4.182,3.996,3.894,3.65,4.076,3.795,4.559,6.598,12.16,15.328,10.963000000000001,13.51,19.675,16.901,10.944,8.498,8.292,9.241999999999999,10.695,14.397,16.11,10.942,6.416,4.602,4.182,3.996,3.894,3.65,4.076,3.795,4.559,6.598,12.16,15.328,10.963000000000001,13.51,19.675,16.901,10.944,8.498,8.292,9.241999999999999,10.695,14.397,16.11,10.942,6.416,4.602,0.18579326923076922,0.25798397435897436,0.2049326923076923,0.18302884615384618,0.07564592404450896,38.644999999999996,80.491,42.626,38.07000000000001,23.593000000000004,0.10000286223814046,0.1035716327962675,0.09017754800150742,0.07102472931290096,0.009977691478451962,0.17902644230769232,223.425,0.21785577162718955,0.17902644230769232,223.425,0.21785577162718955,0.22842307692307692,0.18191346153846152,0.1651826923076923,0.14058653846153846,71.268,56.757,51.537,43.863,0.28303279526522507,0.20857481993165577,0.22137071224458194,0.11642802260808774,11.414,11.392,20.565,18.201,17.991,27.560000000000002,24.434,19.274,26.18,11.599,13.758,21.057,24.434,19.274,26.18,11.599,13.758,21.057,11.414,11.392,20.565,18.201,17.991,27.560000000000002,2.2,4.744,2.273,2.197,1.78,4.635,2.446,2.531,4.868,4.304,1.936,5.456,4.001,3.842,2.881,6.45,5.028,6.2139999999999995,2.974,4.36,4.443,7.199,3.986,6.457,4.078,5.84,4.846,5.512,5.678,8.398,5.249,5.8100000000000005,3.511,4.704,8.856,4.312,5.498,2.838,4.676,3.933,1.474,1.984,4.208,2.959,3.588,3.34,3.871,4.829,3.94,3.762,3.316,5.21
JACL,0.1618084935897436,0.2129411204861092,0.036,1.322,0.066,0.103,0.143,201.937,0.16180849358974358,3.883403846153847,0.15545098039215685,0.08986538461538461,0.08520754716981133,0.08313461538461539,0.07090384615384615,0.08240384615384616,0.08196153846153847,0.0724423076923077,0.09592307692307693,0.13380769230769232,0.13996153846153847,0.15501923076923077,0.16253846153846155,0.322423076923077,0.4264615384615385,0.25067307692307694,0.19348076923076923,0.16076923076923075,0.16157692307692306,0.16428846153846152,0.18009615384615385,0.2135,0.22015384615384617,0.18271153846153845,7.928,4.673,4.516,4.323,3.687,4.285,4.2620000000000005,3.767,4.988,6.958,7.2780000000000005,8.061,8.452,16.766000000000002,22.176000000000002,13.035,10.061,8.36,8.402,8.543,9.365,11.102,11.448,9.501,7.928,4.673,4.516,4.323,3.687,4.285,4.2620000000000005,3.767,4.988,6.958,7.2780000000000005,8.061,8.452,16.766000000000002,22.176000000000002,13.035,10.061,8.36,8.402,8.543,9.365,11.102,11.448,9.501,0.09603365384615387,0.24284615384615385,0.17002884615384614,0.1991153846153846,0.09449436997827676,19.975,75.768,35.366,41.416,29.412,0.03167756946250716,0.10317120998715083,0.03516375988144451,0.040469593503439406,0.05499953976565325,0.1618084935897436,201.937,0.2129411204861091,0.1618084935897436,201.937,0.2129411204861091,0.13206730769230768,0.12059294871794872,0.1188397435897436,0.27573397435897434,41.205,37.625,37.078,86.029,0.14763661814674758,0.12000609985149292,0.12560421157432325,0.3352224146241846,22.525,27.049,16.252,9.959,11.414,14.118,12.893,14.194,14.224,11.824,11.03,36.455,12.893,14.194,14.224,11.824,11.03,36.455,22.525,27.049,16.252,9.959,11.414,14.118,2.057,6.882,3.11,10.476,6.688,12.084,4.584,3.693,6.377000000000001,2.374,2.521,2.777,2.203,2.545,3.049,2.297,2.068,2.3770000000000002,3.149,3.082,2.806,2.944,3.117,2.7960000000000003,2.345,2.916,3.531,2.822,4.088,2.452,3.786,3.461,3.4539999999999997,3.493,3.363,2.451,2.964,2.447,2.999,2.855,2.585,3.871,2.513,3.108,2.964,2.597,2.3609999999999998,6.418,2.823,2.551,10.161999999999999,14.501
JALG,0.3198629807692308,0.29055640504832153,0.05,2.34,0.128,0.196,0.427,399.189,0.31986298076923075,7.676711538461538,0.16127450980392155,0.12107692307692308,0.12749056603773584,0.11871153846153847,0.11201923076923077,0.1186346153846154,0.11484615384615385,0.16244230769230766,0.32334615384615384,0.4354230769230769,0.5059423076923077,0.3649423076923077,0.33775,0.48853846153846153,0.5378461538461539,0.44975,0.3390384615384615,0.3575,0.45075,0.49342307692307696,0.5673076923076923,0.4737692307692308,0.3055576923076923,0.20998076923076925,8.225,6.296,6.757,6.173,5.825,6.1690000000000005,5.972,8.447,16.814,22.642,26.309,18.977,17.563,25.404,27.968,23.387,17.63,18.59,23.439,25.658,29.5,24.636,15.889,10.919,8.225,6.296,6.757,6.173,5.825,6.1690000000000005,5.972,8.447,16.814,22.642,26.309,18.977,17.563,25.404,27.968,23.387,17.63,18.59,23.439,25.658,29.5,24.636,15.889,10.919,0.2590144230769231,0.4474615384615384,0.4101778846153846,0.3891538461538462,0.1265345639223275,53.875,139.608,85.31700000000001,80.94399999999999,39.44500000000001,0.13136305826933234,0.05995690285822162,0.05653111745653777,0.10485601991754895,0.011487806476014335,0.3198629807692308,399.189,0.29055640504832175,0.3198629807692308,399.189,0.29055640504832175,0.3728653846153846,0.28638782051282047,0.31316346153846153,0.3070352564102564,116.334,89.353,97.707,95.795,0.3262378176319045,0.25628406964302486,0.2759887729173121,0.29337934910775876,27.483,27.15,33.628,27.389,28.336,42.661,36.157000000000004,37.516,39.896,26.732,31.079,41.162,36.157000000000004,37.516,39.896,26.732,31.079,41.162,27.483,27.15,33.628,27.389,28.336,42.661,6.753,7.245,5.189,8.296,2.1,11.395,7.549,6.106,6.107,6.058,6.542,6.069,8.852,6.668,6.221,5.789,8.711,6.867,5.912,8.557,7.0,7.946,8.794,9.835,7.54,8.546,8.007,9.199,10.554,8.397,8.246,8.118,10.158,10.994,8.466,6.14,8.07,7.862,9.358,3.729,8.892,8.296,5.815,7.64,8.48,6.529,8.43,7.027,7.819,6.871,9.13,10.315
JLG,0.15202163461538462,0.18505416623071944,0.036,1.637,0.055,0.092,0.15325,189.723,0.15202163461538462,3.648519230769231,0.09864705882352941,0.0745,0.06315094339622641,0.06242307692307692,0.05888461538461538,0.057596153846153846,0.05728846153846154,0.05498076923076923,0.08948076923076922,0.15148076923076922,0.20190384615384616,0.22238461538461538,0.2485576923076923,0.23998076923076922,0.2166923076923077,0.22126923076923077,0.18582692307692308,0.19853846153846152,0.2081346153846154,0.18165384615384614,0.21478846153846154,0.22421153846153846,0.18765384615384617,0.12917307692307692,5.031,3.874,3.347,3.246,3.062,2.995,2.979,2.859,4.653,7.877,10.499,11.564,12.925,12.479,11.268,11.506,9.663,10.324,10.823,9.446,11.169,11.659,9.758000000000001,6.717,5.031,3.874,3.347,3.246,3.062,2.995,2.979,2.859,4.653,7.877,10.499,11.564,12.925,12.479,11.268,11.506,9.663,10.324,10.823,9.446,11.169,11.659,9.758000000000001,6.717,0.08830769230769231,0.22513141025641026,0.19353846153846155,0.18895673076923078,0.069200308062267,18.368,70.241,40.256,39.303000000000004,21.555,0.07426036270879419,0.01722798722467154,0.04208298145838961,0.047177565581934124,0.008720372102969552,0.15202163461538462,189.723,0.1850541662307195,0.15202163461538462,189.723,0.1850541662307195,0.12846153846153846,0.1287852564102564,0.13447435897435897,0.21636538461538463,40.08,40.181,41.956,67.506,0.1331541612954487,0.13576642762017546,0.16906057624444035,0.25885445355002323,16.826,18.481,15.468,10.215,14.498,16.674,13.526,9.88,19.494,11.709,10.753,32.199,13.526,9.88,19.494,11.709,10.753,32.199,16.826,18.481,15.468,10.215,14.498,16.674,1.208,3.883,2.498,9.237,4.923,8.045,2.937,2.576,5.119,2.389,2.378,3.368,2.214,4.3759999999999994,1.712,1.946,2.181,2.837,2.872,3.661,5.128,3.48,2.33,2.515,5.252,3.097,2.95,3.012,4.3469999999999995,3.217,2.605,2.427,2.716,2.132,3.7680000000000002,3.945,3.645,5.843,2.293,2.145,2.7039999999999997,3.558,3.302,2.026,3.089,3.5380000000000003,2.1,2.5,2.6029999999999998,3.549,9.325,14.222
JMM,0.29045032051282055,0.3439176913800211,0.064,5.359,0.127,0.195,0.30425,362.482,0.2904503205128205,6.970807692307693,0.19825490196078432,0.14353846153846156,0.1301509433962264,0.12505769230769231,0.12028846153846154,0.12221153846153847,0.15119230769230768,0.20365384615384616,0.2225,0.23101923076923075,0.29786538461538464,0.39234615384615384,0.6294615384615384,0.8285576923076923,0.46569230769230774,0.27326923076923076,0.27942307692307694,0.29926923076923073,0.34448076923076926,0.32751923076923073,0.34092307692307694,0.32921153846153844,0.2885384615384615,0.2276923076923077,10.111,7.464,6.898,6.503,6.255,6.355,7.862,10.59,11.57,12.013,15.489,20.402,32.732,43.085,24.216,14.21,14.530000000000001,15.562,17.913,17.031,17.728,17.119,15.004,11.84,10.111,7.464,6.898,6.503,6.255,6.355,7.862,10.59,11.57,12.013,15.489,20.402,32.732,43.085,24.216,14.21,14.530000000000001,15.562,17.913,17.031,17.728,17.119,15.004,11.84,0.20209134615384616,0.481198717948718,0.3126730769230769,0.29659134615384614,0.13991699986719408,42.035,150.13400000000001,65.036,61.691,43.586,0.041968451710662394,0.25923147954835546,0.05677062326097721,0.05100548649975895,0.02528002779847292,0.29045032051282055,362.482,0.34391769138002143,0.29045032051282055,362.482,0.34391769138002143,0.30364423076923075,0.24960576923076921,0.2856666666666667,0.3228846153846154,94.737,77.877,89.128,100.74,0.3110076637511471,0.27569751650984414,0.3202282713414685,0.4427762815668648,26.147,37.156,26.007,21.177,30.693,34.382,31.264,29.091,36.438,28.455,24.235,37.437,31.264,29.091,36.438,28.455,24.235,37.437,26.147,37.156,26.007,21.177,30.693,34.382,5.643,3.761,5.83,10.913,7.896,16.885,7.306,5.069,4.853,6.633,6.119,5.13,3.272,4.073,7.694,3.255,6.155,9.408,10.182,5.877,5.226,4.263,7.944,8.111,6.938,7.1259999999999994,5.885,9.127,8.12,8.132,10.907,6.994,3.938,7.252,7.91,4.402,6.886,9.442,7.798,5.806,8.198,6.249,8.202,6.671,7.184,7.708,2.672,9.179,9.885,6.011,6.035,6.327
