archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-02,2024-02,2025-02,Febrero,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02
ABLD,0.2152455882352941,0.2619129854497045,0.029,2.184,0.064,0.0935,0.233,439.101,0.2152455882352942,5.165894117647057,0.09419999999999999,0.08049411764705881,0.0743764705882353,0.07370588235294118,0.08387058823529411,0.08418823529411765,0.08743529411764707,0.16312941176470588,0.18941176470588236,0.11436470588235294,0.167,0.2077764705882353,0.28818823529411763,0.36307058823529414,0.49160000000000004,0.38941176470588235,0.2520470588235294,0.20778823529411763,0.19472941176470587,0.32887058823529414,0.5416705882352941,0.3483058823529412,0.19892941176470588,0.14132941176470587,8.007,6.842,6.322,6.265,7.129,7.156000000000001,7.432,13.866,16.1,9.721,14.195,17.661,24.496,30.861,41.786,33.1,21.424,17.662,16.552,27.954,46.042,29.606,16.909,12.013,8.007,6.842,6.322,6.265,7.129,7.156000000000001,7.432,13.866,16.1,9.721,14.195,17.661,24.496,30.861,41.786,33.1,21.424,17.662,16.552,27.954,46.042,29.606,16.909,12.013,0.13858529411764706,0.31784117647058824,0.24585882352941177,0.3075588235294118,0.08180588235294117,47.119,162.09900000000002,83.592,104.57,41.721,0.04103761920126532,0.05911342765423313,0.07140748147563804,0.13510685799456545,0.02748724925878117,0.2110277777777778,0.24330902777777774,0.19496180555555556,0.20239423076923077,0.22030208333333334,0.20275,0.2330451388888889,60.776,70.073,56.149,63.147,63.447,58.392,67.117,0.24503288393251418,0.30768128842883136,0.2215373634720568,0.25357546432588474,0.2670379575959911,0.2496902331761377,0.2798908349490608,0.2142021857923497,0.21789756944444444,313.592,125.509,0.2606029343142734,0.2654233597943423,0.2152455882352941,439.101,0.26191298544970437,145.603,150.106,143.392,439.101,26.439,33.488,34.903999999999996,38.682,12.09,19.302,42.455,27.476,40.123,20.75,2.827,21.217,42.488,45.814,31.046
AJVG,0.4319049019607843,0.5190631379915815,0.018,3.138,0.047,0.1945,0.6944999999999999,881.086,0.4319049019607843,10.365717647058824,0.2306705882352941,0.14151764705882353,0.09201176470588235,0.08558823529411765,0.08131764705882352,0.09291764705882352,0.237,0.9082823529411764,0.6129411764705882,0.45429411764705885,0.39908235294117644,0.4653647058823529,0.40177647058823535,0.3305529411764706,0.5266117647058823,0.46797647058823527,0.34945882352941177,0.3396705882352941,0.4674470588235294,0.7282117647058823,0.8206588235294118,0.9386235294117647,0.7283647058823529,0.46537647058823534,19.607,12.029,7.821,7.275,6.912,7.898,20.145,77.204,52.1,38.615,33.922,39.556,34.151,28.097,44.762,39.778,29.704,28.872,39.733,61.898,69.756,79.783,61.911,39.557,19.607,12.029,7.821,7.275,6.912,7.898,20.145,77.204,52.1,38.615,33.922,39.556,34.151,28.097,44.762,39.778,29.704,28.872,39.733,61.898,69.756,79.783,61.911,39.557,0.5531294117647059,0.4318941176470588,0.4711970588235294,0.7382558823529413,0.1206705882352941,188.064,220.266,160.207,251.007,61.542,0.1471786444910888,0.07328635724143126,0.11583786434902645,0.1144288045862452,0.09003665971364733,0.4161215277777778,0.4575173611111111,0.4072673611111111,0.4110352564102564,0.3733020833333333,0.49463194444444447,0.46519791666666666,119.843,131.765,117.293,128.243,107.511,142.454,133.977,0.5394700869618051,0.5572026383510278,0.47994978836239677,0.48785358555562974,0.4922975953272396,0.5416747451823202,0.5273749854957619,0.41301571038251367,0.4799149305555555,604.655,276.431,0.5118921653564241,0.5343107072491049,0.4319049019607843,881.086,0.5190631379915817,304.347,274.504,302.235,881.086,56.703,74.973,65.014,70.118,37.539,52.156,64.723,67.791,54.759,35.075,29.437,92.415,81.52,57.835,41.028
ATF,0.1087232142857143,0.09342621049543177,0.049,1.243,0.058,0.0885,0.121,73.06200000000001,0.10872321428571428,2.6093571428571427,0.086,0.08328571428571428,0.08157142857142859,0.07646428571428572,0.07557142857142858,0.08228571428571428,0.08053571428571428,0.10217857142857144,0.09785714285714286,0.11707142857142858,0.11800000000000001,0.16232142857142856,0.18875,0.14500000000000002,0.13125,0.12521428571428572,0.12164285714285715,0.11164285714285714,0.12017857142857144,0.10285714285714286,0.10792857142857144,0.11007142857142857,0.0965,0.08517857142857142,2.408,2.332,2.2840000000000003,2.141,2.116,2.304,2.255,2.861,2.74,3.278,3.3040000000000003,4.545,5.285,4.0600000000000005,3.675,3.5060000000000002,3.406,3.126,3.365,2.88,3.0220000000000002,3.082,2.702,2.385,2.408,2.332,2.2840000000000003,2.141,2.116,2.304,2.255,2.861,2.74,3.278,3.3040000000000003,4.545,5.285,4.0600000000000005,3.675,3.5060000000000002,3.406,3.126,3.365,2.88,3.0220000000000002,3.082,2.702,2.385,0.0994107142857143,0.14508928571428573,0.11408035714285715,0.09991964285714286,0.08086309523809523,11.134,24.375000000000004,12.777000000000001,11.191,13.585,0.03593236608676188,0.08504729041334835,0.010733011879954658,0.024712833639762847,0.0016147496812863392,0.12625,0.10271875000000001,0.11212499999999999,0.09754166666666668,0.10811458333333333,0.1190625,0.09525,12.120000000000001,9.861,10.764,9.364,10.379,11.43,9.144,0.13572921959781384,0.06698997617475869,0.08345931880105924,0.05609257698646459,0.05404323216631715,0.15336868633253797,0.0375393127267935,0.10935,0.10715625000000001,52.488,20.574,0.08499609717185111,0.11199470145703434,0.10872321428571428,73.062,0.09342621049543183,,,73.062,73.062,,,,,,,,,,,7.156,17.923000000000002,21.29,14.844,11.849
FJAG,0.34416558479531895,0.29678753850120154,0.065,3.279,0.159,0.255,0.397,470.8185199999963,0.34416558479531895,8.259974035087653,0.16436842105263158,0.13364912280701755,0.13412280701754387,0.12705263157894736,0.14214035087719298,0.12782456140350876,0.2808421052631579,0.31359649122807015,0.26682456140350874,0.3056182456140288,0.31847999999999055,0.48239228070174495,0.6867080701754292,0.5590940350877098,0.39004140350876254,0.3893199999999937,0.3409164912280639,0.4677017543859649,0.4416491228070175,0.5798421052631579,0.5086491228070176,0.42450877192982456,0.44384210526315787,0.23078947368421054,9.369,7.618,7.645,7.242,8.102,7.286,16.008,17.875,15.209,17.42023999999964,18.153359999999463,27.496359999999463,39.142359999999464,31.868359999999463,22.232359999999463,22.19123999999964,19.43223999999964,26.659,25.174,33.051,28.993,24.197,25.299,13.155000000000001,9.369,7.618,7.645,7.242,8.102,7.286,16.008,17.875,15.209,17.42023999999964,18.153359999999463,27.496359999999463,39.142359999999464,31.868359999999463,22.232359999999463,22.19123999999964,19.43223999999964,26.659,25.174,33.051,28.993,24.197,25.299,13.155000000000001,0.2917203508771914,0.4710059649122718,0.457527368421051,0.4019473684210526,0.13819298245614034,66.51223999999964,161.08403999999695,104.31623999999964,91.644,47.262,0.09400739209629476,0.06208091284292113,0.17214176857817048,0.06800535007365735,0.02939476670385962,0.32288541666666665,0.33771145833332866,0.35996333333332586,0.30816203703703704,0.3150364583333333,0.35000000000000003,0.41990083333332584,61.994,64.8405999999991,69.11295999999857,66.563,60.487,67.2,80.62095999999856,0.2293907875194171,0.316844602659574,0.3467695380942158,0.2237699953773518,0.20268768362470893,0.29355124778909386,0.40579391454789965,0.3282495528455261,0.3849504166666629,322.9975599999977,147.82095999999856,0.26902016327257283,0.3554121134239642,0.3441655847953189,470.8185199999962,0.29678753850120154,211.449,259.3695199999962,,470.8185199999962,41.379,51.541,55.841,48.376,14.312,33.136,68.31259999999911,65.67995999999857,61.499959999998566,30.741,,,,,
FMB,0.19252777777777777,0.21890326975675983,0.01,1.852,0.051,0.144,0.239,263.378,0.19252777777777777,4.620666666666668,0.09673684210526316,0.10364912280701755,0.08328070175438597,0.06731578947368422,0.07610526315789473,0.08724561403508772,0.13694736842105262,0.10970175438596491,0.18587719298245614,0.24880701754385964,0.232,0.22071929824561404,0.30684210526315786,0.3482280701754386,0.1999298245614035,0.25966666666666666,0.21645614035087718,0.2344736842105263,0.2838070175438596,0.36571929824561406,0.26452631578947366,0.20005263157894737,0.16598245614035087,0.12659649122807018,5.514,5.908,4.747,3.837,4.338,4.973,7.806,6.253,10.595,14.182,13.224,12.581,17.49,19.849,11.396,14.801,12.338,13.365,16.177,20.846,15.078,11.403,9.461,7.216,5.514,5.908,4.747,3.837,4.338,4.973,7.806,6.253,10.595,14.182,13.224,12.581,17.49,19.849,11.396,14.801,12.338,13.365,16.177,20.846,15.078,11.403,9.461,7.216,0.17033333333333334,0.2612309941520468,0.2751140350877193,0.1892894736842105,0.08572222222222221,38.836000000000006,89.34100000000001,62.726,43.158,29.317,0.0983353310010578,0.09638656233535775,0.07480414648779662,0.09736160281388748,0.0073004760157089395,0.23393229166666665,0.20576041666666667,0.19027604166666667,0.2038935185185185,0.160234375,0.17775520833333333,0.17442187499999998,44.915,39.506,36.533,44.041,30.765,34.129,33.489,0.2625487251690902,0.216804964336802,0.1739969063002288,0.20556635946535978,0.12636137103426692,0.2675131693660137,0.24083233537010088,0.1989430894308943,0.17608854166666665,195.76,67.618,0.20326133600654578,0.25419558776588397,0.19252777777777777,263.378,0.21890326975675986,,129.063,134.315,263.378,,,,,,16.795,31.578,29.69,32.975,18.025,7.384,31.642,35.363,33.336,26.59
GPC,0.1853299019607843,0.23364683192303426,0.023,1.853,0.057,0.093,0.19225,378.073,0.18532990196078436,4.447917647058825,0.06785882352941176,0.10007058823529412,0.102,0.07756470588235294,0.06641176470588236,0.06674117647058823,0.10778823529411766,0.36169411764705883,0.26816470588235297,0.1958,0.13215294117647058,0.11078823529411765,0.12409411764705883,0.14831764705882353,0.3098588235294118,0.29847058823529415,0.2204235294117647,0.17681176470588236,0.22785882352941175,0.36267058823529413,0.4954,0.2596705882352941,0.09409411764705883,0.07321176470588235,5.768,8.506,8.67,6.593,5.6450000000000005,5.673,9.162,30.744,22.794,16.643,11.233,9.417,10.548,12.607,26.338,25.37,18.736,15.029,19.368,30.827,42.109,22.072,7.998,6.223,5.768,8.506,8.67,6.593,5.6450000000000005,5.673,9.162,30.744,22.794,16.643,11.233,9.417,10.548,12.607,26.338,25.37,18.736,15.029,19.368,30.827,42.109,22.072,7.998,6.223,0.23336176470588235,0.18728039215686273,0.24694117647058822,0.23059411764705884,0.0801078431372549,79.343,95.513,83.96,78.402,40.855000000000004,0.09624660953460244,0.02753824559845541,0.06081924506217508,0.14682744303791379,0.05088640345152647,0.16144444444444445,0.1863263888888889,0.1863298611111111,0.1988878205128205,0.15235763888888887,0.19922916666666668,0.21160416666666668,46.496,53.662,53.663,62.053,43.879,57.378,60.942,0.19857600297763908,0.23220721941980516,0.22804101091517312,0.2544906840645063,0.1820387461455349,0.26406879894245905,0.2582308266710339,0.177426912568306,0.20541666666666666,259.753,118.32,0.2215547933098752,0.26101240350337507,0.1853299019607843,378.073,0.2336468319230344,124.94,128.697,124.436,378.073,23.907,27.551,32.347,31.084,10.051,18.787,29.155,31.536,30.366,18.853,11.62,35.7,28.604,30.053,18.459
JACL,0.10826911764705882,0.08027704986405396,0.028,1.229,0.065,0.096,0.129,220.869,0.10826911764705885,2.5984588235294113,0.12714117647058823,0.08050588235294118,0.07618823529411764,0.07669411764705883,0.07431764705882353,0.07111764705882354,0.06409411764705883,0.08030588235294117,0.09669411764705882,0.0968,0.12843529411764706,0.12563529411764707,0.11490588235294116,0.13290588235294118,0.2668235294117647,0.10701176470588235,0.10308235294117647,0.09954117647058824,0.10674117647058824,0.10428235294117648,0.09832941176470589,0.11712941176470587,0.1269529411764706,0.1228235294117647,10.807,6.843,6.476,6.519,6.317,6.045,5.448,6.826,8.219,8.228,10.917,10.679,9.767,11.297,22.68,9.096,8.762,8.461,9.073,8.864,8.358,9.956,10.791,10.44,10.807,6.843,6.476,6.519,6.317,6.045,5.448,6.826,8.219,8.228,10.917,10.679,9.767,11.297,22.68,9.096,8.762,8.461,9.073,8.864,8.358,9.956,10.791,10.44,0.0844735294117647,0.1459529411764706,0.10341176470588236,0.11630882352941177,0.08432745098039217,28.721000000000004,74.436,35.16,39.545,43.007,0.013688182798746189,0.04850202661065104,0.010590387518968231,0.006924964586579547,0.004353368444131734,0.10749652777777778,0.10462152777777778,0.10630555555555556,0.10245192307692308,0.10288888888888889,0.11181597222222223,0.12278819444444444,30.959,30.131,30.616,31.965,29.632,32.203,35.363,0.06497198529304062,0.06380151458361305,0.06111003131415017,0.05293748296244553,0.05429774812113242,0.09651710408849763,0.13472082476994332,0.10471516393442623,0.11730208333333333,153.303,67.566,0.05947358629183154,0.11721302374217048,0.10826911764705882,220.869,0.08027704986405393,70.704,75.412,74.753,220.869,12.858,15.745,18.526,18.27,5.305,10.185,17.363,18.151,19.366,10.347,6.47,18.905,18.464,18.729,12.185
JALG,0.3113887254901961,0.2829830367497754,0.028,2.34,0.112,0.214,0.40225,635.2330000000001,0.31138872549019603,7.4733294117647056,0.17605882352941177,0.11016470588235296,0.11057647058823529,0.0949764705882353,0.09509411764705883,0.09657647058823529,0.11976470588235294,0.1872235294117647,0.32887058823529414,0.3582941176470588,0.3448352941176471,0.2587764705882353,0.3636705882352941,0.5094588235294117,0.5056470588235294,0.5594,0.4199176470588235,0.43642352941176477,0.34101176470588235,0.3548941176470588,0.47619999999999996,0.5511647058823529,0.4192117647058824,0.2551176470588235,14.965,9.364,9.399,8.073,8.083,8.209,10.18,15.914,27.954,30.455,29.311,21.996,30.912,43.304,42.980000000000004,47.549,35.693,37.096000000000004,28.986,30.166,40.477,46.849,35.633,21.685,14.965,9.364,9.399,8.073,8.083,8.209,10.18,15.914,27.954,30.455,29.311,21.996,30.912,43.304,42.980000000000004,47.549,35.693,37.096000000000004,28.986,30.166,40.477,46.849,35.633,21.685,0.24853823529411767,0.42363137254901956,0.38806176470588233,0.4254235294117647,0.11390784313725488,84.503,216.052,131.941,144.644,58.093,0.14238203260231555,0.08215996677683675,0.018938929391322263,0.06642858864873345,0.026352631088090852,0.3079340277777778,0.3104722222222222,0.3085486111111111,0.30683012820512817,0.3062430555555556,0.28035763888888887,0.3597152777777778,88.685,89.416,88.862,95.731,88.19800000000001,80.743,103.598,0.2849685705912765,0.27135471069551625,0.2831593124638462,0.27861299783398724,0.2611029472842589,0.2723228520713224,0.3226078981256094,0.30798633879781423,0.32003645833333333,450.892,184.341,0.27564799405765344,0.30089857957494137,0.31138872549019603,635.233,0.28298303674977543,208.761,212.666,213.806,635.233,36.258,53.371,50.227000000000004,53.949,14.956,26.689999999999998,53.988,48.694,53.828,29.466,15.698,54.797,54.935,51.364,37.012
JLG,0.13069068627450983,0.13552282612787675,0.037,1.213,0.056,0.097,0.155,266.60900000000004,0.1306906862745098,3.136576470588235,0.10701176470588235,0.06644705882352941,0.05807058823529412,0.055482352941176476,0.05547058823529412,0.054717647058823524,0.060552941176470594,0.055717647058823525,0.08898823529411765,0.15130588235294118,0.18525882352941175,0.16528235294117646,0.17951764705882353,0.20190588235294116,0.2054941176470588,0.18567058823529412,0.15255294117647059,0.13143529411764707,0.13003529411764708,0.13338823529411764,0.16896470588235293,0.2343764705882353,0.1678235294117647,0.14110588235294116,9.096,5.648,4.936,4.716,4.715,4.651,5.147,4.736,7.564,12.861,15.747,14.049,15.259,17.162,17.467,15.782,12.967,11.172,11.053,11.338,14.362,19.922,14.265,11.994,9.096,5.648,4.936,4.716,4.715,4.651,5.147,4.736,7.564,12.861,15.747,14.049,15.259,17.162,17.467,15.782,12.967,11.172,11.053,11.338,14.362,19.922,14.265,11.994,0.08914117647058824,0.18718823529411766,0.1368529411764706,0.17806764705882352,0.0662,30.308,95.466,46.53000000000001,60.543,33.762,0.07197791828051568,0.035584577921351356,0.03230159214269594,0.04603041450241859,0.0063867630617753255,0.13453472222222224,0.13675694444444444,0.12577430555555555,0.1295352564102564,0.1327222222222222,0.15554861111111112,0.10005902777777778,38.746,39.386,36.223,40.415,38.224,44.798,28.817,0.15832300213864808,0.13560496771387034,0.12173072942901865,0.10872774358763043,0.12722875469064232,0.19375264700401074,0.0634890315783664,0.13182650273224045,0.12780381944444444,192.994,73.615,0.13089999191071097,0.1466984533962943,0.1306906862745098,266.609,0.13552282612787692,90.765,88.934,86.91,266.609,15.64,23.453,20.156,24.305,7.211,14.076,18.809,20.695,22.361,12.993,6.445,21.874,22.83,18.919,16.842
JMM,0.25111176470588237,0.2190320859881566,0.066,2.036,0.132,0.191,0.271,512.268,0.25111176470588237,6.026682352941177,0.18871764705882355,0.1436235294117647,0.13012941176470588,0.12554117647058824,0.12436470588235293,0.1223529411764706,0.12501176470588235,0.1660823529411765,0.24351764705882356,0.19663529411764705,0.20475294117647058,0.2947058823529412,0.3915764705882353,0.49628235294117645,0.49669411764705884,0.2554705882352941,0.2393058823529412,0.24161176470588233,0.2919294117647059,0.3158941176470588,0.37472941176470587,0.2983411764705882,0.2963176470588235,0.2630941176470588,16.041,12.208,11.061,10.671,10.571,10.4,10.626,14.117,20.699,16.714,17.404,25.05,33.284,42.184,42.219,21.715,20.341,20.537,24.814,26.851,31.852,25.358999999999998,25.187,22.363,16.041,12.208,11.061,10.671,10.571,10.4,10.626,14.117,20.699,16.714,17.404,25.05,33.284,42.184,42.219,21.715,20.341,20.537,24.814,26.851,31.852,25.358999999999998,25.187,22.363,0.18281176470588234,0.3565803921568627,0.2721852941176471,0.3081205882352941,0.13912156862745098,62.156000000000006,181.856,92.543,104.761,70.952,0.04588249111743968,0.10674288361843916,0.023228272604813565,0.053603673535443784,0.010573822382377543,0.234125,0.2328888888888889,0.22908333333333333,0.2384775641025641,0.25954513888888886,0.2851111111111111,0.27960416666666665,67.428,67.072,65.976,74.405,74.749,82.112,80.526,0.17786430935843764,0.15781416810006801,0.1758166014684517,0.20241280797576164,0.21592648940429116,0.2670292004314916,0.2961967450185466,0.23881830601092896,0.2823576388888889,349.63,162.638,0.1874196399575859,0.28175850383027723,0.25111176470588237,512.268,0.21903208598815663,186.228,159.114,166.926,512.268,29.111,51.982,41.874,50.848,12.413,21.965,35.273,41.046,38.946,21.884,19.606,39.739,34.629,43.097,29.855
