archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Jueves,s_Jueves,std_Jueves,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.22802083333333334,0.25245146969981236,0.034,1.855,0.072,0.126,0.26125,284.57,0.2280208333333333,5.472500000000001,0.08671153846153846,0.08219230769230769,0.07819230769230769,0.07388461538461538,0.0774423076923077,0.0965,0.2023076923076923,0.26469230769230767,0.2439423076923077,0.20511538461538462,0.18798076923076923,0.237,0.24490384615384614,0.3797307692307692,0.4587115384615385,0.2909615384615385,0.23092307692307695,0.1928076923076923,0.19796153846153847,0.4019230769230769,0.47594230769230766,0.38840384615384616,0.21742307692307694,0.15684615384615386,4.509,4.274,4.066,3.842,4.027,5.018,10.52,13.764,12.685,10.666,9.775,12.324,12.735,19.746,23.853,15.13,12.008000000000001,10.026,10.294,20.9,24.749,20.197,11.306000000000001,8.156,4.509,4.274,4.066,3.842,4.027,5.018,10.52,13.764,12.685,10.666,9.775,12.324,12.735,19.746,23.853,15.13,12.008000000000001,10.026,10.294,20.9,24.749,20.197,11.306000000000001,8.156,0.22901442307692307,0.2998814102564103,0.25590384615384615,0.30965384615384617,0.08248717948717949,47.635000000000005,93.56299999999999,53.228,64.408,25.736,0.03924410514439592,0.06535568576344374,0.07816869717585859,0.1084373011474809,0.013696747359227818,0.22802083333333334,284.57,0.25245146969981236,0.22802083333333334,284.57,0.25245146969981236,0.20872435897435898,0.22082371794871797,0.2686378205128205,0.2138974358974359,65.122,68.897,83.815,66.736,0.24906173962349626,0.24983652085452182,0.30011748007197503,0.19682617331402555,17.177,23.879,20.689,27.73,20.477999999999998,26.412,22.171,16.539,22.395,21.275000000000002,40.145,25.68,22.171,16.539,22.395,21.275000000000002,40.145,25.68,17.177,23.879,20.689,27.73,20.477999999999998,26.412,4.623,4.177,4.5920000000000005,3.785,7.086,5.698,3.376,3.634,4.085,4.786,5.373,6.471,4.059,6.014,5.398,5.398,6.041,4.879,6.146,4.963,4.059,5.31,8.672,5.353,7.062,5.325,3.011,4.0040000000000004,4.821,4.619,5.716,1.379,5.922,4.74,4.498,6.719,5.403,5.458,4.8149999999999995,4.712,5.828,5.6370000000000005,5.098,8.587,5.843,6.966,8.108,10.641,5.85,6.8500000000000005,5.392,7.588
AJVG,0.21611778846153845,0.34254661608331977,0.027,2.768,0.051,0.075,0.212,269.715,0.2161177884615385,5.186826923076923,0.08576923076923076,0.08432692307692308,0.09296153846153846,0.07434615384615385,0.09555769230769232,0.21853846153846154,0.4625,0.6172500000000001,0.28559615384615383,0.07198076923076922,0.12923076923076923,0.10425000000000001,0.1361923076923077,0.10173076923076924,0.11692307692307692,0.10101923076923078,0.09848076923076922,0.18165384615384614,0.26325,0.3939423076923077,0.4635,0.4659615384615385,0.3586923076923077,0.18317307692307694,4.46,4.385,4.834,3.866,4.969,11.364,24.05,32.097,14.850999999999999,3.743,6.720000000000001,5.421,7.082,5.29,6.08,5.253,5.1209999999999996,9.446,13.689,20.485,24.102,24.23,18.652,9.525,4.46,4.385,4.834,3.866,4.969,11.364,24.05,32.097,14.850999999999999,3.743,6.720000000000001,5.421,7.082,5.29,6.08,5.253,5.1209999999999996,9.446,13.689,20.485,24.102,24.23,18.652,9.525,0.3593317307692308,0.11489102564102566,0.23433173076923075,0.3678317307692308,0.10858333333333332,74.741,35.846000000000004,48.741,76.50900000000001,33.878,0.22134708356288293,0.09572065308909761,0.15344136155450466,0.17744647600813765,0.07753965661075145,0.21611778846153845,269.715,0.34254661608331965,0.21611778846153845,269.715,0.34254661608331965,0.3662628205128205,0.17650320512820514,0.1847371794871795,0.13696794871794873,114.274,55.069,57.638,42.734,0.5319066730530099,0.24367666097153068,0.28110891144241695,0.13302722782348925,13.565,14.148,12.611,19.701,22.757,36.038,37.045,41.191,25.243,16.191,16.204,15.021,37.045,41.191,25.243,16.191,16.204,15.021,13.565,14.148,12.611,19.701,22.757,36.038,3.531,3.296,3.583,3.1550000000000002,2.62,1.6320000000000001,1.55,3.596,4.75,3.588,3.581,1.956,3.486,4.251,3.6639999999999997,4.057,4.173,3.556,3.236,4.461,4.97,10.09,8.48,10.14,8.435,8.983,1.605,6.212999999999999,15.641,4.862,8.724,10.998,12.976,6.847,10.37,5.175,8.09,4.95,7.028,5.484999999999999,3.591,1.8,5.315,1.887,3.833,4.0569999999999995,3.279,3.148,3.233,3.884,2.339,5.565
ATF,0.14294471153846156,0.13473071894703184,0.049,1.162,0.071,0.1135,0.156,178.395,0.14294471153846153,3.430673076923076,0.09965384615384616,0.094,0.09267307692307693,0.08942307692307692,0.08511538461538462,0.08501923076923078,0.08840384615384617,0.128,0.15284615384615385,0.1531153846153846,0.15588461538461537,0.1576923076923077,0.21674999999999997,0.21069230769230768,0.2096346153846154,0.19740384615384615,0.15478846153846154,0.14146153846153847,0.1441346153846154,0.15640384615384614,0.15190384615384617,0.18221153846153845,0.15023076923076922,0.13323076923076924,5.182,4.888,4.819,4.65,4.426,4.421,4.597,6.656,7.948,7.962,8.106,8.2,11.270999999999999,10.956,10.901,10.265,8.049,7.356,7.495,8.133,7.899,9.475,7.812,6.928,5.182,4.888,4.819,4.65,4.426,4.421,4.597,6.656,7.948,7.962,8.106,8.2,11.270999999999999,10.956,10.901,10.265,8.049,7.356,7.495,8.133,7.899,9.475,7.812,6.928,0.13059134615384616,0.19134294871794869,0.1491971153846154,0.15439423076923076,0.09098076923076924,27.163,59.699,31.032999999999998,32.114,28.386000000000003,0.049596459844116654,0.03783923940927297,0.010169587165169868,0.02254961934703397,0.003483650170996096,0.14294471153846156,178.395,0.13473071894703192,0.14294471153846156,178.395,0.13473071894703192,0.13397756410256412,0.13977884615384614,0.113625,0.18439743589743587,41.801,43.611,35.451,57.532,0.13243544618031758,0.08091032987410433,0.06672598680508622,0.2038862358371017,21.677,12.805,14.422,16.803,12.386,13.022,19.415,9.364,8.264,10.896,16.291,23.05,19.415,9.364,8.264,10.896,16.291,23.05,21.677,12.805,14.422,16.803,12.386,13.022,5.315,6.342,7.263,2.757,2.833,2.3729999999999998,2.191,2.908,2.5,3.386,3.218,4.154,3.664,4.138,3.238,3.347,3.164,2.916,3.027,3.469,2.938,2.952,2.549,4.641,1.87,3.962,5.774,2.4170000000000003,4.643,1.994,4.587,1.814,2.839,2.7399999999999998,1.971,1.961,2.682,1.7730000000000001,1.848,2.485,3.172,2.309,2.93,2.267,3.489,3.602,3.149,3.7840000000000003,3.507,2.89,6.492,10.161
FJAG,0.397948637820512,0.47131699908963737,0.0530999999999473,4.259,0.176,0.2695,0.414,496.639899999999,0.397948637820512,9.550767307692288,0.21532692307692305,0.20557692307692307,0.18146153846153845,0.17913461538461536,0.1833076923076923,0.20934615384615382,0.3003269230769231,0.27105769230769233,0.2673653846153846,0.30378846153846156,0.3108461538461539,0.4131384615384595,0.5701019230769201,0.45821923076922677,0.548774999999997,0.5566576923076902,0.5463884615384595,0.7127730769230749,0.7902711538461529,0.7708653846153847,0.5204423076923077,0.3893846153846154,0.35367307692307687,0.2925384615384615,11.197,10.69,9.436,9.315,9.532,10.886,15.617,14.095,13.903,15.797,16.164,21.483199999999893,29.645299999999843,23.82739999999979,28.536299999999844,28.946199999999894,28.412199999999896,37.06419999999989,41.09409999999995,40.085,27.063,20.248,18.391,15.212,11.197,10.69,9.436,9.315,9.532,10.886,15.617,14.095,13.903,15.797,16.164,21.483199999999893,29.645299999999843,23.82739999999979,28.536299999999844,28.946199999999894,28.412199999999896,37.06419999999989,41.09409999999995,40.085,27.063,20.248,18.391,15.212,0.2856346153846154,0.4762897435897413,0.7050745192307679,0.3890096153846154,0.1956923076923077,59.412000000000006,148.60239999999925,146.65549999999973,80.914,61.056,0.06091430756016158,0.22092673299728527,0.05436982754489153,0.10589789016848808,0.0217805875756938,0.397948637820512,496.639899999999,0.4713169990896374,0.397948637820512,496.639899999999,0.4713169990896374,0.33691474358974294,0.2925374999999988,0.3744423076923077,0.5878999999999986,105.11739999999979,91.27169999999963,116.826,183.42479999999958,0.41997592555477864,0.19728047779038344,0.17204899998904313,0.7708211501577693,50.712,76.885,29.317699999999633,33.524,28.43,30.428,48.094399999999794,26.595,31.149,39.233,46.444,55.827799999999584,48.094399999999794,26.595,31.149,39.233,46.444,55.827799999999584,50.712,76.885,29.317699999999633,33.524,28.43,30.428,9.09,4.294,19.801,17.527,29.345,28.82,10.48,4.06,4.18,9.005,6.138,6.668,7.506699999999633,5.523,5.251,8.248,6.567,7.9350000000000005,8.236,5.701,7.116,7.377,6.9350000000000005,8.253,7.594,7.646,6.365,13.838199999999896,14.126199999999896,8.879,4.886,7.36,6.168,5.653,7.414,6.647,6.726,8.535,9.241,10.385,10.452,8.321,10.075,12.235,9.327,9.336,9.346,6.2,7.168,22.178,12.499799999999581,13.982
FMB,0.19224358974358974,0.22454442865506694,0.022,1.846,0.053,0.122,0.245,239.92,0.19224358974358974,4.613846153846153,0.10051923076923078,0.08523076923076923,0.10101923076923078,0.09578846153846153,0.09944230769230769,0.08142307692307692,0.08871153846153847,0.1506923076923077,0.20486538461538462,0.29673076923076924,0.2876153846153846,0.35088461538461535,0.4091923076923077,0.2705192307692308,0.18003846153846154,0.24696153846153848,0.2564230769230769,0.28850000000000003,0.2808076923076923,0.2049038461538462,0.1546923076923077,0.12365384615384614,0.13482692307692307,0.12040384615384615,5.227,4.432,5.253,4.981,5.171,4.234,4.613,7.836,10.653,15.43,14.956,18.246,21.278,14.067,9.362,12.842,13.334,15.002,14.602,10.655000000000001,8.044,6.43,7.011,6.261,5.227,4.432,5.253,4.981,5.171,4.234,4.613,7.836,10.653,15.43,14.956,18.246,21.278,14.067,9.362,12.842,13.334,15.002,14.602,10.655000000000001,8.044,6.43,7.011,6.261,0.18525000000000003,0.29086858974358976,0.2576586538461539,0.13339423076923076,0.09390384615384616,38.532000000000004,90.75099999999999,53.593,27.746,29.298000000000002,0.09221514625649335,0.07090503105465094,0.03757826730672841,0.007240185504749411,0.008348114501621545,0.19224358974358974,239.92,0.22454442865506702,0.19224358974358974,239.92,0.22454442865506702,0.20879807692307692,0.17178846153846153,0.19709935897435896,0.19128846153846155,65.145,53.598,61.495,59.682,0.2622634612047714,0.20790130324786163,0.22319364164691946,0.19906640652624394,17.330000000000002,23.353,14.798,19.625,19.175,16.886,28.374,19.885,21.331,16.758,23.406,18.999,28.374,19.885,21.331,16.758,23.406,18.999,17.330000000000002,23.353,14.798,19.625,19.175,16.886,3.496,6.284,4.269,3.281,7.577,7.587,2.129,2.733,3.327,3.596,3.6910000000000003,3.301,4.21,4.152,4.737,4.79,2.719,3.227,7.997,2.925,4.312,3.941,3.8810000000000002,4.447,4.042,4.516,8.661999999999999,5.973,4.26,4.425,5.054,3.459,6.7780000000000005,4.864,4.784,4.8,4.73,5.558,6.243,4.989,3.538,3.18,5.051,3.907,4.156,4.383,5.764,5.196,3.8209999999999997,5.103,7.636,2.439
GPC,0.17099358974358975,0.20700639389169423,0.027,1.853,0.066,0.099,0.174,213.4,0.17099358974358975,4.103846153846154,0.10184615384615385,0.10407692307692308,0.10961538461538461,0.08038461538461537,0.10082692307692308,0.09784615384615385,0.25559615384615386,0.3172307692307692,0.13132692307692306,0.10467307692307691,0.10084615384615384,0.07613461538461538,0.10336538461538461,0.24925,0.2934423076923077,0.2378076923076923,0.17167307692307693,0.13525,0.20948076923076925,0.33011538461538464,0.4026346153846154,0.20323076923076921,0.09923076923076923,0.08796153846153845,5.296,5.412,5.7,4.18,5.243,5.088,13.291,16.496,6.829,5.443,5.244,3.959,5.375,12.961,15.259,12.366,8.927,7.033,10.893,17.166,20.937,10.568,5.16,4.574,5.296,5.412,5.7,4.18,5.243,5.088,13.291,16.496,6.829,5.443,5.244,3.959,5.375,12.961,15.259,12.366,8.927,7.033,10.893,17.166,20.937,10.568,5.16,4.574,0.20220673076923076,0.1768076923076923,0.21162980769230771,0.19826442307692307,0.09909935897435897,42.059,55.164,44.019000000000005,41.239000000000004,30.919000000000004,0.11801696974330489,0.09170335550584537,0.07285604444513932,0.1435102176324543,0.017905729805917942,0.17099358974358975,213.4,0.20700639389169417,0.17099358974358975,213.4,0.20700639389169417,0.19312500000000002,0.18175000000000002,0.16041666666666668,0.14868269230769232,60.255,56.706,50.050000000000004,46.389,0.25743176366198917,0.22682873477497106,0.18703233065885352,0.13378121490530157,15.669,14.903,14.915000000000001,22.078,19.713,14.193,22.915,23.147,19.087,12.659,18.304,15.817,22.915,23.147,19.087,12.659,18.304,15.817,15.669,14.903,14.915000000000001,22.078,19.713,14.193,3.991,3.452,3.5060000000000002,4.72,5.02,1.847,2.338,2.136,3.562,2.93,3.597,3.51,4.878,4.85,4.134,6.239,3.185,3.67,3.324,6.47,4.099,5.82,2.572,5.936,3.037,2.648,5.611,5.324,3.606,4.689,3.685,6.439,6.068,6.816,3.8240000000000003,3.843,6.039,4.498,4.707,3.774,4.0280000000000005,1.3980000000000001,3.459,4.077,3.393,3.126,4.822,2.886,3.491,4.583,4.446,3.297
JACL,0.14870192307692306,0.18676940552006813,0.035,1.237,0.065,0.103,0.141,185.57999999999998,0.1487019230769231,3.5688461538461533,0.15048076923076922,0.09801923076923078,0.07871153846153846,0.07601923076923077,0.07996153846153847,0.08296153846153846,0.07415384615384615,0.0795576923076923,0.10928846153846153,0.11049999999999999,0.09911538461538462,0.10019230769230769,0.15446153846153846,0.3145769230769231,0.31746153846153846,0.2393846153846154,0.21826923076923077,0.17682692307692308,0.12882692307692306,0.12984615384615383,0.15661538461538463,0.1888653846153846,0.22148076923076923,0.18326923076923077,7.825,5.097,4.093,3.953,4.158,4.314,3.856,4.137,5.683,5.7459999999999996,5.154,5.21,8.032,16.358,16.508,12.448,11.35,9.195,6.699,6.752,8.144,9.821,11.517,9.53,7.825,5.097,4.093,3.953,4.158,4.314,3.856,4.137,5.683,5.7459999999999996,5.154,5.21,8.032,16.358,16.508,12.448,11.35,9.195,6.699,6.752,8.144,9.821,11.517,9.53,0.093375,0.20419871794871794,0.1634423076923077,0.1875576923076923,0.09435897435897435,19.421999999999997,63.71,33.996,39.012,29.44,0.011699044374307539,0.1329375267784469,0.06217660018701012,0.03178509755615602,0.046253985543457714,0.1487019230769231,185.58,0.1867694055200682,0.1487019230769231,185.58,0.1867694055200682,0.10333653846153847,0.10046474358974358,0.10865705128205129,0.282349358974359,32.241,31.345,33.901,88.093,0.04849847226226241,0.049726635748137356,0.079072523682797,0.3238266026018282,26.861,36.73,9.336,12.301,9.708,9.805,12.762,9.674,9.857,10.886,13.158,24.502,12.762,9.674,9.857,10.886,13.158,24.502,26.861,36.73,9.336,12.301,9.708,9.805,2.371,8.306,8.795,7.389,10.637,9.148,3.3850000000000002,6.82,6.74,2.239,2.477,2.3,2.32,2.221,2.318,2.347,2.57,2.845,2.274,2.606,2.296,2.532,2.438,2.462,2.496,2.4090000000000003,2.792,2.503,2.616,2.298,2.553,2.466,2.495,2.31,2.403,2.486,2.281,2.6109999999999998,2.479,2.406,2.457,3.279,2.7439999999999998,2.965,2.58,2.6029999999999998,2.484,2.526,2.267,7.139,9.097,5.999
JALG,0.285161858974359,0.23932871454181992,0.06,1.394,0.12875,0.196,0.36124999999999996,355.882,0.285161858974359,6.843884615384616,0.14284615384615384,0.1153076923076923,0.11376923076923078,0.10709615384615384,0.11298076923076923,0.10901923076923078,0.19165384615384615,0.29307692307692307,0.31532692307692306,0.27348076923076925,0.2700192307692308,0.31392307692307697,0.43773076923076926,0.4755,0.4008269230769231,0.3306346153846154,0.31386538461538466,0.32563461538461536,0.32675,0.3933269230769231,0.4889038461538462,0.4601730769230769,0.3163269230769231,0.21571153846153848,7.428,5.9959999999999996,5.916,5.569,5.875,5.6690000000000005,9.966,15.24,16.397,14.221,14.041,16.324,22.762,24.726,20.843,17.193,16.321,16.933,16.991,20.453,25.423000000000002,23.929,16.449,11.217,7.428,5.9959999999999996,5.916,5.569,5.875,5.6690000000000005,9.966,15.24,16.397,14.221,14.041,16.324,22.762,24.726,20.843,17.193,16.321,16.933,16.991,20.453,25.423000000000002,23.929,16.449,11.217,0.2683846153846154,0.3714391025641026,0.33989423076923075,0.37027884615384615,0.11683653846153848,55.824,115.88900000000001,70.69800000000001,77.018,36.453,0.0648311594603488,0.06969353041313138,0.04488345926377981,0.07411424829104754,0.003740442705549895,0.285161858974359,355.882,0.23932871454181978,0.285161858974359,355.882,0.23932871454181978,0.30126602564102567,0.27311538461538465,0.2921730769230769,0.2740929487179487,93.995,85.212,91.158,85.517,0.23284196177573954,0.2493681394218076,0.24100920352965874,0.2336710958663205,28.771,29.513,24.895,31.952,28.365,28.021,37.96,28.014,27.726,24.402,39.03,27.233,37.96,28.014,27.726,24.402,39.03,27.233,28.771,29.513,24.895,31.952,28.365,28.021,6.1209999999999996,6.827,8.628,7.195,10.503,2.224,5.016,5.929,5.841,5.87,5.7139999999999995,6.538,6.773,5.375,5.775,7.628,6.891,6.283,6.2,6.969,7.057,8.139,6.346,6.632000000000001,8.505,6.538,7.581,8.485,7.771,7.56,6.563,7.296,7.576,5.46,7.682,6.5889999999999995,9.089,4.835,7.213,5.054,6.7490000000000006,5.24,7.359,8.441,7.298,7.602,7.276,8.413,7.194,6.985,7.04,6.014
JLG,0.15484695512820512,0.1850325092666389,0.037,1.358,0.054,0.086,0.16025,193.249,0.15484695512820515,3.716326923076923,0.08540384615384615,0.06198076923076923,0.06028846153846154,0.058076923076923075,0.054788461538461536,0.0545,0.05959615384615385,0.060288461538461534,0.121,0.14846153846153845,0.17809615384615382,0.1628653846153846,0.22748076923076924,0.2075192307692308,0.2727115384615385,0.21146153846153848,0.18640384615384614,0.1745576923076923,0.20059615384615387,0.22515384615384615,0.24638461538461537,0.2798846153846154,0.2344230769230769,0.14440384615384616,4.441,3.223,3.1350000000000002,3.02,2.8489999999999998,2.834,3.099,3.135,6.292,7.72,9.261,8.469,11.829,10.791,14.181000000000001,10.996,9.693,9.077,10.431000000000001,11.708,12.812,14.554,12.19,7.509,4.441,3.223,3.1350000000000002,3.02,2.8489999999999998,2.834,3.099,3.135,6.292,7.72,9.261,8.469,11.829,10.791,14.181000000000001,10.996,9.693,9.077,10.431000000000001,11.708,12.812,14.554,12.19,7.509,0.09733653846153845,0.21002243589743586,0.19667788461538463,0.22627403846153843,0.06250641025641025,20.246,65.52699999999999,40.909,47.065,19.502,0.0725389424194209,0.04397577053913478,0.019615513956524517,0.05928821263437398,0.0076874628554233,0.15484695512820512,193.249,0.18503250926663894,0.15484695512820512,193.249,0.18503250926663894,0.13733012820512822,0.13240384615384615,0.10355128205128206,0.24610256410256412,42.847,41.31,32.308,76.784,0.13870354002482274,0.14605578720308632,0.08628083920422394,0.2783088612391062,23.133,27.934,11.753,16.49,13.067,13.725,16.133,12.988999999999999,10.49,8.231,13.587,25.717,16.133,12.988999999999999,10.49,8.231,13.587,25.717,23.133,27.934,11.753,16.49,13.067,13.725,1.206,6.808,8.137,6.982,9.313,8.506,3.68,4.858,1.577,2.723,2.856,2.507,3.6670000000000003,3.52,1.383,4.118,4.156,3.313,2.475,2.702,2.62,5.2700000000000005,3.371,2.801,2.516,5.037,3.863,2.528,2.325,5.066,2.351,3.399,2.795,3.01,3.785,2.81,2.633,2.444,2.6029999999999998,2.464,2.442,0.987,2.338,2.211,3.33,1.927,3.572,2.547,1.22,8.243,6.675,9.579
JMM,0.260525641025641,0.2282789925943548,0.068,2.016,0.126,0.192,0.299,325.13599999999997,0.260525641025641,6.252615384615385,0.17042307692307693,0.14709615384615385,0.12217307692307691,0.11674999999999999,0.11571153846153846,0.11903846153846155,0.14725,0.207,0.2314423076923077,0.23875,0.2512692307692308,0.42300000000000004,0.5008653846153847,0.5228269230769231,0.3234423076923077,0.2681538461538462,0.31124999999999997,0.2870576923076923,0.3261153846153846,0.29665384615384616,0.3083269230769231,0.30855769230769237,0.2901153846153846,0.21934615384615386,8.862,7.649,6.353,6.071,6.017,6.19,7.657,10.764,12.035,12.415,13.066,21.996000000000002,26.045,27.187,16.819,13.944,16.185,14.927,16.958,15.426,16.033,16.045,15.086,11.406,8.862,7.649,6.353,6.071,6.017,6.19,7.657,10.764,12.035,12.415,13.066,21.996000000000002,26.045,27.187,16.819,13.944,16.185,14.927,16.958,15.426,16.033,16.045,15.086,11.406,0.2061105769230769,0.38159294871794874,0.30526923076923074,0.28158653846153847,0.13186538461538463,42.870999999999995,119.05700000000002,63.495999999999995,58.57,41.141999999999996,0.07891743442990727,0.13829281572277274,0.053865620784916315,0.020648109515370442,0.02344742628301184,0.260525641025641,325.136,0.2282789925943545,0.260525641025641,325.136,0.2282789925943545,0.25649038461538465,0.23066346153846154,0.2653878205128205,0.28956089743589747,80.025,71.967,82.801,90.343,0.22714278673647342,0.20467805213849263,0.24173076406389205,0.23504624189596632,29.299,35.768,23.428,25.045,23.494,26.025,33.603,20.397,23.884,27.239,31.678,25.276,33.603,20.397,23.884,27.239,31.678,25.276,29.299,35.768,23.428,25.045,23.494,26.025,5.959,8.8,6.7059999999999995,7.834,6.945,8.275,6.697,7.132,6.719,5.926,6.613,5.986,4.903,3.5100000000000002,4.229,6.337,4.829,6.14,6.019,5.702,6.88,4.893,9.497,6.95,5.127,4.451,7.809,7.004,6.194,5.866,6.73,4.889,4.206,4.795,6.507,6.566,4.309,6.684,6.325,5.776,7.784,7.867,5.812,6.104,9.176,4.415,6.744,5.239,7.601999999999999,6.427,6.083,5.164
