archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-06,2024-06,2025-06,Junio,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29,2025-06-30/2025-07-06
ABLD,0.18834460398332561,0.20709364401944194,0.055,1.996,0.075,0.096,0.2,406.636,0.18831411030595815,4.518177777777778,0.09913333333333334,0.0917,0.09191111111111111,0.10742222222222221,0.10934444444444444,0.10922222222222222,0.14658888888888888,0.19948888888888888,0.15452222222222223,0.14423333333333332,0.1608888888888889,0.1579,0.20103333333333334,0.36878888888888894,0.31096666666666667,0.25574444444444444,0.22926666666666667,0.21573333333333333,0.24315555555555557,0.2795888888888889,0.3023,0.2497888888888889,0.1764,0.11432584269662922,8.922,8.253,8.272,9.668,9.841,9.83,13.193,17.954,13.907,12.981,14.48,14.211,18.093,33.191,27.987,23.017,20.634,19.416,21.884,25.163,27.207,22.481,15.876,10.175,8.922,8.253,8.272,9.668,9.841,9.83,13.193,17.954,13.907,12.981,14.48,14.211,18.093,33.191,27.987,23.017,20.634,19.416,21.884,25.163,27.207,22.481,15.876,10.175,0.16120833333333331,0.2425537037037037,0.24193611111111113,0.21070368289637953,0.10145555555555556,58.035000000000004,130.979,87.097,75.739,54.786,0.04921253791691033,0.05770989712693303,0.0498703786881721,0.0908100382820418,0.02990503157287756,0.20138906752411576,0.21401041666666665,0.2017048611111111,0.20632692307692307,0.20234615384615384,0.16430128205128205,0.13544642857142858,62.632,61.635,58.091,64.374,63.132,51.262,45.51,0.22098283339275243,0.22158879083927005,0.23190237277556122,0.21479671578505463,0.2025280784422417,0.18483352794613167,0.16003776639835351,0.20507213765718066,0.1493395061728395,309.864,96.772,0.2180643187469994,0.17289056901450903,0.18834460398332561,406.636,0.20709364401944194,122.393,121.568,162.675,406.636,18.453,31.509,33.351,24.91,14.17,3.697,35.06,31.379,26.907,24.525000000000002,1.972,32.009,37.582,46.205,42.09,2.817
AJVG,0.16944140805928667,0.18660841568758554,0.022,1.766,0.066,0.098,0.197,365.82399999999996,0.16953651368760064,4.064711111111111,0.11174444444444445,0.11335555555555556,0.11235555555555556,0.10167777777777777,0.09627777777777778,0.1996777777777778,0.43346666666666667,0.18383333333333335,0.10304444444444444,0.11628888888888889,0.17203333333333334,0.16314444444444445,0.13344444444444445,0.15474444444444443,0.11956666666666665,0.10773333333333333,0.12445555555555556,0.25955555555555554,0.2697111111111111,0.2952222222222222,0.22116666666666668,0.19762222222222223,0.15377777777777776,0.12216853932584269,10.057,10.202,10.112,9.151,8.665000000000001,17.971,39.012,16.545,9.274,10.466,15.483,14.683,12.01,13.927,10.761,9.696,11.201,23.36,24.274,26.57,19.905,17.786,13.84,10.873,10.057,10.202,10.112,9.151,8.665000000000001,17.971,39.012,16.545,9.274,10.466,15.483,14.683,12.01,13.927,10.761,9.696,11.201,23.36,24.274,26.57,19.905,17.786,13.84,10.873,0.20915833333333333,0.1417777777777778,0.2372361111111111,0.17368380149812734,0.12251481481481481,75.297,76.56,85.405,62.404,66.158,0.08112050331743025,0.0712293731638743,0.0966943337949055,0.035353556797763024,0.029661720757488883,0.17946302250803858,0.16358680555555555,0.15943055555555555,0.16678846153846152,0.1596698717948718,0.16099679487179488,0.19314285714285714,55.813,47.113,45.916,52.038,49.817,50.231,64.896,0.21229482941418115,0.1726311835665438,0.1610341644785572,0.17570779271133785,0.19526434384401153,0.18704502782331325,0.19337891921455266,0.16591462607544671,0.1776651234567901,250.697,115.127,0.18469508788249622,0.19088678734361095,0.1694414080592867,365.824,0.1866084156875855,111.838,108.821,145.165,365.824,16.743,26.588,24.095,25.217,19.195,7.334,25.423,29.803,23.883,22.378,5.355,26.939,29.228,40.063,34.958,8.622
ATF,0.20789506601806815,0.22250690657494807,0.053,2.273,0.1025,0.137,0.2075,299.16100000000006,0.20806923309178746,4.986016666666667,0.11915,0.10865,0.10438333333333333,0.10313333333333333,0.10625,0.10588333333333333,0.13268333333333332,0.14265,0.1628,0.20306666666666665,0.23496666666666668,0.33108333333333334,0.41895,0.42579999999999996,0.29686666666666667,0.24506666666666668,0.26444999999999996,0.25288333333333335,0.20686666666666667,0.23390000000000002,0.24188333333333334,0.22901666666666667,0.17015,0.14794915254237287,7.149,6.519,6.263,6.188,6.375,6.353,7.960999999999999,8.559,9.768,12.184,14.098,19.865000000000002,25.137,25.548,17.812,14.704,15.866999999999999,15.173,12.412,14.034,14.513,13.741,10.209,8.729,7.149,6.519,6.263,6.188,6.375,6.353,7.960999999999999,8.559,9.768,12.184,14.098,19.865000000000002,25.137,25.548,17.812,14.704,15.866999999999999,15.173,12.412,14.034,14.513,13.741,10.209,8.729,0.1603,0.32545555555555555,0.239525,0.1972497881355932,0.10790833333333333,38.472,117.16399999999999,57.486,47.19199999999999,38.847,0.04326331825120702,0.10109763794478546,0.04369165811635864,0.04624242582623363,0.0021612685186692907,0.20690232558139535,0.19769791666666667,0.21440625,0.2413697916666667,0.22002083333333333,0.20413425925925924,0.17863749999999998,44.484,37.958,41.166,46.343,42.244,44.092999999999996,42.873,0.22434664171494081,0.1898812866827224,0.20934818203650474,0.2339507347879245,0.22836048837902115,0.20609723497103147,0.25168221862825385,0.2158646998982706,0.19071491228070175,212.195,86.966,0.21796111082031802,0.23131473700859384,0.2078950660180681,299.161,0.22250690657494804,,147.098,152.063,299.161,,,,,,7.865,34.698,27.512,34.148,42.875,2.052,21.415,22.214,45.432,50.4,10.55
FJAG,0.3810469999999951,0.34715068211793526,0.07,3.493,0.197,0.272,0.41725,548.7076799999929,0.3810469999999952,9.145127999999882,0.18456666666666666,0.17583333333333334,0.18136666666666665,0.17335,0.18311666666666668,0.23708333333333334,0.28026666666666666,0.3083186666666637,0.3106746666666547,0.34964133333332137,0.4559266666666517,0.655159999999985,0.6058766666666517,0.44317666666665173,0.4845393333333244,0.44212266666665767,0.4645726666666577,0.6318353333333303,0.7371166666666666,0.5153833333333334,0.40731666666666666,0.38621666666666665,0.2992,0.23246666666666668,11.074,10.55,10.882,10.401,10.987,14.225,16.816,18.49911999999982,18.640479999999283,20.978479999999283,27.355599999999104,39.3095999999991,36.35259999999911,26.590599999999103,29.072359999999463,26.52735999999946,27.874359999999463,37.91011999999982,44.227,30.923000000000002,24.439,23.173,17.952,13.948,11.074,10.55,10.882,10.401,10.987,14.225,16.816,18.49911999999982,18.640479999999283,20.978479999999283,27.355599999999104,39.3095999999991,36.35259999999911,26.590599999999103,29.072359999999463,26.52735999999946,27.874359999999463,37.91011999999982,44.227,30.923000000000002,24.439,23.173,17.952,13.948,0.3122253333333266,0.514466999999987,0.5872269999999971,0.3313,0.18921944444444447,74.93407999999839,185.20811999999535,140.9344799999993,79.512,68.119,0.09272079941290787,0.0637206481807772,0.14380309771550642,0.03889580400597498,0.016065000477608907,0.3683297916666564,0.3441287499999944,0.34946354166666665,0.4174385185185135,0.40732796296295715,0.3251805555555556,0.4464355555555481,70.71931999999804,66.07271999999892,67.097,90.16671999999892,87.98283999999875,70.239,96.43007999999838,0.2898484001293297,0.22768176127496825,0.2701969394689468,0.4775019718937707,0.3563267065548051,0.21683632192018937,0.45536183329422125,0.3790065476190423,0.3858080555555518,382.03859999999463,166.6690799999984,0.3410468027370698,0.3613520739262129,0.3810469999999952,548.707679999993,0.34715068211793537,264.2427999999973,284.4648799999957,,548.707679999993,27.502,54.204479999999286,71.30531999999803,71.613,39.618,14.183,72.05671999999892,66.29743999999785,64.15,67.77771999999892,,,,,,
FMB,0.19968550254747566,0.21575626142680107,0.02,1.512,0.062,0.126,0.2405,431.121,0.1998480475040258,4.790233333333334,0.12553333333333333,0.1046,0.08363333333333334,0.0863111111111111,0.08954444444444444,0.09377777777777777,0.09295555555555556,0.16674444444444445,0.19725555555555555,0.22147777777777777,0.2189,0.2973111111111111,0.37507777777777773,0.2583777777777778,0.22693333333333332,0.30955555555555553,0.30283333333333334,0.28592222222222224,0.2609111111111111,0.205,0.22312222222222222,0.2150111111111111,0.18916666666666665,0.16207865168539326,11.298,9.414,7.527,7.768,8.059,8.44,8.366,15.007,17.753,19.933,19.701,26.758,33.757,23.254,20.424,27.86,27.255,25.733,23.482,18.45,20.081,19.351,17.025,14.425,11.298,9.414,7.527,7.768,8.059,8.44,8.366,15.007,17.753,19.933,19.701,26.758,33.757,23.254,20.424,27.86,27.255,25.733,23.482,18.45,20.081,19.351,17.025,14.425,0.16960833333333333,0.2810259259259259,0.26366666666666666,0.1973446629213483,0.09723333333333332,61.059,151.75400000000002,94.92,70.882,52.50599999999999,0.04457123595818951,0.05832709742666714,0.02730818483996153,0.029608541636282005,0.034365878396682155,0.22524115755627008,0.2149236111111111,0.19594444444444445,0.17321153846153847,0.18453525641025642,0.19314102564102564,0.21090476190476193,70.05,61.897999999999996,56.432,54.042,57.575,60.26,70.864,0.23326263000887162,0.22747349134867767,0.19700787149868632,0.18901783748880382,0.18407348256742465,0.23086376179652315,0.2366099438516804,0.198542025148908,0.20235185185185184,299.997,131.124,0.20758543614363323,0.2338491824897508,0.19968550254747566,431.121,0.2157562614268009,121.794,120.109,189.218,431.121,16.2,28.185,32.566,26.406,18.437,8.723,27.819,24.026,30.243,29.298000000000002,6.895,26.255,39.868,51.269,52.263,12.668
GPC,0.1620088003705419,0.15495042232734357,0.026,1.677,0.079,0.113,0.176,349.777,0.16201004428341384,3.886411111111111,0.10275555555555557,0.11572222222222223,0.10297777777777778,0.08163333333333334,0.08424444444444444,0.12354444444444444,0.29146666666666665,0.2066111111111111,0.14756666666666668,0.1360111111111111,0.1320777777777778,0.1252777777777778,0.23346666666666668,0.30352222222222225,0.19518888888888888,0.20997777777777776,0.18756666666666666,0.1561888888888889,0.1611,0.23936666666666667,0.22015555555555555,0.13905555555555557,0.1031,0.08882022471910113,9.248000000000001,10.415000000000001,9.268,7.347,7.582,11.119,26.232,18.595,13.281,12.241,11.887,11.275,21.012,27.317,17.567,18.898,16.881,14.057,14.499,21.543,19.814,12.515,9.279,7.905,9.248000000000001,10.415000000000001,9.268,7.347,7.582,11.119,26.232,18.595,13.281,12.241,11.887,11.275,21.012,27.317,17.567,18.898,16.881,14.057,14.499,21.543,19.814,12.515,9.279,7.905,0.1954138888888889,0.19991851851851852,0.18605555555555559,0.13778283395755306,0.10181296296296298,70.34899999999999,107.95599999999999,66.98,49.513000000000005,54.979000000000006,0.0494704606298403,0.050798441422867074,0.02379419542763335,0.043531276271283025,0.03995558964459914,0.16058520900321543,0.16485416666666666,0.16411805555555556,0.17203846153846156,0.15279807692307693,0.1491474358974359,0.17026190476190475,49.942,47.478,47.266,53.676,47.673,46.534,57.208,0.15233506672698258,0.15335231776001737,0.14662963828192033,0.16736848787810393,0.1442698690261764,0.1357398829133867,0.17827742051034878,0.16282925215089344,0.1600956790123457,246.035,103.742,0.15302631887872353,0.1594506026810973,0.1620088003705419,349.777,0.1549504223273436,122.587,110.161,117.029,349.777,20.347,26.154,27.927,29.085,19.074,7.096,29.569,23.709,24.37,25.416999999999998,4.829,25.864,25.815,28.3,28.433,3.7880000000000003
JACL,0.17250625289485874,0.23389817384946374,0.028,1.34,0.0635,0.102,0.147,372.44100000000003,0.17262302737520127,4.138233333333334,0.14697777777777776,0.08044444444444444,0.0858,0.07912222222222222,0.07619999999999999,0.08107777777777778,0.07918888888888889,0.0915,0.08997777777777778,0.10296666666666666,0.1257,0.11124444444444445,0.15903333333333333,0.3709888888888889,0.35252222222222224,0.27924444444444446,0.27413333333333334,0.26235555555555556,0.17906666666666665,0.13823333333333335,0.18014444444444447,0.2622333333333333,0.28623333333333334,0.24658426966292132,13.228,7.24,7.7219999999999995,7.1209999999999996,6.858,7.297,7.127,8.235,8.098,9.267,11.313,10.012,14.313,33.389,31.727,25.132,24.672,23.612,16.116,12.441,16.213,23.601,25.761,21.945999999999998,13.228,7.24,7.7219999999999995,7.1209999999999996,6.858,7.297,7.127,8.235,8.098,9.267,11.313,10.012,14.313,33.389,31.727,25.132,24.672,23.612,16.116,12.441,16.213,23.601,25.761,21.945999999999998,0.09090833333333333,0.23312222222222223,0.2134472222222222,0.2437988451935081,0.09160370370370369,32.727000000000004,125.88600000000002,76.84100000000001,87.521,49.465999999999994,0.019378456926930295,0.11568205045502075,0.08084064160793167,0.04574141827721257,0.04963744911431735,0.17434726688102894,0.17878819444444444,0.18128819444444444,0.14837820512820515,0.17084294871794872,0.1601698717948718,0.19329464285714287,54.222,51.491,52.211,46.294000000000004,53.303,49.973,64.947,0.24528365735426938,0.2293973628968862,0.23928800514689733,0.19622714192393526,0.23010445904481305,0.22255147167782158,0.2655231379880786,0.17043084050297816,0.17734567901234569,257.521,114.92,0.22849858133202927,0.24614313502092802,0.1725062528948587,372.441,0.2338981738494636,82.198,79.19,211.053,372.441,7.9510000000000005,17.199,15.6,24.274,17.174,5.0280000000000005,17.085,16.74,16.736,23.601,6.418,22.365,41.182,58.937,72.382,9.769
JALG,0.26200324224177857,0.2327678591726338,0.065,1.649,0.113,0.177,0.3125,565.665,0.2621005233494364,6.285166666666668,0.1285,0.11846666666666668,0.11481111111111111,0.11683333333333334,0.10615555555555556,0.1262,0.24357777777777778,0.39699999999999996,0.38112222222222225,0.2972111111111111,0.21922222222222223,0.2794111111111111,0.3234444444444444,0.39355555555555555,0.3375666666666667,0.3203888888888889,0.3350666666666667,0.2759,0.26768888888888887,0.3103222222222222,0.3838555555555555,0.37514444444444445,0.26976666666666665,0.16579775280898876,11.565,10.662,10.333,10.515,9.554,11.358,21.922,35.73,34.301,26.749,19.73,25.147,29.11,35.42,30.381,28.835,30.156,24.831,24.092,27.929,34.547,33.763,24.279,14.756,11.565,10.662,10.333,10.515,9.554,11.358,21.922,35.73,34.301,26.749,19.73,25.147,29.11,35.42,30.381,28.835,30.156,24.831,24.092,27.929,34.547,33.763,24.279,14.756,0.3297277777777778,0.3122648148148148,0.2972444444444444,0.2986411048689138,0.11849444444444444,118.702,168.62300000000002,107.008,107.345,63.98700000000001,0.06411350501053421,0.04658912431595384,0.02043773024680304,0.0800976160334375,0.00332312041886496,0.27813183279742765,0.26880902777777776,0.2595868055555555,0.24682371794871796,0.2344166666666667,0.23112820512820512,0.31169345238095236,86.499,77.417,74.761,77.009,73.138,72.112,104.729,0.2800827388979291,0.239579615105218,0.21918127534744092,0.1860575344450017,0.17934656164729015,0.2082697119114107,0.28152739812902616,0.25732892124420914,0.27290277777777777,388.824,176.841,0.22393372293821215,0.2520132318936033,0.26200324224177857,565.665,0.23276785917263373,165.953,184.066,215.646,565.665,24.422,38.383,39.53,35.835,27.783,11.707,44.729,43.826,44.023,39.781,7.027,45.128,41.737,50.704,60.191,10.859
JLG,0.19087818434460396,0.22320320660256143,0.045,1.637,0.066,0.107,0.183,412.10599999999994,0.19109764492753625,4.578955555555556,0.08252222222222223,0.07311111111111111,0.07143333333333333,0.06805555555555555,0.06876666666666667,0.07088888888888889,0.07417777777777777,0.08946666666666667,0.1240111111111111,0.19243333333333332,0.20642222222222223,0.26166666666666666,0.2923,0.2990333333333333,0.31622222222222224,0.27954444444444443,0.28521111111111114,0.2534666666666667,0.2348888888888889,0.2606111111111111,0.30674444444444443,0.2929,0.22744444444444442,0.14929213483146067,7.4270000000000005,6.58,6.429,6.125,6.189,6.38,6.676,8.052,11.161,17.319,18.578,23.55,26.307,26.913,28.46,25.159,25.669,22.812,21.14,23.455000000000002,27.607,26.361,20.47,13.287,7.4270000000000005,6.58,6.429,6.125,6.189,6.38,6.676,8.052,11.161,17.319,18.578,23.55,26.307,26.913,28.46,25.159,25.669,22.812,21.14,23.455000000000002,27.607,26.361,20.47,13.287,0.12002222222222222,0.2758648148148148,0.25854444444444447,0.24409525593008738,0.07246296296296297,43.208,148.96699999999998,93.07600000000001,87.72500000000001,39.13,0.07535809038367096,0.02599532730894748,0.03247398556429577,0.060856084568983955,0.01097430941801227,0.20140836012861735,0.20675347222222223,0.18489930555555556,0.18059615384615385,0.18313461538461537,0.20045833333333332,0.1804910714285714,62.638,59.545,53.251,56.346000000000004,57.138,62.543,60.644999999999996,0.24197861234643986,0.2477260309274169,0.2078032109816631,0.19706250428757877,0.1957284057822897,0.23522273400483987,0.23128600872186456,0.19120979483785572,0.19010493827160493,288.918,123.188,0.21884407720832463,0.23322308198907887,0.190878184344604,412.106,0.22320320660256143,110.701,94.994,206.411,412.106,17.73,22.572,21.635,22.604,26.16,4.752,23.394,19.734,19.104,28.01,2.5,14.244,42.289,55.154,76.931,15.293
JMM,0.2954645669291338,0.3778209246244118,0.07,4.885,0.152,0.206,0.289,637.9079999999999,0.2954415861513688,7.087866666666667,0.17426666666666665,0.1660888888888889,0.15204444444444443,0.14733333333333334,0.14035555555555554,0.15315555555555557,0.21946666666666664,0.22084444444444445,0.22506666666666666,0.2690888888888889,0.2954,0.42338888888888887,0.5584777777777777,0.5528333333333334,0.35025555555555554,0.3198444444444445,0.3357222222222222,0.35553333333333337,0.35407777777777777,0.37046666666666667,0.4111222222222222,0.3541111111111111,0.3034444444444444,0.23812359550561799,15.684,14.948,13.684,13.26,12.632,13.784,19.752,19.876,20.256,24.218,26.586,38.105,50.263,49.755,31.523,28.786,30.215,31.998,31.867,33.342,37.001,31.87,27.31,21.193,15.684,14.948,13.684,13.26,12.632,13.784,19.752,19.876,20.256,24.218,26.586,38.105,50.263,49.755,31.523,28.786,30.215,31.998,31.867,33.342,37.001,31.87,27.31,21.193,0.23361666666666664,0.41670000000000007,0.35395,0.32670034332084896,0.15554074074074073,84.102,225.018,127.422,117.374,83.992,0.11912905524907999,0.09108253820506482,0.0247426247073766,0.13823632978303804,0.03711165255452262,0.2439742765273312,0.23434027777777777,0.22981249999999998,0.26091346153846157,0.3107467948717949,0.4713269230769231,0.30638095238095236,75.876,67.49,66.18599999999999,81.405,96.953,147.054,102.944,0.23589152642558878,0.16947303705434763,0.15132257667824567,0.239765310382001,0.3135652929068189,0.7836225029839208,0.2636094535374522,0.2567240238252813,0.38579938271604935,387.91,249.998,0.23280792173479326,0.5813359632728423,0.29546456692913386,637.908,0.37782092462441147,214.49099999999999,182.586,240.831,637.908,36.248,45.507,49.897,44.034,38.805,11.598,49.598,33.034,49.301,39.055,9.179,48.242,94.771,42.806,40.179,5.654
