archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.19456801994301995,0.2245014355238268,0.031,2.005,0.067,0.099,0.214,546.347,0.19456801994301998,4.669632478632479,0.11432758620689655,0.0977948717948718,0.08338135593220339,0.08331623931623931,0.08235042735042734,0.08958974358974359,0.15942735042735043,0.16976923076923076,0.16723931623931623,0.19711111111111113,0.24171794871794872,0.21864102564102564,0.19421367521367522,0.2757094017094017,0.3695128205128205,0.30464957264957265,0.20925641025641026,0.17446153846153845,0.1875982905982906,0.27535897435897433,0.35901709401709403,0.2849230769230769,0.1864957264957265,0.14403418803418805,13.262,11.442,9.839,9.748,9.635,10.482,18.653,19.863,19.567,23.062,28.281,25.581,22.723,32.258,43.233,35.644,24.483,20.412,21.949,32.217,42.005,33.336,21.82,16.852,13.262,11.442,9.839,9.748,9.635,10.482,18.653,19.863,19.567,23.062,28.281,25.581,22.723,32.258,43.233,35.644,24.483,20.412,21.949,32.217,42.005,33.336,21.82,16.852,0.17338675213675214,0.26740740740740737,0.2116688034188034,0.24361752136752135,0.09179337069839699,81.145,187.72,99.06099999999999,114.013,64.40799999999999,0.00967094235191018,0.06670884056064516,0.06472671182742219,0.09860644276663802,0.02317824656966958,0.1914375,0.20514583333333333,0.21469791666666668,0.25806944444444446,0.1817275641025641,0.20150320512820513,9.189,19.694,20.611,18.581,226.796,251.476,0.1864500282432665,0.2059544650321198,0.2566557030154422,0.27175700239181105,0.20525576075474994,0.23889646720419705,0.21818910256410257,0.1916153846153846,68.075,478.272,0.23606657355022775,0.22288708534439342,0.22699596774193548,0.20320524691358025,0.19348567708333334,0.1499814814814815,168.885,131.677,148.597,97.188,0.2653938361651083,0.22489174349875793,0.22516659873752295,0.15434641469993074,27.18,38.108,31.703,40.485,59.489,60.502,61.375,47.008,53.792,40.878,53.927,31.9,61.375,47.008,53.792,40.878,53.927,31.9,27.18,38.108,31.703,40.485,59.489,60.502,3.519,8.94,5.781000000000001,8.94,9.286999999999999,3.9010000000000002,9.181,12.921,6.441,7.262,3.18,7.257,10.381,9.314,8.913,12.238,10.02,20.12,17.482,9.191,5.813,9.565,14.963000000000001,15.034,13.207,14.616,6.913,19.738,9.32,16.754,11.477,10.982,13.516,19.683,8.553,15.408,13.36,8.213000000000001,8.258000000000001,5.566,2.795,20.336,12.181,18.926,8.929,10.455,13.948,3.641,5.878,7.414,13.091,3.545
AJVG,0.24829166666666666,0.3754499526550772,0.028,3.199,0.053,0.091,0.23925,697.203,0.24829166666666666,5.958999999999999,0.18022413793103448,0.12830769230769232,0.08533050847457628,0.08726495726495727,0.08715384615384615,0.08651282051282051,0.08230769230769232,0.13672649572649573,0.18948717948717947,0.25014529914529915,0.432008547008547,0.4596410256410256,0.43457264957264957,0.3814188034188034,0.3286752136752137,0.2656752136752137,0.26582051282051283,0.2452222222222222,0.25335042735042734,0.3387777777777778,0.37167521367521367,0.3650940170940171,0.2973247863247863,0.2070940170940171,20.906,15.012,10.069,10.21,10.197,10.122,9.63,15.997,22.169999999999998,29.267,50.545,53.778,50.845,44.626,38.455,31.084,31.101,28.691,29.642,39.637,43.486,42.716,34.787,24.23,20.906,15.012,10.069,10.21,10.197,10.122,9.63,15.997,22.169999999999998,29.267,50.545,53.778,50.845,44.626,38.455,31.084,31.101,28.691,29.642,39.637,43.486,42.716,34.787,24.23,0.16466666666666668,0.38366524216524217,0.27579273504273505,0.3102970085470086,0.10913232710748783,77.064,269.333,129.071,145.219,76.516,0.10934631998141309,0.08417857053328207,0.056246798648044743,0.10637573854000355,0.07575154550174398,0.34252083333333333,0.3892291666666667,0.07127083333333332,0.07484722222222223,0.245625,0.2601161858974359,16.441,37.366,6.842,5.389,306.54,324.625,0.5024773093038611,0.44372349093045416,0.0581012689718594,0.06608629862092982,0.37203224211621444,0.38433084784321586,0.2116602564102564,0.25287059294871794,66.038,631.165,0.35088676816678654,0.37822516604937145,0.3739717741935484,0.23325925925925925,0.21602604166666664,0.15726543209876542,278.235,151.152,165.908,101.908,0.5074308980492799,0.3454167620156366,0.34048210983480126,0.17665469573000483,24.23,26.99,35.87,43.546,71.736,89.913,72.581,115.741,88.224,42.891,34.793,50.688,72.581,115.741,88.224,42.891,34.793,50.688,24.23,26.99,35.87,43.546,71.736,89.913,5.237,7.944,6.258,4.791,3.285,3.487,8.595,9.591,4.457,9.698,7.1209999999999996,5.639,10.987,10.904,10.654,11.406,10.582,6.477,13.434,14.459,22.746,24.555,5.213,36.55,25.565,12.65,4.816,26.407,15.495000000000001,10.389,44.911,40.605,24.916,20.783,14.685,27.665,29.13,11.166,5.578,6.9,10.41,7.511,18.07,8.75,12.507,4.205,4.099,10.587,10.935,10.698,16.586,7.114
ATF,0.12558440170940172,0.14031655391810982,0.042,2.233,0.063,0.097,0.128,352.641,0.12558440170940172,3.0140256410256407,0.11004310344827586,0.09012820512820513,0.09150000000000001,0.08781196581196582,0.08423076923076923,0.08838461538461538,0.09746153846153846,0.11453846153846153,0.12538461538461537,0.12558119658119657,0.14406837606837608,0.16797435897435897,0.1705726495726496,0.16694017094017094,0.15776923076923077,0.13498290598290597,0.1333931623931624,0.13739316239316238,0.14724786324786326,0.1335982905982906,0.1418803418803419,0.1399230769230769,0.11950427350427349,0.10387179487179488,12.765,10.545,10.797,10.274000000000001,9.855,10.341,11.403,13.401,14.67,14.693,16.856,19.653,19.957,19.532,18.459,15.793,15.607000000000001,16.075,17.228,15.631,16.6,16.371,13.982,12.153,12.765,10.545,10.797,10.274000000000001,9.855,10.341,11.403,13.401,14.67,14.693,16.856,19.653,19.957,19.532,18.459,15.793,15.607000000000001,16.075,17.228,15.631,16.6,16.371,13.982,12.153,0.115741452991453,0.15705128205128208,0.13790811965811967,0.1262948717948718,0.09201644316730523,54.167,110.25,64.541,59.106,64.577,0.012561735791723207,0.04268615032293495,0.03486553381979799,0.014955231719613719,0.02852597170086888,0.084625,0.22297916666666664,0.13063541666666667,0.11068055555555556,0.13414983974358977,0.11157371794871795,4.062,21.406,12.541,7.969,167.419,139.244,0.03646952968910733,0.3620905957925495,0.14373016529826535,0.0865336906446756,0.14780448023819417,0.09672192143752495,0.14736538461538462,0.12286177884615385,45.978,306.663,0.22592223533442013,0.1253868647713753,0.11915994623655914,0.14370061728395062,0.10062760416666666,0.14442283950617285,88.655,93.118,77.282,93.586,0.16349425501160764,0.1333587039732683,0.07439991566417666,0.17001551952969182,26.01,24.011,31.807,30.614,30.697,40.146,27.935,20.574,24.268,29.437,23.577,43.565,27.935,20.574,24.268,29.437,23.577,43.565,26.01,24.011,31.807,30.614,30.697,40.146,9.972999999999999,6.351,4.482,5.204,4.6,4.673,6.604,4.926,6.792,6.564,7.467,5.937,8.254999999999999,9.65,6.925,7.441,6.598,10.004,5.53,7.099,4.245,6.901,5.975,8.778,4.9190000000000005,17.392,9.587,6.374,4.074,4.404,10.652,5.179,4.463,3.7760000000000002,5.335,5.946,5.648,4.023,3.316,4.572,4.756,11.443,8.666,6.636,3.6,7.215,3.519,4.659,5.309,5.531,15.906,14.767
FJAG,0.46947995014244887,0.4858320956524816,0.0210999999999472,4.246,0.181,0.313,0.586,1318.2996999999964,0.4694799501424489,11.267518803418774,0.29320862068965425,0.2060452991452978,0.1995194915254224,0.1936435897435884,0.2120871794871786,0.20829999999999957,0.24171880341880297,0.2832991452991453,0.3255829059829051,0.4163025641025623,0.5384068376068349,0.672245299145296,0.837981196581193,0.6909213675213639,0.6363888888888867,0.621688034188032,0.6010290598290581,0.6690435897435894,0.813821367521367,0.8106846153846149,0.5707521367521368,0.48114529914529913,0.4023846153846154,0.3421196581196581,34.01219999999989,24.107299999999842,23.543299999999842,22.656299999999842,24.814199999999897,24.37109999999995,28.28109999999995,33.146,38.0931999999999,48.70739999999979,62.99359999999969,78.65269999999963,98.04379999999958,80.83779999999958,74.45749999999974,72.73749999999974,70.3203999999998,78.27809999999995,95.21709999999995,94.85009999999994,66.778,56.294,47.079,40.028,34.01219999999989,24.107299999999842,23.543299999999842,22.656299999999842,24.814199999999897,24.37109999999995,28.28109999999995,33.146,38.0931999999999,48.70739999999979,62.99359999999969,78.65269999999963,98.04379999999958,80.83779999999958,74.45749999999974,72.73749999999974,70.3203999999998,78.27809999999995,95.21709999999995,94.85009999999994,66.778,56.294,47.079,40.028,0.3167258547008539,0.6662719373219345,0.7236446581196574,0.4491004273504273,0.21880069676519018,148.22769999999963,467.72289999999794,338.6656999999996,210.179,153.50439999999926,0.10344302781712325,0.11385134110704254,0.035665691253049,0.06390707732250585,0.10918372911247845,0.3632708333333334,0.3991458333333333,0.38959375,0.5852527777777691,0.480998237179486,0.46692283653846045,17.437,38.318,37.401,42.13819999999937,600.2857999999985,582.7196999999986,0.30318463860930106,0.2699163995004717,0.2407719418049502,0.6716232084112946,0.5089039120708619,0.4806179537983976,0.43363525641025435,0.47396053685897316,135.29419999999936,1183.005499999997,0.404827995756823,0.4949138934694099,0.3963776881720416,0.3658160493827154,0.47847278645833263,0.6464179012345657,294.90499999999895,237.04879999999957,367.46709999999945,418.87879999999853,0.4096729593303558,0.3269946805410487,0.252449108923238,0.774890295184331,136.75069999999963,134.9072999999993,81.854,68.855,86.33979999999958,106.25699999999948,105.99459999999968,82.65339999999979,108.88509999999943,138.303,120.279,147.22079999999957,105.99459999999968,82.65339999999979,108.88509999999943,138.303,120.279,147.22079999999957,136.75069999999963,134.9072999999993,81.854,68.855,86.33979999999958,106.25699999999948,13.138,30.97569999999963,34.447,58.19,37.139,51.288,26.491699999999632,8.419,22.442599999999683,17.354,16.272,18.357,18.998,16.716,17.719,14.583,19.837,31.27779999999958,18.424,16.344,17.65,8.051,30.21839999999979,25.319599999999685,19.774,25.538,21.482,28.299,24.068,22.412599999999685,27.181,25.25739999999979,19.72,20.228,19.736,28.913699999999633,11.327399999999791,17.656,31.252,28.782,28.542,42.736,38.243,36.76,24.901,24.863,17.075,32.23,18.23879999999958,18.243,49.939,45.25
FMB,0.21305092592592595,0.29793496116123924,0.022,2.683,0.049,0.0935,0.247,598.2470000000001,0.21305092592592595,5.113222222222223,0.11527586206896552,0.08912820512820512,0.09335593220338984,0.09242735042735042,0.0958974358974359,0.07583760683760683,0.10635897435897437,0.0952051282051282,0.16526495726495724,0.22864102564102565,0.283017094017094,0.2313076923076923,0.3405213675213675,0.34361538461538466,0.29836752136752137,0.2731965811965812,0.3037094017094017,0.3506153846153846,0.39811111111111114,0.35602564102564105,0.2601880341880342,0.20049572649572647,0.16421367521367522,0.15263247863247864,13.372,10.427999999999999,11.016,10.814,11.22,8.873,12.444,11.139,19.336,26.751,33.113,27.063,39.841,40.203,34.909,31.964,35.534,41.022,46.579,41.655,30.442,23.458,19.213,17.858,13.372,10.427999999999999,11.016,10.814,11.22,8.873,12.444,11.139,19.336,26.751,33.113,27.063,39.841,40.203,34.909,31.964,35.534,41.022,46.579,41.655,30.442,23.458,19.213,17.858,0.14886752136752135,0.2950042735042735,0.3521153846153846,0.19438247863247865,0.09365373209382562,69.67,207.093,164.79,90.971,65.723,0.07298235515145073,0.06307880852516727,0.03963702629091973,0.04985518521395731,0.020912782030065174,0.3624583333333333,0.1728333333333333,0.18622916666666667,0.20275,0.2079110576923077,0.2181955128205128,17.398,16.592,17.878,14.598,259.473,272.308,0.49059208510903557,0.22405852932080828,0.3007464215709295,0.2864759041559548,0.27657722539968205,0.3126633581620761,0.21303205128205127,0.21305328525641024,66.466,531.781,0.31978750822437935,0.2951579258084723,0.24423924731182795,0.2061851851851852,0.19111718749999998,0.21010339506172837,181.714,133.608,146.778,136.147,0.38832785300380446,0.27908570027051444,0.25588102131765694,0.233837385446277,41.912,38.304,44.765,40.231,48.612,82.934,67.177,31.603,56.017,49.025,41.736,55.931,67.177,31.603,56.017,49.025,41.736,55.931,41.912,38.304,44.765,40.231,48.612,82.934,5.894,9.74,12.896,13.382,10.233,12.731,6.494,5.036,10.297,7.954,8.716,12.269,9.339,9.607,7.513,10.812,12.299,16.239,10.14,7.553,10.475999999999999,8.019,16.77,13.456,5.741,43.152,24.916999999999998,19.536,10.142,9.233,10.733,7.653,7.496,9.07,11.074,14.004,7.937,11.333,11.669,9.062,11.054,14.264,14.645,12.967,9.615,10.558,5.546,9.945,5.144,8.22,20.017,15.655000000000001
GPC,0.17982549857549854,0.22679707583389414,0.026,2.236,0.065,0.097,0.18225,504.94999999999993,0.17982549857549857,4.315811965811966,0.09166379310344827,0.09261538461538461,0.08633898305084746,0.07106837606837606,0.07384615384615385,0.07491452991452992,0.09294871794871795,0.1676923076923077,0.2551538461538461,0.29704273504273504,0.22172649572649572,0.22894871794871793,0.28836752136752136,0.3384102564102564,0.253,0.19802564102564102,0.19052136752136753,0.15267521367521367,0.18469230769230768,0.2784017094017094,0.29226495726495727,0.17868376068376068,0.11585470085470086,0.091,10.633,10.836,10.188,8.315,8.64,8.765,10.875,19.62,29.852999999999998,34.754,25.942,26.787,33.739,39.594,29.601,23.169,22.291,17.863,21.608999999999998,32.573,34.195,20.906,13.555,10.647,10.633,10.836,10.188,8.315,8.64,8.765,10.875,19.62,29.852999999999998,34.754,25.942,26.787,33.739,39.594,29.601,23.169,22.291,17.863,21.608999999999998,32.573,34.195,20.906,13.555,10.647,0.2032094017094017,0.2547464387464387,0.20157264957264956,0.1694508547008547,0.08174120343312337,95.102,178.832,94.33599999999998,79.30300000000001,57.377,0.08266352982931723,0.0621486661020167,0.0756663979756287,0.07101780598259332,0.028120612303446913,0.22177083333333333,0.26446875,0.13983333333333334,0.1885416666666667,0.17507371794871793,0.17902644230769232,10.645,25.389,13.424,13.575000000000001,218.492,223.425,0.27222637947928036,0.3569301849212179,0.1720137489404885,0.28183887802965374,0.21972226621945537,0.21785577162718955,0.20202884615384617,0.1770500801282051,63.033,441.917,0.28246776978244253,0.21875609054445588,0.21902284946236558,0.18989506172839507,0.17012630208333335,0.1362469135802469,162.953,123.052,130.657,88.288,0.2717852266713966,0.2344372223592231,0.2342179161953272,0.12023066762326598,26.123,26.099,37.558,32.086,53.408,64.487,57.556,40.91,57.271,35.332,38.054,36.066,57.556,40.91,57.271,35.332,38.054,36.066,26.123,26.099,37.558,32.086,53.408,64.487,5.879,9.598,5.559,5.087,4.513,8.238,6.598,4.33,7.288,7.561,4.671,13.121,7.337,7.219,5.156,8.899,10.812,15.182,10.961,10.942,11.224,12.298,15.855,15.31,9.715,16.408,14.461,13.207,10.089,12.802,18.617,14.066,6.594,8.63,13.17,16.007,9.114,7.382000000000001,11.598,6.26,5.396,6.199,17.477,10.082,7.118,7.83,8.529,9.324,7.616,7.247,8.247,8.127
JACL,0.15251495726495726,0.1997764776699408,0.035,1.584,0.066,0.102,0.142,428.262,0.15251495726495728,3.6603589743589744,0.14470689655172414,0.09278632478632479,0.08376271186440679,0.07976068376068376,0.07662393162393162,0.08063247863247863,0.0788034188034188,0.07636752136752137,0.09311111111111112,0.12243589743589743,0.132008547008547,0.13507692307692307,0.14905982905982906,0.32507692307692304,0.40014529914529917,0.23812820512820512,0.19511965811965812,0.1675042735042735,0.1551880341880342,0.14055555555555554,0.13738461538461536,0.16698290598290597,0.2070940170940171,0.18256410256410255,16.786,10.856,9.884,9.332,8.965,9.434,9.22,8.935,10.894,14.325,15.445,15.804,17.44,38.034,46.817,27.861,22.829,19.598,18.157,16.445,16.073999999999998,19.537,24.23,21.36,16.786,10.856,9.884,9.332,8.965,9.434,9.22,8.935,10.894,14.325,15.445,15.804,17.44,38.034,46.817,27.861,22.829,19.598,18.157,16.445,16.073999999999998,19.537,24.23,21.36,0.09267948717948718,0.22991595441595444,0.16459188034188033,0.17350641025641023,0.09304550453659162,43.373999999999995,161.401,77.029,81.201,65.257,0.02591643521043285,0.11230206474661093,0.04229855428207384,0.02085808916706611,0.042038270469178275,0.12083333333333333,0.11945833333333333,0.12938541666666667,0.12075000000000001,0.1505945512820513,0.1618084935897436,5.8,11.468,12.421,8.694,187.942,201.937,0.10954535315184813,0.17252447067722343,0.12960396109863362,0.13790063272894093,0.1977383244144147,0.2129411204861091,0.1230224358974359,0.15620152243589744,38.383,389.879,0.14281588042231064,0.20551571929036674,0.12386290322580645,0.11841358024691358,0.11927083333333333,0.2589135802469136,92.154,76.732,91.6,167.776,0.1292179604922133,0.12149097676401928,0.12901855817241972,0.3236124993060376,49.759,54.774,26.577,21.54,28.615000000000002,34.012,34.176,23.966,31.603,31.706,28.291,63.243,34.176,23.966,31.603,31.706,28.291,63.243,49.759,54.774,26.577,21.54,28.615000000000002,34.012,4.667,9.906,14.599,20.587,9.213000000000001,22.297,12.11,6.029,11.502,4.83,4.581,5.2059999999999995,5.583,5.794,5.468,4.57,5.708,8.056000000000001,6.172,5.58,6.13,5.6209999999999996,8.479,9.078,5.222,8.289,10.007,8.992,6.708,5.208,9.731,6.066,5.864,5.566,6.441,8.694,6.162,4.876,5.43,5.309,5.358,12.846,8.193,8.69,5.522,5.024,4.517,10.956,6.837,7.309,18.89,23.789
JALG,0.295144943019943,0.2720302208269782,0.032,2.34,0.124,0.185,0.37024999999999997,828.7669999999999,0.29514494301994304,7.083478632478634,0.15842241379310343,0.12591452991452992,0.12438135593220338,0.11314529914529914,0.11251282051282051,0.11344444444444444,0.12239316239316239,0.17500000000000002,0.275042735042735,0.3461025641025641,0.3956153846153846,0.3698205128205128,0.3984615384615384,0.5072222222222222,0.5416837606837607,0.4625213675213675,0.34994871794871796,0.3339401709401709,0.3498034188034188,0.3809230769230769,0.4387179487179487,0.3975982905982906,0.278991452991453,0.21216239316239316,18.377,14.732,14.677,13.238,13.164,13.273,14.32,20.475,32.18,40.494,46.287,43.269,46.62,59.345,63.377,54.115,40.944,39.071,40.927,44.568,51.33,46.519,32.642,24.823,18.377,14.732,14.677,13.238,13.164,13.273,14.32,20.475,32.18,40.494,46.287,43.269,46.62,59.345,63.377,54.115,40.944,39.071,40.927,44.568,51.33,46.519,32.642,24.823,0.22963461538461538,0.4458874643874644,0.35365384615384615,0.3318675213675214,0.12463681062373348,107.469,313.013,165.51,155.314,87.46099999999998,0.09374749797409375,0.03949358667204193,0.025655618009105954,0.09159481976095382,0.010369821896533899,0.3644791666666667,0.28883333333333333,0.27372916666666663,0.3265972222222222,0.26807852564102563,0.3198629807692308,17.495,27.728,26.278,23.515,334.562,399.189,0.29575507330648587,0.24516240231481645,0.22958642354719708,0.3151629428653622,0.2509586053024894,0.29055640504832175,0.30453846153846154,0.2939707532051282,95.016,733.751,0.26719383439695554,0.2726586867585984,0.3266733870967742,0.2671404320987654,0.2926002604166667,0.28996604938271603,243.045,173.107,224.717,187.898,0.28085369673156413,0.24376077226837875,0.2667093801405411,0.2911316226732866,58.009,62.392,55.255,50.012,67.84,92.76,85.873,64.412,79.637,72.627,72.453,67.497,85.873,64.412,79.637,72.627,72.453,67.497,58.009,62.392,55.255,50.012,67.84,92.76,11.535,12.618,17.203,16.653,4.607,22.775,17.233,11.885,11.999,11.206,12.35,11.014,14.578,10.148,12.877,11.328,15.659,19.298000000000002,11.213,14.811,15.349,15.115,23.773,23.941,16.353,20.747,21.834,24.897000000000002,17.704,15.029,22.107,14.587,17.556,16.571,15.437,20.4,14.368,13.541,15.891,12.699,15.904,27.465,16.559,23.407,15.361,12.346,16.125,12.241,14.324,11.178,19.837,15.131
JLG,0.15628703703703703,0.194215255845641,0.036,2.256,0.054,0.09,0.156,438.854,0.15628703703703703,3.7508888888888885,0.1003448275862069,0.06814529914529914,0.059737288135593224,0.058700854700854704,0.05660683760683761,0.057145299145299144,0.05634188034188034,0.05676923076923077,0.08828205128205129,0.17333333333333334,0.2203931623931624,0.23528205128205126,0.25106837606837606,0.2525042735042735,0.2408205128205128,0.23348717948717948,0.21354700854700853,0.19876068376068376,0.17905982905982906,0.17452136752136752,0.2279059829059829,0.21526495726495726,0.18846153846153846,0.14475213675213675,11.64,7.973,7.049,6.868,6.623,6.686,6.592,6.642,10.329,20.28,25.786,27.528,29.375,29.543,28.176,27.317999999999998,24.985,23.255,20.95,20.419,26.665,25.186,22.05,16.936,11.64,7.973,7.049,6.868,6.623,6.686,6.592,6.642,10.329,20.28,25.786,27.528,29.375,29.543,28.176,27.317999999999998,24.985,23.255,20.95,20.419,26.665,25.186,22.05,16.936,0.09368162393162394,0.23892592592592596,0.1914722222222222,0.19409615384615383,0.06678006772001512,43.843,167.726,89.609,90.83699999999999,46.839,0.08474900473863972,0.019605163011897932,0.04153684433034329,0.05595066461464132,0.011048063713842989,0.2185,0.17302083333333332,0.11188541666666667,0.10265277777777777,0.16338221153846155,0.15202163461538462,10.488,16.61,10.741,7.391,203.901,189.723,0.2974439335690363,0.20272719440390133,0.13573052790783785,0.12394559912102987,0.20337411393932697,0.1850541662307195,0.1449679487179487,0.15770192307692307,45.23,393.624,0.19206560106091683,0.1944740713338155,0.14844220430107527,0.1328888888888889,0.12234765624999999,0.22891666666666666,110.441,86.112,93.963,148.338,0.18753659675071724,0.15420650960425658,0.14816267257103405,0.2572633934941937,37.721,47.989,27.425,21.875,36.812,45.257,41.549,23.635,40.815,26.861,26.287,62.628,41.549,23.635,40.815,26.861,26.287,62.628,37.721,47.989,27.425,21.875,36.812,45.257,2.5,6.411,10.545,18.265,11.144,16.248,9.526,9.593,6.5969999999999995,6.738,4.599,5.874,5.095,6.779,2.986,7.62,4.49,11.016,5.522,8.283,9.286,6.185,8.548,9.275,8.647,15.307,9.766,14.189,7.171,5.383,11.485,4.737,7.44,5.013,6.375,10.552,8.111,9.69,6.087,6.718,5.201,7.413,7.529,6.622,5.442,5.6770000000000005,4.847,6.199,3.89,10.809,19.402,26.027
JMM,0.3177927350427351,0.4543448410034144,0.062,5.359,0.12875,0.198,0.318,892.3620000000001,0.317792735042735,7.627025641025639,0.18252586206896554,0.15,0.1373898305084746,0.12487179487179487,0.11988034188034188,0.12120512820512822,0.14903418803418805,0.20093162393162395,0.2521880341880342,0.29157264957264956,0.36553846153846153,0.4972820512820513,0.6482820512820513,0.7615555555555555,0.4612905982905983,0.34764957264957264,0.29515384615384616,0.3131623931623932,0.37988034188034187,0.4182222222222222,0.426025641025641,0.36833333333333335,0.33617948717948715,0.2792564102564103,21.173000000000002,17.55,16.212,14.61,14.026,14.181000000000001,17.437,23.509,29.506,34.114,42.768,58.182,75.849,89.102,53.971000000000004,40.675,34.533,36.64,44.446,48.932,49.845,43.095,39.333,32.673,21.173000000000002,17.55,16.212,14.61,14.026,14.181000000000001,17.437,23.509,29.506,34.114,42.768,58.182,75.849,89.102,53.971000000000004,40.675,34.533,36.64,44.446,48.932,49.845,43.095,39.333,32.673,0.22343162393162397,0.5135997150997151,0.35160470085470086,0.35244871794871796,0.1393121595891175,104.566,360.547,164.551,164.946,97.752,0.1285565340699021,0.13355354810862605,0.07501315509699492,0.09873427107173463,0.03063280195447478,0.2805625,0.26505208333333335,0.29663541666666665,0.32619444444444445,0.3517668269230769,0.29045032051282055,13.467,25.445,28.477,23.486,439.005,362.482,0.22893341094942032,0.23701269651941329,0.28131844176986437,0.3349503069676384,0.5705366254814372,0.34391769138002143,0.29126602564102566,0.3211085737179487,90.875,801.487,0.27457018688070184,0.4719608869262212,0.29690860215053766,0.2591820987654321,0.2871328125,0.4367191358024692,220.9,167.95,220.518,282.994,0.29271734694379137,0.28188793994012457,0.30018352155680345,0.7692114460013775,88.019,82.142,47.599000000000004,46.588,73.763,82.969,78.714,59.217,81.065,79.779,59.674,112.833,78.714,59.217,81.065,79.779,59.674,112.833,88.019,82.142,47.599000000000004,46.588,73.763,82.969,11.625,11.267,25.223,39.904,15.626,26.872,20.666,13.831999999999999,9.999,12.842,12.88,8.559,8.465,9.353,16.66,7.344,13.231,28.27,14.483,11.695,15.139,8.439,21.618,22.677,13.327,21.084,20.990000000000002,20.05,14.999,16.218,26.063,13.759,9.829,16.023,15.874,16.811,16.183,17.588,14.609,11.225999999999999,15.078,26.441,27.034,17.109,17.506,13.488,5.895,14.855,19.88,59.713,12.276,11.785
