archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Viernes,s_Viernes,std_Viernes,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.21176762820512826,0.23533456641407763,0.033,1.575,0.071,0.109,0.24225,264.28600000000006,0.21176762820512815,5.082423076923077,0.10476923076923075,0.08226923076923076,0.07740384615384616,0.08096153846153846,0.07738461538461539,0.09267307692307693,0.19626923076923075,0.2591538461538462,0.22092307692307692,0.13598076923076924,0.20476923076923076,0.20055769230769233,0.22944230769230772,0.4102692307692308,0.4301538461538461,0.26801923076923073,0.1890769230769231,0.21063461538461536,0.18994230769230772,0.26182692307692307,0.41809615384615384,0.3421538461538462,0.23873076923076922,0.16096153846153843,5.4479999999999995,4.278,4.025,4.21,4.024,4.819,10.206,13.476,11.488,7.071,10.648,10.429,11.931000000000001,21.334,22.368,13.937,9.832,10.953,9.877,13.615,21.741,17.792,12.414,8.37,5.4479999999999995,4.278,4.025,4.21,4.024,4.819,10.206,13.476,11.488,7.071,10.648,10.429,11.931000000000001,21.334,22.368,13.937,9.832,10.953,9.877,13.615,21.741,17.792,12.414,8.37,0.20308173076923075,0.2905352564102564,0.21287019230769233,0.2899855769230769,0.08591025641025642,42.241,90.64699999999999,44.277,60.317,26.804,0.043808599164987576,0.07203795903837781,0.043512125261205334,0.13833503444125586,0.017908810109422763,0.2117676282051282,264.286,0.23533456641407768,0.2117676282051282,264.286,0.23533456641407768,0.22852884615384617,0.20764102564102566,0.21095833333333333,0.1999423076923077,71.301,64.784,65.819,62.382,0.27155013950447954,0.2251089325077185,0.2391565730342971,0.2000360494965705,16.473,23.559,15.904,23.515,25.365,25.831,23.994,21.476,20.088,18.626,27.105,22.349999999999998,23.994,21.476,20.088,18.626,27.105,22.349999999999998,16.473,23.559,15.904,23.515,25.365,25.831,4.957,3.569,2.378,5.569,5.614,5.78,2.97,5.391,3.8040000000000003,2.922,3.23,6.109,3.643,5.523,3.447,6.475,8.07,5.982,5.094,3.338,6.604,4.3469999999999995,7.335,4.602,6.343,7.551,1.0030000000000001,7.482,8.151,4.858,2.5,4.6530000000000005,5.94,5.798,5.085,4.942,4.95,5.015,5.181,5.689,3.4179999999999997,5.264,4.255,5.272,7.566,5.868,5.45,2.949,4.287,4.587,7.935,5.5409999999999995
AJVG,0.20222916666666668,0.342908071991131,0.027,2.829,0.049,0.07,0.1925,252.382,0.20222916666666668,4.8535,0.09284615384615386,0.09434615384615384,0.10109615384615384,0.076,0.08151923076923076,0.27326923076923076,0.6726346153846153,0.5724615384615385,0.10463461538461538,0.08465384615384616,0.10157692307692308,0.12057692307692308,0.1475576923076923,0.12423076923076923,0.0873846153846154,0.0923076923076923,0.10161538461538461,0.13063461538461538,0.20971153846153845,0.26484615384615384,0.3538269230769231,0.32711538461538464,0.32425000000000004,0.31440384615384614,4.828,4.906,5.257,3.952,4.239,14.21,34.977,29.768,5.441,4.402,5.282,6.2700000000000005,7.673,6.46,4.5440000000000005,4.8,5.284,6.793,10.905,13.772,18.399,17.01,16.861,16.349,4.828,4.906,5.257,3.952,4.239,14.21,34.977,29.768,5.441,4.402,5.282,6.2700000000000005,7.673,6.46,4.5440000000000005,4.8,5.284,6.793,10.905,13.772,18.399,17.01,16.861,16.349,0.35859615384615384,0.11227243589743591,0.17670192307692306,0.32989903846153845,0.11984615384615387,74.58800000000001,35.029,36.754,68.61900000000001,37.391999999999996,0.2740881748422904,0.03518645870399138,0.1408590509117562,0.0340374108531624,0.09140593349582342,0.20222916666666668,252.382,0.3429080719911311,0.20222916666666668,252.382,0.3429080719911311,0.30074679487179484,0.16972115384615385,0.18986217948717948,0.14858653846153846,93.833,52.953,59.237,46.359,0.5185615616658088,0.23635093492206824,0.31863484464849945,0.17704438071921214,13.296,11.997,11.922,12.718,28.313,29.441,39.981,24.411,26.296,17.034,15.907,21.066,39.981,24.411,26.296,17.034,15.907,21.066,13.296,11.997,11.922,12.718,28.313,29.441,3.2110000000000003,3.359,3.529,3.197,1.726,1.6400000000000001,1.515,3.8369999999999997,3.279,3.616,3.416,1.87,3.02,3.051,3.378,3.177,3.112,1.875,3.715,4.569,6.454,11.7,1.692,9.455,13.705,4.5889999999999995,1.746,6.878,13.58,6.056,11.721,9.024000000000001,5.854,4.886,4.647,7.516,9.296,4.972,4.512,5.462,4.444,1.822,5.306,1.824,4.588,3.462,2.906,3.1270000000000002,3.251,4.23,10.406,3.179
ATF,0.14400000000000002,0.14547841601716893,0.049,1.277,0.071,0.114,0.148,179.71200000000002,0.14400000000000002,3.4560000000000004,0.11073076923076923,0.08801923076923077,0.0886923076923077,0.08909615384615385,0.0926923076923077,0.09713461538461539,0.0955,0.11224999999999999,0.14175000000000001,0.14696153846153848,0.17736538461538462,0.17978846153846154,0.22313461538461538,0.19096153846153846,0.22894230769230767,0.18771153846153846,0.16434615384615384,0.15203846153846154,0.1755769230769231,0.1678076923076923,0.15432692307692308,0.1461346153846154,0.13176923076923078,0.11326923076923076,5.758,4.577,4.612,4.633,4.82,5.051,4.966,5.837,7.371,7.642,9.223,9.349,11.603,9.93,11.905,9.761,8.546,7.906,9.13,8.725999999999999,8.025,7.599,6.852,5.89,5.758,4.577,4.612,4.633,4.82,5.051,4.966,5.837,7.371,7.642,9.223,9.349,11.603,9.93,11.905,9.761,8.546,7.906,9.13,8.725999999999999,8.025,7.599,6.852,5.89,0.12411538461538463,0.19798397435897433,0.1649423076923077,0.136375,0.09439423076923076,25.816,61.771,34.308,28.366,29.451,0.03378414506020739,0.03659126075398882,0.033867967432793994,0.0493975412875341,0.022186066522528133,0.144,179.712,0.14547841601716885,0.144,179.712,0.14547841601716885,0.11627564102564102,0.14543269230769232,0.13272756410256412,0.18156410256410258,36.278,45.375,41.411,56.648,0.08160469169712771,0.11391998921986247,0.11462756472459146,0.22308567354852793,24.71,11.757,16.14,14.019,15.216,9.594,16.305,10.379,12.684,11.129999999999999,17.597,20.181,16.305,10.379,12.684,11.129999999999999,17.597,20.181,24.71,11.757,16.14,14.019,15.216,9.594,8.381,5.744,3.479,7.106,2.317,2.255,2.275,2.496,2.414,4.394,3.7439999999999998,3.657,4.345,4.229,3.281,3.543,2.966,2.947,2.718,2.419,3.425,3.707,1.975,3.378,1.752,2.489,4.474,2.11,3.2520000000000002,2.282,4.187,2.615,2.512,2.146,3.106,2.847,3.341,3.4,3.096,3.008,2.24,3.047,2.835,5.543,2.669,2.605,2.023,4.757,2.342,3.83,6.7139999999999995,7.295
FJAG,0.4668600961538435,0.582511223025025,0.0720999999999474,4.467,0.183,0.296,0.47024999999999995,582.6413999999967,0.4668600961538434,11.204642307692241,0.24271346153846052,0.21792499999999898,0.19425192307692207,0.19061730769230667,0.19325192307692207,0.25196153846153846,0.3283461538461539,0.27126923076923076,0.36923269230769135,0.4119288461538431,0.4279923076923016,0.47770769230768423,0.5985346153846073,0.5074615384615284,0.635803846153838,0.6870903846153775,0.795774999999997,0.8618115384615364,0.9156346153846153,0.7606923076923077,0.6709615384615385,0.45334807692307594,0.39452115384615283,0.3458096153846144,12.621099999999947,11.332099999999947,10.101099999999947,9.912099999999947,10.049099999999948,13.102,17.074,14.106,19.20009999999995,21.42029999999984,22.255599999999685,24.84079999999958,31.12379999999958,26.387999999999476,33.06179999999958,35.728699999999634,41.38029999999984,44.81419999999989,47.613,39.556,34.89,23.574099999999948,20.515099999999947,17.98209999999995,12.621099999999947,11.332099999999947,10.101099999999947,9.912099999999947,10.049099999999948,13.102,17.074,14.106,19.20009999999995,21.42029999999984,22.255599999999685,24.84079999999958,31.12379999999958,26.387999999999476,33.06179999999958,35.728699999999634,41.38029999999984,44.81419999999989,47.613,39.556,34.89,23.574099999999948,20.515099999999947,17.98209999999995,0.3451942307692298,0.5557650641025561,0.8334783653846141,0.4661600961538454,0.21512019230769144,71.8003999999998,173.39869999999755,173.3634999999997,96.96129999999984,67.11749999999974,0.25057175726417785,0.22780295664165187,0.08993589539693642,0.21126193893853962,0.07075901294586959,0.4668600961538435,582.6413999999967,0.5825112230250251,0.4668600961538435,582.6413999999967,0.5825112230250251,0.3948169871794823,0.3950560897435855,0.3918333333333317,0.6857339743589744,123.18289999999848,123.25749999999869,122.25199999999948,213.949,0.5064150911075845,0.4965390024231975,0.2611949539437955,0.8516068506289586,68.682,65.202,34.66959999999968,35.41759999999968,53.170299999999315,47.36159999999916,46.22929999999932,29.592,42.11099999999948,39.052,41.089,80.065,46.22929999999932,29.592,42.11099999999948,39.052,41.089,80.065,68.682,65.202,34.66959999999968,35.41759999999968,53.170299999999315,47.36159999999916,14.094,14.944,17.816,21.828,16.323,20.495,8.946,4.1450000000000005,15.293000000000001,6.34,12.096599999999684,8.051,8.182,14.244599999999684,6.878,7.066,7.229,14.801799999999579,7.274,9.952,7.904,13.238499999999737,18.45439999999979,16.74749999999974,7.208699999999633,4.951,7.064,11.126299999999842,10.34649999999974,6.85,10.842499999999738,7.739,7.956,8.144,5.753,7.931,12.270299999999844,11.212699999999634,10.697,10.116,10.21,8.882,9.844,7.9190000000000005,9.276,9.225,8.225,6.444,12.155,17.409,21.341,29.16
FMB,0.20011378205128205,0.2208369983176307,0.023,1.814,0.053,0.125,0.251,249.742,0.20011378205128205,4.802730769230769,0.1060576923076923,0.10296153846153847,0.09578846153846153,0.09423076923076924,0.08023076923076923,0.06865384615384615,0.10325,0.10803846153846154,0.15607692307692306,0.1679807692307692,0.20457692307692307,0.26384615384615384,0.32703846153846156,0.3348076923076923,0.2226923076923077,0.2410576923076923,0.33553846153846156,0.35836538461538464,0.30330769230769233,0.31998076923076924,0.2898846153846154,0.186,0.1797692307692308,0.15259615384615383,5.515,5.354,4.981,4.9,4.172,3.57,5.369,5.618,8.116,8.735,10.638,13.72,17.006,17.41,11.58,12.535,17.448,18.635,15.772,16.639,15.074,9.672,9.348,7.935,5.515,5.354,4.981,4.9,4.172,3.57,5.369,5.618,8.116,8.735,10.638,13.72,17.006,17.41,11.58,12.535,17.448,18.635,15.772,16.639,15.074,9.672,9.348,7.935,0.13383653846153845,0.26566987179487184,0.32929807692307694,0.20206249999999998,0.0913205128205128,27.838,82.889,68.494,42.029,28.492,0.02195899084505487,0.061021274578136,0.03220126360998212,0.07543798151215839,0.016214681195859462,0.20011378205128205,249.742,0.22083699831763076,0.20011378205128205,249.742,0.22083699831763076,0.2178525641025641,0.17885897435897435,0.17791666666666667,0.22582692307692306,67.97,55.804,55.51,70.458,0.27050105477888803,0.20003362896430588,0.18768727696236545,0.2126242905199672,24.355,23.051,14.631,17.532,23.641000000000002,19.767,33.866,14.337,16.73,17.118,21.662,23.052,33.866,14.337,16.73,17.118,21.662,23.052,24.355,23.051,14.631,17.532,23.641000000000002,19.767,4.206,6.215,8.152,5.782,7.148,6.753,2.815,2.723,3.612,3.315,4.413,3.013,3.89,3.2079999999999997,4.834,5.476,4.014,5.665,3.723,3.721,5.68,4.852,6.234,4.55,5.382,3.601,4.803,12.52,6.901,5.571,4.071,2.184,4.116,4.521,3.516,4.9079999999999995,3.422,4.587,3.8129999999999997,3.973,4.777,2.699,5.6690000000000005,4.741,2.956,4.431,4.041,5.493,4.458,6.24,4.288,8.066
GPC,0.1582940705128205,0.186307919313202,0.026,1.616,0.063,0.0955,0.1535,197.551,0.15829407051282052,3.7990576923076924,0.0924423076923077,0.11057692307692307,0.09182692307692308,0.06792307692307692,0.0765,0.08526923076923078,0.2359423076923077,0.2776153846153846,0.18921153846153846,0.1311923076923077,0.12234615384615385,0.09511538461538462,0.11523076923076923,0.2893846153846154,0.33011538461538464,0.20686538461538462,0.21551923076923074,0.14186538461538462,0.14359615384615385,0.18373076923076923,0.2393653846153846,0.17673076923076922,0.09871153846153846,0.08198076923076923,4.807,5.75,4.775,3.532,3.9779999999999998,4.434,12.269,14.436,9.839,6.822,6.362,4.946,5.992,15.048,17.166,10.757,11.206999999999999,7.377,7.4670000000000005,9.554,12.447,9.19,5.133,4.263,4.807,5.75,4.775,3.532,3.9779999999999998,4.434,12.269,14.436,9.839,6.822,6.362,4.946,5.992,15.048,17.166,10.757,11.206999999999999,7.377,7.4670000000000005,9.554,12.447,9.19,5.133,4.263,0.20849038461538463,0.19317628205128204,0.1711778846153846,0.1491971153846154,0.08742307692307694,43.366,60.270999999999994,35.605000000000004,31.033,27.276,0.028886691504554047,0.07956057098570135,0.07206716617078456,0.08659340333716078,0.043206266723496,0.1582940705128205,197.551,0.18630791931320204,0.1582940705128205,197.551,0.18630791931320204,0.16409615384615384,0.18056410256410255,0.14837820512820513,0.1401378205128205,51.198,56.336,46.294,43.723,0.2070211719711863,0.20792060936924497,0.1905117441738191,0.1258302469237573,13.591,15.173,15.906,15.562,24.868,20.268,17.164,13.766,15.600999999999999,13.865,16.828,14.959,17.164,13.766,15.600999999999999,13.865,16.828,14.959,13.591,15.173,15.906,15.562,24.868,20.268,2.812,3.161,3.502,4.116,5.533,1.9,1.829,1.781,4.13,4.865,2.2720000000000002,4.7860000000000005,3.983,4.277,4.813,2.179,4.293,5.551,4.096,5.448,5.866,3.907,6.614,4.497,4.78,4.377,3.964,2.327,3.984,3.999,2.89,3.059,5.133,2.692,2.882,6.075,4.025,2.648,2.853,5.428,3.303,1.41,3.724,2.343,3.121,4.568,3.187,3.609,3.485,3.864,3.6270000000000002,3.983
JACL,0.1505272435897436,0.18687554464139602,0.035,1.285,0.066,0.102,0.142,187.858,0.1505272435897436,3.612653846153847,0.12317307692307693,0.08413461538461539,0.07553846153846154,0.08867307692307692,0.0796923076923077,0.06823076923076923,0.08342307692307692,0.09001923076923077,0.10398076923076924,0.10786538461538461,0.11492307692307692,0.09994230769230769,0.1468076923076923,0.34413461538461537,0.3698461538461538,0.2276923076923077,0.20953846153846156,0.2076923076923077,0.1731923076923077,0.1423076923076923,0.12888461538461538,0.16021153846153846,0.20359615384615384,0.17915384615384616,6.405,4.375,3.928,4.611,4.144,3.548,4.338,4.681,5.407,5.609,5.976,5.197,7.634,17.895,19.232,11.84,10.896,10.8,9.006,7.4,6.702,8.331,10.587,9.316,6.405,4.375,3.928,4.611,4.144,3.548,4.338,4.681,5.407,5.609,5.976,5.197,7.634,17.895,19.232,11.84,10.896,10.8,9.006,7.4,6.702,8.331,10.587,9.316,0.09632211538461538,0.21722435897435896,0.1831826923076923,0.16796153846153844,0.08657371794871795,20.035,67.774,38.102000000000004,34.936,27.011000000000003,0.014873581910079162,0.11912633083339254,0.042028637656203835,0.06038643760820766,0.005738210528022822,0.1505272435897436,187.858,0.1868755446413961,0.1505272435897436,187.858,0.1868755446413961,0.1104647435897436,0.10520192307692308,0.1082051282051282,0.2782371794871795,34.465,32.823,33.76,86.81,0.0812592534860151,0.07668837595057144,0.07372833753020226,0.3166644305435019,25.469,30.718,10.217,9.563,13.043,11.012,13.699,9.754,10.273,10.113,13.374,30.623,13.699,9.754,10.273,10.113,13.374,30.623,25.469,30.718,10.217,9.563,13.043,11.012,3.6590000000000003,3.692,10.293,7.825,5.399,9.501,2.483,8.448,4.887,3.04,2.264,2.684,2.229,2.16,2.555,2.531,2.317,2.542,2.567,2.247,3.001,2.686,3.078,2.576,2.888,2.4699999999999998,2.51,2.964,2.952,2.859,2.414,2.579,2.433,2.502,2.24,2.703,2.431,2.631,2.508,2.382,2.0380000000000003,3.074,2.6189999999999998,2.581,2.834,2.565,2.625,2.769,4.186,6.377,10.940999999999999,9.119
JALG,0.2799190705128205,0.24827626247169507,0.047,1.822,0.127,0.185,0.346,349.339,0.2799190705128205,6.718057692307692,0.1405576923076923,0.12605769230769232,0.11690384615384615,0.11096153846153846,0.10705769230769231,0.11411538461538462,0.18340384615384614,0.26675,0.33407692307692305,0.2616153846153846,0.24596153846153845,0.3770576923076923,0.4848461538461538,0.45703846153846156,0.3956923076923077,0.3255769230769231,0.3595961538461539,0.35892307692307696,0.2781153846153846,0.33490384615384616,0.40907692307692306,0.4077307692307692,0.30874999999999997,0.21328846153846154,7.309,6.555,6.079,5.77,5.567,5.934,9.536999999999999,13.871,17.372,13.604,12.79,19.607,25.212,23.766000000000002,20.576,16.93,18.699,18.664,14.462,17.415,21.272,21.201999999999998,16.055,11.091,7.309,6.555,6.079,5.77,5.567,5.934,9.536999999999999,13.871,17.372,13.604,12.79,19.607,25.212,23.766000000000002,20.576,16.93,18.699,18.664,14.462,17.415,21.272,21.201999999999998,16.055,11.091,0.2614615384615384,0.3810288461538462,0.33288461538461545,0.33471153846153845,0.11927564102564102,54.384,118.881,69.24000000000001,69.61999999999999,37.214,0.08661157717010909,0.09610857939873291,0.057326915816843196,0.07613662456262787,0.004920825179701191,0.2799190705128205,349.339,0.24827626247169507,0.2799190705128205,349.339,0.24827626247169507,0.3238397435897436,0.251948717948718,0.2986923076923077,0.24519551282051283,101.038,78.608,93.19200000000001,76.501,0.2722642346390722,0.23962185630205715,0.25766778919170397,0.21198261071767535,26.761,26.818,20.25,27.599,30.759,31.34,36.926,32.772,28.773,29.208,35.211,22.922,36.926,32.772,28.773,29.208,35.211,22.922,26.761,26.818,20.25,27.599,30.759,31.34,6.117,5.886,8.608,6.15,7.393,2.354,5.0200000000000005,6.224,5.827,4.123,5.496,5.453,5.178,8.069,5.808,7.477,6.245,5.89,6.279,5.424,6.855,6.311,8.453,7.627,8.204,7.056,7.33,6.149,8.339,7.705,7.4030000000000005,8.761,8.108,7.46,8.443,6.665,7.745,6.1739999999999995,8.189,7.113,6.078,9.172,6.845,5.499,8.383000000000001,7.494,7.305,6.53,5.053,6.0889999999999995,6.181,5.599
JLG,0.15192708333333332,0.1807147361166376,0.035,1.28,0.054,0.086,0.157,189.605,0.15192708333333335,3.6462499999999998,0.08278846153846153,0.06309615384615384,0.0594423076923077,0.05713461538461539,0.058096153846153846,0.05407692307692307,0.053807692307692306,0.05923076923076923,0.12453846153846154,0.15036538461538462,0.14236538461538462,0.18115384615384617,0.2295576923076923,0.22630769230769232,0.25909615384615386,0.25896153846153847,0.19484615384615384,0.18334615384615385,0.1678653846153846,0.19367307692307692,0.2243653846153846,0.24303846153846154,0.23953846153846153,0.1395576923076923,4.305,3.281,3.091,2.971,3.021,2.812,2.798,3.08,6.476,7.819,7.403,9.42,11.937,11.768,13.473,13.466,10.132,9.534,8.729,10.071,11.667,12.638,12.456,7.257,4.305,3.281,3.091,2.971,3.021,2.812,2.798,3.08,6.476,7.819,7.403,9.42,11.937,11.768,13.473,13.466,10.132,9.534,8.729,10.071,11.667,12.638,12.456,7.257,0.09698557692307692,0.2162403846153846,0.1849326923076923,0.21162499999999998,0.06243910256410257,20.173,67.467,38.466,44.017999999999994,19.481,0.0779620478305087,0.04930342136424779,0.039318572616658366,0.06864435414677554,0.006504892078526113,0.15192708333333332,189.605,0.18071473611663752,0.15192708333333332,189.605,0.18071473611663752,0.13450641025641025,0.11139743589743589,0.11519230769230769,0.24661217948717948,41.966,34.756,35.94,76.943,0.1453965857967402,0.10416309740772609,0.11682961542484252,0.270197605869746,24.95,25.058,11.294,9.283,14.179,13.384,14.883,13.699,12.409,9.922,13.609,26.935,14.883,13.699,12.409,9.922,13.609,26.935,24.95,25.058,11.294,9.283,14.179,13.384,1.251,4.655,11.74,7.304,5.97,9.952,2.446,5.265,1.425,2.489,3.926,2.434,2.445,2.185,1.229,3.8169999999999997,2.052,3.509,2.5140000000000002,3.18,2.453,2.523,2.827,3.408,3.723,3.426,3.916,2.386,2.181,2.29,4.11,4.731,2.98,3.471,2.517,3.601,2.72,2.644,3.444,2.604,3.7439999999999998,1.055,2.519,2.484,1.8,2.119,3.975,3.231,1.329,7.077,10.531,7.998
JMM,0.2755328525641026,0.31339304939743223,0.061,4.329,0.126,0.198,0.29225,343.865,0.2755328525641026,6.612788461538461,0.1797692307692308,0.13138461538461538,0.1255,0.11859615384615384,0.11775000000000001,0.11557692307692308,0.15569230769230769,0.18846153846153849,0.22826923076923078,0.2211153846153846,0.26857692307692305,0.35673076923076924,0.5954423076923077,0.5417115384615385,0.3235,0.32211538461538464,0.32898076923076924,0.3389230769230769,0.3802307692307692,0.3476346153846154,0.38034615384615383,0.32965384615384613,0.28559615384615383,0.2312307692307692,9.348,6.832,6.526,6.167,6.123,6.01,8.096,9.8,11.870000000000001,11.498,13.966,18.55,30.963,28.169,16.822,16.75,17.107,17.624,19.772,18.076999999999998,19.778,17.142,14.850999999999999,12.024,9.348,6.832,6.526,6.167,6.123,6.01,8.096,9.8,11.870000000000001,11.498,13.966,18.55,30.963,28.169,16.822,16.75,17.107,17.624,19.772,18.076999999999998,19.778,17.142,14.850999999999999,12.024,0.19838461538461538,0.40134615384615385,0.3489423076923077,0.3067067307692307,0.1314294871794872,41.264,125.22,72.57999999999998,63.795,41.00599999999999,0.05572638221260519,0.09256001674414555,0.13288555537123775,0.19736169430525824,0.02753610491010992,0.2755328525641026,343.865,0.31339304939743223,0.2755328525641026,343.865,0.31339304939743223,0.24411538461538462,0.2539775641025641,0.2535737179487179,0.3504647435897436,76.164,79.241,79.115,109.345,0.2049643043673785,0.22249808585432437,0.2535352630235522,0.48004102052808456,43.178,35.413,19.95,21.692,37.599000000000004,25.935,27.862,22.367,21.945,27.588,29.582,30.754,27.862,22.367,21.945,27.588,29.582,30.754,43.178,35.413,19.95,21.692,37.599000000000004,25.935,6.643,7.286,17.56,11.689,8.943,8.121,6.325,5.314,6.71,6.267,5.18,4.051,4.452,5.635,6.434,5.113,4.51,9.944,7.594,5.141,9.707,5.213,8.379,6.553,4.327,6.676,5.388,6.016,4.998,5.592,5.868,6.8999999999999995,3.894,5.618,5.955,7.362,4.067,5.622,4.894,6.0089999999999995,4.055,5.163,12.360999999999999,6.4270000000000005,8.039,5.2620000000000005,3.254,6.6,5.71,14.746,5.27,5.028
