archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Miércoles,s_Miércoles,std_Miércoles,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.22944951923076928,0.2506211222710436,0.046,2.123,0.072,0.127,0.26625,286.35300000000007,0.22944951923076923,5.506788461538462,0.09448076923076923,0.08290384615384615,0.09190384615384616,0.08898076923076922,0.08240384615384616,0.10488461538461538,0.18523076923076923,0.20228846153846153,0.1926923076923077,0.15415384615384614,0.17832692307692308,0.22311538461538463,0.2665384615384615,0.39025,0.4993461538461539,0.3330192307692308,0.2575,0.2571538461538462,0.2647115384615385,0.395826923076923,0.4848461538461538,0.3256730769230769,0.22423076923076923,0.1263269230769231,4.913,4.311,4.779,4.627,4.285,5.454,9.632,10.519,10.02,8.016,9.273,11.602,13.86,20.293,25.966,17.317,13.39,13.372,13.765,20.583,25.212,16.935,11.66,6.569,4.913,4.311,4.779,4.627,4.285,5.454,9.632,10.519,10.02,8.016,9.273,11.602,13.86,20.293,25.966,17.317,13.39,13.372,13.765,20.583,25.212,16.935,11.66,6.569,0.18359134615384615,0.315099358974359,0.2937980769230769,0.2902692307692307,0.09092628205128206,38.187,98.311,61.11,60.376000000000005,28.369,0.026627227298382024,0.060618939394055854,0.10080682041987858,0.09867714683790162,0.017318136770071938,0.22944951923076923,286.353,0.2506211222710436,0.22944951923076923,286.353,0.2506211222710436,0.2418205128205128,0.23929807692307692,0.22073397435897435,0.21594551282051283,75.448,74.661,68.869,67.375,0.2664106900701602,0.2721857891046152,0.23654836368006507,0.22433190610244483,25.09,18.676,22.562,33.0,19.099,20.182,37.293,17.973,24.071,22.015,22.783,23.608999999999998,37.293,17.973,24.071,22.015,22.783,23.608999999999998,25.09,18.676,22.562,33.0,19.099,20.182,4.096,6.276,4.648000000000001,3.222,6.848,4.901,2.336,6.897,4.542,5.637,5.889,5.405,5.631,7.253,4.586,7.847,8.879,4.435,5.002,4.853,5.042,4.202,5.945,6.083,4.048,4.106,7.78,8.285,7.458,5.12,8.65,1.406,4.9030000000000005,5.555,6.109,4.1,8.642,5.686,5.643,6.723,6.6979999999999995,1.647,2.838,4.109,5.5680000000000005,7.182,4.682,5.351,5.251,5.906,5.087,7.364999999999999
AJVG,0.2571025641025641,0.40230453707952063,0.028,3.444,0.053,0.087,0.242,320.864,0.2571025641025641,6.17046153846154,0.09490384615384614,0.09117307692307691,0.11398076923076922,0.09474999999999999,0.07700000000000001,0.19817307692307692,0.4408846153846154,0.6444615384615384,0.29723076923076924,0.1355,0.1621923076923077,0.16573076923076924,0.23092307692307695,0.13063461538461538,0.14036538461538461,0.13692307692307693,0.15553846153846151,0.20473076923076924,0.28086538461538463,0.6018653846153846,0.6242692307692307,0.5285384615384616,0.4008846153846154,0.21894230769230769,4.935,4.741,5.927,4.927,4.0040000000000004,10.305,22.926,33.512,15.456,7.046,8.434,8.618,12.008000000000001,6.793,7.299,7.12,8.088,10.646,14.605,31.297,32.461999999999996,27.484,20.846,11.385,4.935,4.741,5.927,4.927,4.0040000000000004,10.305,22.926,33.512,15.456,7.046,8.434,8.618,12.008000000000001,6.793,7.299,7.12,8.088,10.646,14.605,31.297,32.461999999999996,27.484,20.846,11.385,0.3795192307692307,0.16112820512820514,0.31074999999999997,0.44315865384615377,0.11166346153846153,78.94000000000001,50.272,64.636,92.177,34.839,0.14777672023747399,0.06529353743562454,0.18275519186834926,0.23336599184538817,0.06886660613514159,0.2571025641025641,320.864,0.4023045370795205,0.2571025641025641,320.864,0.4023045370795205,0.4506378205128205,0.1750801282051282,0.25001923076923077,0.1526730769230769,140.599,54.625,78.006,47.634,0.6156656818016486,0.22663034903170914,0.3745728709368181,0.1514267479021217,20.329,11.757,13.206,19.477,21.942,45.21,57.142,38.247,31.923,26.809,19.274,15.548,57.142,38.247,31.923,26.809,19.274,15.548,20.329,11.757,13.206,19.477,21.942,45.21,3.497,3.644,4.46,3.93,4.798,1.671,1.616,4.29,4.18,4.145,3.681,1.631,3.749,3.77,3.732,3.6710000000000003,4.267,4.037,4.677,5.137,5.352,6.776,9.641,14.315,12.086,9.168,5.318,10.909,15.473,9.968,15.474,10.967,13.489,8.541,5.25,6.966,7.835,9.082,8.04,7.3309999999999995,5.075,5.025,5.758,3.62,4.675,4.583,6.856,3.16,3.236,3.963,3.302,5.047
ATF,0.1538301282051282,0.1737472608570171,0.049,2.233,0.078,0.116,0.159,191.98,0.15383012820512817,3.691923076923077,0.11788461538461538,0.09253846153846154,0.08651923076923076,0.08405769230769232,0.08776923076923077,0.09067307692307693,0.10882692307692307,0.12534615384615383,0.13792307692307693,0.1555576923076923,0.16515384615384618,0.21286538461538462,0.29532692307692304,0.22209615384615383,0.2517692307692308,0.20253846153846153,0.16805769230769232,0.15746153846153849,0.18007692307692308,0.14686538461538462,0.17861538461538462,0.16886538461538464,0.13453846153846155,0.12059615384615384,6.13,4.812,4.499,4.371,4.564,4.715,5.659,6.518,7.172,8.089,8.588000000000001,11.069,15.357,11.549,13.092,10.532,8.739,8.188,9.364,7.6370000000000005,9.288,8.781,6.996,6.271,6.13,4.812,4.499,4.371,4.564,4.715,5.659,6.518,7.172,8.089,8.588000000000001,11.069,15.357,11.549,13.092,10.532,8.739,8.188,9.364,7.6370000000000005,9.288,8.781,6.996,6.271,0.13191346153846153,0.22495833333333334,0.16311538461538466,0.15065384615384617,0.09324038461538463,27.438000000000002,70.187,33.928,31.336000000000006,29.090999999999998,0.0395089842280949,0.08626257714346362,0.04866845455946587,0.027064284834816685,0.03830970590236069,0.1538301282051282,191.98,0.17374726085701703,0.1538301282051282,191.98,0.17374726085701703,0.15611217948717948,0.15119551282051283,0.12820192307692307,0.17981089743589743,48.707,47.173,39.999,56.101,0.2175171285247794,0.10885715992057715,0.10915319007267858,0.22049346763550962,25.958000000000002,9.834,16.31,17.464,13.399,21.872,16.071,10.764,10.508,16.069,13.422,20.309,16.071,10.764,10.508,16.069,13.422,20.309,25.958000000000002,9.834,16.31,17.464,13.399,21.872,4.402,5.508,2.77,2.194,11.084,2.274,2.336,2.75,2.474,6.05,3.061,3.999,3.2,3.336,3.932,3.912,3.568,2.716,3.003,3.196,3.549,3.651,2.732,3.891,2.572,12.677,3.317,2.263,4.5,2.495,3.496,2.799,2.817,2.338,2.81,2.005,2.9859999999999998,2.696,2.821,2.493,3.625,2.678,3.228,4.045,3.009,3.624,2.62,4.169,3.177,3.306,4.918,8.908
FJAG,0.40326794871794774,0.43288929046706764,0.079,4.167,0.18575,0.293,0.439,503.2783999999988,0.40326794871794763,9.678430769230745,0.256,0.19844230769230767,0.20113461538461538,0.18765384615384617,0.18678846153846157,0.21215384615384617,0.32117307692307695,0.2630961538461538,0.41394230769230766,0.35175576923076624,0.44512115384615075,0.5903153846153806,0.607199999999996,0.49421923076922675,0.5470615384615365,0.4248884615384595,0.4884461538461518,0.6716923076923076,0.67,0.6675,0.5034807692307692,0.36625,0.3093461538461538,0.3007692307692308,13.312,10.318999999999999,10.459,9.758000000000001,9.713000000000001,11.032,16.701,13.681,21.525,18.291299999999843,23.14629999999984,30.69639999999979,31.57439999999979,25.69939999999979,28.447199999999896,22.094199999999894,25.399199999999894,34.928,34.84,34.71,26.181,19.045,16.086,15.64,13.312,10.318999999999999,10.459,9.758000000000001,9.713000000000001,11.032,16.701,13.681,21.525,18.291299999999843,23.14629999999984,30.69639999999979,31.57439999999979,25.69939999999979,28.447199999999896,22.094199999999894,25.399199999999894,34.928,34.84,34.71,26.181,19.045,16.086,15.64,0.33749182692307617,0.5181342948717916,0.6244096153846148,0.36996153846153845,0.20702884615384617,70.19829999999985,161.657899999999,129.8771999999999,76.952,64.593,0.23627055838813998,0.1212694420673093,0.1308027871455287,0.07332631939463842,0.02946169148887715,0.4032679487179477,503.2783999999987,0.43288929046706764,0.4032679487179477,503.2783999999987,0.43288929046706764,0.405834615384613,0.3048602564102557,0.39971794871794875,0.5026589743589733,126.62039999999926,95.11639999999979,124.712,156.8295999999997,0.45809890606377623,0.20702527104840837,0.20417345865762293,0.6613127293226841,57.14559999999968,41.041000000000004,32.19839999999979,34.948,27.97,38.37549999999974,53.53029999999984,34.714599999999685,37.578,50.605,36.529,58.643,53.53029999999984,34.714599999999685,37.578,50.605,36.529,58.643,57.14559999999968,41.041000000000004,32.19839999999979,34.948,27.97,38.37549999999974,9.336,4.166,10.033,9.741999999999999,23.868599999999685,23.802,8.994,3.982,4.263,7.538,7.917,9.567399999999791,7.176,7.142,7.382,6.428,8.079,5.917,7.3149999999999995,7.547,6.796,6.312,8.517,12.082499999999737,8.541,9.235,10.891,16.907299999999843,8.458,7.541,9.733,7.873,11.737599999999686,9.062,6.042,9.241999999999999,7.893,10.091,10.352,10.443,10.464,9.733,10.108,9.857,9.342,9.293,9.339,8.555,7.91,7.64,18.89,24.203
FMB,0.21253285256410256,0.2490231833232274,0.023,2.222,0.055,0.142,0.25,265.241,0.21253285256410254,5.10078846153846,0.10719230769230768,0.08161538461538462,0.09136538461538463,0.09273076923076923,0.07421153846153847,0.06561538461538462,0.11569230769230769,0.12076923076923077,0.24646153846153848,0.33778846153846154,0.3183653846153846,0.3520576923076923,0.4293653846153846,0.2905,0.2236153846153846,0.28475,0.29446153846153844,0.22100000000000003,0.2701153846153846,0.31078846153846157,0.24451923076923077,0.19859615384615384,0.1868076923076923,0.14240384615384616,5.574,4.244,4.751,4.822,3.859,3.412,6.016,6.28,12.816,17.565,16.555,18.307,22.326999999999998,15.106,11.628,14.807,15.312,11.492,14.046,16.161,12.715,10.327,9.714,7.405,5.574,4.244,4.751,4.822,3.859,3.412,6.016,6.28,12.816,17.565,16.555,18.307,22.326999999999998,15.106,11.628,14.807,15.312,11.492,14.046,16.161,12.715,10.327,9.714,7.405,0.2051778846153846,0.3164423076923077,0.2740913461538461,0.19308173076923077,0.0854551282051282,42.67700000000001,98.72999999999999,57.011,40.161,26.662,0.10188091561024028,0.053705692331220405,0.05017452532854165,0.04468439169340594,0.020439920604629815,0.21253285256410256,265.241,0.24902318332322732,0.21253285256410256,265.241,0.24902318332322732,0.23785897435897438,0.16234294871794872,0.23474679487179487,0.2151826923076923,74.212,50.651,73.241,67.137,0.3058920526811353,0.17952687287748256,0.2675311022384784,0.21818099647677006,23.232,17.951,13.256,20.814,16.581,16.896,37.057,20.259,21.959,31.655,19.627,25.954,37.057,20.259,21.959,31.655,19.627,25.954,23.232,17.951,13.256,20.814,16.581,16.896,3.612,4.234,4.585,4.002,6.799,8.34,2.703,2.52,4.388,3.864,3.171,2.752,3.4690000000000003,3.71,3.061,4.633,2.795,6.615,5.134,3.878,3.899,3.67,3.994,4.196,4.3790000000000004,4.327,11.049,11.064,6.421,5.174,3.3489999999999998,4.13,6.321,5.085,4.723,4.881,3.6790000000000003,5.889,7.51,5.979,4.716,9.25,4.035,7.675,4.51,5.614,5.198,4.305,3.384,7.522,6.286,8.762
GPC,0.17611458333333332,0.20586807349491928,0.025,2.141,0.066,0.1035,0.18325,219.791,0.17611458333333332,4.22675,0.10821153846153846,0.09625,0.10873076923076923,0.08061538461538462,0.07038461538461539,0.09394230769230769,0.24190384615384616,0.2959807692307692,0.20573076923076924,0.16784615384615384,0.151,0.12386538461538461,0.13701923076923078,0.24421153846153845,0.32090384615384615,0.2650769230769231,0.16575,0.16215384615384615,0.15990384615384615,0.30325,0.3119230769230769,0.21873076923076923,0.10821153846153846,0.08515384615384615,5.627,5.005,5.654,4.192,3.66,4.885,12.579,15.391,10.698,8.728,7.852,6.441,7.125,12.699,16.687,13.784,8.619,8.432,8.315,15.769,16.22,11.374,5.627,4.428,5.627,5.005,5.654,4.192,3.66,4.885,12.579,15.391,10.698,8.728,7.852,6.441,7.125,12.699,16.687,13.784,8.619,8.432,8.315,15.769,16.22,11.374,5.627,4.428,0.22786538461538464,0.20701282051282052,0.19776442307692307,0.18100480769230767,0.0930224358974359,47.396,64.58800000000001,41.135,37.649,29.023000000000003,0.043566383075733205,0.05757998194992869,0.06488816584109662,0.09402065288679944,0.03398956849410569,0.17611458333333332,219.791,0.2058680734949193,0.17611458333333332,219.791,0.2058680734949193,0.20758653846153846,0.18152243589743589,0.1604423076923077,0.1549070512820513,64.767,56.635,50.058,48.331,0.23426336392343813,0.21562158589830785,0.22584927223040746,0.12583708531331975,20.049,11.95,17.258,20.95,18.427,21.205,25.919,17.643,17.089,17.227,15.741999999999999,16.332,25.919,17.643,17.089,17.227,15.741999999999999,16.332,20.049,11.95,17.258,20.95,18.427,21.205,3.7070000000000003,4.412,3.5869999999999997,4.21,4.133,1.835,3.6,3.015,3.5,4.56,4.989,4.144,3.565,3.5300000000000002,3.375,4.519,5.067,4.459,5.88,3.511,4.497,4.539,3.437,4.783,6.1129999999999995,6.872,4.049,3.297,4.9719999999999995,6.604,6.997,3.916,4.397,4.018,5.312,7.148,3.717,3.016,3.208,4.2700000000000005,3.234,1.385,4.372,3.9659999999999997,5.148,3.7520000000000002,3.464,3.378,3.796,3.528,4.126,4.882
JACL,0.1526955128205128,0.18997820812621713,0.035,1.584,0.067,0.105,0.14625,190.564,0.15269551282051283,3.664692307692308,0.13459615384615384,0.09646153846153846,0.07107692307692308,0.07586538461538461,0.0915,0.07013461538461539,0.07405769230769231,0.10592307692307693,0.09592307692307693,0.10198076923076924,0.13503846153846155,0.14486538461538462,0.16107692307692306,0.28875,0.328,0.20078846153846155,0.1835576923076923,0.21769230769230768,0.1814423076923077,0.11151923076923077,0.1294423076923077,0.20492307692307693,0.2529423076923077,0.2071346153846154,6.999,5.016,3.696,3.945,4.758,3.6470000000000002,3.851,5.508,4.988,5.303,7.022,7.533,8.376,15.015,17.056,10.441,9.545,11.32,9.435,5.799,6.731,10.656,13.153,10.771,6.999,5.016,3.696,3.945,4.758,3.6470000000000002,3.851,5.508,4.988,5.303,7.022,7.533,8.376,15.015,17.056,10.441,9.545,11.32,9.435,5.799,6.731,10.656,13.153,10.771,0.09447115384615384,0.20975320512820517,0.17355288461538462,0.19861057692307693,0.08993910256410258,19.650000000000002,65.443,36.099000000000004,41.311,28.061,0.01632428369603921,0.09388230626962547,0.10076241458346415,0.0733516925344126,0.01464599537060498,0.1526955128205128,190.564,0.18997820812621716,0.1526955128205128,190.564,0.18997820812621716,0.11664423076923078,0.10229166666666667,0.11006410256410258,0.28178205128205125,36.393,31.915,34.34,87.916,0.08621560332096521,0.04941875850717155,0.09867343126911272,0.32048471719153,33.766,24.227999999999998,9.631,12.144,10.14,11.12,14.789,10.484,11.363,13.127,9.85,29.922,14.789,10.484,11.363,13.127,9.85,29.922,33.766,24.227999999999998,9.631,12.144,10.14,11.12,2.493,6.302,5.752,8.413,10.806,7.77,4.071,5.093,7.294,2.347,2.305,2.466,2.513,2.388,2.508,2.142,2.699,2.407,2.573,2.558,2.505,2.504,3.326,3.164,2.468,2.162,3.227,2.606,2.895,2.8000000000000003,3.261,2.461,2.547,2.702,2.774,3.814,2.246,2.803,2.5,3.136,2.632,2.324,2.231,2.8040000000000003,2.248,2.381,2.95,2.271,2.532,7.739,8.329,11.322
JALG,0.28185336538461536,0.246683555179592,0.057,1.888,0.12375,0.188,0.347,351.753,0.28185336538461536,6.764480769230768,0.13953846153846156,0.12271153846153847,0.11726923076923076,0.111,0.10821153846153846,0.10425000000000001,0.17465384615384616,0.25276923076923075,0.25117307692307694,0.2542884615384616,0.23659615384615382,0.33175000000000004,0.49023076923076925,0.4854423076923077,0.4448076923076923,0.3294807692307692,0.3544807692307692,0.29915384615384616,0.2769423076923077,0.4420192307692308,0.45084615384615384,0.4731346153846153,0.3088076923076923,0.20492307692307693,7.256,6.381,6.098,5.772,5.627,5.421,9.082,13.144,13.061,13.223,12.302999999999999,17.251,25.492,25.243,23.13,17.133,18.433,15.556000000000001,14.401,22.985,23.444,24.602999999999998,16.058,10.656,7.256,6.381,6.098,5.772,5.627,5.421,9.082,13.144,13.061,13.223,12.302999999999999,17.251,25.492,25.243,23.13,17.133,18.433,15.556000000000001,14.401,22.985,23.444,24.602999999999998,16.058,10.656,0.23322115384615383,0.3863846153846154,0.34314903846153844,0.3594278846153846,0.11716346153846154,48.51,120.55199999999999,71.375,74.761,36.555,0.05807290675171902,0.07872291579033183,0.07584603923603682,0.06521029489757325,0.013748646096421216,0.28185336538461536,351.753,0.2466835551795921,0.28185336538461536,351.753,0.2466835551795921,0.31370512820512825,0.2728814102564102,0.28997435897435897,0.2508525641025641,97.876,85.139,90.472,78.266,0.24630294571292594,0.2535957654571776,0.2576803885051529,0.22470896660316164,34.356,16.729,23.575,32.502,29.062,31.68,34.443,31.753,31.165,31.248,28.059,27.181,34.443,31.753,31.165,31.248,28.059,27.181,34.356,16.729,23.575,32.502,29.062,31.68,7.2010000000000005,5.273,5.351,5.603,10.928,2.168,4.4559999999999995,5.191,4.914,6.048,6.227,5.401,5.899,4.395,6.548,6.601,7.634,7.324,7.566,8.138,6.487,6.871,8.408,8.933,7.103,7.236,7.9,5.531,7.963,6.640000000000001,6.409,7.522,6.711,7.812,9.708,8.478,8.953,5.178,8.556000000000001,6.892,7.167,6.244,5.605,5.34,7.7090000000000005,7.268,6.588,6.494,7.203,5.751,4.893,9.334
JLG,0.16414583333333335,0.20019554886498228,0.037,1.648,0.055,0.0945,0.162,204.854,0.16414583333333332,3.9395000000000007,0.08782692307692308,0.06371153846153846,0.05840384615384615,0.05557692307692308,0.05498076923076923,0.05367307692307692,0.05355769230769231,0.06873076923076923,0.11478846153846155,0.1408076923076923,0.19732692307692307,0.19903846153846153,0.27090384615384616,0.33553846153846156,0.3463461538461538,0.28411538461538466,0.20940384615384613,0.18236538461538462,0.17565384615384616,0.1973076923076923,0.22261538461538463,0.22978846153846152,0.1943653846153846,0.14267307692307693,4.567,3.313,3.037,2.89,2.859,2.791,2.785,3.574,5.969,7.322,10.261,10.35,14.087,17.448,18.009999999999998,14.774000000000001,10.889,9.483,9.134,10.26,11.576,11.949,10.107,7.4190000000000005,4.567,3.313,3.037,2.89,2.859,2.791,2.785,3.574,5.969,7.322,10.261,10.35,14.087,17.448,18.009999999999998,14.774000000000001,10.889,9.483,9.134,10.26,11.576,11.949,10.107,7.4190000000000005,0.09447115384615384,0.27221153846153845,0.1911826923076923,0.19736057692307693,0.06236217948717949,19.65,84.92999999999999,39.766,41.051,19.457000000000004,0.05398419020944111,0.060453289233650266,0.045483865634932806,0.03221455132654167,0.009310278823068894,0.16414583333333335,204.854,0.20019554886498234,0.16414583333333335,204.854,0.20019554886498234,0.16595192307692308,0.12519551282051283,0.12507371794871797,0.24036217948717947,51.777,39.061,39.023,74.993,0.19237689326895271,0.11802952208110634,0.1430602070598607,0.2835650742994227,29.087,19.395,9.988,14.884,14.189,18.631,19.826,13.32,11.554,15.793,11.676,26.511,19.826,13.32,11.554,15.793,11.676,26.511,29.087,19.395,9.988,14.884,14.189,18.631,1.308,1.343,3.829,8.556000000000001,14.051,7.752,3.2,2.825,5.618,2.312,2.826,2.544,2.306,3.285,2.739,3.015,2.03,3.815,3.785,4.223,3.782,2.399,4.133,3.421,4.164,6.913,4.0969999999999995,4.04,2.931,3.718,5.04,2.794,3.031,2.547,4.948,2.626,2.215,2.406,4.307,3.923,3.8819999999999997,1.07,2.031,4.887,2.031,2.479,4.015,3.1510000000000002,1.449,6.441,7.299,11.322
JMM,0.26617868589743593,0.3396873428619284,0.065,5.298,0.125,0.191,0.284,332.19100000000003,0.2661786858974359,6.388288461538464,0.1678653846153846,0.13696153846153847,0.13917307692307693,0.12842307692307692,0.12163461538461538,0.12375000000000001,0.1585769230769231,0.2118846153846154,0.23115384615384615,0.21490384615384617,0.23117307692307693,0.30425,0.5055576923076923,0.5748076923076924,0.38575000000000004,0.34771153846153846,0.26840384615384616,0.2683076923076923,0.2857692307692308,0.3299807692307692,0.38273076923076926,0.3340192307692308,0.3105576923076923,0.22494230769230766,8.729,7.122,7.237,6.678,6.325,6.4350000000000005,8.246,11.018,12.02,11.175,12.021,15.821,26.289,29.89,20.059,18.081,13.956999999999999,13.952,14.86,17.159,19.902,17.369,16.149,11.697,8.729,7.122,7.237,6.678,6.325,6.4350000000000005,8.246,11.018,12.02,11.175,12.021,15.821,26.289,29.89,20.059,18.081,13.956999999999999,13.952,14.86,17.159,19.902,17.369,16.149,11.697,0.2041298076923077,0.3915416666666667,0.2881153846153846,0.31306249999999997,0.13630128205128206,42.459,122.161,59.928,65.117,42.526,0.050249873438763186,0.2152312798834516,0.08758865842582556,0.21488856888206045,0.01520217357507997,0.2661786858974359,332.191,0.3396873428619281,0.2661786858974359,332.191,0.3396873428619281,0.24907371794871794,0.21609294871794874,0.2711153846153846,0.32843269230769234,77.711,67.421,84.588,102.471,0.19327230597993397,0.24030257122615417,0.25023226410775784,0.5460995238863238,54.378,25.091,16.984,28.294999999999998,22.142,22.482,31.794999999999998,23.434,27.663,34.158,22.767,23.002,31.794999999999998,23.434,27.663,34.158,22.767,23.002,54.378,25.091,16.984,28.294999999999998,22.142,22.482,5.975,7.071,6.572,7.527,27.233,7.768,5.1690000000000005,6.084,6.07,4.768,4.256,4.069,3.891,5.0809999999999995,3.576,4.807,7.021,7.8100000000000005,3.271,10.113,3.66,5.098,4.408,5.797,6.635,5.642,7.468,6.854,4.994,6.022,6.457,3.896,5.93,6.639,6.968999999999999,5.8870000000000005,6.465,10.471,4.84,5.682,7.027,7.104,7.459,6.886,6.826,7.244,4.476,4.221,4.358,5.172,8.247,5.225
