archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.21597218406593408,0.24026217082933202,0.0,2.123,0.07,0.113,0.248,1886.7330000000002,0.21597218406593408,5.1833324175824185,0.10016253443526171,0.0876098901098901,0.0834027397260274,0.08203021978021978,0.07950274725274725,0.0962335164835165,0.17550824175824176,0.21371703296703298,0.19948626373626374,0.1708653846153846,0.20941483516483517,0.22571703296703297,0.22578846153846152,0.3555247252747253,0.4389313186813186,0.3057582417582418,0.23302472527472526,0.21384615384615385,0.22345604395604393,0.3359615384615385,0.4364697802197802,0.330771978021978,0.21767857142857142,0.14251648351648352,36.359,31.89,30.442,29.859,28.939,35.029,63.885,77.793,72.613,62.195,76.227,82.161,82.187,129.411,159.771,111.296,84.821,77.84,81.338,122.29,158.875,120.401,79.235,51.876,36.359,31.89,30.442,29.859,28.939,35.029,63.885,77.793,72.613,62.195,76.227,82.161,82.187,129.411,159.771,111.296,84.821,77.84,81.338,122.29,158.875,120.401,79.235,51.876,0.18989423076923076,0.29352243589743593,0.2515721153846154,0.2818592032967033,0.08815694129794378,276.486,641.053,366.289,410.387,192.518,0.008086545481428524,0.056832415725762336,0.06012172464833213,0.10379454433139589,0.012493156313587965,0.23297035256410256,0.2263661858974359,0.22944951923076923,0.22802083333333334,0.2117676282051282,0.1817275641025641,0.20150320512820513,290.747,282.505,286.353,284.57,264.286,226.796,251.476,0.2526012352387489,0.23937425719247957,0.2506211222710436,0.25245146969981236,0.23533456641407768,0.20525576075474994,0.23889646720419705,0.22571490384615384,0.1916153846153846,1408.461,478.272,0.24621335690892682,0.22288708534439342,0.23069722222222222,0.21646016483516484,0.220625,0.19621703296703297,498.306,472.749,487.14,428.538,0.26488622356166835,0.2430608173710093,0.24953637436171028,0.19730937398878182,130.456,138.224,133.705,177.101,161.943,177.741,177.173,143.392,176.521,129.981,180.638,159.858,177.173,143.392,176.521,129.981,180.638,159.858,130.456,138.224,133.705,177.101,161.943,177.741,27.014,27.517,26.686,30.868,40.358,33.457,21.518,38.598,26.287,33.409,28.553,29.383,34.503,39.787,31.589,44.786,42.689,42.604,46.589,36.576,29.929000000000002,31.411,41.574,36.549,40.015,40.86,31.756999999999998,45.087,42.622,44.445,32.15,21.217,42.488,45.814,39.599000000000004,40.634,47.315,38.981,35.729,35.298,28.682,24.736,33.684,37.088,37.674,42.092,44.567,34.079,32.009,37.582,46.205,42.09
AJVG,0.24293063186813188,0.38110215754987714,0.0,3.691,0.053,0.086,0.23,2122.242,0.24293063186813185,5.830335164835166,0.12212396694214876,0.10371428571428572,0.0911835616438356,0.08715659340659342,0.08314285714285714,0.1788021978021978,0.3663406593406594,0.4666318681318682,0.287260989010989,0.16738461538461538,0.21658241758241759,0.2279697802197802,0.2423598901098901,0.21487912087912087,0.19610164835164834,0.1616510989010989,0.17263186813186812,0.20532417582417584,0.2745467032967033,0.4467307692307692,0.4789038461538461,0.44337912087912085,0.36813186813186816,0.22748626373626377,44.331,37.752,33.282,31.725,30.264,65.084,133.348,169.854,104.563,60.928,78.836,82.981,88.219,78.216,71.381,58.841,62.838,74.738,99.935,162.60999999999999,174.321,161.39,134.0,82.805,44.331,37.752,33.282,31.725,30.264,65.084,133.348,169.854,104.563,60.928,78.836,82.981,88.219,78.216,71.381,58.841,62.838,74.738,99.935,162.60999999999999,174.321,161.39,134.0,82.805,0.32190453296703303,0.20992399267399264,0.27480837912087913,0.37947527472527476,0.11102057710865308,468.693,458.47400000000005,400.121,552.5160000000001,242.43800000000002,0.11907388142833994,0.04816858181149889,0.1452853120388297,0.14087007716296993,0.06328997182131454,0.25175721153846153,0.2675665064102564,0.2571025641025641,0.21611778846153845,0.20222916666666668,0.245625,0.2601161858974359,314.193,333.923,320.864,269.715,252.382,306.54,324.625,0.38993396664576785,0.42292359743838237,0.4023045370795205,0.34254661608331965,0.3429080719911311,0.37203224211621444,0.38433084784321586,0.23895464743589745,0.25287059294871794,1491.077,631.165,0.382204678725116,0.37822516604937145,0.39531944444444445,0.1954908424908425,0.22878759057971015,0.15395467032967033,853.89,426.952,505.163,336.237,0.5673454302554511,0.27702390276158406,0.35199038646147235,0.16570887788242655,112.812,86.882,105.679,135.683,185.59,281.238,270.417,302.235,247.928,138.657,118.578,136.543,270.417,302.235,247.928,138.657,118.578,136.543,112.812,86.882,105.679,135.683,185.59,281.238,24.330000000000002,27.659,24.541,23.135,20.778,11.744,15.33,30.436,24.166,29.176,24.699,14.868,30.465,29.652,31.105,30.361,30.699,24.389,34.83,39.097,49.954,65.167,48.711,82.111,83.615,53.566,15.18,60.889,85.392,59.866,81.827,92.415,81.52,57.835,55.713,59.208,69.749,54.069,41.756,39.176,36.398,23.609,37.275,21.234,35.009,25.851,26.186,26.313,26.939,29.228,40.063,34.958
ATF,0.13826018772893775,0.14127070377499398,0.0,2.233,0.07,0.108,0.143,1207.8410000000001,0.13826018772893772,3.318244505494506,0.10165013774104684,0.08968131868131868,0.08915890410958904,0.08829945054945054,0.08716483516483517,0.08809615384615385,0.0956401098901099,0.11630494505494506,0.1361098901098901,0.14218131868131867,0.1569120879120879,0.17922527472527472,0.21361538461538462,0.20729395604395603,0.1986456043956044,0.1701098901098901,0.1506401098901099,0.14223901098901098,0.14652197802197803,0.1494368131868132,0.16241758241758242,0.15941483516483518,0.13321428571428573,0.11430494505494505,36.899,32.644,32.543,32.141,31.728,32.067,34.813,42.335,49.544000000000004,51.754,57.116,65.238,77.756,75.455,72.307,61.92,54.833,51.775,53.334,54.395,59.12,58.027,48.49,41.607,36.899,32.644,32.543,32.141,31.728,32.067,34.813,42.335,49.544000000000004,51.754,57.116,65.238,77.756,75.455,72.307,61.92,54.833,51.775,53.334,54.395,59.12,58.027,48.49,41.607,0.12255906593406593,0.18763369963369966,0.14720947802197804,0.1423379120879121,0.09067513334873235,178.446,409.79200000000003,214.33700000000002,207.244,198.02200000000002,0.024549338046214213,0.0317492611703133,0.013917380466792993,0.030383024127413002,0.016791633114045183,0.14180528846153848,0.1395176282051282,0.1538301282051282,0.14294471153846156,0.144,0.13414983974358977,0.11157371794871795,176.973,174.118,191.98,178.395,179.712,167.419,139.244,0.1347405528706478,0.14105244127130961,0.17374726085701703,0.13473071894703192,0.14547841601716885,0.14780448023819417,0.09672192143752495,0.14441955128205128,0.12286177884615385,901.178,306.663,0.14670248173189318,0.1253868647713753,0.12687222222222222,0.14755311355311357,0.11499909420289856,0.16374679487179486,274.044,322.25600000000003,253.918,357.623,0.1427673211280877,0.12279715953827196,0.08912650168331282,0.18755475850585046,140.998,75.112,113.329,110.62,98.307,108.377,92.605,73.062,75.433,85.06400000000001,93.421,141.513,92.605,73.062,75.433,85.06400000000001,93.421,141.513,140.998,75.112,113.329,110.62,98.307,108.377,38.051,33.415,22.718,21.644000000000002,34.92,16.218,15.87,17.81,19.048000000000002,28.678,24.184,25.313,26.991,29.763,24.86,25.341,22.317,22.922,26.0,20.957,20.972,23.456,17.064,23.513,17.243,37.309,27.544,15.613,23.599,16.796,26.375,17.923000000000002,21.29,14.844,17.184,15.729,19.485,16.077,14.96,19.151,19.484,20.873,20.944,20.638,19.203,23.68,16.992,23.419,21.415,22.214,45.432,50.4
FJAG,0.4253763965201453,0.4817359003696687,0.0210999999999472,4.491,0.181,0.2875,0.465,3716.0881999999892,0.42537639652014525,10.209033516483487,0.24308374655647325,0.20299587912087838,0.19059041095890342,0.1889491758241751,0.20331675824175782,0.21826950549450536,0.2921266483516482,0.28164560439560443,0.3377016483516478,0.3452010989010972,0.42754560439560213,0.5290423076923042,0.6549137362637325,0.5541480769230728,0.5580884615384584,0.5588126373626348,0.5718909340659322,0.6857601648351639,0.7568524725274721,0.756711813186813,0.5552252747252747,0.4247585164835163,0.35894532967032955,0.31260192307692297,88.23939999999979,73.89049999999973,69.56549999999974,68.77749999999973,74.00729999999984,79.45009999999995,106.33409999999995,102.519,122.92339999999979,125.65319999999937,155.62659999999917,192.57139999999873,238.38859999999863,201.70989999999847,203.14419999999885,203.40779999999904,208.1682999999993,249.61669999999964,275.49429999999984,275.44309999999996,202.102,154.61209999999994,130.65609999999995,113.78709999999995,88.23939999999979,73.89049999999973,69.56549999999974,68.77749999999973,74.00729999999984,79.45009999999995,106.33409999999995,102.519,122.92339999999979,125.65319999999937,155.62659999999917,192.57139999999873,238.38859999999863,201.70989999999847,203.14419999999885,203.40779999999904,208.1682999999993,249.61669999999964,275.49429999999984,275.44309999999996,202.102,154.61209999999994,130.65609999999995,113.78709999999995,0.3141687499999994,0.5470918040293008,0.6928038461538453,0.4128827609890109,0.20786757936611555,457.4296999999991,1194.8484999999928,1008.7223999999987,601.1572999999999,453.9302999999988,0.14975178477446763,0.12868477657442343,0.03951850581280059,0.10248558749000876,0.06958303786888058,0.3696084134615379,0.39202860576922965,0.4032679487179477,0.397948637820512,0.4668600961538435,0.480998237179486,0.46692283653846045,461.2712999999993,489.2516999999986,503.2783999999987,496.639899999999,582.6413999999967,600.2857999999985,582.7196999999986,0.41894620421025447,0.4463680339037256,0.43288929046706764,0.4713169990896374,0.5825112230250251,0.5089039120708619,0.4806179537983976,0.40594274038461414,0.47396053685897316,2533.082699999992,1183.005499999997,0.47501342294851906,0.4949138934694099,0.3689314814814796,0.33755604395604294,0.4211184782608687,0.573326098901098,796.8919999999958,737.2223999999977,929.8295999999981,1252.144199999998,0.4119893505254606,0.33819416407703834,0.25910241528543343,0.7387112896032166,419.2852999999993,404.9512999999993,255.227899999999,237.63859999999968,244.355899999999,267.6891999999983,288.37159999999864,240.83119999999886,293.9250999999984,331.259,304.64549999999974,427.90759999999915,288.37159999999864,240.83119999999886,293.9250999999984,331.259,304.64549999999974,427.90759999999915,419.2852999999993,404.9512999999993,255.227899999999,237.63859999999968,244.355899999999,267.6891999999983,61.412,62.36769999999963,106.886,122.349,149.07759999999968,158.572,91.42369999999963,28.648,54.37359999999968,56.838,56.50859999999968,69.14859999999969,55.633699999999635,57.875599999999686,50.660000000000004,51.237,55.768,59.60179999999958,53.376,53.508,53.471,58.13009999999942,65.49589999999952,69.14359999999917,57.057699999999635,55.857,54.165,77.19279999999958,70.84869999999964,61.52159999999969,56.819499999999735,63.03539999999979,59.34659999999968,61.093699999999636,59.64349999999974,57.96469999999963,53.932699999999635,68.34399999999948,83.10769999999964,80.994,80.672,72.111,78.337,74.664,71.34,71.663,62.711,69.80249999999974,60.15479999999958,81.486,119.16279999999958,151.554
FMB,0.21435725732600733,0.26949595131154125,0.0,3.138,0.053,0.126,0.252,1872.625,0.21435725732600733,5.144574175824176,0.10493388429752067,0.08930494505494505,0.09110684931506849,0.09013186813186813,0.08742857142857144,0.08068131868131868,0.10759065934065935,0.1326758241758242,0.22093956043956042,0.27300274725274726,0.29773076923076924,0.3116785714285714,0.4121126373626373,0.33905494505494504,0.24529945054945054,0.2667032967032967,0.2985576923076923,0.3064010989010989,0.32623351648351645,0.3157857142857143,0.24516208791208793,0.186978021978022,0.1641456043956044,0.15097252747252748,38.091,32.507,33.254,32.808,31.824,29.368,39.163000000000004,48.294000000000004,80.422,99.373,108.374,113.451,150.009,123.416,89.289,97.08,108.675,111.53,118.749,114.946,89.239,68.06,59.749,54.954,38.091,32.507,33.254,32.808,31.824,29.368,39.163000000000004,48.294000000000004,80.422,99.373,108.374,113.451,150.009,123.416,89.289,97.08,108.675,111.53,118.749,114.946,89.239,68.06,59.749,54.954,0.1835521978021978,0.3120966117216117,0.3117445054945055,0.18681456043956046,0.09059790615154874,267.252,681.619,453.9,272.002,197.852,0.08580913954370804,0.043893549025012864,0.021958785323411337,0.05041928647486688,0.013225404823326405,0.24270753205128207,0.22679647435897435,0.21253285256410256,0.19224358974358974,0.20011378205128205,0.2079110576923077,0.2181955128205128,302.899,283.042,265.241,239.92,249.742,259.473,272.308,0.3141877886217167,0.2699361953546428,0.24902318332322732,0.22454442865506702,0.22083699831763076,0.27657722539968205,0.3126633581620761,0.21487884615384617,0.21305328525641024,1340.844,531.781,0.25854225293976224,0.2951579258084723,0.2504574074074074,0.1892481684981685,0.2073659420289855,0.21083104395604396,540.988,413.318,457.864,460.455,0.34947690154834565,0.24563327664034273,0.24118524384409998,0.22066500568602013,152.281,131.624,122.576,144.185,146.557,198.278,208.395,134.315,161.646,154.037,142.181,176.55,208.395,134.315,161.646,154.037,142.181,176.55,152.281,131.624,122.576,144.185,146.557,198.278,24.585,33.31,40.233,35.24,43.871,46.652,17.577,18.275,30.649,25.378,29.121,30.231,28.079,27.881,28.033,36.007,29.915,41.868,34.217,34.262,35.729,29.925,34.979,31.63,30.624,63.862,74.137,58.175,47.533,36.84,32.462,31.642,35.363,33.336,37.664,33.611,31.464,39.974,41.262,34.061,32.277,35.322,39.436,34.91,30.666,35.196,29.628,35.878,26.255,39.868,51.269,52.263
GPC,0.17000984432234434,0.20241855256861013,0.0,2.236,0.066,0.1,0.175,1485.2060000000001,0.1700098443223443,4.080236263736263,0.09557575757575758,0.10127197802197802,0.0965945205479452,0.0741868131868132,0.07640384615384616,0.0898956043956044,0.20315109890109892,0.26740384615384616,0.19868956043956043,0.17602747252747253,0.14279395604395603,0.13591758241758242,0.17271703296703297,0.2696181318681319,0.2788543956043956,0.2167554945054945,0.18112087912087912,0.14682967032967031,0.1797774725274725,0.287260989010989,0.3011236263736264,0.1858901098901099,0.1122912087912088,0.09008241758241758,34.694,36.863,35.257,27.004,27.811,32.722,73.947,97.335,72.323,64.074,51.977,49.474000000000004,62.869,98.141,101.503,78.899,65.928,53.446,65.439,104.563,109.609,67.664,40.874,32.79,34.694,36.863,35.257,27.004,27.811,32.722,73.947,97.335,72.323,64.074,51.977,49.474000000000004,62.869,98.141,101.503,78.899,65.928,53.446,65.439,104.563,109.609,67.664,40.874,32.79,0.21131799450549452,0.2027760989010989,0.19874725274725275,0.17234684065934064,0.08898808664699076,307.679,442.863,289.376,250.93699999999998,194.351,0.03401065354118717,0.03952726262673269,0.06103497245582028,0.0795101724545331,0.024732369873429572,0.1571338141025641,0.1734326923076923,0.17611458333333332,0.17099358974358975,0.1582940705128205,0.17507371794871793,0.17902644230769232,196.103,216.444,219.791,213.4,197.551,218.492,223.425,0.17994214220502958,0.19618253358667223,0.2058680734949193,0.20700639389169417,0.18630791931320204,0.21972226621945537,0.21785577162718955,0.16719375,0.1770500801282051,1043.289,441.917,0.1954491134476376,0.21875609054445588,0.1926074074074074,0.1780728021978022,0.1602373188405797,0.1494775641025641,416.032,388.911,353.804,326.459,0.23979245414731917,0.2126101616043561,0.2040854672783044,0.1366769396989149,115.152,98.066,121.455,125.85,141.606,152.122,139.474,124.436,136.39,104.804,112.61,113.241,139.474,124.436,136.39,104.804,112.61,113.241,115.152,98.066,121.455,125.85,141.606,152.122,24.701,27.172,23.308,26.295,28.742,17.515,20.856,23.396,26.101,29.339,23.591,34.466,26.748,26.521,25.419,29.168,31.058,31.309,32.524,33.955,33.277,33.867,31.567,34.157000000000004,31.592,33.618,36.463,28.775,30.209,36.928,32.708,35.7,28.604,30.053,31.629,33.753,31.393,25.616,28.865,26.844,24.668,10.56,36.732,22.018,26.413999999999998,26.711,26.463,25.426,25.864,25.815,28.3,28.433
JACL,0.15224908424908426,0.1922078952198662,0.0,1.584,0.066,0.103,0.144,1330.048,0.15224908424908426,3.653978021978022,0.13863085399449035,0.09029395604395604,0.07804383561643836,0.0815,0.07986263736263736,0.07679120879120879,0.0788076923076923,0.08658791208791208,0.10153846153846154,0.1137032967032967,0.12562362637362637,0.12718681318681319,0.15978571428571428,0.294728021978022,0.34424725274725276,0.22921703296703297,0.19759615384615384,0.18773626373626373,0.16483516483516483,0.14084615384615384,0.1449423076923077,0.1963379120879121,0.22451098901098898,0.19079120879120878,50.323,32.867,28.486,29.666,29.07,27.952,28.686,31.518,36.96,41.388,45.727,46.296,58.162,107.281,125.306,83.435,71.925,68.336,60.0,51.268,52.759,71.467,81.722,69.448,50.323,32.867,28.486,29.666,29.07,27.952,28.686,31.518,36.96,41.388,45.727,46.296,58.162,107.281,125.306,83.435,71.925,68.336,60.0,51.268,52.759,71.467,81.722,69.448,0.09515934065934066,0.21346474358974357,0.17275343406593405,0.1891456043956044,0.0908537486347885,138.552,466.207,251.529,275.39599999999996,198.364,0.01682700684190531,0.09306249064631883,0.038580029755036126,0.03760327410227836,0.031000842730732583,0.1503830128205128,0.15103285256410257,0.1526955128205128,0.1487019230769231,0.1505272435897436,0.1505945512820513,0.1618084935897436,187.678,188.489,190.564,185.58,187.858,187.942,201.937,0.1845668044601687,0.1851045428473174,0.18997820812621716,0.1867694055200682,0.1868755446413961,0.1977383244144147,0.2129411204861091,0.15066810897435898,0.15620152243589744,940.169,389.879,0.18661302603624907,0.20551571929036674,0.11542824074074073,0.10915796703296704,0.11103351449275363,0.2734249084249084,249.325,238.401,245.162,597.16,0.09475575700970408,0.08815770678133812,0.08991654873415007,0.32154782818548555,199.748,196.12800000000001,81.383,77.674,79.344,85.328,89.244,74.753,84.485,80.139,80.538,201.284,89.244,74.753,84.485,80.139,80.538,201.284,199.748,196.12800000000001,81.383,77.674,79.344,85.328,17.847,40.049,52.333,55.273,59.495,66.859,36.851,32.755,40.791,20.651,16.498,17.221,18.212,17.268,18.219,16.183,18.093,18.391000000000002,19.279,17.985,18.755,18.213,19.506,19.542,18.839,18.86,21.381,19.519,20.247,19.273,20.931,18.905,18.464,18.729,18.626,19.118000000000002,18.468,18.448,19.219,18.797,18.164,20.197,18.654,18.389,17.891000000000002,17.117,17.677,23.0,22.365,41.182,58.937,72.382
JALG,0.2858665293040293,0.2560035865637536,0.0,2.34,0.125,0.189,0.354,2497.33,0.28586652930402934,6.860796703296703,0.14484297520661157,0.12090934065934067,0.11705753424657533,0.11144230769230769,0.10959615384615384,0.1107554945054945,0.164510989010989,0.2457554945054945,0.29799725274725275,0.2865137362637363,0.2835989010989011,0.32604670329670327,0.4364010989010989,0.4864478021978022,0.44618131868131866,0.3677362637362637,0.34746153846153843,0.32233516483516483,0.31736263736263737,0.3974285714285714,0.4648076923076923,0.43402197802197806,0.30504395604395607,0.2166181318681319,52.578,44.011,42.726,40.565,39.893,40.315,59.882,89.455,108.471,104.291,103.23,118.681,158.85,177.067,162.41,133.856,126.476,117.33,115.52,144.664,169.19,157.984,111.036,78.849,52.578,44.011,42.726,40.565,39.893,40.315,59.882,89.455,108.471,104.291,103.23,118.681,158.85,177.067,162.41,133.856,126.476,117.33,115.52,144.664,169.19,157.984,111.036,78.849,0.24869436813186813,0.3910686813186813,0.346146978021978,0.3551229395604396,0.11910063435941394,362.099,854.0939999999999,503.98999999999995,517.059,260.08799999999997,0.0727005730117373,0.053887763846440756,0.043438363093923425,0.08005070760869304,0.008179644020703272,0.28533974358974357,0.28085016025641024,0.28185336538461536,0.285161858974359,0.2799190705128205,0.26807852564102563,0.3198629807692308,356.104,350.501,351.753,355.882,349.339,334.562,399.189,0.2590968892793901,0.2514414562441485,0.2466835551795921,0.23932871454181978,0.24827626247169507,0.2509586053024894,0.29055640504832175,0.28262483974358976,0.2939707532051282,1763.579,733.751,0.24897877933928847,0.2726586867585984,0.31591296296296295,0.26853571428571427,0.2902567934782609,0.26904258241758244,682.372,586.482,640.8870000000001,587.589,0.2612507891285775,0.24931464575023232,0.25502994075858,0.2555978118629937,212.221,170.581,176.225,204.633,205.624,235.597,232.969,213.806,224.327,192.568,223.992,204.787,232.969,213.806,224.327,192.568,223.992,204.787,212.221,170.581,176.225,204.633,205.624,235.597,44.284,42.742,49.672,48.061,49.965,33.901,40.937,40.73,38.617,37.525,40.61,40.816,44.942,41.711,44.242,44.282000000000004,50.575,49.346000000000004,43.384,52.69,49.289,48.909,55.422,53.077,53.382,49.346000000000004,53.488,50.996,55.109,52.375,53.123,54.797,54.935,51.364,52.449,47.232,54.874,43.46,55.42,45.081,46.672,46.284,45.683,45.658,54.213,47.138,51.801,48.961,45.128,41.737,50.704,60.191
JLG,0.15633688186813188,0.18969619357413423,0.0,2.256,0.055,0.091,0.159,1365.759,0.15633688186813186,3.7520851648351647,0.08773553719008265,0.06299175824175823,0.05942191780821918,0.05760164835164835,0.056747252747252744,0.055219780219780225,0.05672802197802198,0.0617032967032967,0.1090412087912088,0.16204945054945055,0.19043131868131866,0.2064532967032967,0.24199175824175823,0.2457554945054945,0.2638543956043956,0.24164835164835163,0.1988434065934066,0.18699725274725276,0.18161538461538462,0.20178296703296703,0.22996153846153847,0.2387967032967033,0.20958516483516484,0.14520604395604397,31.848,22.929,21.689,20.967,20.656,20.1,20.649,22.46,39.691,58.986,69.317,75.149,88.085,89.455,96.043,87.96,72.379,68.06700000000001,66.108,73.449,83.706,86.922,76.289,52.855000000000004,31.848,22.929,21.689,20.967,20.656,20.1,20.649,22.46,39.691,58.986,69.317,75.149,88.085,89.455,96.043,87.96,72.379,68.06700000000001,66.108,73.449,83.706,86.922,76.289,52.855000000000004,0.0973804945054945,0.23168910256410255,0.19230975274725276,0.20588736263736265,0.06328631575979023,141.786,506.00899999999996,280.00300000000004,299.772,138.189,0.07458129467005345,0.023639375788402542,0.028750368449719944,0.041797096004227846,0.007959962497805307,0.15678285256410257,0.15125160256410256,0.16414583333333335,0.15484695512820512,0.15192708333333332,0.16338221153846155,0.15202163461538462,195.665,188.762,204.854,193.249,189.605,203.901,189.723,0.19449488411345683,0.17742919795265558,0.20019554886498234,0.18503250926663894,0.18071473611663752,0.20337411393932697,0.1850541662307195,0.1557908653846154,0.15770192307692307,972.135,393.624,0.18776405142984284,0.1944740713338155,0.1404800925925926,0.12488461538461539,0.1241141304347826,0.2360485347985348,303.437,272.748,274.044,515.53,0.1631950460041231,0.1280689284945889,0.1421765675690402,0.26863471244229803,163.351,161.061,84.53,88.007,100.211,112.114,104.413,86.91,101.787,83.2,89.057,191.118,104.413,86.91,101.787,83.2,89.057,191.118,163.351,161.061,84.53,88.007,100.211,112.114,10.624,21.722,45.109,50.149,62.174,59.15,31.739,27.823,21.041,21.71,19.051,17.671,18.576,20.933,13.539,25.721,17.629,23.604,21.282,24.839,23.956,22.598,22.401,21.229,24.477,32.835,25.471,25.477,21.277,22.757,23.568,21.874,22.83,18.919,23.217,24.026,20.525,22.869,24.731,21.175,20.317,13.362,20.905,19.808,19.452,18.092,22.629,22.278,14.244,42.289,55.154,76.931
