archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-03,2024-03,2025-03,Marzo,2023-02-27/2023-03-05,2023-03-06/2023-03-12,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24,2024-03-25/2024-03-31,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06
ABLD,0.22300806451612903,0.2530662237556288,0.039,1.836,0.07,0.1165,0.241,497.754,0.22300806451612903,5.352193548387097,0.09163440860215054,0.08064516129032258,0.07601075268817205,0.08443010752688172,0.08710752688172042,0.07379569892473117,0.10223655913978494,0.18931182795698925,0.22093548387096776,0.1576021505376344,0.2512258064516129,0.2769569892473118,0.26778494623655913,0.30674193548387096,0.5011612903225806,0.368236559139785,0.29856989247311827,0.2607204301075269,0.2207741935483871,0.26303225806451613,0.4913870967741935,0.33898924731182795,0.21165591397849465,0.131247311827957,8.522,7.5,7.069,7.852,8.100999999999999,6.8629999999999995,9.508,17.606,20.547,14.657,23.364,25.757,24.904,28.527,46.608,34.246,27.767,24.247,20.532,24.462,45.699,31.526,19.684,12.206,8.522,7.5,7.069,7.852,8.100999999999999,6.8629999999999995,9.508,17.606,20.547,14.657,23.364,25.757,24.904,28.527,46.608,34.246,27.767,24.247,20.532,24.462,45.699,31.526,19.684,12.206,0.16752150537634408,0.32868458781362003,0.2607741935483871,0.29331989247311824,0.08227060931899642,62.318,183.406,97.008,109.115,45.907,0.0584395199117109,0.032081013265672774,0.02408893435229206,0.11196951549008044,0.02431526922733524,0.2373878205128205,0.2655138888888889,0.23008974358974357,0.21021153846153845,0.21090476190476193,0.21351190476190474,0.20012797619047618,74.065,76.468,71.788,65.586,70.864,71.74,67.243,0.2612817778560295,0.2915774945816228,0.26175746295407265,0.24959102263555502,0.23241226206752977,0.2458272537043518,0.22736730423676133,0.22998141025641028,0.20681994047619048,358.771,138.983,0.25956280465040477,0.23669550453496266,0.22300806451612903,497.754,0.25306622375562887,156.227,165.006,176.521,497.754,23.096,39.406,35.665,35.733,22.326999999999998,20.3,32.363,38.623,33.386,40.334,8.553,40.634,47.315,38.981,35.729,5.309
AJVG,0.3244843189964158,0.4507279551782721,0.019,4.021,0.048,0.102,0.41325,724.249,0.3244843189964157,7.787623655913979,0.13831182795698924,0.0943010752688172,0.07098924731182796,0.07987096774193549,0.06438709677419355,0.0725268817204301,0.23778494623655916,0.7480860215053764,0.4800752688172043,0.3653118279569893,0.38266666666666665,0.3791075268817204,0.27845161290322584,0.4158817204301075,0.43033333333333335,0.31384946236559136,0.2926236559139785,0.2788494623655914,0.26343010752688173,0.4383763440860215,0.6040430107526882,0.6070860215053764,0.5131397849462366,0.23813978494623655,12.863,8.77,6.602,7.428,5.988,6.745,22.114,69.572,44.647,33.974000000000004,35.588,35.257,25.896,38.677,40.021,29.188,27.214,25.933,24.499,40.769,56.176,56.459,47.722,22.147,12.863,8.77,6.602,7.428,5.988,6.745,22.114,69.572,44.647,33.974000000000004,35.588,35.257,25.896,38.677,40.021,29.188,27.214,25.933,24.499,40.769,56.176,56.459,47.722,22.147,0.4578145161290323,0.3667150537634409,0.31831989247311826,0.4906021505376344,0.08673118279569891,170.30700000000002,204.627,118.41499999999999,182.504,48.395999999999994,0.13527908001382283,0.10102467355143735,0.0855155141803983,0.14708443437097712,0.03621977816397423,0.35249679487179486,0.3584097222222222,0.3706025641025641,0.3384070512820513,0.2621815476190476,0.25083630952380953,0.3495922619047619,109.979,103.22200000000001,115.628,105.583,88.093,84.281,117.463,0.4607422572788687,0.4517105763464011,0.48878578714696364,0.4863281258524284,0.3757228572359391,0.39402236468468743,0.4789987353608112,0.3349391025641026,0.3002142857142857,522.505,201.744,0.4545848307219218,0.4410236587475189,0.3244843189964158,724.249,0.4507279551782722,217.881,258.44,247.928,724.249,43.936,44.257,49.211999999999996,47.522,32.954,30.171,77.352,43.377,29.649,77.891,14.685,59.208,69.749,54.069,41.756,8.461
ATF,0.1342782258064516,0.1348008888441202,0.048,1.718,0.063,0.096,0.14825,199.80599999999998,0.13427822580645163,3.222677419354839,0.0887741935483871,0.081,0.08311290322580646,0.08298387096774194,0.07703225806451612,0.08066129032258065,0.08580645161290323,0.10524193548387098,0.12483870967741936,0.1403548387096774,0.14391935483870968,0.16133870967741937,0.17820967741935484,0.2733225806451613,0.2719838709677419,0.16224193548387097,0.1352741935483871,0.14258064516129032,0.1419516129032258,0.12975806451612903,0.15156451612903227,0.15287096774193548,0.1254516129032258,0.10240322580645161,5.5040000000000004,5.022,5.1530000000000005,5.1450000000000005,4.776,5.001,5.32,6.525,7.74,8.702,8.923,10.003,11.049,16.946,16.863,10.059000000000001,8.387,8.84,8.801,8.045,9.397,9.478,7.778,6.349,5.5040000000000004,5.022,5.1530000000000005,5.1450000000000005,4.776,5.001,5.32,6.525,7.74,8.702,8.923,10.003,11.049,16.946,16.863,10.059000000000001,8.387,8.84,8.801,8.045,9.397,9.478,7.778,6.349,0.11406048387096775,0.19850268817204297,0.13739112903225806,0.1330725806451613,0.08226075268817205,28.287,73.843,34.073,33.001999999999995,30.601000000000003,0.05353437785531988,0.07590499728791981,0.03273893011713738,0.02663728989728595,0.0029217690990458764,0.13923148148148148,0.111421875,0.13892708333333334,0.12266666666666666,0.1468611111111111,0.14946666666666666,0.1271625,30.074,21.393,26.674,23.552,31.722,35.872,30.519000000000002,0.1181954712453539,0.08459323144872276,0.11467835691783879,0.10529988754802411,0.13181861804015205,0.20619822016014253,0.12750687343028427,0.1323561507936508,0.13831458333333335,133.415,66.391,0.11319174240212439,0.1716133167205205,0.13427822580645163,199.806,0.13480088884412028,,124.373,75.433,199.806,,,,,,13.128,30.502,34.811,25.788,20.144000000000002,5.335,15.729,19.485,16.077,14.96,3.847
FJAG,0.32142545698924624,0.256429843900489,0.061,3.133,0.157,0.234,0.36924999999999997,478.2810799999984,0.32142545698924635,7.71421096774191,0.17266129032258065,0.13198387096774195,0.1362741935483871,0.13556451612903225,0.1346774193548387,0.1418225806451613,0.22708064516129034,0.29946774193548387,0.23006451612903225,0.26440322580645165,0.3097941935483813,0.5035683870967684,0.6710361290322523,0.4670845161290265,0.36692129032257775,0.32641935483870965,0.3339516129032258,0.35258064516129034,0.3982903225806452,0.5642419354838709,0.4993064516129032,0.4335,0.3788870967741935,0.23462903225806453,10.705,8.183,8.449,8.405,8.35,8.793,14.079,18.567,14.264,16.393,19.20723999999964,31.221239999999643,41.60423999999964,28.959239999999642,22.74911999999982,20.238,20.705,21.86,24.694,34.983,30.957,26.877,23.491,14.547,10.705,8.183,8.449,8.405,8.35,8.793,14.079,18.567,14.264,16.393,19.20723999999964,31.221239999999643,41.60423999999964,28.959239999999642,22.74911999999982,20.238,20.705,21.86,24.694,34.983,30.957,26.877,23.491,14.547,0.25525403225806453,0.4408039784946192,0.412266129032258,0.3865806451612903,0.14216397849462367,63.303,163.9790799999984,102.24199999999999,95.872,52.885,0.052325386923961326,0.09120477765906544,0.05299193371969337,0.050210021286433815,0.03265958399764884,0.3239375,0.2831302083333333,0.3112129629629629,0.3226064814814815,0.32524616666665995,0.3512685185185185,0.3281759259259259,62.196,54.361,67.222,69.683,78.05907999999839,75.874,70.886,0.23041839079542653,0.18966321411777554,0.21761609255327774,0.22143132224105722,0.3071800610389269,0.32406865785556394,0.2588163335021783,0.31394041666666517,0.3397222222222222,331.5210799999984,146.76,0.23954303760105736,0.293150605745372,0.32142545698924624,478.2810799999984,0.25642984390048884,233.61307999999838,244.668,,478.2810799999984,33.4925999999991,51.309,53.68,54.775999999999996,40.35547999999928,27.019,52.791,54.836,49.06,60.962,,,,,,
FMB,0.19648969534050179,0.22229069221081818,0.01,2.273,0.051,0.149,0.247,438.565,0.1964896953405017,4.715752688172044,0.0923010752688172,0.07348387096774193,0.08536559139784947,0.09281720430107526,0.0868279569892473,0.07582795698924731,0.09427956989247313,0.08090322580645161,0.18194623655913977,0.2603763440860215,0.3031935483870968,0.31047311827956986,0.27699999999999997,0.34923655913978496,0.2521505376344086,0.23136559139784946,0.240247311827957,0.26445161290322583,0.26304301075268816,0.3689677419354839,0.24893548387096773,0.16861290322580644,0.17258064516129032,0.14136559139784946,8.584,6.834,7.939,8.632,8.075,7.052,8.768,7.524,16.921,24.215,28.197,28.874,25.761,32.479,23.45,21.517,22.343,24.594,24.463,34.314,23.151,15.681,16.05,13.147,8.584,6.834,7.939,8.632,8.075,7.052,8.768,7.524,16.921,24.215,28.197,28.874,25.761,32.479,23.45,21.517,22.343,24.594,24.463,34.314,23.151,15.681,16.05,13.147,0.15437634408602152,0.2872365591397849,0.28417741935483876,0.18287365591397847,0.08443727598566309,57.428,160.278,105.714,68.02900000000001,47.11599999999999,0.09449988662720243,0.0572395932047968,0.10866336420251019,0.05153463047113714,0.007839569743017078,0.20865064102564104,0.1999409722222222,0.21568269230769233,0.19266666666666668,0.18010416666666668,0.18699404761904762,0.19384821428571428,65.099,57.583,67.293,60.112,60.515,62.83,65.133,0.20807863125307627,0.2150670100299734,0.21908336948818663,0.19976931497820083,0.18375968533042367,0.22821768861615266,0.2844743214754036,0.19910384615384613,0.19042113095238095,310.602,127.963,0.20519150643946296,0.2577152040688658,0.19648969534050179,438.565,0.2222906922108182,149.18,127.739,161.646,438.565,26.6,31.963,35.607,32.324,22.686,11.99,28.618,30.834,29.134,27.163,11.074,33.611,31.464,39.974,41.262,4.261
GPC,0.1743418458781362,0.2220491525853464,0.026,2.236,0.058,0.09,0.17325,389.131,0.1743418458781362,4.184204301075269,0.07973118279569892,0.13869892473118278,0.13402150537634408,0.08077419354838711,0.07653763440860216,0.07804301075268817,0.11644086021505377,0.2980752688172043,0.1993978494623656,0.20794623655913977,0.11559139784946236,0.1320752688172043,0.12729032258064515,0.1955806451612903,0.3783763440860215,0.28531182795698923,0.23859139784946237,0.1468279569892473,0.19891397849462364,0.27259139784946235,0.34178494623655914,0.1787311827956989,0.08898924731182796,0.07388172043010753,7.415,12.899,12.464,7.5120000000000005,7.118,7.258,10.829,27.721,18.544,19.339,10.75,12.283,11.838,18.189,35.189,26.534,22.189,13.655,18.499,25.351,31.786,16.622,8.276,6.871,7.415,12.899,12.464,7.5120000000000005,7.118,7.258,10.829,27.721,18.544,19.339,10.75,12.283,11.838,18.189,35.189,26.534,22.189,13.655,18.499,25.351,31.786,16.622,8.276,6.871,0.20546505376344087,0.20570430107526883,0.21423118279569892,0.1708467741935484,0.09796774193548387,76.43299999999999,114.78299999999999,79.694,63.555,54.666000000000004,0.07543662676434992,0.054711156614739305,0.0837534685729419,0.10466330506242687,0.05686519778595293,0.1549903846153846,0.17685416666666665,0.17397435897435898,0.18021153846153845,0.1551607142857143,0.18523511904761905,0.1933363095238095,48.357,50.934,54.28,56.226,52.134,62.239,64.961,0.18129391115633106,0.21426989619317532,0.21838237354868673,0.22838586431204802,0.20004897401452576,0.2339016021308721,0.2642967181313389,0.16790448717948717,0.18928571428571428,261.931,127.2,0.2089207533629762,0.24940924282520596,0.1743418458781362,389.131,0.22204915258534655,133.079,119.662,136.39,389.131,23.151,27.657,33.829,26.464,21.978,12.888,28.833,30.96,28.069,18.912,13.17,33.753,31.393,25.616,28.865,3.593
JACL,0.10530913978494624,0.08071935848050597,0.028,1.584,0.063,0.092,0.126,235.05,0.10530913978494624,2.5274193548387096,0.12331182795698925,0.08275268817204301,0.07590322580645162,0.07221505376344087,0.07429032258064516,0.07138709677419355,0.07023655913978495,0.08873118279569893,0.09532258064516129,0.10176344086021506,0.11183870967741935,0.11879569892473119,0.09863440860215054,0.12866666666666665,0.2692795698924731,0.10594623655913979,0.09422580645161291,0.09911827956989247,0.09441935483870968,0.09474193548387097,0.09450537634408601,0.11735483870967742,0.12141935483870968,0.12255913978494623,11.468,7.696,7.059,6.716,6.909,6.639,6.532,8.252,8.865,9.464,10.401,11.048,9.173,11.966,25.043,9.853,8.763,9.218,8.781,8.811,8.789,10.914,11.292,11.398,11.468,7.696,7.059,6.716,6.909,6.639,6.532,8.252,8.865,9.464,10.401,11.048,9.173,11.966,25.043,9.853,8.763,9.218,8.781,8.811,8.789,10.914,11.292,11.398,0.08901344086021505,0.13886021505376342,0.0956263440860215,0.11395967741935484,0.0833100358422939,33.113,77.484,35.573,42.393,46.487,0.015569052472125311,0.06201886825989981,0.00963511892802839,0.0035028363025252805,0.005145663716400693,0.10843269230769231,0.10120833333333333,0.10372115384615384,0.10161858974358975,0.1025654761904762,0.10470535714285714,0.11417261904761905,33.831,29.148,32.361,31.705000000000002,34.462,35.181,38.362,0.06629517416439162,0.0640827943337112,0.10133841842790035,0.06832849565814475,0.06689436001311029,0.07851965872974899,0.10564155090633721,0.1035301282051282,0.10943898809523811,161.507,73.543,0.07470638092458695,0.0931250101152189,0.10530913978494624,235.05,0.080719358480506,70.059,80.506,84.485,235.05,12.257,15.586,16.112000000000002,14.613,11.491,8.655,18.359,18.424,17.661,17.407,6.441,19.118000000000002,18.468,18.448,19.219,2.791
JALG,0.30051702508960576,0.28757024698915745,0.028,2.216,0.106,0.188,0.39625,670.754,0.30051702508960576,7.2124086021505365,0.15738709677419355,0.10920430107526882,0.10383870967741936,0.09463440860215054,0.09451612903225806,0.10126881720430107,0.11722580645161292,0.22041935483870967,0.2758924731182796,0.3821827956989247,0.3593010752688172,0.2679032258064516,0.3530645161290323,0.5242258064516129,0.5204623655913978,0.4755591397849462,0.34118279569892473,0.36361290322580647,0.3263225806451613,0.3552903225806452,0.513505376344086,0.5666774193548387,0.35155913978494624,0.23717204301075268,14.637,10.156,9.657,8.801,8.79,9.418,10.902000000000001,20.499,25.658,35.543,33.415,24.915,32.835,48.753,48.403,44.227,31.73,33.816,30.348,33.042,47.756,52.701,32.695,22.057,14.637,10.156,9.657,8.801,8.79,9.418,10.902000000000001,20.499,25.658,35.543,33.415,24.915,32.835,48.753,48.403,44.227,31.73,33.816,30.348,33.042,47.756,52.701,32.695,22.057,0.24893010752688172,0.416752688172043,0.34660215053763443,0.4172284946236559,0.1101415770609319,92.602,232.548,128.936,155.20899999999997,61.459,0.09685638445680507,0.06969988558375008,0.05749631723431458,0.12124264264004203,0.02697230287554613,0.30431089743589745,0.2964513888888889,0.31220192307692307,0.2835416666666667,0.3092172619047619,0.25623511904761903,0.34097321428571425,94.94500000000001,85.378,97.407,88.465,103.897,86.095,114.567,0.2882285113172698,0.28455774916755416,0.29047900499615603,0.26358141483314945,0.2837314219830792,0.25534778405671027,0.3340594136043726,0.3013410256410256,0.29860416666666667,470.092,200.662,0.28209217734597697,0.30010858121540884,0.30051702508960576,670.754,0.2875702469891574,216.328,230.099,224.327,670.754,38.497,52.872,43.618,44.303,37.038,21.627,57.408,49.721000000000004,50.28,51.063,15.437,47.232,54.874,43.46,55.42,7.904
JLG,0.13029301075268818,0.13990881062156804,0.033,1.269,0.057,0.0925,0.149,290.814,0.1302930107526882,3.1270322580645162,0.112,0.06987096774193549,0.056709677419354836,0.0570752688172043,0.05366666666666666,0.054419354838709674,0.05348387096774194,0.05905376344086021,0.0976989247311828,0.21291397849462365,0.18195698924731182,0.1348494623655914,0.15936559139784945,0.17608602150537636,0.1948494623655914,0.1946021505376344,0.15296774193548388,0.12330107526881721,0.15605376344086022,0.1522795698924731,0.17562365591397847,0.20500000000000002,0.15394623655913978,0.13925806451612904,10.416,6.498,5.274,5.308,4.991,5.061,4.974,5.492,9.086,19.801,16.922,12.541,14.821,16.376,18.121,18.098,14.226,11.467,14.513,14.161999999999999,16.333,19.065,14.317,12.951,10.416,6.498,5.274,5.308,4.991,5.061,4.974,5.492,9.086,19.801,16.922,12.541,14.821,16.376,18.121,18.098,14.226,11.467,14.513,14.161999999999999,16.333,19.065,14.317,12.951,0.10578763440860214,0.17361827956989248,0.1461505376344086,0.16845698924731184,0.06729032258064517,39.352999999999994,96.87899999999999,54.368,62.666,37.548,0.09715013276486108,0.03858747205685689,0.03812208716784199,0.0184224206904307,0.0253029564213161,0.13535897435897434,0.12359027777777779,0.11655128205128204,0.13055769230769232,0.1322202380952381,0.13313392857142856,0.13908035714285716,42.232,35.594,36.364,40.734,44.426,44.733,46.731,0.14990408289006632,0.1113779022862821,0.10439245730916383,0.12907951338865128,0.13459925819117566,0.15604944655713748,0.17461437965744875,0.12778846153846155,0.13610714285714284,199.35,91.464,0.12729048915298213,0.16549559895145693,0.13029301075268818,290.814,0.13990881062156799,98.08,90.947,101.787,290.814,16.622,21.521,22.516,19.413,18.008,10.074,18.678,19.047,22.487,20.661,6.375,24.026,20.525,22.869,24.731,3.261
JMM,0.2684045698924731,0.24211308639546653,0.062,2.385,0.144,0.206,0.281,599.079,0.2684045698924731,6.441709677419356,0.21690322580645163,0.15536559139784947,0.1410537634408602,0.1356021505376344,0.13501075268817206,0.12765591397849463,0.14325806451612905,0.19310752688172042,0.22678494623655915,0.23212903225806453,0.2914193548387097,0.33701075268817204,0.4803978494623656,0.5277741935483871,0.42929032258064515,0.27259139784946235,0.239,0.2524516129032258,0.2776451612903226,0.33282795698924733,0.39106451612903226,0.32367741935483874,0.3175806451612903,0.26210752688172045,20.172,14.449,13.118,12.611,12.556000000000001,11.872,13.323,17.959,21.091,21.588,27.102,31.342,44.677,49.083,39.924,25.351,22.227,23.478,25.821,30.953,36.369,30.102,29.535,24.376,20.172,14.449,13.118,12.611,12.556000000000001,11.872,13.323,17.959,21.091,21.588,27.102,31.342,44.677,49.083,39.924,25.351,22.227,23.478,25.821,30.953,36.369,30.102,29.535,24.376,0.19881989247311826,0.389747311827957,0.27548118279569894,0.32360752688172045,0.15193189964157708,73.96100000000001,217.479,102.479,120.382,84.778,0.062115863309006904,0.13617016342249114,0.050001473568823,0.06572827662505594,0.02696530143558177,0.2377820512820513,0.2801006944444444,0.26065064102564106,0.2513653846153846,0.23738988095238098,0.33133333333333337,0.27792261904761906,74.188,80.669,81.32300000000001,78.426,79.763,111.328,93.382,0.1624769207403644,0.24337162818862337,0.22306396729281697,0.1897511515256702,0.17784819894350487,0.33524363458142387,0.2918061204031916,0.25280064102564104,0.3046279761904762,394.369,204.71,0.20080335927260498,0.3151770845508956,0.2684045698924731,599.079,0.24211308639546666,215.437,176.362,207.28,599.079,30.238,48.517,56.74,48.984,30.958,20.425,39.837,37.633,35.552,42.915,15.874,43.366,41.474000000000004,55.451,45.694,5.421
