archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-08,2024-08,Agosto,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01
ABLD,0.17687096774193548,0.1716355110073089,0.053,1.339,0.084,0.109,0.198,263.18399999999997,0.17687096774193548,4.244903225806451,0.1152258064516129,0.1089032258064516,0.11324193548387097,0.11690322580645161,0.10395161290322581,0.10570967741935484,0.1380483870967742,0.12496774193548388,0.12004838709677419,0.18708064516129033,0.20770967741935484,0.22720967741935483,0.18933870967741936,0.24496774193548387,0.27372580645161293,0.22479032258064516,0.18911290322580646,0.1957258064516129,0.20146774193548386,0.18246774193548387,0.22864516129032258,0.25158064516129036,0.23,0.1640806451612903,7.144,6.752,7.021,7.248,6.445,6.554,8.559,7.748,7.443,11.599,12.878,14.087,11.739,15.188,16.971,13.937,11.725,12.135,12.491,11.313,14.176,15.598,14.26,10.173,7.144,6.752,7.021,7.248,6.445,6.554,8.559,7.748,7.443,11.599,12.878,14.087,11.739,15.188,16.971,13.937,11.725,12.135,12.491,11.313,14.176,15.598,14.26,10.173,0.14253629032258064,0.22795698924731186,0.19219354838709676,0.2185766129032258,0.11065591397849463,35.349000000000004,84.8,47.664,54.207,41.164,0.053756147681705134,0.05595122201706101,0.025590308021737167,0.043328420031535676,0.022601525389250768,0.18561979166666667,0.15510648148148148,0.1829351851851852,0.19332083333333333,0.18408333333333335,0.1804953703703704,0.15303125,35.639,33.503,39.514,46.397,39.762,38.987,29.382,0.19603276311262088,0.1258782828661477,0.18510448454347364,0.19600943850377778,0.17760303920508716,0.16309329610465537,0.13910378460944242,0.18038425925925924,0.16757107843137256,194.815,68.369,0.17820329617013608,0.15270991866859135,0.1768709677419355,263.184,0.17163551100730898,124.96,138.224,263.184,26.341,35.414,21.009,23.145,19.051,21.987,33.457,21.518,38.598,22.664
AJVG,0.10422580645161292,0.13754339568071408,0.005,1.606,0.048,0.069,0.11,155.08800000000002,0.1042258064516129,2.5014193548387103,0.07096774193548387,0.07269354838709677,0.060016129032258066,0.07470967741935483,0.06706451612903226,0.1756290322580645,0.23083870967741935,0.0794516129032258,0.07714516129032259,0.07350000000000001,0.13593548387096777,0.1139516129032258,0.09825806451612902,0.116,0.11637096774193548,0.08933870967741935,0.11870967741935484,0.08943548387096774,0.10012903225806452,0.12012903225806451,0.12893548387096773,0.11711290322580645,0.09274193548387097,0.08235483870967741,4.4,4.507,3.721,4.632,4.158,10.889,14.312,4.926,4.783,4.557,8.428,7.0649999999999995,6.092,7.192,7.215,5.539,7.36,5.545,6.208,7.4479999999999995,7.994,7.261,5.75,5.106,4.4,4.507,3.721,4.632,4.158,10.889,14.312,4.926,4.783,4.557,8.428,7.0649999999999995,6.092,7.192,7.215,5.539,7.36,5.545,6.208,7.4479999999999995,7.994,7.261,5.75,5.106,0.11523387096774193,0.11164247311827956,0.1071008064516129,0.10528629032258063,0.08684677419354837,28.578000000000003,41.531000000000006,26.561,26.110999999999997,32.307,0.0982897266038238,0.06220830576014736,0.020238820144789116,0.02974365746049364,0.06083959324880116,0.12421354166666666,0.11394444444444443,0.10846759259259259,0.10870833333333334,0.08409722222222221,0.08010648148148149,0.11270833333333334,23.849,24.612,23.429,26.09,18.165,17.303,21.64,0.1451880211692957,0.14614789153987268,0.13813959527262415,0.12914160732304858,0.10063743254603313,0.1176130539924158,0.17634859080789442,0.10754166666666666,0.0954485294117647,116.145,38.943,0.13292901282768876,0.1488858946619245,0.1042258064516129,155.088,0.13754339568071397,68.206,86.882,155.088,0.752,5.081,24.202,24.161,14.01,7.631,11.744,15.33,30.436,21.741
ATF,0.10095698924731182,0.03213385998933447,0.059,0.302,0.07,0.101,0.127,75.112,0.10095698924731182,2.422967741935484,0.09929032258064516,0.0967741935483871,0.09980645161290322,0.10174193548387096,0.0982258064516129,0.09635483870967743,0.0992258064516129,0.10196774193548387,0.10158064516129033,0.10161290322580645,0.10212903225806451,0.1053225806451613,0.1042258064516129,0.09825806451612903,0.09961290322580646,0.09929032258064516,0.09764516129032258,0.09987096774193549,0.10561290322580645,0.10309677419354839,0.10529032258064515,0.10393548387096774,0.10054838709677419,0.1015483870967742,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,3.117,3.148,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,3.117,3.148,0.10109677419354839,0.10147311827956991,0.10155645161290323,0.10283064516129033,0.09869892473118279,12.536,18.874,12.593,12.751,18.357999999999997,0.0025305678323777657,0.0019850902431870795,0.006816810254986372,0.009358207608970083,0.0013195616378705037,0.0984375,0.09839583333333334,0.1024375,0.10670833333333334,0.09797499999999999,0.10426666666666667,0.09695833333333333,9.45,9.446,9.834,12.805,11.757,12.512,9.308,0.02850847057870419,0.030664733444023005,0.030663474757609034,0.03242584191797702,0.02796079563311772,0.04162330741168888,0.028596619846874678,0.10093181818181818,0.10101851851851852,53.292,21.82,0.030195616048799202,0.03651721008255708,0.10095698924731182,75.112,0.03213385998933448,,75.112,75.112,,,,,,9.75,16.218,15.87,17.81,15.464
FJAG,0.5026162903225786,0.6814931757909064,0.065,3.745,0.16,0.2115,0.41625,747.893039999997,0.5026162903225786,12.062790967741885,0.17806451612903224,0.18351612903225806,0.17588709677419354,0.17996774193548387,0.17675806451612902,0.20477419354838708,0.2467258064516129,0.241,0.253,0.33395354838709385,0.4117941935483813,0.605729677419349,0.6732458064516071,0.7563425806451556,0.8761148387096745,0.9285541935483784,0.9792922580645133,1.0595341935483844,1.1436148387096745,1.0176793548387069,0.5844354838709678,0.3514354838709678,0.2797741935483871,0.2215967741935484,11.04,11.378,10.905,11.158,10.959,12.696,15.297,14.942,15.686,20.70511999999982,25.53123999999964,37.55523999999964,41.74123999999964,46.89323999999964,54.31911999999982,57.57035999999946,60.71611999999982,65.69111999999983,70.90411999999982,63.09611999999982,36.235,21.789,17.346,13.739,11.04,11.378,10.905,11.158,10.959,12.696,15.297,14.942,15.686,20.70511999999982,25.53123999999964,37.55523999999964,41.74123999999964,46.89323999999964,54.31911999999982,57.57035999999946,60.71611999999982,65.69111999999983,70.90411999999982,63.09611999999982,36.235,21.789,17.346,13.739,0.2686698387096767,0.7086302150537577,1.0500301612903198,0.35931048387096776,0.18316129032258066,66.63011999999982,263.6104399999979,260.4074799999993,89.10900000000001,68.136,0.09403229187013659,0.28583285029708144,0.0417647141875698,0.16061901608086113,0.023358829714940545,0.4575989583333333,0.4774212962962963,0.5072516666666642,0.6338,0.39767648148148066,0.5571599999999892,0.46347916666666666,87.859,103.123,109.56635999999946,152.112,85.89811999999982,120.34655999999767,88.988,0.6770650634197731,0.682048919550964,0.6552691506037956,0.8535748758130399,0.5480219800672824,0.6032627928947285,0.6702263894955683,0.49866525925925853,0.5130749019607787,538.5584799999992,209.33455999999768,0.697949001858781,0.6365871957818481,0.5026162903225786,747.893039999997,0.6814931757909055,337.9333599999995,409.9596799999975,747.893039999997,66.72,108.035,99.435,31.580000000000002,32.163359999999464,82.807,158.572,96.19083999999874,28.648,43.741839999998746
FMB,0.20307795698924733,0.20721538190242186,0.033,1.071,0.056,0.109,0.26925,302.18,0.20307795698924727,4.873870967741936,0.1400483870967742,0.13506451612903228,0.15698387096774194,0.1264516129032258,0.12916129032258067,0.13098387096774194,0.13353225806451613,0.17767741935483872,0.20038709677419353,0.2109516129032258,0.24756451612903227,0.23714516129032256,0.2930967741935484,0.20601612903225805,0.162758064516129,0.19779032258064516,0.21540322580645163,0.1919032258064516,0.25112903225806454,0.2990967741935484,0.2991935483870968,0.2591935483870968,0.26311290322580644,0.2092258064516129,8.683,8.374,9.733,7.84,8.008000000000001,8.121,8.279,11.016,12.424,13.079,15.349,14.703,18.172,12.773,10.091,12.263,13.355,11.898,15.57,18.544,18.55,16.07,16.313,12.972,8.683,8.374,9.733,7.84,8.008000000000001,8.121,8.279,11.016,12.424,13.079,15.349,14.703,18.172,12.773,10.091,12.263,13.355,11.898,15.57,18.544,18.55,16.07,16.313,12.972,0.18063709677419354,0.22406182795698926,0.23938306451612906,0.2576814516129032,0.13644892473118284,44.798,83.351,59.367000000000004,63.90500000000001,50.75900000000001,0.01286842091637766,0.02151985687957353,0.042694970025021775,0.037261780112365445,0.007424148957943848,0.17344791666666667,0.20841666666666667,0.20774074074074075,0.20672083333333333,0.23869444444444443,0.18523148148148147,0.19691145833333334,33.302,45.018,44.872,49.613,51.558,40.01,37.807,0.1750632418138669,0.21921655959347605,0.22221614746218854,0.1964962155973304,0.22338536765110698,0.19721923140724582,0.20713565748321427,0.20774351851851852,0.19072794117647057,224.363,77.817,0.20913368676157607,0.20178121317127434,0.20307795698924733,302.18,0.20721538190242195,170.556,131.624,302.18,22.839,41.919,42.63,49.031,14.137,24.958000000000002,46.652,17.577,18.275,24.162
GPC,0.1260967741935484,0.12459495657575016,0.028,2.132,0.071,0.095,0.127,187.632,0.1260967741935484,3.0263225806451612,0.08290322580645161,0.08666129032258064,0.08553225806451613,0.0795,0.07993548387096774,0.08751612903225807,0.12541935483870967,0.1381774193548387,0.17238709677419356,0.1443548387096774,0.1275967741935484,0.12666129032258064,0.18061290322580645,0.19361290322580643,0.14690322580645163,0.1431451612903226,0.14543548387096775,0.12630645161290324,0.11730645161290322,0.16519354838709677,0.16033870967741937,0.12233870967741936,0.1002741935483871,0.08820967741935484,5.14,5.373,5.303,4.929,4.956,5.426,7.776,8.567,10.688,8.95,7.9110000000000005,7.853,11.198,12.004,9.108,8.875,9.017,7.831,7.273,10.241999999999999,9.941,7.585,6.217,5.469,5.14,5.373,5.303,4.929,4.956,5.426,7.776,8.567,10.688,8.95,7.9110000000000005,7.853,11.198,12.004,9.108,8.875,9.017,7.831,7.273,10.241999999999999,9.941,7.585,6.217,5.469,0.14508467741935482,0.15308870967741936,0.13856048387096775,0.11779032258064515,0.08367473118279568,35.980999999999995,56.949,34.363,29.212,31.126999999999995,0.022712492169440157,0.07379844983355242,0.03567981075516637,0.03983252062878,0.0014241234142053146,0.18233854166666666,0.1255925925925926,0.11021296296296297,0.12493333333333334,0.13040740740740742,0.0963287037037037,0.11838541666666667,35.009,27.128,23.806,29.984,28.168,20.807,22.73,0.213613745890718,0.09899748994112198,0.08199807722373324,0.12715616421404438,0.12074447646181544,0.07172776900673751,0.09819900403539106,0.1334212962962963,0.10670833333333334,144.095,43.537,0.13572074895234879,0.08581764982387965,0.1260967741935484,187.632,0.12459495657575018,89.566,98.066,187.632,11.557,18.632,24.708,20.487,14.182,15.066,17.515,20.856,23.396,21.233
JACL,0.286510752688172,0.3353496241671114,0.028,1.399,0.077,0.132,0.3575,426.328,0.286510752688172,6.876258064516128,0.1452258064516129,0.09330645161290323,0.08567741935483872,0.09151612903225807,0.09966129032258066,0.08761290322580646,0.08514516129032258,0.09637096774193547,0.10698387096774194,0.12835483870967743,0.13516129032258062,0.18040322580645163,0.366258064516129,0.6766129032258065,0.6277096774193548,0.5317741935483871,0.5065483870967742,0.5278225806451613,0.4483548387096774,0.3403225806451613,0.25956451612903225,0.4223709677419355,0.4821451612903226,0.3513548387096774,9.004,5.785,5.312,5.674,6.179,5.432,5.279,5.975,6.633,7.958,8.379999999999999,11.185,22.708,41.95,38.918,32.97,31.406,32.725,27.798,21.1,16.093,26.187,29.893,21.784,9.004,5.785,5.312,5.674,6.179,5.432,5.279,5.975,6.633,7.958,8.379999999999999,11.185,22.708,41.95,38.918,32.97,31.406,32.725,27.798,21.1,16.093,26.187,29.893,21.784,0.10421370967741936,0.4196532258064516,0.45576209677419355,0.37885887096774196,0.10050000000000002,25.845,156.111,113.029,93.957,37.386,0.033390733510942676,0.09669842907689873,0.03241112741889726,0.058083558895433256,0.03523546738471511,0.29836979166666666,0.292787037037037,0.2995787037037037,0.3219666666666667,0.29181944444444446,0.2284212962962963,0.2679479166666667,57.287,63.242,64.709,77.272,63.033,49.339,51.446,0.36309047770343583,0.3131771190942967,0.34627507993821743,0.3691112119000841,0.3362925772011927,0.26978351926181215,0.3353436112217736,0.3014287037037037,0.2470220588235294,325.543,100.785,0.3458537173430211,0.30267503028724924,0.286510752688172,426.328,0.3353496241671116,230.2,196.12800000000001,426.328,23.856,48.323,73.107,73.844,11.07,25.249,66.859,36.851,32.755,34.414
JALG,0.2652298387096774,0.2815842220467798,0.065,1.579,0.102,0.1535,0.276,394.662,0.2652298387096774,6.365516129032259,0.12546774193548388,0.11924193548387096,0.11906451612903225,0.11919354838709677,0.1166774193548387,0.1232258064516129,0.18479032258064518,0.2260483870967742,0.24475806451612905,0.23570967741935486,0.2319516129032258,0.31764516129032255,0.3819193548387097,0.42629032258064514,0.43501612903225806,0.3760483870967742,0.3840967741935484,0.3059677419354839,0.215,0.2695806451612903,0.4666290322580645,0.43385483870967745,0.3261290322580645,0.18120967741935484,7.779,7.393,7.382,7.39,7.234,7.64,11.457,14.015,15.175,14.614,14.381,19.694,23.679000000000002,26.43,26.971,23.314999999999998,23.814,18.97,13.33,16.714,28.931,26.899,20.22,11.235,7.779,7.393,7.382,7.39,7.234,7.64,11.457,14.015,15.175,14.614,14.381,19.694,23.679000000000002,26.43,26.971,23.314999999999998,23.814,18.97,13.33,16.714,28.931,26.899,20.22,11.235,0.22282661290322583,0.36147849462365594,0.2936612903225806,0.3519556451612903,0.1204784946236559,55.26100000000001,134.47,72.828,87.285,44.818000000000005,0.04252417316649267,0.04263320358898343,0.06335467999761957,0.10330453968165917,0.0027028728191430345,0.25966666666666666,0.22975462962962964,0.24608796296296298,0.27745416666666667,0.2569166666666667,0.29313425925925923,0.29491666666666666,49.856,49.627,53.155,66.589,55.494,63.317,56.624,0.28008537092951863,0.2189464838017833,0.244059060033977,0.29445340820917193,0.27781726050149974,0.33300325514493573,0.3061694656726838,0.2543712962962963,0.2939730392156863,274.721,119.941,0.2648606609211734,0.3202663767817081,0.2652298387096774,394.662,0.28158422204677946,224.081,170.581,394.662,24.751,47.765,62.656,62.565,26.344,22.503,33.901,40.937,40.73,32.51
JLG,0.24768951612903226,0.2590730392146515,0.039,1.491,0.071,0.1145,0.41225,368.562,0.24768951612903223,5.944548387096774,0.09496774193548387,0.08137096774193549,0.07511290322580645,0.0760483870967742,0.08248387096774193,0.07524193548387097,0.07451612903225807,0.09670967741935485,0.16182258064516128,0.18862903225806452,0.2516290322580645,0.3420645161290322,0.40288709677419354,0.38953225806451613,0.4957258064516129,0.4170967741935484,0.3858548387096774,0.3553709677419355,0.33649999999999997,0.36269354838709683,0.3757258064516129,0.3393548387096774,0.30674193548387096,0.1764677419354839,5.888,5.045,4.657,4.715,5.114,4.665,4.62,5.996,10.033,11.695,15.600999999999999,21.208,24.979,24.151,30.735,25.86,23.923,22.033,20.863,22.487000000000002,23.295,21.04,19.018,10.941,5.888,5.045,4.657,4.715,5.114,4.665,4.62,5.996,10.033,11.695,15.600999999999999,21.208,24.979,24.151,30.735,25.86,23.923,22.033,20.863,22.487000000000002,23.295,21.04,19.018,10.941,0.13041935483870967,0.3831559139784946,0.3601048387096774,0.2995725806451613,0.08087096774193549,32.344,142.534,89.30600000000001,74.294,30.084,0.06824149098489242,0.053013874329224116,0.03332031941305192,0.04125344461886213,0.013178931521431044,0.25980729166666666,0.22177777777777777,0.2635,0.26550833333333335,0.2849861111111111,0.23210185185185186,0.20023958333333333,49.883,47.903999999999996,56.916000000000004,63.722,61.557,50.134,38.446,0.2937911594850658,0.20868747450554823,0.28238288372926534,0.26428335230739375,0.30812821974983334,0.22917185345316585,0.19584903069165832,0.25924259259259264,0.2171078431372549,279.982,88.58,0.2732410974763571,0.21447091207216476,0.24768951612903226,368.562,0.2590730392146515,207.501,161.061,368.562,26.371,42.486,55.84,71.583,11.221,26.427,59.15,31.739,27.823,15.922
JMM,0.41974327956989244,0.6434027427643083,0.073,5.359,0.16075,0.264,0.42,624.578,0.41974327956989244,10.073838709677423,0.18503225806451612,0.16853225806451613,0.1600967741935484,0.15241935483870966,0.15629032258064515,0.14482258064516126,0.16666129032258065,0.20711290322580644,0.20156451612903226,0.23120967741935486,0.33180645161290323,0.5299516129032258,0.7008064516129032,0.6953064516129033,0.678516129032258,0.5599193548387097,0.6376612903225806,0.6994677419354838,0.7765322580645162,0.7345,0.6673064516129031,0.607016129032258,0.42554838709677417,0.25575806451612904,11.472,10.449,9.926,9.45,9.69,8.979,10.333,12.841,12.497,14.335,20.572,32.857,43.45,43.109,42.068,34.715,39.535,43.367,48.145,45.539,41.373,37.635,26.384,15.857,11.472,10.449,9.926,9.45,9.69,8.979,10.333,12.841,12.497,14.335,20.572,32.857,43.45,43.109,42.068,34.715,39.535,43.367,48.145,45.539,41.373,37.635,26.384,15.857,0.20163709677419356,0.5827177419354839,0.7120403225806452,0.48890725806451607,0.1611989247311828,50.006,216.771,176.586,121.249,59.965999999999994,0.027853599937370212,0.24076605805083864,0.1268015578068948,0.3797075077256774,0.006079987685610471,0.49843750000000003,0.43030555555555555,0.48236574074074073,0.33335000000000004,0.4779351851851852,0.33237500000000003,0.39953124999999995,95.7,92.946,104.191,80.004,103.234,71.793,76.71,0.8755627038820916,0.6819234214434773,0.8265056622900949,0.2684053840913126,0.7762723541853875,0.2764555780372445,0.5256739071039647,0.44081018518518517,0.36397794117647064,476.075,148.50300000000001,0.7101481812813202,0.4137382488706499,0.41974327956989244,624.578,0.6434027427643083,395.419,229.159,624.578,49.045,77.439,82.683,164.941,21.311,31.514,66.436,50.74,44.397,36.072
