archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-11,2024-11,Noviembre,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01
ABLD,0.19962777777777777,0.23274369862298458,0.032,1.741,0.062,0.095,0.231,287.464,0.19962777777777774,4.791066666666666,0.0992,0.08478333333333334,0.0668,0.07568333333333334,0.0684,0.06741666666666667,0.11435,0.26153333333333334,0.22568333333333335,0.1522166666666667,0.16195,0.17441666666666666,0.1585,0.18486666666666668,0.4196666666666667,0.39218333333333333,0.24635,0.17673333333333333,0.14021666666666668,0.22881666666666664,0.4544166666666667,0.4049,0.29041666666666666,0.14156666666666667,5.952,5.087,4.008,4.541,4.104,4.045,6.861,15.692,13.541,9.133000000000001,9.717,10.465,9.51,11.092,25.18,23.531,14.781,10.604,8.413,13.729,27.265,24.294,17.425,8.494,5.952,5.087,4.008,4.541,4.104,4.045,6.861,15.692,13.541,9.133000000000001,9.717,10.465,9.51,11.092,25.18,23.531,14.781,10.604,8.413,13.729,27.265,24.294,17.425,8.494,0.18844583333333334,0.24859722222222222,0.19802916666666667,0.322825,0.07704722222222223,45.227000000000004,89.495,47.527,77.478,27.737000000000002,0.04972299386229567,0.06036669673754564,0.05691577464152174,0.11311016435207859,0.033700891496237936,0.219265625,0.20483333333333334,0.18587962962962962,0.20461574074074076,0.19105555555555556,0.19000462962962963,0.205109375,42.099,39.328,40.15,44.197,41.268,41.041000000000004,39.381,0.2589320339083222,0.21936350890733763,0.22330666025300402,0.2520721298255672,0.20064710816631245,0.23093193395024803,0.24304284739693843,0.20062209302325582,0.19711274509803922,207.042,80.422,0.2313354990265718,0.23653613576506038,0.19962777777777777,287.464,0.2327436986229844,125.521,161.943,287.464,24.622,19.855,32.306,32.403999999999996,16.334,20.12,46.589,36.576,29.929000000000002,28.729
AJVG,0.24202847222222218,0.3469446906478831,0.018,2.366,0.047,0.085,0.25425,348.52099999999996,0.24202847222222224,5.808683333333334,0.09368333333333334,0.07876666666666667,0.0869,0.08245,0.06475,0.0706,0.3324,0.6982333333333333,0.3595833333333333,0.20925,0.22101666666666667,0.3065,0.33218333333333333,0.21836666666666668,0.18389999999999998,0.15350000000000003,0.1415833333333333,0.16638333333333336,0.222,0.38725,0.44726666666666665,0.48645,0.29738333333333333,0.1682833333333333,5.621,4.726,5.214,4.947,3.8850000000000002,4.236,19.944,41.894,21.575,12.555,13.261,18.39,19.931,13.102,11.033999999999999,9.21,8.495,9.983,13.32,23.235,26.836,29.187,17.843,10.097,5.621,4.726,5.214,4.947,3.8850000000000002,4.236,19.944,41.894,21.575,12.555,13.261,18.39,19.931,13.102,11.033999999999999,9.21,8.495,9.983,13.32,23.235,26.836,29.187,17.843,10.097,0.39986666666666665,0.23591111111111107,0.22930416666666667,0.34984583333333336,0.079525,95.96799999999999,84.928,55.033,83.963,28.629000000000005,0.10486882490556756,0.09570913050383809,0.10208285094581614,0.1270938945285611,0.019265335343813927,0.2489947916666667,0.20941666666666667,0.2122175925925926,0.2368101851851852,0.2177824074074074,0.2919212962962963,0.2782291666666667,47.807,40.208,45.839,51.151,47.041,63.055,53.42,0.3499611571175518,0.29171258775872794,0.29762683653964417,0.35543839434541863,0.3088618022649668,0.40896022244756075,0.39342841254040906,0.22485077519379845,0.2854779411764706,232.046,116.475,0.32154599422314434,0.40129270782067616,0.24202847222222224,348.521,0.346944690647883,162.931,185.59,348.521,27.002,28.463,36.299,46.65,24.517,6.477,34.83,39.097,49.954,55.232
ATF,0.1365375,0.13397419980537656,0.042,1.77,0.06875,0.107,0.147,98.307,0.13653750000000003,3.2768999999999995,0.09436666666666667,0.08446666666666666,0.08109999999999999,0.08326666666666667,0.08326666666666666,0.08159999999999999,0.0853,0.17583333333333334,0.19346666666666668,0.1268,0.14856666666666665,0.14236666666666667,0.14993333333333334,0.16133333333333333,0.3013,0.20673333333333332,0.1373,0.12990000000000002,0.11033333333333334,0.12283333333333334,0.1537,0.1579,0.1461,0.11913333333333333,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,3.574,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,3.574,0.14535,0.1850388888888889,0.12509166666666666,0.14420833333333333,0.08467777777777778,17.442,33.306999999999995,15.011000000000001,17.305,15.241999999999999,0.08024269452633194,0.10321154956436643,0.032460311572283754,0.028704498669667292,0.006021184886310489,0.18202083333333333,0.12585416666666668,0.13957291666666666,0.12902083333333333,0.1268,0.13119166666666668,0.12507291666666667,17.474,12.082,13.399,12.386,15.216,15.743,12.007,0.23157951819108277,0.08029301328544185,0.08929168580281578,0.0887343734698551,0.11033985695846016,0.1595175128465897,0.10118084328688713,0.13999404761904763,0.1284722222222222,70.557,27.75,0.13288884562870773,0.13644352837019616,0.1365375,98.307,0.1339741998053765,,98.307,98.307,,,,,,10.004,26.0,20.957,20.972,20.374
FJAG,0.3475536388888855,0.3112191982919633,0.07,3.409,0.15775,0.238,0.39825,500.47723999999516,0.3475536388888855,8.341287333333252,0.16826666666666668,0.15541666666666665,0.1317,0.13415,0.1331,0.13741666666666666,0.20488333333333333,0.2397,0.29502066666666066,0.30960799999998806,0.35665799999998804,0.521457999999988,0.6950413333333214,0.5106079999999881,0.437655999999991,0.41933533333333034,0.32940199999999703,0.46191666666666664,0.48018333333333335,0.6117666666666667,0.4626,0.43801666666666667,0.42545,0.2819333333333333,10.096,9.325,7.902,8.049,7.986,8.245,12.293,14.382,17.70123999999964,18.576479999999282,21.399479999999283,31.28747999999928,41.702479999999284,30.636479999999285,26.25935999999946,25.16011999999982,19.76411999999982,27.715,28.811,36.706,27.756,26.281,25.527,16.916,10.096,9.325,7.902,8.049,7.986,8.245,12.293,14.382,17.70123999999964,18.576479999999282,21.399479999999283,31.28747999999928,41.702479999999284,30.636479999999285,26.25935999999946,25.16011999999982,19.76411999999982,27.715,28.811,36.706,27.756,26.281,25.527,16.916,0.2623029999999955,0.4901261111111012,0.47081716666666595,0.402,0.14334166666666667,62.95271999999892,176.44539999999643,112.99611999999983,96.47999999999999,51.602999999999994,0.12507494840376385,0.08318404562141908,0.10724124608569534,0.03453758697109312,0.024415603953465523,0.28819791666666666,0.34296791666666016,0.32708796296296294,0.34061444444443945,0.42910037037035875,0.3356435185185185,0.363984375,55.334,65.84983999999875,70.651,73.57271999999892,92.68567999999749,72.499,69.885,0.1790559665521947,0.33000891137551,0.2391048162558868,0.311959923315528,0.44441371896835485,0.29576223598841156,0.28640290290293896,0.34698957364340616,0.3489803921568628,358.09323999999515,142.38400000000001,0.3188557174819133,0.2913828667656409,0.3475536388888855,500.47723999999516,0.31121919829196326,250.87171999999893,249.60551999999623,500.47723999999516,45.735,56.757,54.742,62.773719999998924,30.864,36.725959999998565,53.376,53.508,53.471,52.52455999999767
FMB,0.19161874999999998,0.231362555679994,0.023,2.353,0.049,0.1285,0.237,275.931,0.19161874999999998,4.59885,0.09606666666666668,0.09383333333333334,0.09038333333333333,0.09398333333333334,0.07436666666666666,0.06108333333333334,0.08205,0.09315000000000001,0.1893,0.2104,0.20823333333333333,0.22544999999999998,0.26271666666666665,0.2899,0.2952,0.21521666666666667,0.31271666666666664,0.35405000000000003,0.2970333333333333,0.3438666666666667,0.25723333333333337,0.15739999999999998,0.15801666666666667,0.1372,5.764,5.63,5.423,5.639,4.462,3.665,4.923,5.589,11.358,12.624,12.494,13.527,15.763,17.394,17.712,12.913,18.762999999999998,21.243000000000002,17.822,20.632,15.434000000000001,9.443999999999999,9.481,8.232,5.764,5.63,5.423,5.639,4.462,3.665,4.923,5.589,11.358,12.624,12.494,13.527,15.763,17.394,17.712,12.913,18.762999999999998,21.243000000000002,17.822,20.632,15.434000000000001,9.443999999999999,9.481,8.232,0.14372500000000002,0.24945277777777775,0.3269166666666667,0.1774625,0.08495277777777778,34.494,89.803,78.46000000000001,42.591,30.583,0.07465470342107206,0.0718465642023525,0.04913655588006044,0.037491412899222934,0.012588875390949881,0.22558854166666667,0.19116666666666668,0.17597222222222222,0.19182870370370372,0.20330555555555557,0.16520370370370369,0.19203645833333335,43.313,36.704,38.01,41.435,43.914,35.684,36.871,0.26252944481870033,0.20278909512832996,0.1472001932716965,0.201211200645711,0.22762071505572723,0.2477957245444276,0.3057073057337916,0.19706976744186047,0.1778308823529412,203.376,72.555,0.2107545563057453,0.27653991155039553,0.19161874999999998,275.931,0.231362555679994,129.374,146.557,275.931,23.394000000000002,29.748,25.789,33.795,16.648,16.239,34.217,34.262,35.729,26.11
GPC,0.1909423611111111,0.2283462408481935,0.027,1.983,0.065,0.1,0.206,274.957,0.19094236111111113,4.582616666666666,0.06296666666666667,0.09676666666666667,0.08033333333333334,0.07126666666666666,0.07644999999999999,0.0812,0.10946666666666666,0.3953666666666667,0.3206,0.24206666666666665,0.13525,0.11036666666666667,0.13996666666666666,0.20613333333333334,0.35995000000000005,0.28646666666666665,0.18121666666666666,0.1869333333333333,0.17948333333333333,0.2816166666666666,0.44948333333333335,0.28546666666666665,0.14013333333333333,0.10366666666666666,3.778,5.806,4.82,4.276,4.587,4.872,6.568,23.722,19.236,14.524,8.115,6.622,8.398,12.368,21.597,17.188,10.873,11.216,10.769,16.897,26.969,17.128,8.408,6.22,3.778,5.806,4.82,4.276,4.587,4.872,6.568,23.722,19.236,14.524,8.115,6.622,8.398,12.368,21.597,17.188,10.873,11.216,10.769,16.897,26.969,17.128,8.408,6.22,0.266875,0.20635555555555554,0.20731249999999998,0.2446875,0.0781638888888889,64.05,74.288,49.754999999999995,58.725,28.139,0.12159177154064145,0.07595811095096193,0.04122233328156828,0.09465213198452369,0.04120728790591582,0.19042708333333333,0.15322916666666667,0.19706944444444444,0.18778703703703703,0.18012037037037038,0.21965740740740738,0.20569791666666667,36.562,29.419999999999998,42.567,40.562,38.906,47.446,39.494,0.24891270341695806,0.16214413981636472,0.2314597353937119,0.22444524067963248,0.20356217118267922,0.27491423312149943,0.23042110868034624,0.18218701550387598,0.21308823529411763,188.017,86.94,0.21654003266792302,0.25473392595173655,0.1909423611111111,274.957,0.2283462408481935,133.351,141.606,274.957,20.946,32.117,28.951,35.07,16.267,15.182,32.524,33.955,33.277,26.668
JACL,0.1065923611111111,0.0796264895805861,0.03,1.047,0.064,0.094,0.128,153.493,0.1065923611111111,2.5582166666666666,0.10931666666666667,0.08264999999999999,0.07968333333333333,0.07141666666666667,0.07633333333333334,0.07798333333333334,0.06655,0.08485000000000001,0.08595,0.08163333333333332,0.126,0.09556666666666666,0.08783333333333333,0.14053333333333334,0.28709999999999997,0.12778333333333333,0.10526666666666666,0.09201666666666666,0.1055,0.09826666666666667,0.0984,0.12081666666666666,0.13231666666666667,0.12444999999999999,6.559,4.959,4.781,4.285,4.58,4.679,3.993,5.091,5.157,4.898,7.56,5.734,5.27,8.432,17.226,7.667,6.316,5.521,6.33,5.896,5.904,7.249,7.939,7.467,6.559,4.959,4.781,4.285,4.58,4.679,3.993,5.091,5.157,4.898,7.56,5.734,5.27,8.432,17.226,7.667,6.316,5.521,6.33,5.896,5.904,7.249,7.939,7.467,0.07974583333333334,0.1441361111111111,0.10026249999999999,0.11899583333333334,0.08289722222222222,19.139,51.889,24.063000000000002,28.558999999999997,29.843000000000004,0.011818579926307247,0.05582125256303682,0.005473442032990942,0.002294153767245066,0.0029666335871693515,0.10128645833333333,0.10214583333333332,0.09747685185185186,0.09725,0.10385185185185185,0.11880092592592593,0.12645833333333334,19.447,19.612,21.055,21.006,22.432,25.661,24.28,0.06381703414509947,0.05183157968560346,0.05161466729792632,0.046426360795825745,0.06932207471697831,0.105133015189614,0.13007150000456688,0.10034108527131784,0.12240441176470589,103.552,49.941,0.05715252567526291,0.11744407704758793,0.1065923611111111,153.493,0.07962648958058613,74.149,79.344,153.493,13.899,17.488,17.379,16.309,9.074,8.056000000000001,19.279,17.985,18.755,15.269
JALG,0.2964361111111111,0.26543170039814185,0.057,1.487,0.106,0.1955,0.397,426.86800000000005,0.2964361111111111,7.114466666666666,0.19223333333333334,0.10223333333333334,0.09434999999999999,0.09016666666666667,0.08691666666666667,0.09413333333333333,0.1067,0.20376666666666665,0.2704166666666667,0.37279999999999996,0.29535,0.23653333333333335,0.4930833333333334,0.5505833333333333,0.5033,0.50895,0.3327666666666667,0.3547166666666667,0.3090833333333334,0.32144999999999996,0.44806666666666667,0.5484333333333333,0.33663333333333334,0.2618,11.534,6.134,5.661,5.41,5.215,5.648,6.402,12.225999999999999,16.225,22.368,17.721,14.192,29.585,33.035,30.198,30.537,19.966,21.283,18.545,19.287,26.884,32.906,20.198,15.708,11.534,6.134,5.661,5.41,5.215,5.648,6.402,12.225999999999999,16.225,22.368,17.721,14.192,29.585,33.035,30.198,30.537,19.966,21.283,18.545,19.287,26.884,32.906,20.198,15.708,0.23842083333333336,0.4313,0.3295041666666667,0.39873333333333333,0.11000555555555554,57.221000000000004,155.268,79.081,95.696,39.602000000000004,0.09356844199902621,0.10003190585360465,0.030981300959601818,0.08182921912280308,0.03577577854745103,0.31890625,0.2997447916666667,0.31191203703703707,0.30788888888888893,0.27228703703703705,0.27447222222222223,0.29223958333333333,61.23,57.551,67.373,66.504,58.814,59.286,56.11,0.2944972849633513,0.2650987615509974,0.290656012853552,0.265065286677736,0.24337376942705535,0.23950607928715265,0.25730755508028946,0.3018139534883721,0.2828333333333333,311.472,115.396,0.2719816424866357,0.24789402242782374,0.2964361111111111,426.868,0.2654317003981418,221.244,205.624,426.868,34.478,56.285,48.656,50.757,31.068,19.298000000000002,43.384,52.69,49.289,40.963
JLG,0.12622777777777777,0.13026774504385535,0.028,1.208,0.056,0.091,0.15,181.76799999999997,0.12622777777777777,3.029466666666667,0.11101666666666667,0.06805,0.05985,0.05716666666666667,0.05611666666666667,0.054150000000000004,0.05411666666666667,0.055766666666666666,0.06715,0.16675,0.20705,0.12936666666666669,0.10275,0.18606666666666666,0.19116666666666668,0.17683333333333331,0.17273333333333335,0.12776666666666667,0.1360833333333333,0.13763333333333333,0.1657833333333333,0.20121666666666668,0.18391666666666667,0.16096666666666665,6.661,4.083,3.591,3.43,3.367,3.249,3.247,3.346,4.029,10.005,12.423,7.7620000000000005,6.165,11.164,11.47,10.61,10.364,7.666,8.165,8.258,9.947,12.073,11.035,9.658,6.661,4.083,3.591,3.43,3.367,3.249,3.247,3.346,4.029,10.005,12.423,7.7620000000000005,6.165,11.164,11.47,10.61,10.364,7.666,8.165,8.258,9.947,12.073,11.035,9.658,0.08594583333333333,0.16553888888888887,0.14355416666666665,0.17797083333333336,0.067725,20.627000000000002,59.594,34.453,42.713,24.381,0.08886428196574792,0.06276929357279246,0.05747235942408855,0.03224667312139369,0.00805516095446586,0.13895312499999998,0.11823958333333333,0.1338425925925926,0.1300462962962963,0.1077824074074074,0.1326064814814815,0.12220312500000001,26.679,22.701999999999998,28.91,28.09,23.281,28.643,23.463,0.16717133227839334,0.09290244219217549,0.1285463747310791,0.13166341048536373,0.07809352690764522,0.1656510138103587,0.12103634256102476,0.12564147286821706,0.12771078431372548,129.662,52.106,0.12343828431208054,0.14627872046308377,0.12622777777777777,181.768,0.1302677450438554,81.557,100.211,181.768,14.002,23.07,19.516000000000002,13.927999999999999,11.041,11.016,21.282,24.839,23.956,19.118
JMM,0.25166388888888896,0.24334146446253282,0.069,2.297,0.122,0.188,0.266,362.3960000000001,0.25166388888888885,6.039933333333333,0.15858333333333335,0.12453333333333334,0.12061666666666666,0.11658333333333333,0.11373333333333333,0.11576666666666666,0.12408333333333334,0.19560000000000002,0.25698333333333334,0.22644999999999998,0.25233333333333335,0.3423333333333333,0.4270833333333333,0.5769166666666667,0.40225000000000005,0.23853333333333332,0.21273333333333333,0.2185,0.3467333333333333,0.34681666666666666,0.3388333333333334,0.2927666666666667,0.2687,0.22246666666666667,9.515,7.472,7.237,6.995,6.824,6.946,7.445,11.736,15.419,13.587,15.14,20.54,25.625,34.615,24.135,14.312,12.764,13.11,20.804,20.809,20.330000000000002,17.566,16.122,13.348,9.515,7.472,7.237,6.995,6.824,6.946,7.445,11.736,15.419,13.587,15.14,20.54,25.625,34.615,24.135,14.312,12.764,13.11,20.804,20.809,20.330000000000002,17.566,16.122,13.348,0.20077916666666668,0.3732416666666667,0.2811958333333333,0.2806916666666667,0.12496944444444445,48.187,134.36700000000002,67.487,67.366,44.989000000000004,0.04333977954931804,0.13986757993006166,0.09882176966579381,0.07004587633481275,0.008393445034413596,0.21900520833333334,0.252046875,0.227625,0.23267592592592592,0.2970925925925926,0.25635185185185183,0.27596354166666665,42.049,48.393,49.167,50.258,64.172,55.372,52.985,0.17020814167088433,0.2288844169559426,0.25732331147392573,0.19074401834401622,0.28177528691666354,0.2372190750718627,0.3024485482165207,0.24616182170542633,0.2655808823529412,254.039,108.357,0.2319961536349921,0.2697232876831918,0.2516638888888889,362.396,0.2433414644625327,168.652,193.744,362.396,27.401,42.26,39.56,38.0,21.431,28.27,42.262,47.68,45.465,30.067
