archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2025-03,Marzo,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06
ABLD,0.23725940860215056,0.27342898358338896,0.039,1.791,0.063,0.13,0.26125,176.52100000000002,0.2372594086021505,5.6942258064516125,0.08403225806451613,0.0747741935483871,0.0683225806451613,0.0625483870967742,0.065,0.06270967741935483,0.1444516129032258,0.2528064516129032,0.23280645161290323,0.15770967741935485,0.22435483870967743,0.31351612903225806,0.22316129032258064,0.4116774193548387,0.605225806451613,0.35500000000000004,0.23570967741935486,0.24522580645161288,0.21148387096774193,0.3287741935483871,0.5739354838709678,0.40648387096774197,0.24774193548387097,0.1067741935483871,2.605,2.318,2.118,1.939,2.015,1.944,4.478,7.837,7.217,4.889,6.955,9.719,6.918,12.762,18.762,11.005,7.307,7.601999999999999,6.556,10.192,17.792,12.601,7.68,3.31,2.605,2.318,2.118,1.939,2.015,1.944,4.478,7.837,7.217,4.889,6.955,9.719,6.918,12.762,18.762,11.005,7.307,7.601999999999999,6.556,10.192,17.792,12.601,7.68,3.31,0.19694354838709677,0.355489247311828,0.2552983870967742,0.33373387096774193,0.06956451612903226,24.421,66.121,31.657,41.383,12.939,0.039681369364833165,0.06501995797027017,0.02397398984738274,0.15145965640604986,0.008642695171194138,0.280575,0.27714583333333337,0.25073958333333335,0.23328125,0.20925000000000002,0.19386666666666666,0.22023333333333334,33.669000000000004,26.606,24.071,22.395,20.088,23.264,26.428,0.29856304775942216,0.29846202188682547,0.25491902717660503,0.2711034257146348,0.2657758454036032,0.24021243865852265,0.27521422468285883,0.25164484126984127,0.20705,126.82900000000001,49.692,0.27953467236614066,0.25810423602242494,0.23725940860215053,176.521,0.27342898358338885,176.521,176.521,8.553,40.634,47.315,38.981,35.729,5.309
AJVG,0.33323655913978495,0.4758959593786042,0.03,3.199,0.046,0.0875,0.41074999999999995,247.928,0.333236559139785,7.997677419354838,0.1412258064516129,0.1089032258064516,0.06519354838709678,0.08474193548387096,0.06758064516129032,0.0634516129032258,0.24967741935483873,0.9814838709677419,0.4804193548387097,0.2606774193548387,0.23580645161290323,0.2044516129032258,0.15338709677419354,0.3261935483870968,0.22645161290322582,0.19806451612903228,0.2529032258064516,0.2601290322580645,0.32922580645161287,0.6858064516129033,0.9032580645161291,0.7402580645161291,0.6672258064516129,0.31116129032258066,4.378,3.376,2.021,2.627,2.095,1.967,7.74,30.426,14.893,8.081,7.3100000000000005,6.338,4.755,10.112,7.0200000000000005,6.140000000000001,7.84,8.064,10.206,21.26,28.001,22.948,20.684,9.646,4.378,3.376,2.021,2.627,2.095,1.967,7.74,30.426,14.893,8.081,7.3100000000000005,6.338,4.755,10.112,7.0200000000000005,6.140000000000001,7.84,8.064,10.206,21.26,28.001,22.948,20.684,9.646,0.49306451612903224,0.22405913978494627,0.3820161290322581,0.6554758064516129,0.08851612903225807,61.14,41.675000000000004,47.370000000000005,81.279,16.464,0.1647062420396194,0.12859246257924628,0.13722774349356562,0.11603987451686479,0.050922612938389976,0.38837499999999997,0.38128125,0.33253125,0.26294791666666667,0.27391666666666664,0.22543333333333332,0.4517166666666667,46.605,36.603,31.923,25.243,26.296,27.052,54.206,0.4992346758335422,0.5393708557808713,0.4762758588780246,0.3863848741125646,0.44999833138092193,0.35753736910723516,0.5524295032150338,0.3306944444444444,0.33857499999999996,166.67,81.258,0.47536046999125525,0.4779690149881087,0.33323655913978495,247.928,0.475895959378604,247.928,247.928,14.685,59.208,69.749,54.069,41.756,8.461
ATF,0.10138844086021505,0.08581063646506906,0.048,1.062,0.058,0.078,0.114,75.43299999999999,0.10138844086021505,2.4333225806451617,0.08183870967741935,0.07377419354838709,0.07938709677419355,0.07996774193548388,0.07693548387096776,0.08125806451612903,0.07612903225806451,0.08199999999999999,0.08351612903225807,0.08506451612903226,0.11180645161290323,0.11032258064516129,0.12348387096774195,0.1298709677419355,0.1822258064516129,0.11258064516129034,0.12470967741935485,0.15106451612903224,0.16203225806451613,0.1105483870967742,0.08490322580645161,0.07870967741935483,0.07316129032258065,0.07803225806451614,2.537,2.287,2.461,2.479,2.3850000000000002,2.519,2.36,2.542,2.589,2.637,3.466,3.42,3.8280000000000003,4.026,5.649,3.49,3.866,4.683,5.023,3.427,2.632,2.44,2.2680000000000002,2.419,2.537,2.287,2.461,2.479,2.3850000000000002,2.519,2.36,2.542,2.589,2.637,3.466,3.42,3.8280000000000003,4.026,5.649,3.49,3.866,4.683,5.023,3.427,2.632,2.44,2.2680000000000002,2.419,0.08167741935483872,0.1283817204301075,0.13708870967741935,0.0787016129032258,0.07886021505376345,10.128,23.878999999999998,16.999,9.759,14.668,0.0034477731183466106,0.05666093339090153,0.06053461216538425,0.00539777045863953,0.0023317267961475174,0.11624999999999999,0.080875,0.10945833333333332,0.08608333333333333,0.132125,0.10238333333333333,0.08314166666666667,13.95,7.764,10.508,8.264,12.684,12.286,9.977,0.10387292252369452,0.027721642694548437,0.09647633106695315,0.046572109717176985,0.10855580665213051,0.11127633732874084,0.04144213254816958,0.10549603174603175,0.09276250000000001,53.17,22.263,0.0862816368584483,0.08434089679618625,0.10138844086021506,75.433,0.08581063646506899,75.433,75.433,5.335,15.729,19.485,16.077,14.96,3.847
FJAG,0.39506061827956773,0.38078987323549124,0.0280999999999478,4.216,0.1575,0.3085,0.50375,293.9250999999984,0.3950606182795677,9.481454838709624,0.2840096774193498,0.20871935483870463,0.19533225806451104,0.20462258064515623,0.362261290322579,0.17103548387096607,0.3252290322580628,0.3016774193548387,0.2501290322580645,0.3182903225806452,0.42996774193548387,0.3734548387096758,0.5355838709677403,0.50800322580645,0.4004258064516095,0.3611677419354805,0.3549451612903175,0.5478774193548354,0.5693258064516112,0.9373548387096774,0.5816774193548387,0.42116451612903055,0.48100322580644994,0.3581967741935467,8.804299999999843,6.470299999999844,6.055299999999843,6.343299999999843,11.230099999999949,5.302099999999948,10.082099999999947,9.352,7.754,9.867,13.329,11.577099999999948,16.603099999999948,15.748099999999948,12.413199999999895,11.196199999999896,11.003299999999843,16.984199999999895,17.649099999999947,29.058,18.032,13.056099999999947,14.911099999999948,11.104099999999947,8.804299999999843,6.470299999999844,6.055299999999843,6.343299999999843,11.230099999999949,5.302099999999948,10.082099999999947,9.352,7.754,9.867,13.329,11.577099999999948,16.603099999999948,15.748099999999948,12.413199999999895,11.196199999999896,11.003299999999843,16.984199999999895,17.649099999999947,29.058,18.032,13.056099999999947,14.911099999999948,11.104099999999947,0.2988314516129028,0.43476720430107335,0.6023758064516104,0.4605104838709665,0.2376634408602111,37.05509999999995,80.86669999999962,74.6945999999997,57.10329999999984,44.205399999999266,0.0482690517111717,0.12474218365719028,0.21945906186719297,0.21029491747497636,0.26271155382974926,0.37911916666666534,0.39530937499999613,0.39143750000000005,0.32446875000000003,0.4386562499999946,0.4298008333333285,0.40055833333333335,45.49429999999984,37.94969999999963,37.578,31.149,42.11099999999948,51.57609999999942,48.067,0.3628255793878414,0.5944185844084381,0.32795746876049264,0.25912264737297463,0.44773627524587617,0.3250335645229981,0.2817940065275447,0.3854801587301567,0.41517958333333094,194.28199999999896,99.64309999999942,0.4123333921060721,0.3038994436336294,0.39506061827956773,293.9250999999984,0.38078987323549135,293.9250999999984,293.9250999999984,19.736,57.96469999999963,53.932699999999635,68.34399999999948,83.10769999999964,10.84
FMB,0.21726612903225806,0.2536450432187939,0.025,2.145,0.05775,0.1635,0.261,161.646,0.2172661290322581,5.2143870967741925,0.08332258064516129,0.06912903225806451,0.07935483870967742,0.07851612903225806,0.1036774193548387,0.09141935483870968,0.09551612903225806,0.06509677419354838,0.1657741935483871,0.2916774193548387,0.37264516129032255,0.44864516129032256,0.3282258064516129,0.3521290322580645,0.2692258064516129,0.3083548387096774,0.2582258064516129,0.36032258064516126,0.29170967741935483,0.39006451612903226,0.2676774193548387,0.15896774193548388,0.1312258064516129,0.15348387096774194,2.583,2.143,2.46,2.4339999999999997,3.214,2.834,2.961,2.018,5.139,9.042,11.552,13.908,10.175,10.916,8.346,9.559,8.005,11.17,9.043,12.092,8.298,4.928,4.068,4.758,2.583,2.143,2.46,2.4339999999999997,3.214,2.834,2.961,2.018,5.139,9.042,11.552,13.908,10.175,10.916,8.346,9.559,8.005,11.17,9.043,12.092,8.298,4.928,4.068,4.758,0.15451612903225806,0.34653763440860214,0.3250806451612903,0.17783870967741935,0.08423655913978495,19.159999999999997,64.456,40.31,22.051999999999996,15.668,0.10208697583627992,0.0819544348010317,0.14344147816832448,0.07046546581005397,0.01049570190624549,0.22624166666666667,0.2431354166666667,0.22873958333333333,0.22219791666666666,0.17427083333333335,0.21255,0.21358333333333332,27.149,23.341,21.959,21.331,16.73,25.506,25.63,0.21592139854618406,0.270625615148606,0.2625282839816519,0.23238799768769955,0.172726219578339,0.2940751304563873,0.2930841099722182,0.21926587301587303,0.21306666666666668,110.51,51.136,0.2328924118409042,0.29296566789685147,0.21726612903225806,161.646,0.2536450432187938,161.646,161.646,11.074,33.611,31.464,39.974,41.262,4.261
GPC,0.18331989247311825,0.244311871452094,0.028,2.236,0.058,0.0945,0.181,136.39,0.1833198924731183,4.399677419354838,0.06858064516129032,0.0827741935483871,0.09758064516129032,0.061580645161290325,0.069,0.06351612903225806,0.14012903225806453,0.3373548387096774,0.2082258064516129,0.2566451612903226,0.12958064516129034,0.18519354838709676,0.1993225806451613,0.2522258064516129,0.36106451612903223,0.23696774193548387,0.22474193548387095,0.16264516129032258,0.24212903225806454,0.24912903225806451,0.4004838709677419,0.20480645161290323,0.09887096774193548,0.06712903225806452,2.126,2.566,3.025,1.909,2.1390000000000002,1.969,4.344,10.458,6.455,7.956,4.017,5.741,6.179,7.819,11.193,7.346,6.967,5.042,7.506,7.723,12.415,6.349,3.065,2.081,2.126,2.566,3.025,1.909,2.1390000000000002,1.969,4.344,10.458,6.455,7.956,4.017,5.741,6.179,7.819,11.193,7.346,6.967,5.042,7.506,7.723,12.415,6.349,3.065,2.081,0.23558870967741935,0.22739247311827956,0.21966129032258064,0.1928225806451613,0.07383870967741936,29.212999999999997,42.295,27.238,23.91,13.734,0.10939109853039038,0.1033910909855593,0.07848171199343973,0.12374860699616051,0.03861791623482238,0.15408333333333332,0.16666666666666666,0.17801041666666664,0.19882291666666665,0.16251041666666666,0.199525,0.21816666666666668,18.49,16.0,17.089,19.087,15.600999999999999,23.943,26.18,0.184410192363706,0.18489483022954978,0.2630308564965302,0.2677885652521865,0.214926964083967,0.24786038908827607,0.31216043960761963,0.17116468253968253,0.20884583333333331,86.267,50.123,0.2237850579234451,0.2814148451047452,0.18331989247311825,136.39,0.24431187145209413,136.39,136.39,13.17,33.753,31.393,25.616,28.865,3.593
JACL,0.11355510752688172,0.09668882627255436,0.035,1.584,0.065,0.101,0.137,84.485,0.11355510752688171,2.7253225806451606,0.13229032258064516,0.09187096774193548,0.08293548387096775,0.07312903225806451,0.07796774193548386,0.07470967741935483,0.07548387096774194,0.08619354838709678,0.10825806451612903,0.1267741935483871,0.12119354838709678,0.11848387096774193,0.11632258064516128,0.11219354838709676,0.2972258064516129,0.11961290322580646,0.10512903225806451,0.1164516129032258,0.1127741935483871,0.10416129032258065,0.10470967741935484,0.12087096774193548,0.12332258064516129,0.12325806451612904,4.101,2.848,2.571,2.267,2.417,2.316,2.34,2.672,3.356,3.93,3.757,3.673,3.606,3.4779999999999998,9.214,3.708,3.259,3.61,3.496,3.229,3.246,3.747,3.823,3.821,4.101,2.848,2.571,2.267,2.417,2.316,2.34,2.672,3.356,3.93,3.757,3.673,3.606,3.4779999999999998,9.214,3.708,3.259,3.61,3.496,3.229,3.246,3.747,3.823,3.821,0.0991774193548387,0.147505376344086,0.10962903225806452,0.11804032258064516,0.08881720430107527,12.298,27.436,13.594000000000001,14.637,16.52,0.02620706762305655,0.10569997221888101,0.018829533190641224,0.0009130065643262918,0.004871469295855742,0.11806666666666667,0.11494791666666666,0.11836458333333333,0.10267708333333332,0.10701041666666666,0.11304166666666667,0.11853333333333334,14.168,11.035,11.363,9.857,10.273,13.565,14.224,0.07043284343382474,0.07768497379486441,0.15951202692103233,0.053054588529505044,0.055266149302913535,0.09589090403260613,0.11917629997692702,0.11249206349206349,0.1157875,56.696,27.789,0.09092152437645501,0.10797059421657906,0.11355510752688172,84.485,0.09668882627255439,84.485,84.485,6.441,19.118000000000002,18.468,18.448,19.219,2.791
JALG,0.30151478494623657,0.26242042397599,0.05,1.888,0.13,0.2085,0.36724999999999997,224.327,0.3015147849462365,7.236354838709676,0.16570967741935486,0.13574193548387098,0.14080645161290323,0.12280645161290323,0.11574193548387098,0.12206451612903226,0.10419354838709677,0.17219354838709677,0.191,0.23193548387096777,0.31248387096774194,0.29932258064516126,0.42638709677419356,0.5800967741935484,0.5364516129032257,0.4679032258064516,0.3156129032258065,0.3747741935483871,0.4081290322580645,0.37132258064516127,0.5256774193548387,0.536741935483871,0.31151612903225806,0.267741935483871,5.1370000000000005,4.208,4.365,3.807,3.588,3.784,3.23,5.338,5.921,7.19,9.687,9.279,13.218,17.983,16.63,14.504999999999999,9.784,11.618,12.652,11.511,16.296,16.639,9.657,8.3,5.1370000000000005,4.208,4.365,3.807,3.588,3.784,3.23,5.338,5.921,7.19,9.687,9.279,13.218,17.983,16.63,14.504999999999999,9.784,11.618,12.652,11.511,16.296,16.639,9.657,8.3,0.17483064516129032,0.43710752688172044,0.36745967741935487,0.4104193548387097,0.13381182795698926,21.679000000000002,81.30199999999999,45.565,50.891999999999996,24.889,0.055330803603669154,0.1120522669523235,0.08120285310751528,0.14108510287535447,0.010049329835633987,0.32385,0.2775208333333333,0.3246354166666667,0.28881249999999997,0.29971875,0.260525,0.3324666666666667,38.862,26.642,31.165,27.726,28.773,31.262999999999998,39.896,0.2929680238954588,0.2269875479620513,0.30221557728467396,0.238617831975823,0.2603167585896682,0.22365463180477857,0.27627239430377726,0.3039047619047619,0.29649583333333335,153.168,71.159,0.26682529197681354,0.2533947587229394,0.30151478494623657,224.327,0.26242042397599,224.327,224.327,15.437,47.232,54.874,43.46,55.42,7.904
JLG,0.13681048387096775,0.1559240863288207,0.041,1.253,0.052,0.094,0.158,101.787,0.13681048387096775,3.283451612903226,0.1074516129032258,0.0552258064516129,0.05183870967741935,0.056354838709677425,0.05038709677419355,0.04790322580645161,0.04709677419354839,0.051064516129032254,0.09419354838709677,0.19832258064516128,0.1534516129032258,0.16919354838709677,0.21774193548387097,0.21012903225806454,0.2207741935483871,0.24645161290322581,0.18254838709677418,0.11380645161290323,0.14980645161290324,0.14925806451612902,0.1756451612903226,0.22174193548387094,0.16729032258064516,0.1457741935483871,3.331,1.712,1.607,1.747,1.562,1.4849999999999999,1.46,1.583,2.92,6.148,4.757,5.245,6.75,6.514,6.844,7.640000000000001,5.659,3.528,4.644,4.627,5.445,6.874,5.186,4.519,3.331,1.712,1.607,1.747,1.562,1.4849999999999999,1.46,1.583,2.92,6.148,4.757,5.245,6.75,6.514,6.844,7.640000000000001,5.659,3.528,4.644,4.627,5.445,6.874,5.186,4.519,0.09766935483870967,0.20295698924731184,0.14885483870967742,0.17761290322580647,0.06152688172043011,12.111,37.75,18.458,22.024,11.443999999999999,0.09874072478203051,0.06182766366878371,0.09834980014209908,0.02475272860847412,0.0097638143503195,0.14321666666666666,0.12457291666666666,0.12035416666666666,0.10927083333333333,0.12926041666666668,0.15579166666666666,0.16245,17.186,11.959,11.554,10.49,12.409,18.695,19.494,0.17531096900748033,0.09921648258564031,0.1230565106955394,0.06775178834954397,0.12832132733199736,0.1823300127335523,0.22135601386442968,0.12618650793650793,0.15912083333333332,63.598,38.189,0.1268847136308736,0.2023868400784981,0.13681048387096775,101.787,0.1559240863288207,101.787,101.787,6.375,24.026,20.525,22.869,24.731,3.261
JMM,0.27860215053763443,0.2837541640596841,0.062,2.256,0.126,0.1985,0.291,207.28,0.2786021505376345,6.686451612903226,0.24348387096774193,0.15835483870967743,0.13180645161290325,0.12403225806451613,0.11990322580645162,0.11222580645161291,0.1271935483870968,0.24270967741935484,0.2407741935483871,0.24225806451612902,0.32251612903225807,0.35458064516129034,0.49548387096774194,0.6449354838709677,0.35835483870967744,0.2671612903225806,0.25009677419354837,0.2563225806451613,0.32212903225806455,0.37651612903225806,0.37074193548387097,0.2816451612903226,0.3376774193548387,0.3055483870967742,7.548,4.909,4.086,3.845,3.717,3.479,3.943,7.524,7.464,7.51,9.998,10.992,15.36,19.993,11.109,8.282,7.753,7.946,9.986,11.672,11.493,8.731,10.468,9.472,7.548,4.909,4.086,3.845,3.717,3.479,3.943,7.524,7.464,7.51,9.998,10.992,15.36,19.993,11.109,8.282,7.753,7.946,9.986,11.672,11.493,8.731,10.468,9.472,0.21323387096774193,0.40717204301075266,0.3012661290322581,0.3239032258064516,0.14830107526881722,26.441000000000003,75.734,37.357,40.164,27.583999999999996,0.08112677139609688,0.20252199147592895,0.07668400867712129,0.10402454910458028,0.044757160636961356,0.2627583333333333,0.2820729166666667,0.28815625,0.24879166666666666,0.22859375,0.32283333333333336,0.30365000000000003,31.531,27.079,27.663,23.884,21.945,38.74,36.438,0.20413440933078658,0.27707700790827716,0.2661173990286796,0.2148422146436367,0.20625194496690594,0.32599467267218374,0.40058433474575295,0.26210714285714287,0.31324166666666664,132.102,75.178,0.2343911287170314,0.36456072026305414,0.27860215053763443,207.28,0.2837541640596841,207.28,207.28,15.874,43.366,41.474000000000004,55.451,45.694,5.421
