archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-10,2024-10,Octubre,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03
ABLD,0.22145766129032257,0.25210608154136643,0.045,1.874,0.072,0.1075,0.24425,329.529,0.22145766129032257,5.314983870967743,0.09038333333333333,0.0837741935483871,0.077296875,0.08017741935483871,0.0758225806451613,0.10198387096774195,0.25811290322580643,0.21770967741935482,0.14024193548387098,0.1752741935483871,0.20666129032258065,0.20596774193548387,0.19474193548387098,0.44095161290322576,0.46525806451612906,0.2973870967741935,0.28935483870967743,0.25675806451612904,0.2026451612903226,0.3999838709677419,0.4231935483870968,0.3018870967741935,0.19016129032258067,0.1396774193548387,5.423,5.194,4.947,4.971,4.7010000000000005,6.323,16.003,13.498,8.695,10.867,12.813,12.77,12.074,27.339,28.846,18.438,17.94,15.919,12.564,24.799,26.238,18.717,11.790000000000001,8.66,5.423,5.194,4.947,4.971,4.7010000000000005,6.323,16.003,13.498,8.695,10.867,12.813,12.77,12.074,27.339,28.846,18.438,17.94,15.919,12.564,24.799,26.238,18.717,11.790000000000001,8.66,0.19783467741935484,0.3018279569892473,0.28718548387096776,0.2637298387096774,0.08490637880824371,49.063,112.28,71.22200000000001,65.405,31.559,0.04873637749763057,0.08298102184263997,0.08003517966680544,0.08843611871113373,0.029591207490224928,0.231875,0.20786666666666667,0.23678703703703705,0.2165277777777778,0.21110416666666668,0.19976041666666666,0.24423148148148147,50.085,49.888,51.146,46.77,40.532000000000004,38.354,52.754,0.2646689518431799,0.23188741436916602,0.2673126921155517,0.2456144817461113,0.24035460187446772,0.2196731624942936,0.2866545317724839,0.22076018518518517,0.22330392156862747,238.421,91.108,0.24997376486618425,0.2579674108216163,0.22145766129032257,329.529,0.2521060815413663,152.428,177.101,329.529,4.782,33.272,32.195,35.32,38.35,8.509,35.553,31.589,44.786,42.689,22.483999999999998
AJVG,0.16722043010752688,0.2140699401433614,0.02,1.714,0.053,0.076,0.193,248.824,0.16722043010752688,4.013290322580646,0.07431666666666666,0.06759677419354838,0.083328125,0.07596774193548388,0.09561290322580646,0.2663064516129032,0.4240967741935484,0.30093548387096775,0.2030483870967742,0.1297741935483871,0.1994516129032258,0.2238548387096774,0.20093548387096774,0.18069354838709675,0.11699999999999999,0.0852741935483871,0.09474193548387096,0.12714516129032258,0.20935483870967742,0.23474193548387098,0.21624193548387097,0.16124193548387097,0.1520967741935484,0.08924193548387098,4.459,4.191,5.333,4.71,5.928,16.511,26.294,18.658,12.589,8.046,12.366,13.879,12.458,11.203,7.254,5.287,5.874,7.883,12.98,14.554,13.407,9.997,9.43,5.533,4.459,4.191,5.333,4.71,5.928,16.511,26.294,18.658,12.589,8.046,12.366,13.879,12.458,11.203,7.254,5.287,5.874,7.883,12.98,14.554,13.407,9.997,9.43,5.533,0.26446370967741933,0.16786827956989248,0.16649596774193548,0.15470564516129032,0.11052144377240143,65.58699999999999,62.44699999999999,41.291000000000004,38.367000000000004,41.132,0.0698506317834456,0.11326349245229375,0.07547960484021808,0.04076057998430374,0.09577240688245137,0.16582870370370373,0.16838333333333333,0.15007407407407405,0.15687962962962965,0.12881770833333334,0.19561979166666665,0.2036990740740741,35.819,40.412,32.416,33.886,24.733,37.559,43.999,0.19894111156304448,0.21224686358533806,0.16982988499185872,0.18887176491767635,0.17746549874548162,0.24501004621770178,0.27872491598319005,0.15487592592592592,0.1998970588235294,167.266,81.55799999999999,0.19101156837500893,0.2631092656893214,0.16722043010752688,248.824,0.21406994014336134,113.141,135.683,248.824,2.1470000000000002,27.039,15.993,27.995,32.692,7.275,25.606,31.105,30.361,30.699,17.912
ATF,0.14868279569892473,0.10999926061041693,0.054,0.903,0.082,0.122,0.172,110.62,0.14868279569892473,3.568387096774193,0.09283333333333334,0.08338709677419355,0.08359375,0.08906451612903227,0.09629032258064515,0.09535483870967741,0.11390322580645161,0.12145161290322581,0.1941935483870968,0.2097741935483871,0.1673225806451613,0.1736774193548387,0.21519354838709678,0.22696774193548386,0.1989677419354839,0.15858064516129033,0.146,0.12174193548387097,0.11870967741935484,0.15948387096774194,0.18938709677419355,0.1925806451612903,0.18496774193548388,0.135258064516129,2.785,2.585,2.675,2.761,2.985,2.956,3.531,3.765,6.0200000000000005,6.503,5.187,5.384,6.671,7.036,6.168,4.916,4.526,3.774,3.68,4.944,5.8709999999999996,5.97,5.734,4.193,2.785,2.585,2.675,2.761,2.985,2.956,3.531,3.765,6.0200000000000005,6.503,5.187,5.384,6.671,7.036,6.168,4.916,4.526,3.774,3.68,4.944,5.8709999999999996,5.97,5.734,4.193,0.15983064516129034,0.19011827956989247,0.13648387096774192,0.17554838709677417,0.09008730958781362,19.819000000000003,35.361999999999995,16.924,21.768,16.747,0.052467288497811564,0.020618017689159916,0.040352473637783125,0.013500658339762973,0.0035588248658656404,0.14090624999999998,0.15160833333333334,0.14553333333333332,0.140025,0.14603125,0.18133333333333335,0.1375625,13.527,18.193,17.464,16.803,14.019,17.408,13.206,0.09873943147976584,0.10757466008776045,0.08325378163700882,0.07678798296433556,0.09785106331617079,0.18237432106098753,0.10047988146364112,0.14493840579710146,0.15944791666666666,80.006,30.614,0.09284131521517794,0.14847989761458286,0.14868279569892473,110.62,0.10999926061041694,,110.62,110.62,,,,,,,25.184,24.86,25.341,22.317,12.918
FJAG,0.33837024193548193,0.2523423924433098,0.086,1.832,0.181,0.251,0.38625,503.49491999999714,0.338370241935482,8.120885806451565,0.1628,0.15270967741935484,0.155953125,0.15401612903225806,0.15433870967741936,0.21769354838709679,0.28238709677419355,0.3329838709677419,0.26843741935483584,0.3112599999999971,0.4348587096774136,0.6420038709677361,0.5339070967741877,0.3970683870967684,0.35643935483870387,0.34658451612902647,0.38014903225805874,0.42193548387096774,0.568258064516129,0.49900000000000005,0.43324193548387097,0.44258064516129036,0.2764193548387097,0.1960806451612903,9.768,9.468,9.981,9.549,9.569,13.497,17.508,20.645,16.643119999999822,19.29811999999982,26.96123999999964,39.80423999999964,33.10223999999964,24.61823999999964,22.09923999999964,21.488239999999642,23.569239999999642,26.16,35.232,30.938000000000002,26.861,27.44,17.138,12.157,9.768,9.468,9.981,9.549,9.569,13.497,17.508,20.645,16.643119999999822,19.29811999999982,26.96123999999964,39.80423999999964,33.10223999999964,24.61823999999964,22.09923999999964,21.488239999999642,23.569239999999642,26.16,35.232,30.938000000000002,26.861,27.44,17.138,12.157,0.2987670967741921,0.45181032258063936,0.4673356451612889,0.3370806451612903,0.16625186491935484,74.09423999999964,168.07343999999787,115.89923999999964,83.596,61.832,0.054711143836210854,0.07801631726556804,0.021656686891215082,0.07984038775916553,0.02446553816417704,0.3027777777777778,0.32858750000000003,0.32712500000000005,0.2991712962962963,0.4161402083333184,0.3485416666666667,0.3571064814814815,65.4,78.861,70.659,64.621,79.89891999999713,66.92,77.135,0.17633139167466033,0.2123964691188209,0.19726890660118723,0.20388912470326934,0.34875357969591925,0.3128606038111909,0.27345073576062573,0.3328147407407381,0.3530759803921569,359.43991999999713,144.055,0.23539074600077456,0.2923242563853919,0.33837024193548193,503.49491999999714,0.2523423924433097,265.6150799999984,237.87983999999875,503.49491999999714,8.763,60.702,65.673,61.783079999998385,51.264,17.43,51.89083999999875,50.660000000000004,51.237,55.768,28.324
FMB,0.18423387096774194,0.22805056219890255,0.023,3.138,0.05,0.118,0.23,274.14,0.18423387096774194,4.421612903225806,0.07273333333333333,0.08343548387096775,0.072546875,0.11480645161290323,0.0745483870967742,0.07485483870967742,0.07912903225806452,0.10204838709677419,0.23612903225806453,0.23414516129032256,0.22741935483870968,0.23758064516129032,0.4506451612903226,0.30858064516129036,0.18027419354838708,0.22169354838709676,0.25970967741935486,0.2104516129032258,0.21904838709677418,0.18964516129032258,0.21248387096774193,0.24920967741935485,0.19296774193548388,0.11753225806451613,4.364,5.173,4.643,7.118,4.622,4.641,4.906,6.327,14.64,14.517,14.1,14.73,27.94,19.132,11.177,13.745,16.102,13.048,13.581,11.758,13.174,15.451,11.964,7.287,4.364,5.173,4.643,7.118,4.622,4.641,4.906,6.327,14.64,14.517,14.1,14.73,27.94,19.132,11.177,13.745,16.102,13.048,13.581,11.758,13.174,15.451,11.964,7.287,0.16286290322580646,0.27103225806451614,0.21971370967741938,0.1930483870967742,0.08215422827060932,40.39,100.82400000000001,54.48899999999999,47.876,30.561,0.08084784416921337,0.14383491898521075,0.028829980987826246,0.0869044908266751,0.010126607426064615,0.22441203703703702,0.17310833333333334,0.17319444444444443,0.15997685185185184,0.187609375,0.18625,0.1869212962962963,48.473,41.546,37.41,34.555,36.021,35.76,40.375,0.32135972981607247,0.2098598574356253,0.1798904037583469,0.18831743221386724,0.1943026691568908,0.2043977489860784,0.2578629134811935,0.18333796296296295,0.18660539215686275,198.005,76.135,0.22588627147297288,0.23394797437222636,0.18423387096774194,274.14,0.2280505621989025,129.955,144.185,274.14,5.129,30.282,24.535,28.830000000000002,31.88,9.299,24.601,28.033,36.007,29.915,25.628999999999998
GPC,0.16829368279569892,0.19046303021327185,0.026,1.688,0.071,0.101,0.18,250.421,0.16829368279569892,4.039048387096774,0.08610000000000001,0.08311290322580644,0.082234375,0.08946774193548386,0.0840483870967742,0.10922580645161291,0.30320967741935484,0.2799354838709677,0.1935,0.13591935483870968,0.12016129032258065,0.1465,0.1995483870967742,0.2815,0.23650000000000002,0.19254838709677422,0.16777419354838707,0.17974193548387096,0.2099193548387097,0.3405645161290322,0.2267741935483871,0.115,0.09016129032258065,0.08572580645161292,5.166,5.153,5.263,5.547,5.211,6.772,18.799,17.355999999999998,11.997,8.427,7.45,9.083,12.372,17.453,14.663,11.938,10.402,11.144,13.015,21.115,14.06,7.13,5.59,5.315,5.166,5.153,5.263,5.547,5.211,6.772,18.799,17.355999999999998,11.997,8.427,7.45,9.083,12.372,17.453,14.663,11.938,10.402,11.144,13.015,21.115,14.06,7.13,5.59,5.315,0.22814112903225806,0.1961263440860215,0.22449999999999998,0.12941532258064517,0.08903153561827958,56.579,72.959,55.676,32.095,33.111999999999995,0.06570907495405294,0.05765731408443578,0.048370657369976755,0.04067726529445068,0.01722824578979354,0.16293981481481482,0.1665083333333333,0.16031481481481483,0.17446296296296296,0.16925520833333332,0.16180729166666666,0.18235185185185185,35.195,39.961999999999996,34.628,37.684,32.497,31.067,39.388,0.1754688631703389,0.18322097209778546,0.18090450510019626,0.2096301250287089,0.18664503497998247,0.1913369040112377,0.2056112301165553,0.1666351851851852,0.17268382352941175,179.966,70.455,0.18718714959637517,0.19904385829855853,0.16829368279569892,250.421,0.19046303021327185,124.571,125.85,250.421,3.554,29.971,26.249,28.276,29.286,7.235,24.078,25.419,29.168,31.058,16.127
JACL,0.10453293010752687,0.07536478598117549,0.028,1.281,0.06075,0.096,0.133,155.545,0.10453293010752686,2.5087903225806456,0.09655,0.08083870967741937,0.0725,0.0822741935483871,0.07619354838709677,0.06759677419354838,0.07362903225806451,0.08712903225806452,0.08553225806451613,0.08758064516129031,0.11743548387096775,0.09920967741935484,0.11258064516129034,0.23879032258064517,0.13340322580645161,0.11574193548387098,0.11511290322580646,0.10235483870967742,0.09458064516129032,0.09185483870967742,0.11162903225806452,0.12011290322580645,0.12598387096774194,0.1209516129032258,5.793,5.0120000000000005,4.64,5.101,4.724,4.191,4.5649999999999995,5.402,5.303,5.43,7.281000000000001,6.151,6.98,14.805,8.271,7.176,7.1370000000000005,6.346,5.864,5.695,6.921,7.447,7.811,7.499,5.793,5.0120000000000005,4.64,5.101,4.724,4.191,4.5649999999999995,5.402,5.303,5.43,7.281000000000001,6.151,6.98,14.805,8.271,7.176,7.1370000000000005,6.346,5.864,5.695,6.921,7.447,7.811,7.499,0.08346774193548387,0.13619354838709677,0.1009758064516129,0.11966935483870968,0.0793255376344086,20.7,50.664,25.042,29.678,29.461,0.006818445083605252,0.06166060404199084,0.01524638375718501,0.006570546746242017,0.0019846912553683747,0.10230092592592593,0.10327916666666666,0.10193055555555555,0.10246296296296296,0.09848958333333334,0.111109375,0.11235648148148147,22.097,24.787,22.017,22.132,18.91,21.333,24.269,0.05500805183407728,0.08007674916369187,0.051777069465938505,0.05474072943510156,0.05222895523816751,0.11361003161418873,0.0970137739183876,0.10179907407407407,0.11176960784313725,109.943,45.602,0.0603323310939569,0.10502076948132813,0.10453293010752687,155.545,0.07536478598117549,77.871,77.674,155.545,3.507,19.176,17.759,17.293,15.233,4.903,14.844,18.219,16.183,18.093,10.335
JALG,0.26991532258064516,0.261165201539926,0.055,1.829,0.091,0.162,0.341,401.63399999999996,0.2699153225806452,6.477967741935484,0.10288333333333334,0.09632258064516129,0.094546875,0.0874516129032258,0.09362903225806452,0.10512903225806451,0.183,0.2264032258064516,0.2574193548387097,0.2598064516129032,0.22687096774193546,0.34148387096774196,0.5216774193548387,0.530483870967742,0.44583870967741934,0.3306935483870968,0.3213870967741935,0.24693548387096775,0.24591935483870966,0.496,0.4842258064516129,0.38556451612903225,0.24537096774193548,0.14919354838709678,6.173,5.972,6.051,5.422,5.805,6.518,11.346,14.037,15.96,16.108,14.065999999999999,21.172,32.344,32.89,27.642,20.503,19.926,15.31,15.247,30.752,30.022,23.905,15.213,9.25,6.173,5.972,6.051,5.422,5.805,6.518,11.346,14.037,15.96,16.108,14.065999999999999,21.172,32.344,32.89,27.642,20.503,19.926,15.31,15.247,30.752,30.022,23.905,15.213,9.25,0.23165725806451615,0.399508064516129,0.3275604838709677,0.31608870967741937,0.09666041106630824,57.45100000000001,148.61700000000002,81.235,78.39,35.940999999999995,0.0665178093947057,0.10964399566401965,0.12138549849155823,0.07900437335665109,0.005834663430961613,0.2789861111111111,0.2821166666666667,0.2648981481481481,0.2651759259259259,0.26537499999999997,0.24830208333333334,0.28029166666666666,60.261,67.708,57.217999999999996,57.278,50.952,47.674,60.543,0.25581409454717746,0.2792574788076657,0.26795440222353745,0.27386752284436017,0.2601869545325063,0.2327566700015103,0.2523839878549775,0.2716824074074074,0.2652377450980392,293.417,108.217,0.2675972241803138,0.24357378057097018,0.26991532258064516,401.634,0.261165201539926,197.001,204.633,401.634,6.307,40.993,44.934,43.673,48.549,12.545,35.486,44.242,44.282000000000004,50.575,30.048000000000002
JLG,0.12677217741935484,0.1284937616549019,0.035,1.34,0.058,0.094,0.15025,188.637,0.12677217741935484,3.0425322580645155,0.08775000000000001,0.05961290322580645,0.0570625,0.05732258064516129,0.055129032258064516,0.05585483870967742,0.05909677419354839,0.06940322580645161,0.1459193548387097,0.17087096774193547,0.14870967741935484,0.1371774193548387,0.17683870967741935,0.1739516129032258,0.19766129032258065,0.16543548387096774,0.12475806451612904,0.13059677419354837,0.13514516129032259,0.17898387096774193,0.2001290322580645,0.18733870967741936,0.15188709677419354,0.11688709677419355,5.265000000000001,3.696,3.652,3.554,3.418,3.463,3.664,4.303,9.047,10.594,9.22,8.505,10.964,10.785,12.255,10.257,7.735,8.097,8.379,11.097,12.408,11.615,9.417,7.247,5.265000000000001,3.696,3.652,3.554,3.418,3.463,3.664,4.303,9.047,10.594,9.22,8.505,10.964,10.785,12.255,10.257,7.735,8.097,8.379,11.097,12.408,11.615,9.417,7.247,0.11132258064516129,0.1666290322580645,0.14237096774193547,0.16406048387096772,0.062121975806451624,27.608000000000004,61.986000000000004,35.308,40.687,23.048,0.0767256876397168,0.0362566514545396,0.028692934337900097,0.0569856251664591,0.051099675994677275,0.12016666666666666,0.13648333333333335,0.1302824074074074,0.13441666666666666,0.11351041666666667,0.13071354166666668,0.11971759259259258,25.956,32.756,28.141000000000002,29.034,21.794,25.097,25.858999999999998,0.10063167932475796,0.12532254508600607,0.11933029738967242,0.15185177135982406,0.11412668581223749,0.15458841223669428,0.1267511712371581,0.1274824074074074,0.1248921568627451,137.681,50.956,0.12372971853627014,0.14047031614260655,0.12677217741935484,188.637,0.12849376165490198,100.63,88.007,188.637,2.918,25.254,20.817,20.861,24.797,5.983,18.53,13.539,25.721,17.629,12.588
JMM,0.23866935483870966,0.2275000171043996,0.07,2.097,0.12075,0.1815,0.258,355.14,0.23866935483870969,5.728064516129032,0.1373666666666667,0.11724193548387098,0.117109375,0.11998387096774193,0.11766129032258064,0.1187258064516129,0.14104838709677417,0.22033870967741934,0.1813225806451613,0.18224193548387096,0.2445967741935484,0.3783225806451613,0.5005967741935484,0.4436935483870968,0.3110806451612903,0.22930645161290322,0.25159677419354837,0.26738709677419353,0.304,0.2892903225806452,0.36796774193548387,0.27614516129032257,0.23401612903225807,0.17767741935483872,8.242,7.269,7.495,7.439,7.295,7.361,8.745,13.661,11.242,11.299,15.165000000000001,23.456,31.037,27.509,19.287,14.217,15.599,16.578,18.848,17.936,22.814,17.121,14.509,11.016,8.242,7.269,7.495,7.439,7.295,7.361,8.745,13.661,11.242,11.299,15.165000000000001,23.456,31.037,27.509,19.287,14.217,15.599,16.578,18.848,17.936,22.814,17.121,14.509,11.016,0.18123790322580646,0.35126612903225807,0.27806854838709677,0.2639516129032258,0.12134815748207885,44.946999999999996,130.67100000000002,68.961,65.46000000000001,45.101,0.029180968083519367,0.1381175533387983,0.04745829409054646,0.10431004390871187,0.008482693419803776,0.20727314814814815,0.2449375,0.23805555555555558,0.21,0.23204687499999999,0.3003385416666667,0.2434537037037037,44.771,58.785000000000004,51.42,45.36,44.553,57.665,52.586,0.14892830933753354,0.24091174500375265,0.22399509269264728,0.18831008568871985,0.20855974043543823,0.3094199521346577,0.2379404609623234,0.22674907407407408,0.2702230392156863,244.889,110.251,0.20560747715213498,0.27503745871050833,0.23866935483870966,355.14,0.2275000171043995,180.488,174.652,355.14,6.138,41.121,46.801,41.263,35.808,9.357,29.522,40.599,34.601,42.796,27.134
