archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Sábado,s_Sábado,std_Sábado,Fin de semana,s_Fin de semana,std_Fin de semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29
ABLD,0.1817275641025641,0.20525576075474988,0.031,1.741,0.067,0.0975,0.207,226.796,0.18172756410256408,4.361461538461539,0.11488461538461539,0.10590384615384615,0.08896153846153847,0.08659615384615385,0.08398076923076923,0.09003846153846154,0.1907307692307692,0.18909615384615386,0.18651923076923077,0.21711538461538463,0.2115576923076923,0.15594230769230769,0.15621153846153846,0.27248076923076925,0.4119807692307692,0.2937692307692308,0.1898653846153846,0.17121153846153847,0.17207692307692307,0.20151923076923076,0.23436538461538464,0.21048076923076925,0.17073076923076924,0.15544230769230769,5.974,5.507,4.626,4.503,4.367,4.682,9.918,9.833,9.699,11.290000000000001,11.001,8.109,8.123,14.169,21.423,15.276,9.873,8.903,8.948,10.479,12.187000000000001,10.945,8.878,8.083,5.974,5.507,4.626,4.503,4.367,4.682,9.918,9.833,9.699,11.290000000000001,11.001,8.109,8.123,14.169,21.423,15.276,9.873,8.903,8.948,10.479,12.187000000000001,10.945,8.878,8.083,0.1958653846153846,0.25032371794871794,0.1836682692307692,0.1927548076923077,0.09506089743589745,40.739999999999995,78.101,38.203,40.093,29.659,0.013488603531551468,0.10038186481949268,0.0327298754949018,0.06466194971050325,0.03228902965869809,0.1817275641025641,226.796,0.20525576075474994,0.1817275641025641,226.796,0.20525576075474994,0.20258680555555555,0.1997051282051282,0.1738392857142857,0.1529903846153846,58.345,62.308,58.41,47.733,0.24494407972971713,0.22279273074752348,0.2020526259320958,0.13536361619327078,13.012,19.694,12.918,19.774,29.616,19.255,19.526,19.564,23.264,10.933,24.213,15.027,19.526,19.564,23.264,10.933,24.213,15.027,13.012,19.694,12.918,19.774,29.616,19.255,1.846,4.518,2.349,4.2989999999999995,5.05,1.982,3.347,6.497,2.818,3.652,1.547,4.095,3.624,4.604,3.103,6.585,5.482,8.122,7.712000000000001,4.207,2.692,6.883,4.152,3.676,4.157,7.27,0.973,7.694,3.432,7.427,1.426,4.239,5.837,8.062,3.834,6.141,6.263,4.493,2.533,2.187,1.357,2.823,4.566,3.313,5.931,5.808,7.492,1.669,3.6790000000000003,3.593,5.934,1.821
AJVG,0.24562499999999998,0.3720322421162145,0.028,2.805,0.054,0.092,0.23925,306.53999999999996,0.24562499999999995,5.895,0.20855769230769233,0.16140384615384618,0.08532692307692308,0.08969230769230768,0.08775,0.08834615384615385,0.08099999999999999,0.14148076923076924,0.21809615384615383,0.2920576923076923,0.43201923076923077,0.48323076923076924,0.5581538461538462,0.32817307692307696,0.3649807692307693,0.2581538461538461,0.2714423076923077,0.23201923076923076,0.24644230769230768,0.2428653846153846,0.2518653846153846,0.29173076923076924,0.23882692307692308,0.24138461538461536,10.845,8.393,4.437,4.664,4.563,4.594,4.212,7.357,11.341,15.187,22.465,25.128,29.024,17.065,18.979000000000003,13.424,14.115,12.065,12.815,12.629,13.097,15.17,12.419,12.552,10.845,8.393,4.437,4.664,4.563,4.594,4.212,7.357,11.341,15.187,22.465,25.128,29.024,17.065,18.979000000000003,13.424,14.115,12.065,12.815,12.629,13.097,15.17,12.419,12.552,0.18315865384615385,0.4041185897435898,0.24819230769230766,0.25595192307692305,0.12017948717948719,38.096999999999994,126.08500000000001,51.623999999999995,53.238,37.496,0.11852703415688272,0.13356162725609244,0.05437459279093216,0.0485513638574583,0.11168043857820618,0.245625,306.54,0.37203224211621444,0.245625,306.54,0.37203224211621444,0.3992013888888889,0.25971153846153844,0.18863988095238096,0.15114423076923075,114.97,81.03,63.383,47.157,0.531479600335683,0.3712752596816071,0.2891054831284097,0.17864315784384932,12.597,13.161,16.837,22.01,42.183,33.478,16.473,65.019,27.052,19.022,17.309,21.399,16.473,65.019,27.052,19.022,17.309,21.399,12.597,13.161,16.837,22.01,42.183,33.478,2.106,4.524,3.819,2.148,1.659,1.712,1.638,6.12,2.032,3.2399999999999998,4.257,1.8199999999999998,7.52,5.367,5.144,6.324,5.175,1.567,7.002,9.378,9.616,14.620000000000001,1.8860000000000001,15.701,14.158,1.7329999999999999,1.541,8.275,4.917,1.74,19.199,21.359,13.245,11.216,1.7269999999999999,8.186,12.554,2.823,1.762,3.772,6.925,1.807,6.518,2.09,6.456,1.776,1.7550000000000001,5.232,5.568,5.92,7.579,2.332
ATF,0.13414983974358977,0.14780448023819412,0.048,1.428,0.065,0.1,0.133,167.419,0.13414983974358974,3.2195961538461546,0.11307692307692307,0.09657692307692309,0.09434615384615384,0.09121153846153847,0.08592307692307692,0.08588461538461539,0.09176923076923077,0.129,0.14409615384615385,0.14826923076923076,0.18334615384615385,0.20961538461538462,0.19313461538461538,0.1846730769230769,0.16905769230769233,0.13971153846153844,0.13746153846153847,0.15978846153846155,0.16896153846153844,0.14071153846153847,0.12621153846153846,0.12163461538461538,0.11011538461538461,0.09501923076923077,5.88,5.022,4.906,4.743,4.468,4.466,4.772,6.708,7.493,7.71,9.534,10.9,10.043,9.603,8.791,7.265,7.148,8.309000000000001,8.786,7.317,6.563,6.325,5.726,4.941,5.88,5.022,4.906,4.743,4.468,4.466,4.772,6.708,7.493,7.71,9.534,10.9,10.043,9.603,8.791,7.265,7.148,8.309000000000001,8.786,7.317,6.563,6.325,5.726,4.941,0.12828365384615387,0.17992307692307694,0.15173076923076922,0.11324519230769231,0.09450320512820513,26.683,56.135999999999996,31.560000000000002,23.555,29.485000000000003,0.05874386430359207,0.050613491973174926,0.05190473947923243,0.017734815083079013,0.02446603780791913,0.13414983974358977,167.419,0.14780448023819417,0.13414983974358977,167.419,0.14780448023819417,0.1106423611111111,0.15564743589743588,0.10712202380952382,0.16345833333333334,31.865,48.562,35.993,50.999,0.11143248707129146,0.16143244650441563,0.09423913686196932,0.19463630407200025,15.238,12.512,15.411,17.408,15.743,11.606,8.829,11.43,12.286,10.753,12.954,23.249,8.829,11.43,12.286,10.753,12.954,23.249,15.238,12.512,15.411,17.408,15.743,11.606,6.649,4.062,2.296,2.231,2.343,2.305,2.227,2.429,3.208,3.872,4.212,3.017,4.31,6.564,4.043,3.529,3.2720000000000002,3.048,2.124,4.641,2.111,3.819,2.303,4.188,2.142,2.9730000000000003,2.0460000000000003,2.745,1.85,2.188,4.505,2.956,2.066,1.903,3.531,2.153,2.8360000000000003,2.1390000000000002,1.627,2.255,2.303,3.101,3.094,2.082,1.805,4.617,1.843,2.6069999999999998,2.538,3.376,6.032,11.302999999999999
FJAG,0.480998237179486,0.5089039120708622,0.0290999999999472,4.041,0.18075,0.312,0.594,600.2857999999985,0.480998237179486,11.543957692307664,0.318676923076921,0.211274999999997,0.21260192307692005,0.19998653846153547,0.2414653846153826,0.21717499999999898,0.24807884615384512,0.3031923076923077,0.34232692307692303,0.4766538461538462,0.5370019230769221,0.6376173076923066,0.894599999999998,0.7316961538461518,0.6385211538461528,0.6083884615384595,0.618924999999999,0.6480403846153836,0.840424999999999,0.878924999999999,0.5804423076923076,0.43698076923076923,0.36867307692307694,0.3522884615384615,16.571199999999894,10.986299999999844,11.055299999999843,10.399299999999844,12.556199999999896,11.293099999999948,12.900099999999947,15.766,17.801,24.786,27.92409999999995,33.156099999999945,46.51919999999989,38.048199999999895,33.20309999999995,31.636199999999896,32.184099999999944,33.69809999999995,43.702099999999945,45.70409999999995,30.183,22.723,19.171,18.319,16.571199999999894,10.986299999999844,11.055299999999843,10.399299999999844,12.556199999999896,11.293099999999948,12.900099999999947,15.766,17.801,24.786,27.92409999999995,33.156099999999945,46.51919999999989,38.048199999999895,33.20309999999995,31.636199999999896,32.184099999999944,33.69809999999995,43.702099999999945,45.70409999999995,30.183,22.723,19.171,18.319,0.34256298076923053,0.6746374999999984,0.7465788461538451,0.4345961538461538,0.23353012820512586,71.25309999999995,210.4868999999995,155.2883999999998,90.396,72.86139999999926,0.10581653201942111,0.14962402114826331,0.06761807135525148,0.08062617404448737,0.1644683940080793,0.480998237179486,600.2857999999985,0.5089039120708619,0.480998237179486,600.2857999999985,0.5089039120708619,0.3898902777777771,0.33183012820512825,0.5035449404761888,0.6899849358974337,112.2883999999998,103.531,169.19109999999944,215.2752999999993,0.38851800783729395,0.2933859874129521,0.2952751448031208,0.8029743150765566,75.935,71.92829999999931,33.442,32.502,37.587,28.044,38.278,45.966399999999794,51.57609999999942,55.917,61.698,67.412,38.278,45.966399999999794,51.57609999999942,55.917,61.698,67.412,75.935,71.92829999999931,33.442,32.502,37.587,28.044,9.065,11.25,24.002,31.618,17.688,26.646,11.791699999999633,4.233,11.569599999999685,9.051,7.5009999999999994,8.749,8.141,6.613,10.339,5.448,10.102,7.851,8.604,8.011,10.477,2.644,4.449,5.217,10.488,7.89,7.132,10.882,12.86,7.404,8.703,15.099399999999791,11.327,10.837,10.667,10.961699999999633,6.359399999999791,7.803,15.785,14.526,14.484,12.641,14.266,12.186,12.444,12.374,8.014,16.68,9.352,7.929,27.337,22.794
FMB,0.2079110576923077,0.2765772253996821,0.022,2.145,0.05,0.104,0.245,259.473,0.2079110576923077,4.989865384615384,0.13234615384615384,0.09690384615384615,0.09867307692307693,0.09586538461538462,0.09436538461538461,0.09140384615384615,0.12236538461538463,0.09367307692307693,0.138,0.26765384615384613,0.2893461538461538,0.2053076923076923,0.30840384615384614,0.37736538461538466,0.3627115384615385,0.30973076923076925,0.29901923076923076,0.3152884615384615,0.2886346153846154,0.25861538461538464,0.2224423076923077,0.19173076923076923,0.1637307692307692,0.16628846153846155,6.882,5.039,5.131,4.985,4.907,4.753,6.363,4.871,7.176,13.918,15.046,10.676,16.037,19.623,18.861,16.106,15.549,16.395,15.009,13.448,11.567,9.97,8.514,8.647,6.882,5.039,5.131,4.985,4.907,4.753,6.363,4.871,7.176,13.918,15.046,10.676,16.037,19.623,18.861,16.106,15.549,16.395,15.009,13.448,11.567,9.97,8.514,8.647,0.15542307692307694,0.3088108974358974,0.29038942307692306,0.18604807692307693,0.10159294871794872,32.328,96.34900000000002,60.401,38.698,31.697,0.08563259267585303,0.1009142495480749,0.04067207440311126,0.04945354327292757,0.022564104887189518,0.2079110576923077,259.473,0.27657722539968205,0.2079110576923077,259.473,0.27657722539968205,0.22772916666666665,0.18411217948717948,0.1925952380952381,0.22991025641025642,65.586,57.443,64.712,71.732,0.34692151797509807,0.24492909318248815,0.26023472156039223,0.2470660344132834,24.330000000000002,23.569,18.25,18.566,20.627,25.461,23.943,16.182,25.506,20.749,18.457,23.833000000000002,23.943,16.182,25.506,20.749,18.457,23.833000000000002,24.330000000000002,23.569,18.25,18.566,20.627,25.461,3.027,5.046,8.869,7.388,4.701,10.335,1.87,2.8529999999999998,3.81,3.4699999999999998,4.659,5.778,4.343,3.402,3.695,7.024,4.445,3.522,4.761,3.7710000000000004,4.369,4.204,3.513,3.377,3.734,14.837,8.771,5.182,5.2540000000000004,4.736,2.6,4.116,4.1370000000000005,5.329,5.74,4.252,4.467,4.383,6.664,4.474,6.245,3.614,6.416,4.709,3.2239999999999998,4.427,3.047,3.05,2.2110000000000003,5.218,9.54,6.864
GPC,0.17507371794871796,0.21972226621945543,0.026,1.721,0.064,0.095,0.17325,218.49200000000002,0.17507371794871793,4.201769230769231,0.10471153846153847,0.10921153846153847,0.09605769230769232,0.0756923076923077,0.06953846153846154,0.07909615384615386,0.1049423076923077,0.22788461538461538,0.276,0.2585192307692308,0.16978846153846155,0.19025,0.23521153846153847,0.34342307692307694,0.2628076923076923,0.19946153846153847,0.2028076923076923,0.13409615384615384,0.16428846153846152,0.27890384615384617,0.24757692307692308,0.15407692307692308,0.11663461538461539,0.10078846153846154,5.445,5.679,4.995,3.936,3.616,4.113,5.457,11.85,14.352,13.443,8.829,9.893,12.231,17.858,13.666,10.372,10.546,6.973,8.543,14.503,12.874,8.012,6.065,5.241,5.445,5.679,4.995,3.936,3.616,4.113,5.457,11.85,14.352,13.443,8.829,9.893,12.231,17.858,13.666,10.372,10.546,6.973,8.543,14.503,12.874,8.012,6.065,5.241,0.21683653846153847,0.23349038461538463,0.19502403846153848,0.15476923076923077,0.08905128205128206,45.102,72.849,40.565,32.19200000000001,27.784,0.07194825850877566,0.0714552262591641,0.08202949368886746,0.04683656196682466,0.04006144309239408,0.17507371794871793,218.492,0.21972226621945537,0.17507371794871793,218.492,0.21972226621945537,0.1907847222222222,0.1946923076923077,0.18069940476190474,0.13489423076923077,54.946,60.744,60.714999999999996,42.087,0.23871789258378562,0.25244457837244466,0.2334172271065108,0.12768612931458945,14.709,12.369,16.993,13.885,29.866,18.23,15.08,21.636,23.943,16.553,20.219,15.009,15.08,21.636,23.943,16.553,20.219,15.009,14.709,12.369,16.993,13.885,29.866,18.23,3.679,4.854,3.286,2.89,2.733,3.6029999999999998,1.814,1.799,2.42,3.257,2.735,7.665,3.336,3.377,2.275,2.449,5.784,3.417,7.987,6.582,6.781,5.099,5.255,3.642,5.637,3.696,4.004,2.261,4.4110000000000005,4.404,6.371,8.256,3.083,3.926,4.314,4.547,3.616,4.5440000000000005,6.922,2.327,3.922,1.407,8.897,3.046,3.53,4.49,4.658,4.495,3.676,3.485,4.931,2.917
JACL,0.1505945512820513,0.19773832441441466,0.035,1.281,0.064,0.1025,0.142,187.942,0.1505945512820513,3.6142692307692315,0.14526923076923076,0.09538461538461539,0.08476923076923078,0.07761538461538461,0.08226923076923078,0.07763461538461539,0.07717307692307693,0.08240384615384616,0.08678846153846154,0.11898076923076924,0.13265384615384615,0.12480769230769231,0.14121153846153847,0.3320576923076923,0.3677115384615384,0.24632692307692305,0.21190384615384616,0.19378846153846155,0.1615576923076923,0.12467307692307691,0.10523076923076922,0.13801923076923078,0.20803846153846153,0.19799999999999998,7.554,4.96,4.408,4.036,4.2780000000000005,4.037,4.013,4.285,4.513,6.187,6.898,6.49,7.343,17.267,19.121,12.809,11.019,10.077,8.401,6.483,5.4719999999999995,7.1770000000000005,10.818,10.296,7.554,4.96,4.408,4.036,4.2780000000000005,4.037,4.013,4.285,4.513,6.187,6.898,6.49,7.343,17.267,19.121,12.809,11.019,10.077,8.401,6.483,5.4719999999999995,7.1770000000000005,10.818,10.296,0.09133653846153847,0.2241282051282051,0.17298076923076924,0.16232211538461538,0.09382371794871795,18.998,69.928,35.98,33.763,29.272999999999996,0.02428386707454517,0.1177916075222409,0.09516948897416803,0.07973046490033332,0.03340349169846988,0.1505945512820513,187.942,0.1977383244144147,0.1505945512820513,187.942,0.1977383244144147,0.11755555555555557,0.11719551282051281,0.11654464285714286,0.2511602564102564,33.856,36.565,39.159,78.362,0.11514361750420687,0.12563814054347394,0.10696515446500708,0.3207897909705526,27.234,24.34,10.325,11.581,14.659,11.712,12.372,9.772,13.565,11.298,14.296,26.788,12.372,9.772,13.565,11.298,14.296,26.788,27.234,24.34,10.325,11.581,14.659,11.712,2.61,3.024,11.489,10.111,2.525,10.213000000000001,4.141,2.336,5.125,2.456,2.06,2.429,3.38,3.249,2.419,2.273,3.64,3.137,3.023,2.498,3.3240000000000003,2.677,2.284,3.34,2.8770000000000002,3.211,3.684,3.312,2.62,2.756,2.684,2.605,2.41,2.073,3.078,2.429,3.198,2.429,2.431,2.454,2.773,2.622,3.449,2.617,2.5580000000000003,2.427,2.156,4.538,4.014,4.758,8.728,9.288
JALG,0.26807852564102563,0.2509586053024893,0.032,1.725,0.11875,0.176,0.31,334.562,0.26807852564102563,6.433884615384614,0.16090384615384615,0.13234615384615384,0.12094230769230768,0.10692307692307693,0.11203846153846155,0.11067307692307692,0.13484615384615384,0.20053846153846155,0.24601923076923077,0.24203846153846154,0.26226923076923075,0.3276538461538462,0.4523653846153846,0.5314615384615384,0.5429615384615385,0.47846153846153844,0.36469230769230765,0.3273653846153846,0.2761730769230769,0.25346153846153846,0.294,0.28965384615384615,0.24871153846153846,0.2173846153846154,8.366999999999999,6.882,6.289,5.5600000000000005,5.8260000000000005,5.755,7.012,10.428,12.793,12.586,13.638,17.038,23.523,27.636,28.234,24.88,18.964,17.023,14.361,13.18,15.288,15.062,12.933,11.304,8.366999999999999,6.882,6.289,5.5600000000000005,5.8260000000000005,5.755,7.012,10.428,12.793,12.586,13.638,17.038,23.523,27.636,28.234,24.88,18.964,17.023,14.361,13.18,15.288,15.062,12.933,11.304,0.20586057692307694,0.4325288461538461,0.3054230769230769,0.2624375,0.12397115384615386,42.819,134.94899999999998,63.528,54.587,38.679,0.04475296328006868,0.08547754909212942,0.036754423577189985,0.044057640802139225,0.012558348486921007,0.26807852564102563,334.562,0.2509586053024894,0.26807852564102563,334.562,0.2509586053024894,0.2761701388888889,0.24956410256410258,0.26807738095238093,0.279125,79.537,77.864,90.074,87.087,0.21948117999842218,0.22729933178816514,0.25338315030795905,0.2944900007310038,30.526,30.226,21.627,22.623,33.614,26.632,26.009,26.896,31.262999999999998,25.878,32.933,26.335,26.009,26.896,31.262999999999998,25.878,32.933,26.335,30.526,30.226,21.627,22.623,33.614,26.632,4.782,5.373,12.014,8.357,2.507,11.38,4.668,5.779,5.892,5.148,5.808,4.945,5.726,3.48,6.656,5.539,6.948,6.541,5.301,6.254,8.349,7.1690000000000005,6.526,6.328,8.813,4.965,6.2459999999999996,5.981,7.15,6.632,7.452,6.469,7.398,5.577,6.971,5.782,6.298,5.679,6.5329999999999995,8.97,7.012,4.757,5.139,7.3260000000000005,6.881,5.817,7.695,5.214,6.505,4.307,10.707,4.816
JLG,0.16338221153846155,0.20337411393932706,0.038,2.256,0.054,0.092,0.161,203.901,0.16338221153846158,3.9211730769230773,0.1053846153846154,0.06338461538461539,0.05888461538461538,0.05775,0.05586538461538461,0.05934615384615384,0.05830769230769231,0.059173076923076925,0.0925,0.21409615384615385,0.23228846153846155,0.24673076923076923,0.24784615384615385,0.26273076923076927,0.27090384615384616,0.24936538461538463,0.22175,0.1851923076923077,0.16742307692307692,0.17919230769230768,0.2555192307692308,0.21361538461538462,0.19896153846153847,0.16496153846153844,5.48,3.296,3.062,3.003,2.905,3.086,3.032,3.077,4.81,11.133000000000001,12.079,12.83,12.888,13.662,14.087,12.967,11.531,9.63,8.706,9.318,13.286999999999999,11.108,10.346,8.578,5.48,3.296,3.062,3.003,2.905,3.086,3.032,3.077,4.81,11.133000000000001,12.079,12.83,12.888,13.662,14.087,12.967,11.531,9.63,8.706,9.318,13.286999999999999,11.108,10.346,8.578,0.10601923076923078,0.2516442307692308,0.18838942307692308,0.20826442307692306,0.06676923076923076,22.052,78.51299999999999,39.185,43.319,20.831999999999997,0.10148238097864183,0.018181533001482373,0.04270404838534023,0.08624941738132805,0.017015108953238395,0.16338221153846155,203.901,0.20337411393932697,0.16338221153846155,203.901,0.20337411393932697,0.1431597222222222,0.1359679487179487,0.12826488095238095,0.24728205128205127,41.23,42.422,43.097,77.152,0.1994269722406311,0.1700764503669222,0.14756330718929578,0.25929324656726566,20.895,25.828,11.957,11.66,18.805,15.58,11.895,13.754999999999999,18.695,11.079,13.323,30.429000000000002,11.895,13.754999999999999,18.695,11.079,13.323,30.429000000000002,20.895,25.828,11.957,11.66,18.805,15.58,1.292,2.528,8.047,9.028,6.221,8.203,2.909,7.0169999999999995,1.478,4.349,2.221,2.506,2.8810000000000002,2.403,1.274,5.674,2.309,4.67,2.65,4.622,4.158,2.705,3.391,3.497,3.395,5.297,2.953,3.952,2.824,2.166,3.84,2.31,4.724,2.8810000000000002,2.607,3.981,4.466,3.847,3.794,4.573,2.497,1.813,2.196,2.385,2.353,2.139,2.747,3.699,1.287,7.26,10.077,11.805
JMM,0.3517668269230769,0.5705366254814369,0.062,4.885,0.13,0.2005,0.323,439.005,0.3517668269230769,8.442403846153846,0.164,0.15525,0.14053846153846153,0.12675,0.119,0.12376923076923077,0.15298076923076923,0.20113461538461538,0.2583846153846154,0.35315384615384615,0.4694423076923077,0.5818076923076922,0.6642692307692308,0.7318269230769231,0.4719038461538462,0.42525,0.3288846153846154,0.33221153846153845,0.43767307692307694,0.5441538461538461,0.5447500000000001,0.41407692307692306,0.37015384615384617,0.3310384615384615,8.528,8.073,7.308,6.591,6.188,6.436,7.955,10.459,13.436,18.364,24.411,30.253999999999998,34.542,38.055,24.539,22.113,17.102,17.275,22.759,28.296,28.327,21.532,19.248,17.214,8.528,8.073,7.308,6.591,6.188,6.436,7.955,10.459,13.436,18.364,24.411,30.253999999999998,34.542,38.055,24.539,22.113,17.102,17.275,22.759,28.296,28.327,21.532,19.248,17.214,0.24141346153846155,0.5574166666666668,0.41073076923076923,0.41500480769230774,0.1382179487179487,50.214,173.914,85.43199999999999,86.321,43.124,0.19532917169546785,0.10455514355497497,0.11989071444006295,0.14119924691579938,0.04557994000516918,0.3517668269230769,439.005,0.5705366254814372,0.3517668269230769,439.005,0.5705366254814372,0.29308680555555555,0.25682371794871794,0.294375,0.5626826923076923,84.409,80.129,98.91,175.557,0.27893859820301015,0.27682986814769933,0.30286254578899485,0.998763118641897,61.872,38.289,21.592,25.411,33.126,26.291,27.992,30.126,38.74,30.835,29.335,75.396,27.992,30.126,38.74,30.835,29.335,75.396,61.872,38.289,21.592,25.411,33.126,26.291,5.982,7.506,19.393,28.991,7.7299999999999995,9.987,6.662999999999999,8.763,5.146,6.2090000000000005,6.761,3.429,5.193,5.28,8.966,4.089,7.076,8.918,4.301,5.8180000000000005,9.913,4.176,5.295,6.291,6.389,8.316,7.296,5.731,6.879,8.086,8.699,6.765,5.891,8.771,7.9639999999999995,6.522,9.297,8.146,6.811,5.42,6.88,7.162,11.373,4.334,10.322000000000001,5.78,3.223,5.676,9.995000000000001,53.702,6.241,5.458
