archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,Entre semana,s_Entre semana,std_Entre semana,invierno,otoño,primavera,verano,s_invierno,s_otoño,s_primavera,s_verano,std_invierno,std_otoño,std_primavera,std_verano,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02,2025-03-03/2025-03-09,2025-03-10/2025-03-16,2025-03-17/2025-03-23,2025-03-24/2025-03-30,2025-03-31/2025-04-06,2025-04-07/2025-04-13,2025-04-14/2025-04-20,2025-04-21/2025-04-27,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29,2025-06-30/2025-07-06
ABLD,0.22571046882876827,0.24647873010242935,0.0,2.123,0.072,0.12,0.263,1343.203,0.22569312470780736,5.416141129032258,0.09344758064516129,0.0828790322580645,0.08349193548387096,0.08139919354838711,0.07814112903225807,0.0993024193548387,0.18269758064516128,0.23390725806451612,0.21418548387096775,0.15808467741935484,0.19361290322580643,0.22843145161290324,0.2400483870967742,0.3920201612903226,0.4702016129032258,0.30534274193548383,0.24358870967741936,0.2318548387096774,0.23975806451612905,0.36379838709677415,0.4735685483870968,0.3529072580645161,0.23224596774193548,0.14179757085020242,23.175,20.554,20.706,20.187,19.379,24.627,45.309,58.009,53.118,39.205,48.016,56.651,59.532000000000004,97.221,116.61,75.725,60.410000000000004,57.5,59.46,90.222,117.44500000000001,87.521,57.597,35.024,23.175,20.554,20.706,20.187,19.379,24.627,45.309,58.009,53.118,39.205,48.016,56.651,59.532000000000004,97.221,116.61,75.725,60.410000000000004,57.5,59.46,90.222,117.44500000000001,87.521,57.597,35.024,0.19721875,0.304942876344086,0.26975,0.3001298362609377,0.08644354838709677,195.64100000000002,453.755,267.592,297.587,128.62800000000001,0.009584960576565642,0.05899457217800782,0.05853675891368311,0.10444441090273214,0.01781246332154694,0.23252248569092396,0.2263661858974359,0.2314748263888889,0.22913107638888888,0.2089328231292517,284.375,282.505,266.659,263.959,245.705,0.2534442176617109,0.23937425719247957,0.2539594077273188,0.2521793302443508,0.23275319719087936,0.22571046882876827,1343.203,0.24647873010242935,0.23264194915254235,0.22205208333333334,0.23509930555555555,0.21434701731879408,329.421,341.072,338.543,334.167,0.2646922147113089,0.25019048877441613,0.2605282931303388,0.20916517120926925,103.276,100.116,102.002,136.61599999999999,102.454,117.239,115.798,96.384,122.729,89.103,126.711,130.775,115.798,96.384,122.729,89.103,126.711,130.775,103.276,100.116,102.002,136.61599999999999,102.454,117.239,23.495,18.577,20.905,21.928,31.071,29.556,12.337,25.677,19.846,26.147,25.373,22.126,24.122,30.473,22.676,32.548,32.669,22.483999999999998,29.107,27.384999999999998,24.116,21.846,26.611,21.515,26.808,26.244,24.844,25.349,33.302,27.691,20.673,10.235,28.972,26.131,31.046,25.226,33.955,30.768,27.471,29.732,25.887,4.4,21.503,18.162,28.745,31.637,30.619,30.438,26.131,30.168,33.114,38.545,2.817
AJVG,0.2409109393379264,0.38395011248023886,0.0,3.691,0.053,0.084,0.225,1433.661,0.24093344582748946,5.780891129032258,0.09585483870967741,0.09297580645161291,0.09440322580645161,0.0878709677419355,0.08193951612903226,0.22283064516129034,0.5017540322580645,0.620758064516129,0.3325927419354839,0.12791129032258064,0.11435887096774194,0.11812096774193549,0.15121370967741934,0.13585887096774193,0.13316129032258064,0.11217338709677419,0.12822177419354838,0.19074193548387097,0.28735887096774193,0.5020443548387097,0.5311330645161291,0.4808346774193548,0.4005887096774194,0.23714574898785426,23.772,23.058,23.412,21.792,20.321,55.262,124.435,153.948,82.483,31.722,28.361,29.294,37.501,33.693,33.024,27.819,31.799,47.304,71.265,124.507,131.721,119.247,99.346,58.575,23.772,23.058,23.412,21.792,20.321,55.262,124.435,153.948,82.483,31.722,28.361,29.294,37.501,33.693,33.024,27.819,31.799,47.304,71.265,124.507,131.721,119.247,99.346,58.575,0.3957540322580645,0.12748118279569892,0.27709173387096775,0.41242555015018945,0.11264583333333333,392.588,189.69199999999998,274.875,408.889,167.617,0.15213886782907474,0.04275808967737193,0.19038463635603364,0.15238627079097614,0.07606026738479515,0.2505102207686018,0.2675665064102564,0.24609201388888888,0.22818836805555553,0.2100280612244898,306.374,333.923,283.498,262.873,246.993,0.3854447657559274,0.42292359743838237,0.3968878215223335,0.35348338823077696,0.3513860434797074,0.2409109393379264,1433.661,0.3839501124802392,0.40653601694915253,0.17955729166666667,0.23559375,0.15583771648492623,575.655,275.8,339.255,242.951,0.5962849273652004,0.24081657360466863,0.35790738350293066,0.1694277803330054,88.582,59.892,69.809,92.137,113.854,191.325,197.836,186.494,159.704,95.766,83.785,94.477,197.836,186.494,159.704,95.766,83.785,94.477,88.582,59.892,69.809,92.137,113.854,191.325,19.093,19.715,18.283,18.344,17.493,8.257,6.735,20.845,19.709,19.478,17.578,9.229,19.478,18.748,20.451,18.955,20.117,17.912,21.396,24.638,27.208,40.612,43.498,45.561,58.05,40.916,10.364,34.482,69.897,49.477,36.916,51.81,56.604,37.052,41.028,31.543,40.619,42.903,36.178,32.275999999999996,25.988,16.098,19.205,12.484,22.502,21.646,22.087,15.726,16.004,18.53,23.477,27.844,8.622
ATF,0.14547975130230215,0.1452819173685806,0.0,2.105,0.072,0.114,0.153,865.75,0.14553237494156146,3.490927419354838,0.09787096774193547,0.08965322580645162,0.08822177419354839,0.08870161290322581,0.08872177419354839,0.08812903225806452,0.09496774193548387,0.11777016129032258,0.14141935483870968,0.1538709677419355,0.16668145161290324,0.18854838709677418,0.23853629032258064,0.23095161290322583,0.22228629032258065,0.18699193548387097,0.15881854838709678,0.14454032258064514,0.1462016129032258,0.15779032258064515,0.1727983870967742,0.16903225806451613,0.13965725806451612,0.11924696356275304,24.272,22.234,21.879,21.998,22.003,21.856,23.552,29.207,35.072,38.160000000000004,41.337,46.76,59.157,57.276,55.127,46.374,39.387,35.846,36.258,39.132,42.854,41.92,34.635,29.454,24.272,22.234,21.879,21.998,22.003,21.856,23.552,29.207,35.072,38.160000000000004,41.337,46.76,59.157,57.276,55.127,46.374,39.387,35.846,36.258,39.132,42.854,41.92,34.635,29.454,0.12700705645161292,0.2056659946236559,0.15183770161290322,0.15018371669713987,0.09021639784946238,125.99100000000001,306.03100000000006,150.62300000000002,148.863,134.24200000000002,0.03740659295622194,0.030772096529041868,0.010386062822920117,0.03662258156253102,0.009308139237950592,0.1500089942763696,0.1395176282051282,0.14806770833333335,0.14397048611111113,0.14603996598639454,183.461,174.118,170.574,165.854,171.743,0.15555953307809656,0.14105244127130961,0.14646686574692902,0.1339686900040985,0.14810861202020648,0.14547975130230215,865.75,0.1452819173685808,0.1309244350282486,0.14917838541666667,0.12266388888888889,0.17613021167415008,185.389,229.138,176.636,274.587,0.13044545836269805,0.11806665461999367,0.0952030320899809,0.2035196567530313,114.988,51.101,81.522,80.006,67.61,68.231,64.67,52.488,51.165,55.627,69.844,108.498,64.67,52.488,51.165,55.627,69.844,108.498,114.988,51.101,81.522,80.006,67.61,68.231,28.078,27.064,18.236,16.44,30.32,11.545,9.266,12.884,12.256,22.114,16.717,19.376,18.736,20.113,17.935,17.9,15.719,12.918,20.47,13.858,16.727,16.555,11.089,14.735,12.324,19.917,17.957,9.239,19.525,12.392,15.723,12.744,16.827,11.068,11.849,9.783,13.837,12.054,11.644,14.579,14.728,9.43,12.278,14.002,15.603,16.465,13.473,18.76,16.106,16.683,29.526,35.633,10.55
FJAG,0.4042286170391519,0.4776353601475502,0.0280999999999478,4.491,0.18,0.281,0.426,2405.564499999993,0.40421750452898436,9.699856854838679,0.21967016129032216,0.20164596774193505,0.186379838709677,0.18675080645161246,0.19949637096774173,0.22325806451612903,0.3157298387096774,0.2808306451612903,0.34303709677419314,0.31124112903225637,0.37492338709677203,0.46274072580644804,0.5682491935483833,0.4886213709677375,0.520373790322577,0.5283721774193522,0.5568826612903207,0.6915790322580632,0.7276258064516125,0.7291733870967743,0.5466895161290323,0.39904879032258045,0.3401213709677417,0.29861983805667996,54.478199999999894,50.008199999999896,46.222199999999894,46.31419999999989,49.47509999999995,55.368,78.301,69.646,85.0731999999999,77.18779999999958,92.98099999999947,114.75969999999911,140.92579999999907,121.1780999999989,129.0526999999991,131.03629999999933,138.10689999999954,171.51159999999967,180.4511999999999,180.835,135.579,98.96409999999995,84.35009999999994,73.75909999999995,54.478199999999894,50.008199999999896,46.222199999999894,46.31419999999989,49.47509999999995,55.368,78.301,69.646,85.0731999999999,77.18779999999958,92.98099999999947,114.75969999999911,140.92579999999907,121.1780999999989,129.0526999999991,131.03629999999933,138.10689999999954,171.51159999999967,180.4511999999999,180.835,135.579,98.96409999999995,84.35009999999994,73.75909999999995,0.3127096774193543,0.490546774193545,0.6763152217741926,0.3961198788690086,0.20286686827956957,310.2079999999995,729.933599999995,670.9046999999991,392.6522999999998,301.8658999999995,0.18392699212952446,0.1469420801226199,0.04503244793954089,0.1220738143076702,0.0653166844204311,0.3692643499591164,0.39202860576922965,0.40361145833333223,0.3986448784722214,0.459611564625848,451.6102999999993,489.2516999999986,464.96039999999874,459.23889999999903,540.5031999999973,0.41978549122879577,0.4463680339037256,0.4438558869922533,0.4856710550193044,0.5761454301356083,0.4042286170391519,2405.564499999993,0.47763536014755004,0.35451059322033673,0.3256338541666654,0.390529513888888,0.5394749198203972,501.98699999999684,500.1735999999981,562.3624999999987,841.0413999999993,0.41261409073560446,0.34221411268136637,0.2574934035678013,0.7163739977773509,282.53459999999967,270.044,173.373899999999,168.7835999999997,158.01609999999943,161.43219999999886,182.37699999999896,158.17779999999905,185.03999999999894,192.956,184.36649999999975,288.46279999999956,182.37699999999896,158.17779999999905,185.03999999999894,192.956,184.36649999999975,288.46279999999956,282.53459999999967,270.044,173.373899999999,168.7835999999997,158.01609999999943,161.43219999999886,48.274,31.392,72.43900000000001,64.159,111.93859999999968,107.284,64.932,20.229,31.931,39.484,40.23659999999968,50.79159999999968,36.63569999999963,41.159599999999685,32.941,36.654,35.931,28.324,34.952,37.164,35.821,50.07909999999942,35.27749999999974,43.82399999999948,37.283699999999634,30.319,32.683,48.89379999999958,46.780699999999634,39.109,29.638499999999738,37.778,39.626599999999684,40.865699999999634,39.907499999999736,29.051,42.60529999999984,50.68799999999948,51.855699999999636,52.212,52.13,29.375,40.094,37.903999999999996,46.439,46.8,45.636,37.572499999999735,41.916,63.243,69.22379999999958,106.304,7.776
FMB,0.2162739035456226,0.2567080248185778,0.0,3.138,0.056,0.143,0.254,1287.046,0.21633010460495558,5.189701612903227,0.09995161290322581,0.08930645161290322,0.0899516129032258,0.0892258064516129,0.08342338709677419,0.08291935483870967,0.10800403225806451,0.15092741935483872,0.24708870967741936,0.2936451612903226,0.3053709677419355,0.3541411290322581,0.44806048387096775,0.3392016129032258,0.22357258064516128,0.2671653225806452,0.29911290322580647,0.28821774193548383,0.29486693548387094,0.29893548387096774,0.23978225806451614,0.18218548387096775,0.16506451612903225,0.15018623481781376,24.788,22.148,22.308,22.128,20.689,20.564,26.785,37.43,61.278,72.824,75.732,87.827,111.119,84.122,55.446,66.257,74.18,71.478,73.127,74.136,59.466,45.182,40.936,37.096,24.788,22.148,22.308,22.128,20.689,20.564,26.785,37.43,61.278,72.824,75.732,87.827,111.119,84.122,55.446,66.257,74.18,71.478,73.127,74.136,59.466,45.182,40.936,37.096,0.1999163306451613,0.32291868279569896,0.2952832661290322,0.1843046232205825,0.08912970430107527,198.317,480.503,292.92100000000005,182.68,132.625,0.09211105632521333,0.05719778892189279,0.028439858341193294,0.0525515647698394,0.009028093246473532,0.243801308258381,0.22679647435897435,0.21584114583333333,0.19274479166666666,0.19995238095238096,298.169,283.042,248.649,222.042,235.144,0.31016323340575985,0.2699361953546428,0.2507963405967528,0.21715646940786892,0.21632821268349822,0.2162739035456226,1287.046,0.25670802481857763,0.25372457627118644,0.18210286458333333,0.21603194444444446,0.21614881334188582,359.274,279.71,311.086,336.976,0.3273195006975947,0.22979167416644725,0.23259658941078326,0.22348197865862987,110.369,93.32000000000001,77.811,103.954,97.945,115.344,141.218,102.712,105.629,105.012,100.44500000000001,133.287,141.218,102.712,105.629,105.012,100.44500000000001,133.287,110.369,93.32000000000001,77.811,103.954,97.945,115.344,18.691,23.57,27.337,21.858,33.638,33.921,11.083,13.239,20.352,17.424,20.405,17.962,18.74,18.274,20.52,25.195,17.616,25.628999999999998,24.077,26.709,25.253,21.906,18.209,18.174,24.883,20.71,49.22,38.639,37.391,27.607,21.729,23.989,27.867,24.266000000000002,26.59,19.607,23.527,28.641000000000002,29.593,24.999,21.223,21.058,24.791,21.943,21.051,24.638,24.082,25.933,21.111,31.648,31.252,36.608,12.668
GPC,0.16535775499915983,0.18940603814020165,0.0,2.132,0.067,0.101,0.172,984.0440000000001,0.16535764375876577,3.96791935483871,0.09756048387096775,0.10520564516129033,0.1016008064516129,0.07554032258064515,0.07785887096774194,0.09738306451612903,0.25706048387096775,0.31391532258064514,0.1717822580645161,0.11858870967741936,0.10533870967741935,0.09178225806451613,0.1179475806451613,0.2364475806451613,0.29077822580645163,0.22564516129032258,0.17655645161290323,0.1441290322580645,0.17739112903225807,0.29126612903225807,0.30479032258064515,0.18927822580645162,0.11078629032258065,0.08964777327935224,24.195,26.091,25.197,18.733999999999998,19.309,24.151,63.751,77.851,42.602,29.41,26.124,22.762,29.251,58.639,72.113,55.96,43.786,35.744,43.993,72.234,75.588,46.941,27.475,22.143,24.195,26.091,25.197,18.733999999999998,19.309,24.151,63.751,77.851,42.602,29.41,26.124,22.762,29.251,58.639,72.113,55.96,43.786,35.744,43.993,72.234,75.588,46.941,27.475,22.143,0.21533669354838708,0.17798991935483874,0.19733568548387098,0.17362565299725743,0.09252486559139783,213.614,264.849,195.757,172.147,137.677,0.07552109135880271,0.06651050156637131,0.054332485512610315,0.08446138172388606,0.02422091727074135,0.1547391659852821,0.1734326923076923,0.1687517361111111,0.17359027777777777,0.1564421768707483,189.246,216.444,194.402,199.976,183.976,0.1740588153177287,0.19618253358667223,0.18626873283254136,0.20951330514163932,0.17882478781966032,0.1653577549991598,984.044,0.18940603814020168,0.17872810734463276,0.17308528645833332,0.15496319444444445,0.15520141116100064,253.079,265.859,223.147,241.959,0.2199713381929111,0.20257287075465247,0.18590390534293535,0.14242223911909524,89.029,71.967,83.897,93.764,88.198,87.635,81.918,83.526,79.119,69.472,74.556,80.963,81.918,83.526,79.119,69.472,74.556,80.963,89.029,71.967,83.897,93.764,88.198,87.635,18.822,17.574,17.749,21.208000000000002,24.229,9.277,14.258,19.066,18.813,21.778,18.92,21.345,19.411,19.302,20.263,20.269,20.246,16.127,21.563,23.013,22.053,21.569,15.712,18.847,21.877,17.21,22.002,15.568,20.12,24.126,14.091,21.634,22.01,21.423000000000002,18.459,17.746,22.279,18.233999999999998,17.267,20.584,19.272,4.361,19.255,11.936,19.296,18.881,17.934,16.102,18.248,18.568,20.053,20.306,3.7880000000000003
JACL,0.15317677701226687,0.19116826414241475,0.0,1.385,0.066,0.104,0.145,911.5550000000001,0.15322240240766713,3.675625,0.1356209677419355,0.08893145161290322,0.07531854838709677,0.08256048387096775,0.08129435483870968,0.07514516129032257,0.07906854838709679,0.09133064516129032,0.10525403225806453,0.1095483870967742,0.12266532258064516,0.1231733870967742,0.1643508064516129,0.2835241935483871,0.3213709677419355,0.22898790322580645,0.2024677419354839,0.2009798387096774,0.17085887096774194,0.14108467741935482,0.14847177419354837,0.21341935483870966,0.23629435483870967,0.19468825910931176,33.634,22.055,18.679,20.475,20.161,18.636,19.609,22.65,26.103,27.168,30.421,30.547,40.759,70.314,79.7,56.789,50.212,49.842999999999996,42.373,34.989,36.821,52.928,58.601,48.088,33.634,22.055,18.679,20.475,20.161,18.636,19.609,22.65,26.103,27.168,30.421,30.547,40.759,70.314,79.7,56.789,50.212,49.842999999999996,42.373,34.989,36.821,52.928,58.601,48.088,0.09630040322580646,0.20734543010752685,0.17884778225806452,0.19821843574506987,0.08981182795698926,95.53,308.53,177.417,196.438,133.64,0.013654035152787819,0.08678758170881912,0.04129082565070567,0.049155155596694054,0.024832602941757813,0.15670237121831562,0.15103285256410257,0.15546527777777777,0.15031163194444444,0.15235034013605442,191.647,188.489,179.096,173.159,179.164,0.19947138337335527,0.1851045428473174,0.19116870113756348,0.19071479956562196,0.18935588841248102,0.15317677701226684,911.555,0.19116826414241458,0.11099646892655367,0.10525325520833334,0.10664027777777779,0.2816889031430404,157.171,161.669,153.562,439.153,0.06982102805927566,0.06913665118175728,0.058924455846410775,0.32374973904066473,149.989,141.354,54.806,56.134,50.729,51.316,55.068,50.787,52.882,48.433,52.247,147.81,55.068,50.787,52.882,48.433,52.247,147.81,149.989,141.354,54.806,56.134,50.729,51.316,13.18,30.143,37.734,34.686,50.282,44.562,24.741,26.726,29.289,15.821,11.917,12.015,12.629,11.474,12.751,11.613,12.385,10.335,13.107,12.405,12.625,12.592,11.027,10.464,13.616999999999999,10.571,11.374,10.527,13.539,14.065,11.2,12.839,12.6,13.163,12.185,10.424,12.306,13.572,13.789,13.488,12.806,7.351,10.461,9.699,12.369,12.093,13.16,12.044,15.528,33.873,40.047,48.592999999999996,9.769
JALG,0.28220836834145524,0.2490013349575286,0.0,1.888,0.126,0.19,0.348,1679.422,0.28224027729079004,6.771862903225807,0.1386774193548387,0.11867338709677419,0.113875,0.11095161290322582,0.10837903225806451,0.10980241935483871,0.18435080645161292,0.28006451612903227,0.30977822580645165,0.25799596774193545,0.2302177419354839,0.3045967741935484,0.45467741935483874,0.47726209677419357,0.404125,0.32662096774193544,0.3482177419354839,0.3163266129032258,0.30124999999999996,0.40425,0.47919758064516127,0.4537822580645161,0.32094354838709677,0.21872874493927127,34.392,29.431,28.241,27.516000000000002,26.878,27.231,45.719,69.456,76.825,63.983,57.094,75.54,112.76,118.361,100.223,81.002,86.358,78.449,74.71,100.254,118.841,112.538,79.594,54.026,34.392,29.431,28.241,27.516000000000002,26.878,27.231,45.719,69.456,76.825,63.983,57.094,75.54,112.76,118.361,100.223,81.002,86.358,78.449,74.71,100.254,118.841,112.538,79.594,54.026,0.25804737903225805,0.36625,0.3425110887096774,0.3681630330090113,0.11672647849462366,255.983,544.98,339.771,364.99899999999997,173.68900000000002,0.07214515522405957,0.0695245509440345,0.05743750453271986,0.07543733504585398,0.00662877908699383,0.2857465249386754,0.28085016025641024,0.28127170138888885,0.28611458333333334,0.2770612244897959,349.468,350.501,324.025,329.604,325.824,0.2618433231492615,0.2514414562441485,0.24690685616036853,0.240194174410005,0.24346384692395287,0.28220836834145524,1679.422,0.24900133495752882,0.31025918079096043,0.2691243489583333,0.28900694444444447,0.26334188582424634,439.327,413.375,416.17,410.55,0.25025451056273945,0.2516970041963152,0.2486624593998276,0.24309667904467924,154.212,108.189,120.97,154.621,137.784,142.837,147.096,149.394,144.69,119.941,151.539,148.149,147.096,149.394,144.69,119.941,151.539,148.149,154.212,108.189,120.97,154.621,137.784,142.837,32.749,30.124,32.469,31.408,45.358,11.126000000000001,23.704,28.845,26.618,26.319,28.26,29.802,30.364,31.563,31.365000000000002,32.954,34.916,30.048000000000002,32.171,37.879,33.94,33.794,31.649,29.136,37.028999999999996,28.599,31.654,26.099,37.405,37.346,31.016000000000002,40.21,37.379,34.793,37.012,26.832,40.506,29.919,39.529,32.382,30.768,18.819,29.124,22.251,38.852000000000004,34.792,35.676,36.72,30.804000000000002,30.559,30.867,45.06,10.859
JLG,0.1583259956309864,0.19181797725464414,0.0,1.648,0.055,0.092,0.161,942.1980000000001,0.15841110770219732,3.799185483870968,0.08206048387096773,0.060862903225806446,0.05945564516129032,0.05726209677419355,0.05699193548387097,0.05488306451612904,0.057616935483870965,0.06457258064516129,0.11875403225806452,0.16122983870967741,0.180991935483871,0.19709274193548387,0.24106451612903226,0.2459798387096774,0.2779274193548387,0.24845564516129032,0.1953306451612903,0.1839959677419355,0.18540725806451613,0.21726612903225806,0.2335967741935484,0.25190725806451614,0.2216451612903226,0.14542105263157892,20.351,15.094,14.745,14.201,14.134,13.611,14.289,16.014,29.451,39.985,44.886,48.879,59.784,61.003,68.926,61.617,48.442,45.631,45.981,53.882,57.932,62.473,54.968,35.919,20.351,15.094,14.745,14.201,14.134,13.611,14.289,16.014,29.451,39.985,44.886,48.879,59.784,61.003,68.926,61.617,48.442,45.631,45.981,53.882,57.932,62.473,54.968,35.919,0.10054334677419355,0.23191868279569894,0.19549999999999998,0.2131425615449915,0.061919354838709674,99.739,345.095,193.936,211.29199999999997,92.136,0.07528901693218933,0.02969559977641389,0.027986880954867753,0.04335354296799387,0.005575536985999231,0.16391659852820933,0.15125160256410256,0.16340625,0.15842708333333333,0.1549438775510204,200.47,188.762,188.244,182.508,182.214,0.20876794981100324,0.17742919795265558,0.20005441456766312,0.1881628679584966,0.18322882402606058,0.1583259956309864,942.198,0.1918179772546443,0.13629661016949154,0.12150781249999999,0.12505624999999998,0.2453399615137909,192.996,186.636,180.081,382.485,0.14872032096643534,0.11516972295488459,0.13892191987560834,0.28135170227408857,125.63,113.072,57.105,66.132,63.399,66.857,62.864,63.275,60.972,56.339,62.77,143.783,62.864,63.275,60.972,56.339,62.77,143.783,125.63,113.072,57.105,66.132,63.399,66.857,8.124,15.311,34.564,31.884,51.03,42.902,22.213,18.23,14.444,14.972,14.452,11.797,13.481,14.154,10.553,18.101,13.139,12.588,15.76,16.556,14.67,16.413,13.853,11.954,15.83,17.528,15.705,11.288,14.106,17.374,12.083,17.137,15.39,13.906,16.842,13.474,12.414,13.179,18.644000000000002,14.457,15.116,5.949,13.376,13.186,14.01,12.415,17.782,16.079,10.354,31.48,35.752,50.904,15.293
JMM,0.26134884893295246,0.2801052622637327,0.0,5.298,0.123,0.194,0.29,1555.287,0.26134624094202896,6.271318548387097,0.16849596774193548,0.13605645161290322,0.12721370967741935,0.12075000000000001,0.11779032258064516,0.11908870967741934,0.15574596774193547,0.2052056451612903,0.22347177419354838,0.21396370967741937,0.2335322580645161,0.3170362903225806,0.4832983870967742,0.5408870967741934,0.36259677419354835,0.3131411290322581,0.3035282258064516,0.3061935483870968,0.33923790322580644,0.3212822580645161,0.3565201612903226,0.30655645161290324,0.2786290322580645,0.2219919028340081,41.787,33.742,31.549,29.946,29.212,29.534,38.625,50.891,55.421,53.063,57.916,78.625,119.858,134.14,89.92399999999999,77.659,75.275,75.936,84.131,79.678,88.417,76.026,69.1,54.832,41.787,33.742,31.549,29.946,29.212,29.534,38.625,50.891,55.421,53.063,57.916,78.625,119.858,134.14,89.92399999999999,77.659,75.275,75.936,84.131,79.678,88.417,76.026,69.1,54.832,0.19959677419354838,0.37508198924731184,0.3175604838709677,0.2909243869988246,0.13156586021505376,198.0,558.122,315.02,288.375,195.76999999999998,0.04292579018310657,0.09858225352908681,0.04210895206720371,0.13431219285058033,0.020439061634674367,0.24537612428454622,0.2655512820512821,0.26627256944444444,0.2575164930555556,0.2724311224489796,300.095,331.408,306.746,296.659,320.379,0.26926949274673295,0.2326792050102999,0.3469507765761691,0.2231768022103964,0.311909204493215,0.26134884893295246,1555.287,0.2801052622637331,0.25754166666666667,0.22966341145833333,0.2520354166666667,0.30462732520846697,364.679,352.763,362.931,474.914,0.21118316458636424,0.21172511061507734,0.23696804614734943,0.4001772300532736,199.899,147.017,104.718,128.064,119.981,133.571,123.399,107.709,126.215,116.922,119.794,127.998,123.399,107.709,126.215,116.922,119.794,127.998,199.899,147.017,104.718,128.064,119.981,133.571,29.986,34.625,44.662,40.696,65.818,39.564,30.074,30.565,30.926,26.13,24.862000000000002,25.222,24.623,24.05,23.939,27.257,29.565,27.134,27.779,35.985,30.326,25.891,24.971,24.213,33.391,30.542,33.31,26.555,27.199,33.431,23.358,25.98,24.8,27.073999999999998,29.855,26.555,25.291,37.863,31.085,28.073999999999998,26.967,19.224,32.015,22.490000000000002,35.524,31.6,24.565,21.678,28.362,35.058,30.53,28.394,5.654
