archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-05,2024-05,2025-05,Mayo,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04,2024-04-29/2024-05-05,2024-05-06/2024-05-12,2024-05-13/2024-05-19,2024-05-20/2024-05-26,2024-05-27/2024-06-02,2025-04-28/2025-05-04,2025-05-05/2025-05-11,2025-05-12/2025-05-18,2025-05-19/2025-05-25,2025-05-26/2025-06-01
ABLD,0.2169834229390681,0.23933198754649004,0.048,2.137,0.072,0.111,0.248,484.307,0.21698342293906808,5.207602150537635,0.08804301075268818,0.08016129032258065,0.08112903225806452,0.09452688172043011,0.09329032258064517,0.10626881720430106,0.22061290322580646,0.2397311827956989,0.1816021505376344,0.2050967741935484,0.23374193548387096,0.28572043010752685,0.28936559139784945,0.4521935483870968,0.3756236559139785,0.28881720430107527,0.2114731182795699,0.2026021505376344,0.22826881720430106,0.3507634408602151,0.3745806451612903,0.26208602150537635,0.15534408602150537,0.10655913978494624,8.188,7.455,7.545,8.791,8.676,9.883,20.517,22.294999999999998,16.889,19.074,21.738,26.572,26.911,42.054,34.933,26.86,19.667,18.842,21.229,32.621,34.836,24.374,14.447000000000001,9.91,8.188,7.455,7.545,8.791,8.676,9.883,20.517,22.294999999999998,16.889,19.074,21.738,26.572,26.911,42.054,34.933,26.86,19.667,18.842,21.229,32.621,34.836,24.374,14.447000000000001,9.91,0.21176075268817204,0.320910394265233,0.2482768817204301,0.2246424731182796,0.0905698924731183,78.77499999999999,179.06799999999998,92.35900000000001,83.567,50.538,0.050617196016073084,0.042730917703159295,0.05559927515024542,0.09451208328634422,0.027831997833976385,0.2209326923076923,0.19667948717948716,0.22561011904761907,0.2394077380952381,0.2052886904761905,0.20148076923076924,0.22891319444444447,68.931,61.364,75.805,80.441,68.977,62.862,65.927,0.24117768120557762,0.21925565360042376,0.25489981599798506,0.26870649326362156,0.22482585630384616,0.2178616325728703,0.2405904382743901,0.2178419117647059,0.2146483333333333,355.51800000000003,128.789,0.2429890168324212,0.22927098953340128,0.2169834229390681,484.307,0.23933198754649018,152.381,151.288,180.638,484.307,36.056,35.409,34.69,30.942,15.284,22.944,31.163,38.664,35.555,22.962,24.198,37.674,42.092,44.567,32.107
AJVG,0.16802598566308244,0.22597787947898706,0.021,2.056,0.053,0.081,0.191,375.034,0.16802598566308244,4.032623655913979,0.09578494623655913,0.08173118279569892,0.07967741935483871,0.08676344086021506,0.07940860215053763,0.16383870967741937,0.5495376344086021,0.3243655913978495,0.13380645161290322,0.1185268817204301,0.16251612903225807,0.20933333333333334,0.1396774193548387,0.12794623655913978,0.09301075268817205,0.08086021505376344,0.13678494623655915,0.19427956989247314,0.2436236559139785,0.2652043010752688,0.23350537634408602,0.18623655913978496,0.14074193548387098,0.10546236559139785,8.908,7.601,7.41,8.069,7.385,15.237,51.107,30.166,12.444,11.023,15.114,19.468,12.99,11.899,8.65,7.52,12.721,18.068,22.657,24.664,21.716,17.32,13.089,9.808,8.908,7.601,7.41,8.069,7.385,15.237,51.107,30.166,12.444,11.023,15.114,19.468,12.99,11.899,8.65,7.52,12.721,18.068,22.657,24.664,21.716,17.32,13.089,9.808,0.28155913978494623,0.13555734767025088,0.2099731182795699,0.16648655913978497,0.0978673835125448,104.74,75.641,78.11,61.933,54.61,0.12013276083306833,0.11974964922152395,0.06487751168178871,0.06239764209246108,0.03471349616282678,0.17012820512820512,0.18356089743589743,0.17767857142857144,0.16211011904761904,0.14933035714285714,0.1570096153846154,0.17830555555555555,53.08,57.271,59.7,54.469,50.175,48.987,51.352,0.20470544183225597,0.22779378644140882,0.23980227729561288,0.2240376762397592,0.22471604855612343,0.22310719361539735,0.23594066394503976,0.16831801470588234,0.16723166666666667,274.695,100.339,0.22477253022460963,0.2294117642868623,0.16802598566308244,375.034,0.22597787947898726,121.991,134.465,118.578,375.034,27.008,27.61,31.547,24.569,11.257,29.343,26.775000000000002,33.938,23.521,20.887999999999998,10.574,35.009,25.851,26.186,20.958
ATF,0.13813037634408604,0.11305968068575462,0.048,1.273,0.073,0.114,0.151,205.538,0.13813037634408604,3.315129032258065,0.08719354838709677,0.08525806451612902,0.08870967741935484,0.08861290322580645,0.08956451612903225,0.09100000000000001,0.0893709677419355,0.1187741935483871,0.16114516129032258,0.1565967741935484,0.17291935483870968,0.1965,0.22319354838709676,0.2504193548387097,0.1869032258064516,0.15643548387096773,0.13325806451612904,0.1257258064516129,0.1309032258064516,0.14866129032258066,0.17520967741935484,0.1414516129032258,0.11603225806451613,0.10129032258064516,5.406,5.286,5.5,5.494,5.553,5.642,5.541,7.364,9.991,9.709,10.721,12.183,13.838,15.526,11.588,9.699,8.262,7.795,8.116,9.217,10.863,8.77,7.194,6.28,5.406,5.286,5.5,5.494,5.553,5.642,5.541,7.364,9.991,9.709,10.721,12.183,13.838,15.526,11.588,9.699,8.262,7.795,8.116,9.217,10.863,8.77,7.194,6.28,0.13147177419354839,0.19772849462365594,0.13463709677419355,0.13349596774193548,0.08838978494623656,32.605000000000004,73.555,33.39,33.107,32.881,0.051507033695315986,0.03972317450211155,0.03250915137327389,0.05625201128532544,0.0016955250233153156,0.14596875,0.13098437500000001,0.1531759259259259,0.14542916666666666,0.15143333333333334,0.13246759259259258,0.10113020833333335,28.026,25.149,33.086,34.903,36.344,28.613,19.417,0.1090256181168406,0.077995735993163,0.1302953945323778,0.10663633887740673,0.1301615175140566,0.13564333829549047,0.06500309073568711,0.14584074074074074,0.11772058823529412,157.508,48.03,0.11354397435583463,0.1093051782073727,0.13813037634408604,205.538,0.11305968068575467,,112.117,93.421,205.538,,,,,,18.395,20.793,28.026,24.781,20.122,12.179,19.203,23.68,16.992,21.367
FJAG,0.3337951075268785,0.2865156900827626,0.058,3.791,0.174,0.243,0.373,496.6871199999953,0.3337951075268785,8.011082580645088,0.1605,0.1433548387096774,0.1516290322580645,0.14956451612903227,0.14129032258064517,0.23162903225806453,0.2543548387096774,0.2490483870967742,0.2100341935483842,0.25968129032257486,0.47440709677418774,0.6250238709677304,0.49939483870966583,0.3880399999999884,0.37587870967740783,0.4092316129032171,0.40422774193548094,0.47425999999999713,0.6567258064516129,0.455016129032258,0.3863548387096774,0.4373064516129032,0.26727419354838705,0.2068548387096774,9.951,8.888,9.401,9.273,8.76,14.361,15.77,15.441,13.022119999999822,16.10023999999964,29.41323999999964,38.75147999999928,30.96247999999928,24.05847999999928,23.304479999999284,25.37235999999946,25.06211999999982,29.40411999999982,40.717,28.211,23.954,27.113,16.570999999999998,12.825,9.951,8.888,9.401,9.273,8.76,14.361,15.77,15.441,13.022119999999822,16.10023999999964,29.41323999999964,38.75147999999928,30.96247999999928,24.05847999999928,23.304479999999284,25.37235999999946,25.06211999999982,29.40411999999982,40.717,28.211,23.954,27.113,16.570999999999998,12.825,0.2432796774193527,0.46199602150536623,0.49755741935483727,0.32444758064516127,0.162994623655914,60.33335999999946,171.8625199999962,123.39423999999964,80.46300000000001,60.634,0.0329655711638447,0.1320838387865919,0.1167788489095466,0.0542137552998839,0.01884613446957813,0.3006435185185185,0.2833148148148148,0.33197916666666666,0.3096203703703704,0.38447722222221475,0.32245833333333335,0.4116668749999841,64.939,61.196,79.675,66.878,83.04707999999839,61.912,79.04003999999695,0.20803787167440993,0.1754885882805766,0.22613163952133739,0.2051504368083404,0.4332823369621703,0.2379552475266724,0.4031096932683657,0.3222238043478246,0.3670626041666587,355.7350799999984,140.95203999999694,0.2674227153369133,0.33356969333674724,0.3337951075268786,496.68711999999533,0.2865156900827626,233.1210799999984,263.566039999997,,496.68711999999533,50.823,52.394,46.879,60.375079999998384,22.65,38.254,65.59947999999929,60.335959999998565,55.433,43.9435999999991,,,,,
FMB,0.18809229390681004,0.1988883685411193,0.01,1.809,0.054,0.133,0.239,419.822,0.18809229390681004,4.514215053763441,0.12306451612903226,0.09808602150537635,0.08702150537634408,0.09621505376344086,0.08468817204301075,0.09033333333333333,0.0911505376344086,0.1988172043010753,0.2335268817204301,0.2519784946236559,0.2519462365591398,0.3012795698924731,0.3733010752688172,0.267989247311828,0.17301075268817204,0.18736559139784947,0.21563440860215052,0.19006451612903227,0.25831182795698926,0.23561290322580644,0.19294623655913978,0.18361290322580645,0.1743548387096774,0.15390322580645163,11.445,9.122,8.093,8.948,7.876,8.401,8.477,18.490000000000002,21.718,23.434,23.431,28.019,34.717,24.923000000000002,16.09,17.425,20.054,17.676000000000002,24.023,21.912,17.944,17.076,16.215,14.313,11.445,9.122,8.093,8.948,7.876,8.401,8.477,18.490000000000002,21.718,23.434,23.431,28.019,34.717,24.923000000000002,16.09,17.425,20.054,17.676000000000002,24.023,21.912,17.944,17.076,16.215,14.313,0.1938682795698925,0.2591487455197133,0.2249059139784946,0.17620430107526883,0.09656810035842295,72.119,144.60500000000002,83.66499999999999,65.548,53.885000000000005,0.06530841230444358,0.0798265080308445,0.060891730286973415,0.020258350015069076,0.015415132368501389,0.1972948717948718,0.18054807692307692,0.1953779761904762,0.18351785714285715,0.1866220238095238,0.17929487179487177,0.19437847222222224,61.556,56.331,65.647,61.662,62.705,55.94,55.981,0.19511763186090084,0.17687664674425638,0.17250906095193622,0.22375446226089685,0.19117065125579197,0.20304744881134015,0.22684897850141428,0.18866482843137256,0.186535,307.901,111.921,0.19279405413317618,0.21475309138348772,0.18809229390681004,419.822,0.19888836854111927,148.046,129.595,142.181,419.822,31.581,33.136,28.846,32.642,21.841,26.904,25.103,30.64,27.401,19.547,17.708,30.666,35.196,29.628,28.983
GPC,0.1582616487455197,0.17461103754260338,0.024,1.616,0.065,0.1,0.162,353.24,0.15826164874551973,3.798279569892473,0.0996774193548387,0.08366666666666667,0.08556989247311828,0.07238709677419355,0.07491397849462365,0.11410752688172043,0.29893548387096774,0.2255698924731183,0.17818279569892476,0.1325483870967742,0.10941935483870968,0.10108602150537634,0.13906451612903226,0.28721505376344086,0.24886021505376346,0.2013225806451613,0.20519354838709675,0.15856989247311828,0.16980645161290323,0.3128387096774194,0.20219354838709674,0.1235698924731183,0.09016129032258065,0.08341935483870967,9.27,7.781,7.958,6.732,6.967,10.612,27.801,20.978,16.571,12.327,10.176,9.401,12.933,26.711,23.144000000000002,18.723,19.083,14.747,15.792,29.094,18.804,11.492,8.385,7.758,9.27,7.781,7.958,6.732,6.967,10.612,27.801,20.978,16.571,12.327,10.176,9.401,12.933,26.711,23.144000000000002,18.723,19.083,14.747,15.792,29.094,18.804,11.492,8.385,7.758,0.20880913978494622,0.18116129032258063,0.21160215053763443,0.12483602150537633,0.08838709677419354,77.67699999999999,101.088,78.71600000000001,46.439,49.32,0.04850362587824116,0.056254218059341846,0.06467890158649447,0.03269675655393153,0.02959932071946613,0.14026282051282052,0.15480769230769229,0.1599910714285714,0.15798214285714285,0.14244642857142858,0.18685576923076924,0.1672847222222222,43.762,48.3,53.757,53.082,47.862,58.299,48.178,0.1474893254485882,0.1557017148013633,0.18985770770177854,0.17197044082048377,0.16826316484579515,0.2074293162809504,0.17107058523203184,0.151202818627451,0.17746166666666668,246.763,106.477,0.1677211523879109,0.19093754766695487,0.1582616487455197,353.24,0.17461103754260351,121.614,119.016,112.61,353.24,27.127,28.79,26.711,27.767,11.219,19.403,29.966,25.196,27.05,17.401,12.425,26.413999999999998,26.711,26.463,20.597
JACL,0.10153315412186381,0.07120008469327435,0.015,0.953,0.062,0.09,0.126,226.622,0.1015331541218638,2.4367956989247315,0.09680645161290323,0.07478494623655914,0.07633333333333334,0.07632258064516129,0.07797849462365591,0.06994623655913978,0.0823978494623656,0.07922580645161291,0.0926989247311828,0.10937634408602151,0.10627956989247313,0.10191397849462365,0.11436559139784945,0.22202150537634407,0.12411827956989246,0.09402150537634409,0.10243010752688173,0.10634408602150539,0.0862258064516129,0.08696774193548386,0.09690322580645162,0.1190752688172043,0.11718279569892473,0.12307526881720429,9.003,6.955,7.099,7.098,7.252,6.505,7.663,7.368,8.621,10.172,9.884,9.478,10.636,20.648,11.543,8.744,9.526,9.89,8.019,8.088,9.012,11.074,10.898,11.446,9.003,6.955,7.099,7.098,7.252,6.505,7.663,7.368,8.621,10.172,9.884,9.478,10.636,20.648,11.543,8.744,9.526,9.89,8.019,8.088,9.012,11.074,10.898,11.446,0.0909247311827957,0.1271200716845878,0.09549193548387097,0.11405913978494625,0.07869534050179211,33.824,70.93299999999999,35.523,42.43,43.912000000000006,0.012981640081133616,0.04316843974677795,0.029104861814948868,0.0017358168137435559,0.0035202531516154785,0.09596794871794871,0.09661858974358974,0.09377380952380952,0.10009523809523808,0.10405952380952381,0.11189102564102563,0.10944791666666667,29.942,30.145,31.508,33.632,34.964,34.91,31.521,0.05204751970106481,0.05211555341094962,0.046446657239545115,0.06545753898591355,0.06575265296330533,0.10103029208708601,0.09789023965664219,0.09815625,0.11071833333333334,160.191,66.431,0.05708658947497859,0.09946002291114099,0.10153315412186381,226.622,0.07120008469327435,73.554,72.53,80.538,226.622,16.233,14.921,18.796,16.979,6.625,11.877,16.486,16.083,16.642,11.442,11.271,17.891000000000002,17.117,17.677,16.582
JALG,0.2673879928315412,0.2610106293469612,0.06,1.822,0.099,0.1615,0.33425000000000005,596.81,0.26738799283154124,6.41731182795699,0.11233333333333333,0.11353763440860214,0.09891397849462366,0.10158064516129034,0.10098924731182796,0.11126881720430108,0.2284516129032258,0.3473118279569892,0.3719569892473118,0.27655913978494623,0.23668817204301076,0.3285698924731183,0.4358387096774194,0.4588924731182796,0.427763440860215,0.2837204301075269,0.30595698924731185,0.2337311827956989,0.20583870967741935,0.39266666666666666,0.4814408602150538,0.349010752688172,0.26006451612903225,0.1542258064516129,10.447,10.559,9.199,9.447000000000001,9.392,10.348,21.246,32.3,34.592,25.72,22.012,30.557000000000002,40.533,42.677,39.782,26.386,28.454,21.737,19.143,36.518,44.774,32.458,24.186,14.343,10.447,10.559,9.199,9.447000000000001,9.392,10.348,21.246,32.3,34.592,25.72,22.012,30.557000000000002,40.533,42.677,39.782,26.386,28.454,21.737,19.143,36.518,44.774,32.458,24.186,14.343,0.3060698924731183,0.36191218637992834,0.2845483870967742,0.3111854838709677,0.10643727598566306,113.85799999999999,201.94699999999997,105.852,115.76100000000001,59.391999999999996,0.08343234761295003,0.08608569423762026,0.09187034025605313,0.09086295970075746,0.005614613851149687,0.28431410256410256,0.2602884615384615,0.28157738095238094,0.28471726190476193,0.26439285714285715,0.22675320512820513,0.2674861111111111,88.706,81.21,94.61,95.665,88.836,70.747,77.036,0.2781202590864328,0.25488319018354266,0.28102950388529613,0.2728519698160168,0.25579861565247536,0.22663972001981197,0.24795853553869918,0.2751390931372549,0.24630499999999997,449.027,147.783,0.26869883289553453,0.23778651353338756,0.2673879928315412,596.81,0.2610106293469613,171.652,201.166,223.992,596.81,41.204,40.415,39.14,30.763,20.13,35.596,42.181,45.219,48.887,29.283,28.906,54.213,47.138,51.801,41.934
JLG,0.11618145161290323,0.11392649716268075,0.036,1.173,0.058,0.079,0.136,259.317,0.11618145161290322,2.7883548387096777,0.07131182795698925,0.06278494623655914,0.0610752688172043,0.058892473118279574,0.05797849462365592,0.05621505376344086,0.06526881720430108,0.08029032258064515,0.1555268817204301,0.138752688172043,0.11972043010752688,0.12529032258064515,0.19026881720430108,0.16636559139784945,0.18727956989247313,0.12498924731182796,0.10348387096774195,0.11043010752688172,0.11379569892473118,0.14997849462365592,0.1773763440860215,0.15548387096774194,0.13940860215053763,0.11638709677419355,6.632,5.839,5.68,5.477,5.392,5.228,6.07,7.467,14.464,12.904,11.134,11.652,17.695,15.472,17.417,11.624,9.624,10.27,10.583,13.948,16.496,14.46,12.965,10.824,6.632,5.839,5.68,5.477,5.392,5.228,6.07,7.467,14.464,12.904,11.134,11.652,17.695,15.472,17.417,11.624,9.624,10.27,10.583,13.948,16.496,14.46,12.965,10.824,0.10995967741935483,0.1523189964157706,0.1194220430107527,0.14716397849462365,0.0613763440860215,40.905,84.994,44.425,54.745,34.248,0.04527188260786263,0.043290090141522665,0.02105210936377463,0.029826758877341816,0.005569841679505104,0.12767948717948718,0.12198397435897435,0.13041071428571427,0.11226785714285714,0.10449107142857143,0.11141987179487178,0.1042013888888889,39.836,38.059,43.818,37.722,35.109,34.763,30.01,0.131970545636107,0.11187842103299173,0.13082919617359334,0.10424626258173542,0.10078562994606291,0.11261943994426415,0.09710952040231739,0.11920588235294119,0.107955,194.544,64.773,0.11677881544739091,0.1054344995617171,0.11618145161290323,259.317,0.1139264971626808,80.712,89.548,89.057,259.317,20.074,17.914,14.15,17.964,10.61,16.581,19.914,17.766,21.658,13.629,9.106,19.452,18.092,22.629,19.778
JMM,0.24765681003584228,0.22244086550086184,0.069,1.815,0.122,0.18,0.25925,552.77,0.24765681003584228,5.9437634408602165,0.15195698924731182,0.12795698924731183,0.12282795698924731,0.12281720430107528,0.11838709677419354,0.12225806451612903,0.17247311827956988,0.2101505376344086,0.2023978494623656,0.2579677419354839,0.27125806451612905,0.4255376344086022,0.5639139784946237,0.4021505376344086,0.22913978494623655,0.24964516129032258,0.24113978494623653,0.2393440860215054,0.2687956989247312,0.32503225806451613,0.33923655913978495,0.3031720430107527,0.27310752688172046,0.2030967741935484,14.132,11.9,11.423,11.422,11.01,11.37,16.04,19.544,18.823,23.991,25.227,39.575,52.444,37.4,21.31,23.217,22.426,22.259,24.998,30.228,31.549,28.195,25.399,18.888,14.132,11.9,11.423,11.422,11.01,11.37,16.04,19.544,18.823,23.991,25.227,39.575,52.444,37.4,21.31,23.217,22.426,22.259,24.998,30.228,31.549,28.195,25.399,18.888,0.210747311827957,0.3569408602150537,0.2685779569892473,0.27965322580645163,0.12770071684587814,78.398,199.173,99.911,104.031,71.25699999999999,0.07534386274331804,0.13768735628202936,0.02527127738346154,0.05334958136968011,0.015002796786851465,0.2508846153846154,0.2384423076923077,0.2614732142857143,0.2460357142857143,0.23230059523809524,0.25904807692307696,0.24548958333333332,78.276,74.394,87.855,82.668,78.053,80.82300000000001,70.701,0.2348502693696618,0.20240708210429736,0.23901293138643354,0.2186350163228053,0.18497180616048342,0.25313594760635316,0.2187902912122602,0.24586151960784314,0.25254,401.246,151.524,0.2168216833454395,0.23717236267328176,0.24765681003584228,552.77,0.22244086550086187,201.793,171.50900000000001,179.468,552.77,41.848,42.487,55.97,45.516,15.972,24.283,39.159,36.349,40.443,31.275,23.536,53.03,45.088,30.46,27.354
