archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-09,2024-09,Septiembre,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06
ABLD,0.18353611111111112,0.21322129128312567,0.054,1.626,0.074,0.1,0.193,264.29200000000003,0.18353611111111112,4.404866666666666,0.10336666666666666,0.0968,0.09358333333333334,0.09811666666666667,0.08785,0.08733333333333333,0.16015,0.16008333333333333,0.10915000000000001,0.14956666666666668,0.19351666666666667,0.20226666666666665,0.1914,0.34586666666666666,0.3550333333333333,0.25226666666666664,0.16521666666666668,0.14861666666666667,0.18296666666666667,0.3111833333333333,0.3598,0.26811666666666667,0.16788333333333333,0.11473333333333334,6.202,5.808,5.615,5.8870000000000005,5.271,5.24,9.609,9.605,6.549,8.974,11.611,12.136,11.484,20.752,21.302,15.136,9.913,8.917,10.978,18.671,21.588,16.087,10.073,6.884,6.202,5.808,5.615,5.8870000000000005,5.271,5.24,9.609,9.605,6.549,8.974,11.611,12.136,11.484,20.752,21.302,15.136,9.913,8.917,10.978,18.671,21.588,16.087,10.073,6.884,0.14473750000000002,0.256725,0.20199583333333332,0.22763333333333335,0.09450833333333335,34.736999999999995,92.42099999999999,48.479,54.632,34.023,0.040429354252241305,0.05674488457510646,0.09864493694835845,0.10855815798779692,0.03394307287520855,0.17483333333333334,0.195171875,0.21532812499999998,0.21855208333333334,0.16743055555555555,0.15639351851851852,0.16575925925925927,37.764,37.473,41.342999999999996,41.962,36.165,33.781,35.804,0.19500449607219855,0.24281448899001404,0.2443168306928869,0.2646047282166172,0.14725653866057897,0.172139148026753,0.20934706335920547,0.19316170634920635,0.16107638888888887,194.707,69.585,0.22127966874358374,0.19148316264307083,0.1835361111111111,264.292,0.21322129128312572,130.587,133.705,264.292,9.183,31.204,35.61,28.438,26.152,3.623,33.409,28.553,29.383,34.503,4.234
AJVG,0.15420972222222223,0.19404829260706494,0.026,2.08,0.056,0.075,0.177,222.062,0.1542097222222222,3.701033333333334,0.08918333333333334,0.0775,0.08528333333333334,0.08763333333333333,0.07965,0.26463333333333333,0.3972,0.17181666666666667,0.12245,0.1404,0.15746666666666667,0.17773333333333333,0.24226666666666666,0.15764999999999998,0.0972,0.09613333333333333,0.10836666666666667,0.19393333333333335,0.16691666666666669,0.23256666666666667,0.18325,0.1431333333333333,0.13798333333333332,0.09068333333333332,5.351,4.65,5.117,5.258,4.779,15.878,23.832,10.309000000000001,7.347,8.424,9.448,10.664,14.536,9.459,5.832,5.768,6.502,11.636000000000001,10.015,13.954,10.995,8.588,8.279,5.441,5.351,4.65,5.117,5.258,4.779,15.878,23.832,10.309000000000001,7.347,8.424,9.448,10.664,14.536,9.459,5.832,5.768,6.502,11.636000000000001,10.015,13.954,10.995,8.588,8.279,5.441,0.20796666666666666,0.15474166666666664,0.17544583333333336,0.13876249999999998,0.11398055555555557,49.912000000000006,55.707,42.107,33.303,41.033,0.07271769717908909,0.1275437696185281,0.0720295805299217,0.020067133435741954,0.09086367687335412,0.15923148148148147,0.16247395833333333,0.14958854166666666,0.15077604166666667,0.12906944444444446,0.16819907407407408,0.16015277777777776,34.394,31.195,28.721,28.949,27.879,36.331,34.592999999999996,0.17611299789499482,0.18782457937317537,0.1764856533449832,0.16936811066403273,0.15705969770571582,0.25451307308512006,0.21467840695061235,0.14993849206349208,0.16417592592592595,151.138,70.924,0.1734090118442129,0.23520091934033213,0.15420972222222223,222.062,0.19404829260706488,116.383,105.679,222.062,13.633,29.564,22.586,28.103,22.497,2.425,29.176,24.699,14.868,30.465,4.046
ATF,0.1574013888888889,0.12292249669113944,0.051,0.939,0.085,0.127,0.178,113.32900000000001,0.15740138888888885,3.777633333333333,0.1008,0.08929999999999999,0.09556666666666666,0.09966666666666667,0.09256666666666667,0.0844,0.09040000000000001,0.12293333333333334,0.1597,0.15283333333333332,0.15180000000000002,0.17923333333333333,0.2951333333333333,0.30666666666666664,0.21723333333333333,0.18393333333333334,0.17523333333333332,0.14766666666666667,0.1259,0.2273,0.24516666666666664,0.19733333333333333,0.13743333333333335,0.09943333333333333,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,4.123,2.983,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,4.123,2.983,0.13146666666666668,0.2223333333333333,0.16902499999999998,0.1698416666666667,0.09371666666666667,15.776,40.02,20.282999999999998,20.381,16.869,0.03348710006271061,0.07191437282282803,0.04163972470325923,0.018183917323843675,0.02472920893041106,0.16619166666666668,0.15319791666666668,0.16989583333333333,0.15022916666666666,0.168125,0.16053125,0.13663333333333333,19.943,14.707,16.31,14.422,16.14,15.411,16.396,0.14011677577771242,0.11676369477139147,0.14699369690508693,0.07709686035885628,0.12922988492564227,0.1368674312975881,0.09849386222683391,0.16175,0.14725462962962962,81.522,31.807,0.12506688866426255,0.11742368120911299,0.15740138888888888,113.329,0.12292249669113951,,113.329,113.329,,,,,,3.584,28.678,24.184,25.313,26.991,4.579
FJAG,0.37123861111110745,0.29320591550101927,0.096,3.13,0.19675,0.2645,0.43425,534.5835999999947,0.37123861111110734,8.909726666666577,0.1752,0.17413333333333333,0.1696,0.16058333333333333,0.17593333333333333,0.22263333333333335,0.2719,0.27116866666666367,0.2840853333333303,0.35763733333332737,0.5170726666666577,0.6666433333333184,0.6586266666666517,0.4517893333333244,0.3808726666666577,0.42123933333332436,0.48138733333332734,0.5085206666666607,0.6654833333333333,0.526,0.43683333333333335,0.4827333333333333,0.2529,0.19675,10.512,10.448,10.176,9.635,10.556,13.358,16.314,16.27011999999982,17.04511999999982,21.45823999999964,31.02435999999946,39.9985999999991,39.5175999999991,27.107359999999463,22.85235999999946,25.27435999999946,28.883239999999642,30.511239999999642,39.929,31.56,26.21,28.964,15.174,11.805,10.512,10.448,10.176,9.635,10.556,13.358,16.314,16.27011999999982,17.04511999999982,21.45823999999964,31.02435999999946,39.9985999999991,39.5175999999991,27.107359999999463,22.85235999999946,25.27435999999946,28.883239999999642,30.511239999999642,39.929,31.56,26.21,28.964,15.174,11.805,0.29619783333333033,0.5160406666666556,0.5453478333333304,0.3423041666666667,0.17968055555555554,71.08747999999929,185.77463999999605,130.88347999999928,82.15299999999999,64.685,0.1325832592662422,0.0844980602529847,0.10021319830794499,0.1013674157284665,0.009753840401509895,0.30658444444444277,0.3717252083333315,0.40312270833332114,0.3571658333333268,0.3820774074074024,0.3682037037037037,0.41182407407407406,66.22223999999964,71.37123999999964,77.39955999999766,68.57583999999875,82.52871999999893,79.532,88.954,0.1610983453574205,0.31516956934116724,0.36575209880613013,0.2623035592138502,0.31195069968384387,0.2879459819903003,0.30650243987658815,0.3631920634920581,0.3900138888888889,366.0975999999946,168.486,0.2909819513584735,0.29782534284619566,0.37123861111110734,534.5835999999946,0.29320591550101915,274.10607999999837,260.4775199999962,534.5835999999946,26.848,65.567,73.57507999999838,57.982,50.134,10.873,56.838,60.59471999999892,65.54495999999857,60.400839999998745,6.226
FMB,0.17245694444444443,0.17463016680042615,0.023,1.628,0.056,0.118,0.2255,248.338,0.17245694444444443,4.138966666666667,0.10085000000000001,0.09615,0.09283333333333334,0.08415,0.0918,0.08346666666666666,0.0922,0.13128333333333334,0.19135,0.22591666666666665,0.24708333333333332,0.2969833333333333,0.40391666666666665,0.21245,0.16283333333333333,0.17503333333333335,0.20086666666666667,0.1959,0.21201666666666666,0.21155,0.18508333333333335,0.19061666666666666,0.13620000000000002,0.11843333333333333,6.051,5.769,5.57,5.049,5.508,5.008,5.532,7.877,11.481,13.555,14.825,17.819,24.235,12.747,9.77,10.502,12.052,11.754,12.721,12.693,11.105,11.437,8.172,7.106,6.051,5.769,5.57,5.049,5.508,5.008,5.532,7.877,11.481,13.555,14.825,17.819,24.235,12.747,9.77,10.502,12.052,11.754,12.721,12.693,11.105,11.437,8.172,7.106,0.16018749999999998,0.2497166666666667,0.20508333333333334,0.15758333333333335,0.09154166666666667,38.445,89.898,49.22,37.82,32.955,0.04930906425767495,0.07123533118678327,0.04142456854968656,0.03406464476993578,0.005437370941768232,0.17252314814814815,0.18551041666666668,0.16427604166666668,0.16649479166666667,0.14351851851851852,0.16502314814814814,0.2097314814814815,37.265,35.618,31.541,31.967,31.0,35.644999999999996,45.302,0.1491905895819522,0.17064549424956668,0.15937729560677769,0.15824075359522805,0.12343626405305856,0.19946158788866167,0.2315444849109534,0.1660625,0.18737731481481482,167.391,80.947,0.1525992052417609,0.21700554109750048,0.17245694444444443,248.338,0.1746301668004261,125.762,122.576,248.338,12.257,28.693,27.579,31.4,25.833,6.487,25.378,29.121,30.231,28.079,3.28
GPC,0.16729861111111113,0.17780243659998324,0.026,1.379,0.072,0.106,0.176,240.91000000000003,0.16729861111111113,4.015166666666667,0.10175000000000001,0.09133333333333334,0.08683333333333333,0.08173333333333334,0.07241666666666666,0.10268333333333333,0.27444999999999997,0.23941666666666667,0.22949999999999998,0.16760000000000003,0.1329,0.11628333333333334,0.20143333333333333,0.3028833333333333,0.23045,0.18221666666666667,0.19768333333333335,0.15660000000000002,0.17163333333333333,0.3143666666666666,0.2271166666666667,0.12944999999999998,0.10746666666666667,0.09696666666666666,6.105,5.48,5.21,4.904,4.345,6.1610000000000005,16.467,14.365,13.77,10.056000000000001,7.974,6.977,12.086,18.173,13.827,10.933,11.861,9.396,10.298,18.862,13.627,7.7669999999999995,6.448,5.818,6.105,5.48,5.21,4.904,4.345,6.1610000000000005,16.467,14.365,13.77,10.056000000000001,7.974,6.977,12.086,18.173,13.827,10.933,11.861,9.396,10.298,18.862,13.627,7.7669999999999995,6.448,5.818,0.22774166666666668,0.1943611111111111,0.21007083333333332,0.14025,0.08945833333333332,54.658,69.97,50.417,33.66,32.205,0.032418454881837394,0.06567129717238866,0.05417137857981702,0.01936333062411489,0.030028986091848356,0.14549074074074073,0.19130208333333332,0.17493229166666668,0.17305208333333333,0.1467175925925926,0.17808796296296295,0.16566203703703705,31.426,36.73,33.587,33.226,31.691,38.467,35.783,0.13811521953555927,0.20481853134171554,0.18492707094849548,0.16739769055133266,0.15110762794758203,0.21202842425402577,0.17482701521728464,0.1653373015873016,0.171875,166.66,74.25,0.17035976686499735,0.19419410034264337,0.1672986111111111,240.91,0.17780243659998304,119.455,121.455,240.91,13.823,25.583,28.071,29.117,22.861,4.868,29.339,23.591,34.466,26.748,2.443
JACL,0.12111527777777778,0.12011793736541058,0.028,1.245,0.06,0.099,0.137,174.406,0.12111527777777778,2.9067666666666674,0.09211666666666667,0.08175,0.07776666666666668,0.08176666666666667,0.07665000000000001,0.07329999999999999,0.0754,0.09183333333333334,0.105,0.09783333333333334,0.09466666666666666,0.09051666666666666,0.14598333333333333,0.28523333333333334,0.20683333333333334,0.18409999999999999,0.1409,0.11695000000000001,0.1158,0.11615,0.11663333333333334,0.15516666666666667,0.15728333333333333,0.12713333333333335,5.527,4.905,4.666,4.906,4.599,4.398,4.524,5.51,6.3,5.87,5.68,5.431,8.759,17.114,12.41,11.046,8.454,7.017,6.948,6.969,6.998,9.31,9.437,7.628,5.527,4.905,4.666,4.906,4.599,4.398,4.524,5.51,6.3,5.87,5.68,5.431,8.759,17.114,12.41,11.046,8.454,7.017,6.948,6.969,6.998,9.31,9.437,7.628,0.09251666666666666,0.16788888888888887,0.12245,0.13905416666666667,0.08055833333333333,22.204,60.440000000000005,29.388,33.373,29.001,0.0174880911917084,0.07982053331431425,0.016630364001002346,0.029963455980856635,0.0013632565575078933,0.12993055555555555,0.11807812499999999,0.10729166666666667,0.12328125,0.10878703703703704,0.12588425925925925,0.1329212962962963,28.065,22.671,20.6,23.669999999999998,23.498,27.191,28.711,0.13675491502299197,0.09011132812333772,0.05812586391483934,0.12905554655596424,0.08803979553941432,0.15025083069044806,0.1481651131463161,0.11756349206349206,0.12940277777777778,118.504,55.902,0.10518367127830656,0.1490800398287064,0.12111527777777778,174.406,0.12011793736541036,93.023,81.383,174.406,7.406000000000001,32.076,23.162,16.565,13.814,6.377000000000001,20.651,16.498,17.221,18.212,2.424
JALG,0.25248125,0.21890543855989048,0.059,1.528,0.104,0.1705,0.32,363.573,0.25248125,6.05955,0.11208333333333333,0.10608333333333334,0.09731666666666668,0.09593333333333334,0.09885000000000001,0.10636666666666666,0.21278333333333332,0.2578833333333333,0.2245,0.22313333333333332,0.22113333333333332,0.33801666666666663,0.47126666666666667,0.43311666666666665,0.3794166666666667,0.2748333333333333,0.2875333333333333,0.24003333333333332,0.2717,0.4515,0.43573333333333336,0.3215,0.23565,0.16318333333333335,6.725,6.365,5.839,5.756,5.931,6.382,12.767,15.472999999999999,13.47,13.388,13.267999999999999,20.281,28.276,25.987,22.765,16.49,17.252,14.402,16.302,27.09,26.144000000000002,19.29,14.139,9.791,6.725,6.365,5.839,5.756,5.931,6.382,12.767,15.472999999999999,13.47,13.388,13.267999999999999,20.281,28.276,25.987,22.765,16.49,17.252,14.402,16.302,27.09,26.144000000000002,19.29,14.139,9.791,0.22957499999999997,0.35296388888888885,0.31269166666666665,0.2890166666666667,0.10277222222222222,55.098,127.067,75.04599999999999,69.36399999999999,36.998000000000005,0.029384136413532446,0.08826500093300758,0.12441708650251428,0.072217140285807,0.003971594984666979,0.24982407407407406,0.24477604166666667,0.26775,0.264125,0.23093981481481482,0.2276712962962963,0.28441666666666665,53.961999999999996,46.997,51.408,50.711999999999996,49.883,49.177,61.434,0.2083943189291142,0.22741418460633842,0.22391995578076251,0.23870908273044508,0.19386852674743615,0.18341608133747575,0.24993043218110222,0.2509543650793651,0.2560439814814815,252.962,110.611,0.21818461498756686,0.2207911327006559,0.25248125,363.573,0.21890543855989048,187.348,176.225,363.573,18.603,40.848,46.245,42.688,38.964,6.107,37.525,40.61,40.816,44.942,6.225
JLG,0.12503402777777775,0.11291856066671684,0.041,1.124,0.06,0.0935,0.148,180.04899999999998,0.12503402777777778,3.0008166666666662,0.07976666666666667,0.06643333333333333,0.06381666666666667,0.06325,0.06076666666666666,0.060366666666666666,0.06205,0.07598333333333333,0.11371666666666667,0.13058333333333333,0.11746666666666666,0.13361666666666666,0.2025833333333333,0.17853333333333332,0.1801,0.16645000000000001,0.13763333333333336,0.15218333333333334,0.15203333333333333,0.16588333333333333,0.18111666666666668,0.17681666666666668,0.17033333333333334,0.10933333333333332,4.786,3.986,3.829,3.795,3.646,3.622,3.723,4.559,6.823,7.835,7.048,8.017,12.155,10.712,10.806000000000001,9.987,8.258000000000001,9.131,9.122,9.953,10.867,10.609,10.22,6.56,4.786,3.986,3.829,3.795,3.646,3.622,3.723,4.559,6.823,7.835,7.048,8.017,12.155,10.712,10.806000000000001,9.987,8.258000000000001,9.131,9.122,9.953,10.867,10.609,10.22,6.56,0.09558333333333334,0.163125,0.15193333333333336,0.1594,0.06573333333333332,22.94,58.725,36.464,38.256,23.664,0.05039184349740403,0.04364104120035756,0.01931669230954607,0.039527420727375834,0.021065542944921873,0.12838425925925925,0.12583333333333332,0.11866666666666666,0.113796875,0.12434722222222223,0.13324537037037038,0.12909722222222222,27.731,24.16,22.784,21.849,26.859,28.781,27.885,0.101781825637716,0.09523260767037635,0.09198755511852738,0.08712166008005537,0.12518070581574117,0.14404714982885172,0.1264839903157769,0.12240376984126984,0.13117129629629629,123.383,56.666,0.10173391831012639,0.13540890486808188,0.12503402777777778,180.049,0.11291856066671675,95.519,84.53,180.049,7.882,19.891000000000002,24.669,20.978,22.099,5.119,21.71,19.051,17.671,18.576,2.403
JMM,0.22662361111111112,0.2151735017522012,0.067,2.104,0.123,0.17,0.24525,326.338,0.2266236111111111,5.438966666666665,0.14133333333333334,0.12596666666666667,0.12473333333333333,0.11916666666666667,0.117,0.11685,0.12096666666666667,0.15739999999999998,0.14918333333333333,0.18345,0.2492,0.36110000000000003,0.5138333333333333,0.45220000000000005,0.23728333333333335,0.2495,0.26234999999999997,0.2658833333333333,0.27218333333333333,0.28413333333333335,0.2814,0.25365,0.22355,0.17665,8.48,7.558,7.484,7.15,7.0200000000000005,7.011,7.258,9.443999999999999,8.951,11.007,14.952,21.666,30.83,27.132,14.237,14.97,15.741,15.953,16.331,17.048000000000002,16.884,15.219,13.413,10.599,8.48,7.558,7.484,7.15,7.0200000000000005,7.011,7.258,9.443999999999999,8.951,11.007,14.952,21.666,30.83,27.132,14.237,14.97,15.741,15.953,16.331,17.048000000000002,16.884,15.219,13.413,10.599,0.15275,0.3438527777777778,0.27113750000000003,0.2338125,0.124175,36.66,123.787,65.07300000000001,56.11500000000001,44.703,0.041608240023867614,0.15838967149297076,0.048166577499985735,0.059639737083554946,0.006222059780726824,0.20157407407407407,0.23028645833333336,0.202203125,0.23036979166666668,0.22883333333333333,0.2561157407407407,0.2350925925925926,43.54,44.215,38.823,44.231,49.428,55.321,50.78,0.15858221864038258,0.20684171104549634,0.16250224449718545,0.1814283460133205,0.2519444752413736,0.27232501193090886,0.23292114793246538,0.2184890873015873,0.24560416666666665,220.237,106.101,0.19615539580859498,0.2533147547897665,0.22662361111111112,326.338,0.21517350175220107,174.021,152.317,326.338,17.139,35.601,40.328,37.923,43.03,4.853,38.972,37.742,33.781,33.088,3.881
