archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-07,2024-07,Julio,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04
ABLD,0.17151948924731183,0.16709307723298267,0.047,2.33,0.082,0.117,0.198,255.221,0.1715194892473118,4.116467741935484,0.11482258064516129,0.10141935483870969,0.10548387096774194,0.10906451612903227,0.10003225806451613,0.09993548387096773,0.16938709677419356,0.15891935483870967,0.13866129032258065,0.17596774193548387,0.16616129032258065,0.1997741935483871,0.1947741935483871,0.24761290322580645,0.2621290322580645,0.22561290322580643,0.17358064516129032,0.16093548387096773,0.197758064516129,0.22809677419354837,0.1960806451612903,0.2572096774193548,0.19135483870967743,0.14169354838709677,7.119,6.288,6.54,6.7620000000000005,6.202,6.196,10.502,9.853,8.597,10.91,10.302,12.386000000000001,12.076,15.352,16.252,13.988,10.762,9.978,12.261,14.142,12.157,15.947,11.864,8.785,7.119,6.288,6.54,6.7620000000000005,6.202,6.196,10.502,9.853,8.597,10.91,10.302,12.386000000000001,12.076,15.352,16.252,13.988,10.762,9.978,12.261,14.142,12.157,15.947,11.864,8.785,0.16073387096774194,0.21601075268817205,0.19009274193548384,0.19658467741935484,0.1051263440860215,39.861999999999995,80.356,47.143,48.753,39.107,0.030436420099448303,0.06650751265883252,0.10006018977040448,0.04299049032620328,0.014054022310597887,0.1802416666666667,0.19141666666666668,0.1965462962962963,0.17144270833333333,0.15729166666666666,0.12652314814814816,0.17461574074074074,43.258,41.346000000000004,42.454,32.917,30.2,27.329,37.717,0.15598138478319853,0.1650191320831872,0.20112381396631854,0.13817458737324995,0.1399392850146141,0.0986179351643989,0.22573226687652828,0.18008996212121214,0.15056944444444445,190.175,65.046,0.16277772025661777,0.17564010818282613,0.17151948924731183,255.221,0.16709307723298267,124.765,130.456,255.221,7.9159999999999995,22.583,30.601,27.861,31.33,4.474,27.014,27.517,26.686,30.868,18.371
AJVG,0.1384119623655914,0.1487801247904538,0.005,1.135,0.06,0.086,0.164,205.957,0.1384119623655914,3.321887096774194,0.10564516129032257,0.0855967741935484,0.08017741935483871,0.0851774193548387,0.08583870967741936,0.24761290322580645,0.4003225806451613,0.08680645161290322,0.11649999999999999,0.10888709677419356,0.10175806451612904,0.1282741935483871,0.15883870967741934,0.13948387096774192,0.09772580645161291,0.09591935483870968,0.1404516129032258,0.15412903225806454,0.14408064516129032,0.16108064516129034,0.17283870967741935,0.1504032258064516,0.15916129032258064,0.1151774193548387,6.55,5.307,4.971,5.281,5.322,15.352,24.82,5.382,7.223,6.751,6.309,7.953,9.847999999999999,8.648,6.059,5.947,8.708,9.556000000000001,8.933,9.987,10.716,9.325,9.868,7.141,6.55,5.307,4.971,5.281,5.322,15.352,24.82,5.382,7.223,6.751,6.309,7.953,9.847999999999999,8.648,6.059,5.947,8.708,9.556000000000001,8.933,9.987,10.716,9.325,9.868,7.141,0.17812903225806453,0.12033333333333333,0.14993548387096775,0.14939516129032257,0.11500806451612904,44.175999999999995,44.763999999999996,37.184000000000005,37.05,42.783,0.10946257841403725,0.04950574302878132,0.02596827313410146,0.01759332760360616,0.058623628718001794,0.15243333333333334,0.16626851851851854,0.15569444444444447,0.129375,0.12741666666666665,0.11569907407407408,0.11821296296296296,36.584,35.914,33.63,24.84,24.464,24.991,25.534,0.1544778075533806,0.17371126037494172,0.1623979870612638,0.1403562595011417,0.1365829181953491,0.1271303934131065,0.13181770717245572,0.14718939393939393,0.11695601851851851,155.432,50.525,0.15523696035084186,0.12935106786260744,0.1384119623655914,205.957,0.14878012479045388,93.145,112.812,205.957,4.007,27.041,20.813,26.042,15.116999999999999,0.125,24.330000000000002,27.659,24.541,23.135,13.147
ATF,0.18951344086021507,0.21805237824337695,0.053,1.794,0.08375,0.126,0.18825,140.99800000000002,0.18951344086021507,4.548322580645161,0.13941935483870968,0.11141935483870968,0.099,0.1022258064516129,0.1019032258064516,0.10161290322580645,0.10032258064516128,0.09941935483870967,0.1433225806451613,0.21080645161290323,0.32567741935483874,0.3261612903225807,0.39664516129032257,0.29387096774193544,0.2054516129032258,0.2651290322580645,0.24006451612903226,0.19716129032258065,0.22219354838709676,0.18393548387096775,0.1741290322580645,0.19580645161290325,0.17180645161290325,0.14083870967741935,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,5.3260000000000005,4.366,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,5.3260000000000005,4.366,0.13846774193548386,0.3021559139784946,0.21083870967741936,0.1706451612903226,0.10926344086021504,17.17,56.201,26.144,21.16,20.322999999999997,0.08626493025668917,0.08966547578949738,0.07164115083206059,0.02687281859774975,0.023629195139184506,0.16455833333333333,0.1908,0.21631666666666668,0.22580208333333332,0.2573958333333333,0.15872916666666667,0.11220833333333334,19.747,22.896,25.958000000000002,21.677,24.71,15.238,10.772,0.16163865686201695,0.19697078228922754,0.2719762713121546,0.2411317883731531,0.29473093810659406,0.18246888583603946,0.06996734827447301,0.20831159420289855,0.13546875,114.988,26.01,0.23657983617648864,0.1397822130356786,0.18951344086021504,140.998,0.21805237824337695,,140.998,140.998,,,,,,,38.051,33.415,22.718,21.644000000000002,25.17
FJAG,0.5240501881720414,0.59879539247851,0.114,3.738,0.19,0.274,0.573,779.7866799999975,0.5240501881720413,12.57720451612899,0.19301612903225807,0.19348387096774194,0.18079032258064515,0.1874032258064516,0.17996774193548387,0.20650000000000002,0.2683225806451613,0.301758064516129,0.29359870967741647,0.412243870967739,0.5082941935483813,0.7666167741935427,0.866229677419349,0.7176490322580588,0.7005683870967684,0.8056793548387068,0.8341954838709649,1.1038064516129034,1.1011451612903227,0.9594677419354839,0.7104677419354839,0.4319516129032258,0.3897741935483871,0.2642741935483871,11.967,11.996,11.209,11.619,11.158,12.803,16.636,18.709,18.20311999999982,25.55911999999982,31.514239999999642,47.530239999999644,53.70623999999964,44.49423999999964,43.43523999999964,49.95211999999982,51.720119999999824,68.436,68.271,59.487,44.049,26.781,24.166,16.385,11.967,11.996,11.209,11.619,11.158,12.803,16.636,18.709,18.20311999999982,25.55911999999982,31.514239999999642,47.530239999999644,53.70623999999964,44.49423999999964,43.43523999999964,49.95211999999982,51.720119999999824,68.436,68.271,59.487,44.049,26.781,24.166,16.385,0.3189808064516114,0.7275062365591345,0.9996537096774187,0.449116935483871,0.19019354838709676,79.10723999999963,270.632319999998,247.91411999999983,111.381,70.752,0.11486788197960913,0.1819086098586655,0.0712487642545956,0.18380471459833195,0.020880145959718707,0.4336125,0.4716898148148148,0.48179092592592015,0.48370312499999996,0.6352291666666666,0.6031435185185186,0.5771011111111053,104.06700000000001,101.885,104.06683999999875,92.871,121.964,130.279,124.65383999999874,0.49163627812501715,0.5299873987865408,0.42972382531332975,0.5298750128141946,0.7230117634139184,0.7342131892125128,0.6763616963166476,0.4970206818181806,0.5901223148148119,524.8538399999987,254.93283999999875,0.5474517897267147,0.7051815005833088,0.5240501881720413,779.7866799999974,0.59879539247851,355.493,424.2936799999975,779.7866799999974,16.944,60.080999999999996,114.694,94.961,64.295,4.518,61.412,67.13483999999875,106.886,122.349,66.51183999999874
FMB,0.19323118279569892,0.20016231220196734,0.024,1.449,0.057,0.121,0.25225,287.528,0.19323118279569892,4.637548387096774,0.10074193548387096,0.09861290322580644,0.1065483870967742,0.08929032258064515,0.10003225806451613,0.07532258064516129,0.1092741935483871,0.13188709677419355,0.18796774193548388,0.22632258064516128,0.26975806451612905,0.29679032258064514,0.4431451612903226,0.2444516129032258,0.1819516129032258,0.1802258064516129,0.234,0.2330483870967742,0.27541935483870966,0.25548387096774194,0.22722580645161292,0.19879032258064516,0.21388709677419354,0.15737096774193549,6.2459999999999996,6.114,6.606,5.536,6.202,4.67,6.775,8.177,11.654,14.032,16.725,18.401,27.475,15.156,11.281,11.174,14.508000000000001,14.449,17.076,15.84,14.088000000000001,12.325,13.261,9.757,6.2459999999999996,6.114,6.606,5.536,6.202,4.67,6.775,8.177,11.654,14.032,16.725,18.401,27.475,15.156,11.281,11.174,14.508000000000001,14.449,17.076,15.84,14.088000000000001,12.325,13.261,9.757,0.16386290322580646,0.26938709677419354,0.24948790322580647,0.19931854838709678,0.09509139784946236,40.638000000000005,100.21200000000002,61.873000000000005,49.431,35.374,0.023055487869950455,0.06562303947962368,0.017459657335189845,0.036780735092549435,0.010890377988720484,0.21120416666666667,0.1749675925925926,0.19854166666666664,0.18190625000000002,0.17975520833333333,0.20400925925925928,0.19748148148148148,50.689,37.793,42.885,34.926,34.513,44.066,42.656,0.22819309334130836,0.1737670289215533,0.1990402509836337,0.17526722025171843,0.18692338905517575,0.21192080554028686,0.21219799799513617,0.190157196969697,0.20074537037037035,200.806,86.722,0.19520520228796986,0.21183849948134428,0.19323118279569892,287.528,0.20016231220196748,135.247,152.281,287.528,5.264,29.171,32.102,37.328,23.994,7.388,24.585,33.31,40.233,35.24,18.913
GPC,0.15070631720430108,0.13519226056679767,0.025,1.124,0.079,0.114,0.16625,224.251,0.1507063172043011,3.6169516129032258,0.11235483870967743,0.11261290322580646,0.09301612903225807,0.08509677419354839,0.08911290322580646,0.11129032258064517,0.24858064516129033,0.2207741935483871,0.1473064516129032,0.13316129032258064,0.1276774193548387,0.13651612903225807,0.14230645161290323,0.24498387096774193,0.15566129032258064,0.19153225806451613,0.15261290322580645,0.15429032258064518,0.18922580645161288,0.1607741935483871,0.1978548387096774,0.1716774193548387,0.1330806451612903,0.10545161290322581,6.966,6.982,5.767,5.276,5.525,6.9,15.412,13.688,9.133,8.256,7.9159999999999995,8.464,8.823,15.189,9.651,11.875,9.462,9.566,11.732,9.968,12.267,10.644,8.251,6.538,6.966,6.982,5.767,5.276,5.525,6.9,15.412,13.688,9.133,8.256,7.9159999999999995,8.464,8.823,15.189,9.651,11.875,9.462,9.566,11.732,9.968,12.267,10.644,8.251,6.538,0.18745564516129032,0.1664462365591398,0.1642258064516129,0.15201612903225806,0.10058064516129032,46.489000000000004,61.91799999999999,40.727999999999994,37.7,37.416,0.07216763456084886,0.03658729533100845,0.03605161603280976,0.03097496660709749,0.033420245761748145,0.15182083333333332,0.18034259259259258,0.15046759259259257,0.156390625,0.14117708333333334,0.1467314814814815,0.12746296296296297,36.437,38.954,32.501,30.027,27.106,31.694,27.532,0.12387777914810494,0.17207122170840758,0.12103644988468998,0.14045639339553265,0.13504496011396167,0.14276049916060712,0.09711474162289854,0.15627367424242425,0.13709722222222223,165.025,59.226,0.13978805184635412,0.12232892706133879,0.15070631720430108,224.251,0.13519226056679767,109.099,115.152,224.251,7.886,30.184,22.025,22.442,24.184,2.378,24.701,27.172,23.308,26.295,13.676
JACL,0.23464784946236558,0.2919243984095268,0.028,1.322,0.067,0.126,0.181,349.156,0.23464784946236564,5.631548387096775,0.13593548387096777,0.0945483870967742,0.07933870967741936,0.08491935483870967,0.08848387096774193,0.07559677419354839,0.07958064516129032,0.09103225806451613,0.10238709677419354,0.11308064516129032,0.11398387096774194,0.15016129032258066,0.24633870967741936,0.5171290322580645,0.6094193548387097,0.4395806451612903,0.35230645161290325,0.3791451612903226,0.35604838709677417,0.21804838709677418,0.21374193548387097,0.36,0.4401612903225806,0.2905806451612903,8.428,5.862,4.9190000000000005,5.265,5.486,4.687,4.934,5.644,6.348,7.011,7.067,9.31,15.273,32.062,37.784,27.253999999999998,21.843,23.507,22.075,13.519,13.252,22.32,27.29,18.016,8.428,5.862,4.9190000000000005,5.265,5.486,4.687,4.934,5.644,6.348,7.011,7.067,9.31,15.273,32.062,37.784,27.253999999999998,21.843,23.507,22.075,13.519,13.252,22.32,27.29,18.016,0.09652016129032259,0.34610215053763443,0.32638709677419353,0.32612096774193544,0.09313709677419356,23.936999999999998,128.75,80.944,80.878,34.647000000000006,0.01289186091246666,0.12237354593007292,0.028078017977463506,0.04326160395581417,0.0387533751485887,0.22211250000000002,0.2832962962962963,0.22543055555555555,0.2343125,0.22897916666666665,0.22612500000000002,0.2230046296296296,53.307,61.192,48.693,44.988,43.964,48.843,48.169,0.2783576757680589,0.339462235712002,0.28297011887882184,0.27714620151773106,0.2872582609155451,0.2945127756142337,0.2771447358865573,0.23877272727272728,0.22456481481481483,252.144,97.012,0.2944935140452757,0.285632981228756,0.23464784946236558,349.156,0.29192439840952683,149.408,199.748,349.156,5.558,25.794,40.467,40.296,32.123,5.17,17.847,40.049,52.333,55.273,34.246
JALG,0.2604173387096774,0.2276524442987583,0.071,1.719,0.117,0.1745,0.30525,387.501,0.2604173387096774,6.250016129032258,0.12688709677419355,0.11779032258064516,0.11862903225806452,0.11135483870967741,0.11370967741935484,0.11954838709677419,0.2178064516129032,0.2990161290322581,0.3302258064516129,0.262741935483871,0.22735483870967743,0.3099677419354839,0.32199999999999995,0.40416129032258064,0.34501612903225803,0.26420967741935486,0.2461290322580645,0.25958064516129037,0.3079193548387097,0.3922258064516129,0.4249516129032258,0.4118387096774193,0.3256451612903226,0.19130645161290324,7.867,7.303,7.355,6.904,7.05,7.412,13.504,18.539,20.474,16.29,14.096,19.218,19.964,25.058,21.391,16.381,15.26,16.094,19.091,24.318,26.347,25.534,20.19,11.861,7.867,7.303,7.355,6.904,7.05,7.412,13.504,18.539,20.474,16.29,14.096,19.218,19.964,25.058,21.391,16.381,15.26,16.094,19.091,24.318,26.347,25.534,20.19,11.861,0.2774475806451613,0.31211827956989247,0.30146370967741937,0.3384354838709677,0.11798655913978495,68.80699999999999,116.108,74.763,83.932,43.891,0.055445784218486845,0.0437649462276301,0.06777432711836151,0.09412326523239666,0.002227367435759423,0.24427083333333333,0.2750138888888889,0.2748240740740741,0.262765625,0.25541145833333334,0.2561388888888889,0.2559953703703704,58.625,59.403,59.362,50.451,49.039,55.326,55.295,0.20878802883965922,0.2462809225852813,0.251954290011011,0.22241078513912987,0.20829731689112108,0.23911727037637423,0.21307634831445968,0.2621969696969697,0.25606712962962963,276.88,110.621,0.22832337388427534,0.22620854110277083,0.2604173387096774,387.501,0.2276524442987583,175.28,212.221,387.501,10.917,37.822,42.288000000000004,36.218,42.684,5.351,44.284,42.742,49.672,48.061,27.462
JLG,0.20005376344086023,0.24754931131506988,0.042,1.648,0.066,0.08,0.1975,297.68,0.2000537634408602,4.801290322580646,0.08443548387096775,0.07498387096774194,0.0725,0.0718709677419355,0.06874193548387098,0.067,0.07058064516129033,0.08729032258064516,0.11829032258064516,0.12299999999999998,0.15461290322580645,0.2353225806451613,0.31946774193548383,0.31016129032258066,0.4152258064516129,0.3393225806451613,0.3003870967741935,0.3300483870967742,0.3090967741935484,0.2869838709677419,0.2974838709677419,0.2737741935483871,0.2522258064516129,0.13848387096774195,5.235,4.649,4.495,4.456,4.2620000000000005,4.154,4.376,5.412,7.334,7.6259999999999994,9.586,14.59,19.807,19.23,25.744,21.038,18.624,20.463,19.164,17.793,18.444,16.974,15.638,8.586,5.235,4.649,4.495,4.456,4.2620000000000005,4.154,4.376,5.412,7.334,7.6259999999999994,9.586,14.59,19.807,19.23,25.744,21.038,18.624,20.463,19.164,17.793,18.444,16.974,15.638,8.586,0.09979032258064516,0.29568548387096777,0.3066290322580645,0.24049193548387096,0.07325537634408603,24.747999999999998,109.995,76.04400000000001,59.641999999999996,27.251,0.051247034174906204,0.08717855358201852,0.01267717914716305,0.07459558237758729,0.00696405718728992,0.21855,0.24661574074074075,0.21632407407407406,0.220515625,0.19113541666666667,0.15387037037037035,0.15259259259259259,52.452,53.269,46.726,42.339,36.698,33.236,32.96,0.26142585690992365,0.2949365016917141,0.2805715869751307,0.25420797802126455,0.22790781271188015,0.18258358226672672,0.1938769466865595,0.21920833333333334,0.15323148148148147,231.484,66.196,0.2658096032532961,0.18809744014221821,0.20005376344086023,297.68,0.24754931131506988,134.329,163.351,297.68,5.066,30.011,44.137,33.165,14.139000000000001,7.811,10.624,21.722,45.109,50.149,35.747
JMM,0.36535752688172046,0.4932153865016545,0.08,5.298,0.166,0.2675,0.413,543.652,0.36535752688172035,8.76858064516129,0.18533870967741936,0.16806451612903225,0.1640483870967742,0.16470967741935483,0.15648387096774194,0.1582741935483871,0.18020967741935484,0.21316129032258063,0.20817741935483872,0.26488709677419353,0.35333870967741937,0.4409032258064516,0.5432903225806451,0.6878709677419355,0.5615161290322581,0.5830806451612902,0.4788709677419355,0.47662903225806447,0.5018064516129033,0.5043870967741936,0.5753548387096774,0.46674193548387094,0.41725806451612907,0.31417741935483867,11.491,10.42,10.171,10.212,9.702,9.813,11.173,13.216,12.907,16.423,21.907,27.336,33.684,42.647999999999996,34.814,36.150999999999996,29.69,29.551,31.112000000000002,31.272000000000002,35.672,28.938,25.87,19.479,11.491,10.42,10.171,10.212,9.702,9.813,11.173,13.216,12.907,16.423,21.907,27.336,33.684,42.647999999999996,34.814,36.150999999999996,29.69,29.551,31.112000000000002,31.272000000000002,35.672,28.938,25.87,19.479,0.21660887096774192,0.5283333333333333,0.49042338709677424,0.44338306451612897,0.16615322580645162,53.718999999999994,196.53999999999996,121.62500000000001,109.959,61.809,0.06295746931933476,0.27458396088245696,0.055933726963618924,0.1874872397837076,0.006281952712522807,0.33074583333333335,0.3053888888888889,0.3847175925925926,0.30102083333333335,0.4101927083333334,0.48548611111111106,0.3416296296296296,79.379,65.964,83.099,57.796,78.757,104.865,73.792,0.38358939811000886,0.195216365751861,0.6405211605282141,0.1908569804808166,0.563839306643468,0.807819850854204,0.27799197219771254,0.34563920454545455,0.4135578703703704,364.995,178.657,0.4366635516973886,0.6076719535569911,0.36535752688172046,543.652,0.4932153865016544,255.734,287.918,543.652,13.109,44.791000000000004,60.805,68.388,61.562,7.079,41.611,45.892,69.885,80.6,49.93
