,0,1,2,3,4
media_consumo,0.14849342967568474,0.20013556545118466,0.2409109393379264,0.2957589200694561,0.4042286170391519
std_consumo,0.163025463690168,0.22085395129643853,0.3839501124802388,0.30445044990087455,0.4776353601475502
min_consumo,0.0,0.0,0.0,0.0,0.0280999999999478
max_consumo,1.7582,2.3185000000000002,3.691,3.0556666666666668,4.491
percentil_25_consumo,0.0702,0.0685,0.053,0.1135,0.18
percentil_50_consumo,0.10300000000000001,0.12025,0.084,0.18933333333333335,0.281
percentil_75_consumo,0.1486,0.228,0.225,0.35708333333333336,0.426
promedio_por_dia,0.1485478041725105,0.20014634284420282,0.2409334458274894,0.2957929900557113,0.4042175045289843
consumo_medio_diario,3.563243548387097,4.802446572580646,5.780891129032258,7.097021505376343,9.69985685483868
Mañana,0.11310020161290317,0.21004460685483867,0.3957540322580645,0.25113642473118275,0.3127096774193543
Mediodia,0.1878377688172043,0.2504615255376344,0.1274811827956989,0.3713737679211469,0.490546774193545
Tarde,0.16880705645161287,0.25258366935483867,0.2770917338709677,0.3482768817204301,0.6763152217741926
Noche,0.1785838562753036,0.22746590436038916,0.4124255501501894,0.3847358333605415,0.3961198788690086
Madrugada,0.09914395161290315,0.08997765456989243,0.1126458333333333,0.15554491487455194,0.2028668682795695
sum_consumo,883.6844000000001,1191.00675,1433.661,1760.0613333333333,2405.564499999993
Lunes,0.1500632869991823,0.2017651267375306,0.2505102207686018,0.2968768056691196,0.3692643499591164
Martes,0.14336987179487176,0.20395272435897432,0.2675665064102564,0.3004586004273504,0.3920286057692296
Miércoles,0.14939600694444438,0.20639127604166665,0.2460920138888888,0.2929956597222222,0.4036114583333322
Jueves,0.1489194444444444,0.2077526041666666,0.2281883680555555,0.29652936921296297,0.3986448784722214
Viernes,0.15099659863945575,0.1808003826530612,0.2100280612244898,0.29156108276643994,0.459611564625848
Entre semana,0.14849342967568474,0.20013556545118466,0.2409109393379264,0.2957589200694561,0.4042286170391519
s_Mañana,112.19539999999999,208.36425,392.588,249.12733333333335,310.2079999999995
s_Mediodia,279.50260000000003,372.68674999999996,189.692,552.6041666666666,729.933599999995
s_Tarde,167.4566,250.56300000000002,274.875,345.49066666666664,670.9046999999991
s_Noche,177.0036,225.506,408.889,381.3883333333333,392.6522999999998
s_Madrugada,147.52620000000002,133.88675,167.617,231.45083333333332,301.8658999999995
s_Lunes,183.5274,246.75875,306.374,363.08033333333333,451.6102999999993
s_Martes,178.9256,254.533,333.923,374.9723333333333,489.2516999999986
s_Miércoles,172.1042,237.76274999999998,283.498,337.531,464.96039999999874
s_Jueves,171.5552,239.331,262.873,341.60183333333333,459.23889999999903
s_Viernes,177.572,212.62125,246.993,342.87583333333333,540.5031999999973
s_Entre semana,883.6844000000001,1191.00675,1433.661,1760.0613333333333,2405.564499999993
s_invierno,190.0088,306.773,575.655,450.04033333333336,501.9869999999968
s_otoño,186.0656,300.834,275.8,406.21433333333334,500.1735999999981
s_primavera,185.1672,283.757,339.255,403.74583333333334,562.3624999999987
s_verano,322.4428,299.64275,242.951,500.0608333333333,841.0413999999993
std_Mañana,0.0354918276816674,0.057774090475905225,0.1521388678290747,0.06856482888018119,0.1839269921295244
std_Mediodia,0.05186471096719116,0.05474835984586605,0.0427580896773719,0.07691954258042911,0.1469420801226199
std_Tarde,0.029764702507545697,0.04050071525470815,0.1903846363560336,0.05351805594748967,0.0450324479395408
std_Noche,0.04410723009558096,0.0689540844188342,0.1523862707909761,0.08453384953146574,0.1220738143076702
std_Madrugada,0.01889233201194704,0.021757218493387624,0.0760602673847951,0.03915391809319422,0.0653166844204311
std_Lunes,0.17066678596701007,0.22616704374441132,0.3854447657559274,0.30897442539937475,0.4197854912287957
std_Martes,0.15392086765754023,0.2261319631832961,0.4229235974383823,0.2975343974405789,0.4463680339037256
std_Miércoles,0.16102364742811479,0.2196287062346298,0.3968878215223335,0.31263091927903014,0.4438558869922533
std_Jueves,0.15970227807779164,0.22690261343500429,0.3534833882307769,0.2892784818599076,0.4856710550193044
std_Viernes,0.16818565596043933,0.1957500401579193,0.3513860434797074,0.30948567470104954,0.5761454301356083
std_Entre semana,0.16302546369016802,0.22085395129643842,0.3839501124802392,0.3044504499008746,0.47763536014755
std_invierno,0.13141690751609186,0.2537770428063495,0.5962849273652004,0.3007580915592832,0.4126140907356044
std_otoño,0.10167842036021164,0.21924272969057224,0.2408165736046686,0.24358048157575607,0.3422141126813663
std_primavera,0.11774636795481341,0.21513353210412894,0.3579073835029306,0.2443766003701147,0.2574934035678013
std_verano,0.21923756620239634,0.18951017719467883,0.1694277803330054,0.3652690693548533,0.7163739977773509
Enero,65.15259999999999,109.68525,197.836,151.29533333333333,182.37699999999896
Febrero,62.568200000000004,93.602,186.494,141.41116666666667,158.17779999999905
Marzo,65.70599999999999,98.67175,159.704,144.02416666666667,185.0399999999989
Abril,56.46900000000001,86.84649999999999,95.766,124.505,192.956
Mayo,62.992200000000004,98.23875,83.785,135.21666666666667,184.36649999999972
Junio,123.78479999999999,111.05625,94.477,165.1543333333333,288.4627999999996
Julio,114.2752,97.94425,88.582,185.95216666666667,282.53459999999967
Agosto,84.3828,90.64224999999999,59.892,148.95433333333332,270.044
Septiembre,62.6398,90.19775,69.809,121.71750000000002,173.373899999999
Octubre,65.5328,113.06525,92.137,147.53383333333332,168.7835999999997
Noviembre,57.892999999999994,97.571,113.854,136.963,158.01609999999943
Diciembre,62.288,103.48575,191.325,157.33383333333333,161.43219999999886
