,0,1,2
media_consumo,0.1572892911155388,0.2730498702365615,0.4042286170391519
std_consumo,0.17076519553079814,0.3015377296451659,0.4776353601475502
min_consumo,0.0,0.0,0.0280999999999478
max_consumo,1.8291428571428572,3.031777777777778,4.491
percentil_25_consumo,0.071,0.09577777777777778,0.18
percentil_50_consumo,0.10471428571428572,0.1647777777777778,0.281
percentil_75_consumo,0.16257142857142856,0.3205,0.426
promedio_por_dia,0.15732873756094298,0.27307940171939116,0.4042175045289843
consumo_medio_diario,3.774308755760369,6.552095878136201,9.69985685483868
Mañana,0.14407776497695846,0.25552307347670244,0.3127096774193543
Mediodia,0.18759619815668202,0.33150948327359614,0.490546774193545
Tarde,0.1841909562211981,0.3257540322580645,0.6763152217741926
Noche,0.18833549133379351,0.35614166775499545,0.3961198788690086
Madrugada,0.09715101766513053,0.13572095280764632,0.2028668682795695
sum_consumo,936.0285714285714,1624.9197777777779,2405.564499999993
Lunes,0.15443616399953272,0.27867720541473606,0.3692643499591164
Martes,0.15421394230769225,0.2803867521367521,0.3920286057692296
Miércoles,0.16074702380952374,0.2723757716049382,0.4036114583333322
Jueves,0.16481882440476187,0.2699156057098765,0.3986448784722214
Viernes,0.15275704567541298,0.2631421957671958,0.459611564625848
Entre semana,0.1572892911155388,0.2730498702365615,0.4042286170391519
s_Mañana,142.92514285714284,253.4788888888889,310.2079999999995
s_Mediodia,279.1431428571429,493.2861111111111,729.933599999995
s_Tarde,182.71742857142857,323.14799999999997,670.9046999999991
s_Noche,186.68214285714288,353.054,392.6522999999998
s_Madrugada,144.56071428571428,201.95277777777778,301.8658999999995
s_Lunes,188.87542857142856,340.82222222222225,451.6102999999993
s_Martes,192.459,349.92266666666666,489.2516999999986
s_Miércoles,185.18057142857145,313.77688888888883,464.96039999999874
s_Jueves,189.8712857142857,310.9427777777778,459.23889999999903
s_Viernes,179.64228571428572,309.45522222222223,540.5031999999973
s_Entre semana,936.0285714285714,1624.9197777777779,2405.564499999993
s_invierno,212.63442857142857,440.5102222222222,501.9869999999968
s_otoño,216.126,370.42977777777776,500.1735999999981
s_primavera,201.605,379.03988888888887,562.3624999999987
s_verano,305.6631428571428,434.93988888888885,841.0413999999993
std_Mañana,0.043837069058597,0.07391376200132675,0.1839269921295244
std_Mediodia,0.05173209044564564,0.06894085625109411,0.1469420801226199
std_Tarde,0.0319785366145264,0.06649662103287199,0.0450324479395408
std_Noche,0.04847950178295287,0.09073170485026022,0.1220738143076702
std_Madrugada,0.022092853923609327,0.03753603694577565,0.0653166844204311
std_Lunes,0.1706278076778893,0.3114331965799607,0.4197854912287957
std_Martes,0.16640310549625187,0.3019378260698865,0.4463680339037256
std_Miércoles,0.16841104482214594,0.30860323172450954,0.4438558869922533
std_Jueves,0.17668372063953655,0.28427667544916024,0.4856710550193044
std_Viernes,0.16783529007992806,0.2952646112844869,0.5761454301356083
std_Entre semana,0.1707651955307981,0.301537729645166,0.47763536014755
std_invierno,0.15431157048527908,0.3325383546810892,0.4126140907356044
std_otoño,0.12934012251749769,0.24247573622222982,0.3422141126813663
std_primavera,0.13659158366420868,0.2574768742516379,0.2574934035678013
std_verano,0.20308305570325685,0.3104099273700027,0.7163739977773509
Enero,72.49828571428571,151.40266666666668,182.37699999999896
Febrero,69.73614285714287,137.11744444444446,158.17779999999905
Marzo,70.69414285714285,139.1341111111111,185.0399999999989
Abril,62.23085714285714,115.21233333333333,192.956
Mayo,68.67999999999999,124.69344444444444,184.36649999999972
Junio,114.15528571428571,149.94055555555556,288.4627999999996
Julio,107.07257142857144,157.54888888888888,282.53459999999967
Agosto,84.43528571428571,127.45044444444446,270.044
Septiembre,70.59671428571428,108.88077777777778,173.373899999999
Octubre,77.05071428571429,135.32333333333335,168.7835999999997
Noviembre,68.47857142857143,126.22566666666665,158.01609999999943
Diciembre,70.4,151.9901111111111,161.43219999999886
total_mean_consumption,5626.186335390933,9766.857032634538,14459.426435112355
