,0,1,2
media_consumo,0.15850330687830685,0.27232160493827157,0.38464942129629576
std_consumo,0.1777541195185374,0.27274447902008175,0.45309443713409747
min_consumo,0.03614285714285714,0.041166666666666664,0.0475249999999869
max_consumo,2.0065714285714287,2.407833333333333,3.5420000000000003
percentil_25_consumo,0.06571428571428571,0.10516666666666667,0.0935
percentil_50_consumo,0.10214285714285713,0.18299999999999997,0.19201249999999342
percentil_75_consumo,0.17375000000000002,0.31954166666666667,0.5226875
promedio_por_dia,0.15850330687830685,0.27232160493827157,0.3846494212962957
consumo_medio_diario,3.804079365079365,6.535718518518519,9.231586111111099
Mañana,0.1345301587301587,0.2094958333333333,0.3861318749999997
Mediodia,0.1996253968253968,0.3578484567901234,0.4677127777777764
Tarde,0.18154999999999996,0.3240550925925925,0.45971638888888866
Noche,0.1998535714285714,0.33942268518518515,0.5560166666666667
Madrugada,0.09043201058201052,0.14945555555555554,0.13630828703703676
sum_consumo,342.3671428571428,588.2146666666666,830.8427499999989
Lunes,0.16013141025641023,0.28845405982905975,0.3664875801282049
Martes,0.15696703296703296,0.2814139957264957,0.40914118589743537
Miércoles,0.16529716117216112,0.26610630341880337,0.4053440705128199
Jueves,0.15083836996336994,0.2562970085470085,0.37391698717948696
Viernes,0.15347756410256405,0.2586773504273504,0.34818822115384496
Sábado,0.16015476190476188,0.263058449074074,0.39179635416666647
Domingo,0.16278388278388276,0.2915315170940171,0.39822131410256356
Entre semana,0.15734230769230767,0.27018974358974357,0.3806156089743584
Fin de semana,0.16152190476190473,0.2778644444444444,0.3951373333333329
s_Mañana,48.43085714285714,75.4185,139.00747499999989
s_Mediodia,107.79771428571429,193.23816666666667,252.56489999999928
s_Tarde,65.35799999999999,116.65983333333332,165.49789999999993
s_Noche,71.94728571428571,122.19216666666667,200.166
s_Madrugada,48.833285714285715,80.706,73.60647499999988
s_Lunes,49.961,89.99766666666666,114.34412499999993
s_Martes,48.97371428571428,87.80116666666667,127.65204999999985
s_Miércoles,51.57271428571429,83.02516666666666,126.46734999999981
s_Jueves,47.061571428571426,79.96466666666667,116.66209999999995
s_Viernes,47.885,80.70733333333334,108.63472499999962
s_Sábado,46.12457142857143,75.76083333333334,112.83734999999994
s_Domingo,50.78857142857142,90.95783333333333,124.24504999999985
s_Entre semana,245.45399999999998,421.49600000000004,593.7603499999991
s_Fin de semana,96.91314285714286,166.71866666666668,237.08239999999978
s_invierno,342.3671428571428,588.2146666666666,830.842749999999
std_Mañana,0.04945865408614096,0.10041648789915336,0.1940530372691137
std_Mediodia,0.06146592542264057,0.07938323631777133,0.1376803839161773
std_Tarde,0.03991249776024741,0.04567665680417335,0.11337091335525934
std_Noche,0.0737841748844886,0.0794624523389942,0.11037130010125255
std_Madrugada,0.027304053576364343,0.03429809659771685,0.09530263213733316
std_Lunes,0.1719695654287125,0.2736427789764707,0.4267496046459242
std_Martes,0.16957531502534312,0.27770649662348107,0.45984144881940137
std_Miércoles,0.1802191994411457,0.2486265373918939,0.47706805666185936
std_Jueves,0.15722271491410994,0.2338063300573363,0.43717435366044455
std_Viernes,0.16612782763028186,0.2550782768430862,0.4509122802476023
std_Sábado,0.19628684197377086,0.27101229385732073,0.4290481995507053
std_Domingo,0.16741587013165557,0.3199808263823846,0.4491858949171174
std_Entre semana,0.17171355592381923,0.2610099578272541,0.45339894568786915
std_Fin de semana,0.1873522276588074,0.2989533659232518,0.439646776741889
std_invierno,0.17775411951853742,0.27274447902008186,0.45309443713409764
Enero,117.91214285714285,206.64183333333335,287.82764999999966
Febrero,103.48299999999999,170.70666666666668,252.85104999999973
Diciembre,120.972,210.8661666666667,290.1640499999996
total_mean_consumption,2065.1180867463295,3546.583483309217,5010.509837306496
