date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k2_2023_12
2023-12-05;23:00;0.154;Real;;;;0
2023-12-05;24:00:00;0.041;Real;;;;0
2023-12-06;1:00;0.031;Real;;;;0
2023-12-06;2:00;0.115;Real;;;;0
2023-12-06;3:00;0.041;Real;;;;0
2023-12-06;4:00;0.173;Real;;;;0
2023-12-06;5:00;0.034;Real;;;;0
2023-12-06;6:00;0.034;Real;;;;0
2023-12-06;7:00;0.04;Real;;;;0
2023-12-06;8:00;0.02;Real;;;;0
2023-12-06;9:00;0.045;Real;;;;0
2023-12-06;10:00;0.165;Real;;;;0
2023-12-06;11:00;0.042;Real;;;;0
2023-12-06;12:00;0.021;Real;;;;0
2023-12-06;13:00;0.036;Real;;;;0
2023-12-06;14:00;0.028;Real;;;;0
2023-12-06;15:00;0.168;Real;;;;0
2023-12-06;16:00;0.041;Real;;;;0
2023-12-06;17:00;0.02;Real;;;;0
2023-12-06;18:00;0.043;Real;;;;0
2023-12-06;19:00;0.021;Real;;;;0
2023-12-06;20:00;0.187;Real;;;;0
2023-12-06;21:00;0.024;Real;;;;0
2023-12-06;22:00;0.035;Real;;;;0
2023-12-06;23:00;0.029;Real;;;;0
2023-12-06;24:00:00;0.03;Real;;;;0
2023-12-07;1:00;0.177;Real;;;;0
2023-12-07;2:00;0.083;Real;;;;0
2023-12-07;3:00;0.064;Real;;;;0
2023-12-07;4:00;0.023;Real;;;;0
2023-12-07;5:00;0.05;Real;;;;0
2023-12-07;6:00;0.024;Real;;;;0
2023-12-07;7:00;0.166;Real;;;;0
2023-12-07;8:00;0.03;Real;;;;0
2023-12-07;9:00;0.032;Real;;;;0
2023-12-07;10:00;0.041;Real;;;;0
2023-12-07;11:00;0.019;Real;;;;0
2023-12-07;12:00;0.175;Real;;;;0
2023-12-07;13:00;0.033;Real;;;;0
2023-12-07;14:00;0.019;Real;;;;0
2023-12-07;15:00;0.041;Real;;;;0
2023-12-07;16:00;0.022;Real;;;;0
2023-12-07;17:00;0.185;Real;;;;0
2023-12-07;18:00;0.023;Real;;;;0
2023-12-07;19:00;0.027;Real;;;;0
2023-12-07;20:00;0.033;Real;;;;0
2023-12-07;21:00;0.034;Real;;;;0
2023-12-07;22:00;0.174;Real;;;;0
2023-12-07;23:00;0.019;Real;;;;0
2023-12-07;24:00:00;0.038;Real;;;;0
2023-12-08;1:00;0.028;Real;;;;0
2023-12-08;2:00;0.028;Real;;;;0
2023-12-08;3:00;0.239;Real;;;;0
2023-12-08;4:00;0.049;Real;;;;0
2023-12-08;5:00;0.027;Real;;;;0
2023-12-08;6:00;0.035;Real;;;;0
2023-12-08;7:00;0.034;Real;;;;0
2023-12-08;8:00;0.179;Real;;;;0
2023-12-08;9:00;0.019;Real;;;;0
2023-12-08;10:00;0.041;Real;;;;0
2023-12-08;11:00;0.029;Real;;;;0
2023-12-08;12:00;0.033;Real;;;;0
2023-12-08;13:00;0.103;Real;;;;0
2023-12-08;14:00;0.087;Real;;;;0
2023-12-08;15:00;0.041;Real;;;;0
2023-12-08;16:00;0.025;Real;;;;0
2023-12-08;17:00;0.05;Real;;;;0
2023-12-08;18:00;0.019;Real;;;;0
2023-12-08;19:00;0.174;Real;;;;0
2023-12-08;20:00;0.03;Real;;;;0
2023-12-08;21:00;0.03;Real;;;;0
2023-12-08;22:00;0.041;Real;;;;0
2023-12-08;23:00;0.02;Real;;;;0
2023-12-08;24:00:00;0.186;Real;;;;0
2023-12-09;1:00;0.028;Real;;;;0
2023-12-09;2:00;0.026;Real;;;;0
2023-12-09;3:00;0.093;Real;;;;0
2023-12-09;4:00;0.056;Real;;;;0
2023-12-09;5:00;0.172;Real;;;;0
2023-12-09;6:00;0.034;Real;;;;0
2023-12-09;7:00;0.043;Real;;;;0
2023-12-09;8:00;0.02;Real;;;;0
2023-12-09;9:00;0.042;Real;;;;0
2023-12-09;10:00;0.168;Real;;;;0
2023-12-09;11:00;0.024;Real;;;;0
2023-12-09;12:00;0.036;Real;;;;0
2023-12-09;13:00;0.023;Real;;;;0
2023-12-09;14:00;0.041;Real;;;;0
2023-12-09;15:00;0.171;Real;;;;0
2023-12-09;16:00;0.045;Real;;;;0
2023-12-09;17:00;0.02;Real;;;;0
2023-12-09;18:00;0.042;Real;;;;0
2023-12-09;19:00;0.028;Real;;;;0
2023-12-09;20:00;0.026;Real;;;;0
2023-12-09;21:00;0.178;Real;;;;0
2023-12-09;22:00;0.019;Real;;;;0
