,0,1,2
media_consumo,0.18812169680111265,0.3211115438108484,0.6059577190542408
std_consumo,0.18153084951059384,0.356592056902254,0.7366172685883313
min_consumo,0.059166666666666666,0.048299999999999996,0.0210999999999472
max_consumo,1.4221666666666666,2.3475,3.701
percentil_25_consumo,0.09166666666666666,0.1122,0.2085
percentil_50_consumo,0.12333333333333334,0.1786,0.299
percentil_75_consumo,0.20358333333333334,0.41114999999999996,0.591
promedio_por_dia,0.18819965780998385,0.32140422101449273,0.6055856763285014
consumo_medio_diario,4.50865,7.695973333333333,14.522786666666638
Mañana,0.1906569444444444,0.23278249999999998,0.2873758333333329
Mediodia,0.22884074074074068,0.4346161111111111,0.8302561111111079
Tarde,0.2242569444444444,0.42288916666666665,1.3776699999999982
Noche,0.1953669540229885,0.3639223850574712,0.4308580459770115
Madrugada,0.11652407407407404,0.16995777777777774,0.1942611111111111
sum_consumo,135.2595,230.8792,435.6835999999992
Lunes,0.19852100840336132,0.3161605042016806,0.4164621848739495
Martes,0.1816475694444444,0.29870625,0.4621666666666666
Miércoles,0.19252951388888884,0.311196875,0.6108645833333334
Jueves,0.19299305555555554,0.3042447916666666,0.581539583333329
Viernes,0.18546006944444438,0.33279166666666665,0.8340104166666666
Sábado,0.17408506944444438,0.3688239583333333,0.7022083333333334
Domingo,0.18892361111111108,0.3178566666666666,0.6650733333333299
Entre semana,0.19060934393638165,0.3127819085487077,0.5734846918489057
Fin de semana,0.1823287037037037,0.34050879629629627,0.6815777777777758
s_Mañana,22.878833333333333,27.9339,34.485099999999946
s_Mediodia,41.19133333333333,78.23089999999999,149.44609999999943
s_Tarde,26.910833333333333,50.7467,165.32039999999978
s_Noche,23.304166666666664,43.375299999999996,51.465
s_Madrugada,20.974333333333334,30.592399999999998,34.967
s_Lunes,23.624,37.6231,49.559
s_Martes,17.438166666666667,28.6758,44.368
s_Miércoles,18.482833333333335,29.874900000000004,58.643
s_Jueves,18.527333333333335,29.2075,55.827799999999584
s_Viernes,17.804166666666667,31.948,80.065
s_Sábado,16.712166666666665,35.4071,67.412
s_Domingo,22.670833333333334,38.1428,79.80879999999958
s_Entre semana,95.87650000000001,157.32930000000002,288.4627999999996
s_Fin de semana,39.383,73.54990000000001,147.22079999999957
s_verano,135.2595,230.8792,435.6835999999992
std_Mañana,0.07579308559535548,0.08777653561169733,0.0619716497938553
std_Mediodia,0.07626432794043524,0.10164231045422685,0.3479466398186125
std_Tarde,0.0495898752539933,0.06933976530205681,0.0279162577939015
std_Noche,0.05845703520936355,0.09733554675117764,0.2519329700533153
std_Madrugada,0.0182699499355895,0.04856527729566455,0.0338119670595883
std_Lunes,0.1901078867432705,0.33770246233348067,0.4670596229117948
std_Martes,0.1535524367953476,0.2888579828219561,0.5532431780285119
std_Miércoles,0.16600240261023164,0.2898463731759762,0.7445144177995505
std_Jueves,0.16454515621614962,0.3074625574047989,0.7316458068131002
std_Viernes,0.1746044827424492,0.3355698981205372,0.9326610541861464
std_Sábado,0.15825465622422155,0.4487249450879435,0.8613872644160963
std_Domingo,0.20106990149329337,0.3175338823715366,0.7419875921105011
std_Entre semana,0.17291845226282376,0.32021206924129875,0.7081588710716995
std_Fin de semana,0.18896833061551832,0.39704929976209546,0.795561331076289
std_verano,0.1815308495105938,0.356592056902254,0.7366172685883309
Junio,135.2595,230.8792,435.6835999999992
total_mean_consumption,823.196091302596,1405.3994814756907,2652.0373718948545
