ID,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,Mañana,Tarde,Noche,Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,invierno,otoño,primavera,verano,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2023-01-30/2023-02-05,2023-02-06/2023-02-12,2023-02-13/2023-02-19,2023-02-20/2023-02-26,2023-02-27/2023-03-05,2023-03-06/2023-03-12,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24,2024-03-25/2024-03-31,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05,2024-05-06/2024-05-12,2024-05-13/2024-05-19,2024-05-20/2024-05-26,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2023-01,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2025-02,2025-01-20/2025-01-26,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,¿Adultos en la vivienda? [Ocupados/trabajando],¿Adultos en la vivienda? [Realizando tareas del hogar],¿Adultos en la vivienda? [Parados/as],¿Adultos en la vivienda? [Jubilados/as - pensionistas de algún tipo],¿Adultos en la vivienda? [Estudiantes],Menores en la vivienda [Menores en la vivienda],Percepción de distribución de consumos [Entre semana],Percepción de distribución de consumos [Fin de semana],¿Crees que podrías cambiar tus hábitos de consumo para ajustarlos a horas de más producción solar?,Metros cuadrados aproximados de la vivienda,¿Tienes calefacción eléctrica?,¿Tienes sistema de agua caliente eléctrica?,"Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Cocina eléctrica (no de gas/but,etc)]",Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Horno eléctrico],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Microondas],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Lavavajillas],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Lavadora],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Secadora],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Frigorífico con congelador],Indica si en tu vivienda dispones de los siguientes electrodomésticos o equipos: [Aire acondicionado],Tienes la función de programar alguno de tus electrodomésticos,Observaciones (apuntar cosas que nombren en la conversación pero que no están en ninguna de las preguntas y pueda resultar útil ya sea sobre el consumo o sobre los hábitos que tienen)
ABLD,0.1989243741307371,0.2280350075444382,0.028,2.33,0.072,0.103,0.215,3432.6390000000006,0.2001249425072519,0.114461752433936,0.0917593880389429,0.0834144645340751,0.0858525730180806,0.0934408901251738,0.0887273991655076,0.095894297635605,0.1819721835883171,0.195009735744089,0.1345924895688456,0.1815980528511822,0.2075952712100139,0.2303630041724617,0.233490959666203,0.3890625869262865,0.3520305980528511,0.2620027816411683,0.2117093184979137,0.1935493741307371,0.2283727399165507,0.363317107093185,0.3318289290681502,0.252894297635605,0.1462990264255911,0.2790908669448307,0.2636119610570236,0.0937858136300417,0.2020502983802216,0.2113060528559249,0.2082756437315323,0.1983862389193752,0.1954613761080624,0.1907002954833263,0.1948421274799493,0.2012533152260744,0.1927712114816378,0.2238592745047594,0.1987047075606276,0.2036342789598109,0.1715692344045368,141.551,152.186,116.604,148.189,118.473,119.053,117.474,125.681,147.684,121.313,156.64,154.24,145.889,159.895,138.393,146.106,115.554,124.185,131.342,128.765,170.819,157.657,171.456,100.365,26.036,32.42,33.982,37.33,33.831,38.543,34.966,34.894,28.585,29.03,29.004,30.835,20.885,35.057,34.68,33.955,29.49,32.706,30.64,32.432,24.03,21.104,21.897,29.307,26.754,29.272,29.52,32.711,19.968,22.359,26.233,29.797,34.269,27.769,29.169,32.459,30.646,34.608,37.365,32.513,18.691,31.557,31.907,38.54,35.18,27.765,32.538,37.619,38.217,35.817,33.196,34.891,30.603,41.01,26.901,39.081,39.642,31.511,37.85,32.492,38.813,25.337,34.034,31.025,37.389,32.477,30.238,37.688,34.492,24.974,32.984,30.566,25.416,23.433,26.171,25.999,25.409,29.228,38.74,32.233,20.147,37.065,23.878,32.638,27.641,27.612,33.381,37.496,30.357,43.678,41.942,41.204,45.747,35.552,28.922,30.343,40.505,35.415,38.506,39.338,30.262,43.77,41.41,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,"Más al medio día (10 a 16h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),No,86.0,"No, Estufas eléctricas",No,Si,Si,Si,Si,Si,No,Si,No,No lo sé,Sale muy pronto a trabajar y aunque pudiera no programaría la lavadora pq la pone siempre el fin de semana.
AJVG,0.2341065197428833,0.3605547713113574,0.005,4.021,0.051,0.083,0.222,4079.072,0.2353292496470272,0.1154738292011019,0.0968292011019283,0.0833677685950413,0.0785495867768595,0.0770495867768595,0.0780895316804407,0.2344490358126721,0.56650826446281,0.3301515151515151,0.2143870523415978,0.2189035812672176,0.2586308539944904,0.2447314049586777,0.2439876033057851,0.2720165289256198,0.2151542699724518,0.1792617079889807,0.2025275482093664,0.244961432506887,0.3193815426997245,0.394056473829201,0.4151804407713498,0.3286818181818182,0.2737481634527089,0.2356303948576675,0.3174648760330578,0.0902539944903581,0.2542483277591973,0.2456751672240802,0.2500965719063545,0.2367671404682274,0.1984301392992824,0.2276504854368932,0.2339347826086956,0.2353467582721314,0.230807813484562,0.3957618577075099,0.1917350427350427,0.2309368794326241,0.1318475897920605,293.657,213.109,121.24,117.866,108.341,89.719,65.66,112.267,108.642,157.524,249.156,311.027,260.966,250.256,145.281,129.111,104.409,106.319,83.531,101.707,131.426,180.9,255.626,,77.849,72.299,62.736,68.12,79.432,43.129,47.949,46.752,44.794,25.869,37.214,25.034,20.666,26.192,26.797,30.464,23.518,27.179,25.817,23.198,24.368,22.273,25.83,20.049,25.105,15.015,0.842,4.838,23.283,23.257,26.787,28.343,21.73,27.134,23.775,26.203,14.598,26.976,31.86,33.177,27.658,35.192,45.129,31.638,15.172,52.032,72.398,101.348,72.51,88.69500000000001,77.38,42.338,78.582,61.094,65.527,52.789,61.639,74.925,41.757,29.09,75.923,58.387,30.534,28.82,24.162,31.797,25.629,32.824,22.419,27.113,24.319,28.498,23.112,21.187,23.093,26.01,22.888,21.571,20.235,11.229,14.741,29.447,22.948,28.254,23.936,14.361,28.931,28.715,30.09,29.195,29.978,23.621,33.769,38.358,48.857,62.98,47.749,77.265,77.567,43.721,,,,231.612,6.276,13.037,52.085,93.308,43.069,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,58.0,Radiadores eléctricos,termo eléctrico,Si,Si,Si,No,Si,No,Si,No,Sí y trato de usar la funcionalidad,Programa los radiadores eléctricos y la lavadora. Trabajan  los 2 hasta la 6pm.
ATF,0.1557830267558528,0.1541637290515327,0.042,2.273,0.078,0.12,0.167,1117.899,0.1563941966193856,0.1121404682274247,0.0996053511705685,0.0915986622073578,0.0903712374581939,0.090876254180602,0.0929899665551839,0.0950200668896321,0.1139030100334448,0.1340535117056856,0.1529866220735786,0.1649698996655518,0.1811739130434782,0.2080301003344481,0.2949565217391304,0.3139665551839465,0.1948127090301003,0.1718963210702341,0.1657826086956521,0.1472608695652174,0.143752508361204,0.1740033444816053,0.1911270903010033,0.1718561872909698,0.1256538461538461,0.2274726867335562,0.1656304347826086,0.0969183946488294,0.1585338725985844,0.1602952477249747,0.1634751552795031,0.159195652173913,0.1591243680485338,0.1561152679474216,0.1382699696663296,0.1590519430550211,0.1471926188068756,0.1288731884057971,0.1469765984120351,0.1634156028368794,0.165133270321361,,,,,,,,,,,,,,120.17,116.86,108.594,141.742,135.598,72.082,109.277,105.349,94.733,71.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.652,29.525,33.652,24.948,19.393,26.152,25.511,30.136,26.455,26.57,20.009,27.354,23.912,26.772,32.973,26.812,32.827,41.713,36.159,32.561,22.064,20.584,33.678,15.508,15.252,17.031,18.295,27.698,23.007,24.609,25.967,28.745,23.934,23.905,21.065,21.915,25.288,20.254,20.304,22.24,16.533,22.664,16.607,12.31,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,"Más por la mañana (6 a 10h), Más al medio día (10 a 16h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,125.0,No,No,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Casa individual. Trabaja en casa . Tiene aparato de aire acondicionado en la habitación donde trabaja. Tiene caldera individual de gas le justaría cambiarse a eléctrica pregunta si le podemos aconsejar sobre el tema
FJAG,0.4430025265575654,0.7117970324351827,0.048,5.326,0.171,0.246,0.41,7714.889000000001,0.4503328321392146,0.1984242424242424,0.1587121212121212,0.1537066115702479,0.1524187327823691,0.1521804407713498,0.1525964187327823,0.2290289256198347,0.2701046831955923,0.3131818181818182,0.3878030303030303,0.4841997245179063,0.6876184573002755,0.9181322314049586,0.8339752066115702,0.6694517906336088,0.5978220689655173,0.58448,0.5955462068965518,0.6302234482758621,0.7209558620689654,0.5822206896551725,0.4664344827586207,0.4220275862068965,0.3061524334251607,0.7152466258193217,0.5695680459770115,0.1630884297520661,0.3817529264214047,0.3830388795986622,0.4855409698996655,0.4330012583892618,0.5650232165470662,0.4031671591388771,0.5020693979933111,0.4392947684526632,0.4528571728628439,0.4540277227722772,0.4008996539792387,0.38415768321513,0.5401724952741022,204.97,261.25,235.318,259.358,313.391,340.309,340.605,300.177,292.627,265.962,293.894,394.629,333.436,236.434,311.917,320.71,367.237,469.087,455.381,334.593,257.625,321.411,365.231,,54.757,49.564,54.66,47.098,66.015,49.758,51.794,53.034,60.055,67.286,48.807,65.353,48.491,49.177,50.17,45.622,92.479,48.443,68.07300000000001,110.861,69.67,54.514,56.989,111.461,90.738,60.463,69.681,104.671,97.527,30.382,68.861,63.406,106.233,55.934,57.02,58.932,63.513,94.732,49.972,61.417,55.146,52.83,84.05199999999999,51.236,104.064,50.901,58.786,58.367,54.565,102.898,55.0,139.938,74.34,86.073,94.924,90.874,55.889,51.255,53.297,46.919,58.527,70.999,79.946,73.283,76.119,48.831,78.761,88.794,54.415,75.123,93.152,110.56,61.486,88.395,59.708,91.925,104.701,120.249,174.044,155.807,121.244,27.426,79.894,55.185,82.198,94.815,85.861,83.49,49.179,49.23,54.249,94.287,50.254,52.231,51.408,105.921,103.706,139.897,86.642,29.777,,,,242.112,9.776,69.753,42.506,49.904,55.039,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,"Más por la mañana (6 a 10h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,56.0,No,No,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Tienen coche eléctrico. Tienen en el garaje una toma que eles factura con la de su casa.
FMB,0.1939972745723398,0.226071670984461,0.01,3.138,0.053,0.127,0.242,3345.483,0.1947777007918811,0.1301849791376912,0.1007399165507649,0.0988998609179415,0.0937802503477051,0.0874534075104311,0.0840278164116828,0.098048678720445,0.1004158553546592,0.1674186369958275,0.2252559109874826,0.2426787204450625,0.2552614742698191,0.2975396383866481,0.381933147632312,0.2551504178272981,0.1939401114206128,0.2287785515320334,0.2496392757660167,0.2448718662952646,0.2826128133704735,0.247142061281337,0.2135403899721448,0.2029637883008356,0.1529742698191933,0.2687672235114539,0.240128365831012,0.1022116828929068,0.2178840579710144,0.2027894288150042,0.1889341494301392,0.1863642887294217,0.1857741663149008,0.1831954411143942,0.1993158117846545,0.1950393065431013,0.191238578680203,0.2247023471756513,0.1827462291072156,0.1859581560283688,0.1869461247637051,,143.946,121.631,140.597,115.902,127.578,159.292,121.508,124.964,124.703,138.546,143.781,124.865,124.326,130.823,125.28,115.313,146.552,126.519,118.588,138.568,142.996,192.035,201.339,,,,,25.755,30.894,34.284,30.913,31.079,25.484,31.906,27.482,27.78,30.026,31.793,27.423,31.236,35.082,27.136,31.093,24.844,22.963,27.94,28.468,35.873,23.067,29.03,38.101,39.44,46.676,25.006,27.051,26.764,30.639,30.262,28.663,23.437,27.456,31.297,30.375,29.091,25.125,33.014,31.428,32.189,32.006,31.615,27.481,31.275,38.337,30.153,29.317,30.566,30.567,28.563,32.204,29.193,27.864,30.398,28.301,26.234,31.578,28.942,29.457,33.354,33.652,23.743,29.822,26.327,27.557,26.84,22.507,29.122,28.515,23.56,32.121,38.362,34.439,41.417,45.106,16.751,17.931,29.8,24.816,27.672,29.614,26.915,27.166,26.69,33.224,29.173,41.032,33.879,33.687,34.574,29.058,33.849,30.74,29.798,61.141,72.965,55.866,45.59,,,,,,,70.605,35.388,31.502,31.103,32.273,1.0,0.0,0.0,0.0,0.0,0.0,"Más por la mañana (6 a 10h), Más al medio día (10 a 16h), Más por la tarde (16 a 20h), Más por la noche (20 a 6h)","Más al medio día (10 a 16h), Más por la tarde (16 a 20h)",No,65.0,No,termo eléctrico,Si,No,Si,No,Si,Si,Si,Si,"Sí, pero no lo utilizo",Tiene calefacción por pelets. Trabaja en casa por lo cual de poder adecuar el consumo a las horas solares solo seria la secadora y lavadora
GPC,0.1681472498419449,0.1972745337843757,0.023,2.567,0.065,0.098,0.172,2925.594,0.1713693594112035,0.0818510344827586,0.1011048275862069,0.100343448275862,0.0822358620689655,0.0755903448275862,0.0755558620689655,0.1052386206896551,0.2896937931034483,0.2377641379310344,0.1952248275862069,0.148103448275862,0.1220275862068965,0.1223944827586206,0.1915213793103448,0.3123710344827586,0.245743448275862,0.2012275862068965,0.1852248275862069,0.1768303448275862,0.2259282758620689,0.3288331034482759,0.21364,0.1232937931034482,0.175263448275862,0.1992142528735632,0.2089583908045977,0.0882251034482758,0.1704184782608695,0.1726559364548495,0.168939381270903,0.1692992823976361,0.1608168003376952,0.1733182777543267,0.1841095317725752,0.1641567494856781,0.1787399705944129,0.1983957763975155,0.1661390472312703,0.1623404255319149,0.1475132325141777,122.938,130.65,100.424,119.061,119.755,105.641,86.509,115.593,121.851,130.441,141.495,145.207,126.39,117.363,103.179,116.023,107.108,110.341,94.922,118.895,123.168,138.296,118.772,,33.176,27.04,31.783,30.584,32.693,27.062,33.294,25.974,26.151,14.261,28.688,28.056,24.856,26.574,28.191,26.125,27.114,30.965,25.554,27.177,28.489,26.266,29.604,21.302,21.755,23.075,13.306,17.893,23.795,19.967,27.407,24.899,27.406,27.449,25.714,29.35,25.665,27.632,28.702,27.629,31.537,28.359,34.006,28.509,27.841,31.473,29.323,40.293,33.067,29.104,33.638,35.579,32.281,28.612,30.791,29.968,31.187,28.385,30.414,27.543,18.391,10.893,32.24,27.081,26.902,25.145,29.246,24.663,26.032,23.873,28.962,22.822,23.678,24.773,23.995,25.563,22.312,25.533,27.64,16.659,20.25,22.674,25.447,28.637,23.029,33.833,26.132,26.014,24.934,28.692,30.128,30.836,32.038,32.883,32.816,32.735,30.926,33.247,30.538,16.903,,,,143.741,5.578,33.608,33.248,29.74,31.961,,,,,,2.0,0.0,0.0,0.0,0.0,2.0,Más al medio día (10 a 16h),Más por la mañana (6 a 10h),Ya los había adecuado a las horas solares,90.0,No,No,Si,Si,Si,Si,Si,No,Si,No,Sí y trato de usar la funcionalidad,Los circuitos de la casa los tengo monotorizados. He cambiado el lavavajillas para poder programarlo a las horas de consumo que me interesan.
JACL,0.1325003161828111,0.1628915062039516,0.015,1.399,0.063,0.096,0.135,2304.843,0.1301875235229275,0.15576,0.0940151724137931,0.0777310344827586,0.0762813793103448,0.0769641379310344,0.0756924137931034,0.0712924137931034,0.0780441379310344,0.0883724137931034,0.0942041379310344,0.1112758620689655,0.1091351724137931,0.1109365517241379,0.1614055172413793,0.3158427586206896,0.2159268965517241,0.1736855172413793,0.1594593103448276,0.1643241379310344,0.1491988950276243,0.1274696132596685,0.1343825966850828,0.1732707182320442,0.0864802298850574,0.1811554022988506,0.151350878580047,0.0961503448275862,0.1277094481605351,0.1333415551839464,0.1265293132328308,0.1307619248628113,0.1268024482904179,0.1305428450823132,0.1356772575250836,0.1322658698749406,0.1331224532661205,0.105615767222084,0.1207249592833876,0.0982962174940898,0.2058998109640832,67.069,66.07000000000001,62.438,69.93,77.603,138.731,214.237,87.416,73.794,70.626,73.543,77.161,71.894,76.613,71.635,69.107,75.45,181.99,183.357,77.507,73.967,75.4,64.788,,16.683,14.91,17.504,17.406,16.63,14.822,15.159,13.501,14.966,15.304,14.426,14.558,14.102,15.412,14.055,18.109,16.168,13.681,16.27,14.853,22.599,21.438,24.149,38.447,36.466,30.433,26.981,44.028,66.669,70.091,17.659,29.594,22.311,15.533,16.299,18.098,16.931,16.466,14.401,17.861,16.573,16.658,15.53,16.499,14.357,16.725,16.573,17.963,16.253,16.436,18.566,17.958,17.585,16.431,17.337,18.574,18.11,17.558,17.675,16.668,16.517,17.804,15.931,16.369,17.054,15.878,15.643,15.332,15.745,15.888,16.173000000000002,16.066,15.793,22.516,17.137,37.147,47.36,49.539,55.32,60.342,36.043,30.761,37.08,20.216,15.721,16.415,17.482,16.447,17.315,15.54,17.178,17.445,18.52,17.025,17.882,17.154,18.581,18.574,17.805,6.98,,,,70.226,2.207,14.823,14.291,15.817,18.694,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,60.0,No,No,Si,Si,Si,No,Si,No,Si,Si,No,"Aire acondicionado lo ponen por las tardes en verano. Compran comida ya preparada, no cocinan entre semana. El Microondas es lo que más utilizan. Solo cocinan los fines de semana y poco. Tienen Bono Social Eléctrico desde que se lo comentasteis que lo podían solicitar."
JALG,0.2805359765893963,0.2684197734040301,0.027,2.216,0.099,0.172,0.36,4889.181,0.2817219604996801,0.169735900962861,0.1075378266850068,0.1017386519944979,0.0962297111416781,0.094793388429752,0.0968360881542699,0.1100619834710743,0.2032190082644628,0.2905688705234159,0.3431432506887052,0.3091515151515151,0.2531776859504132,0.3488884297520661,0.4646294765840221,0.4784986225895317,0.4631212121212121,0.327228650137741,0.3403085399449035,0.2799077134986226,0.2845674931129476,0.4286707988980716,0.5055399449035812,0.3871046831955923,0.2254967860422405,0.3892573461891643,0.3710165289256198,0.1140070958427592,0.2868637123745819,0.278180602006689,0.2868779264214047,0.2816107859531772,0.2723746312684366,0.2591519628535247,0.3079644648829431,0.2793557274808558,0.2836761184625079,0.3210639190523198,0.2706955636955637,0.2788983451536643,0.2547948960302457,200.808,208.784,178.956,165.734,159.262,166.642,211.174,179.323,190.865,213.5,230.192,235.057,206.402,223.106,208.887,194.273,177.26,200.554,163.4,169.811,198.196,197.66,192.816,,53.164,50.953,47.813,51.996,51.913,50.622,42.331,42.361,46.24,41.789,48.096,38.773,40.08,39.834,39.341,37.858,29.045,42.843,37.245,37.319,34.637,37.337,36.046,40.616,34.773,39.702,29.004,44.983,58.04,59.401,42.32,39.359,44.013,41.309,43.519,39.747,43.169,42.463,46.859,45.881,54.789,46.458,49.276,50.083,52.163,48.807,54.61,53.843,55.726,55.179,52.201,49.606,48.359,52.126,47.74,51.737,49.781,55.284,48.527,49.288,49.011,45.337,49.808,48.621,53.461,46.539,40.621,43.925,46.535,39.526,42.813,42.46,42.214,38.56,42.924,41.062,45.948,46.319,46.413,32.007,39.638,38.209,37.428,36.505,38.761,39.668,43.117,40.053,42.391,43.227,49.024,47.808,40.841,51.665,46.711,47.761,53.892,51.582,51.097,28.386,,,,235.676,5.374,53.169,52.898,50.622,56.03,,,,,,3.0,0.0,1.0,0.0,0.0,0.0,"Más por la mañana (6 a 10h), Más por la tarde (16 a 20h)",Más al medio día (10 a 16h),Solo en algunos momentos puntuales o en fin de semana,70.0,No,termo eléctrico,Si,Si,Si,No,Si,No,Si,No,No,.
JALG,0.2805359765893963,0.2684197734040301,0.027,2.216,0.099,0.172,0.36,4889.181,0.2817219604996801,0.169735900962861,0.1075378266850068,0.1017386519944979,0.0962297111416781,0.094793388429752,0.0968360881542699,0.1100619834710743,0.2032190082644628,0.2905688705234159,0.3431432506887052,0.3091515151515151,0.2531776859504132,0.3488884297520661,0.4646294765840221,0.4784986225895317,0.4631212121212121,0.327228650137741,0.3403085399449035,0.2799077134986226,0.2845674931129476,0.4286707988980716,0.5055399449035812,0.3871046831955923,0.2254967860422405,0.3892573461891643,0.3710165289256198,0.1140070958427592,0.2868637123745819,0.278180602006689,0.2868779264214047,0.2816107859531772,0.2723746312684366,0.2591519628535247,0.3079644648829431,0.2793557274808558,0.2836761184625079,0.3210639190523198,0.2706955636955637,0.2788983451536643,0.2547948960302457,200.808,208.784,178.956,165.734,159.262,166.642,211.174,179.323,190.865,213.5,230.192,235.057,206.402,223.106,208.887,194.273,177.26,200.554,163.4,169.811,198.196,197.66,192.816,,53.164,50.953,47.813,51.996,51.913,50.622,42.331,42.361,46.24,41.789,48.096,38.773,40.08,39.834,39.341,37.858,29.045,42.843,37.245,37.319,34.637,37.337,36.046,40.616,34.773,39.702,29.004,44.983,58.04,59.401,42.32,39.359,44.013,41.309,43.519,39.747,43.169,42.463,46.859,45.881,54.789,46.458,49.276,50.083,52.163,48.807,54.61,53.843,55.726,55.179,52.201,49.606,48.359,52.126,47.74,51.737,49.781,55.284,48.527,49.288,49.011,45.337,49.808,48.621,53.461,46.539,40.621,43.925,46.535,39.526,42.813,42.46,42.214,38.56,42.924,41.062,45.948,46.319,46.413,32.007,39.638,38.209,37.428,36.505,38.761,39.668,43.117,40.053,42.391,43.227,49.024,47.808,40.841,51.665,46.711,47.761,53.892,51.582,51.097,28.386,,,,235.676,5.374,53.169,52.898,50.622,56.03,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,"Más por la tarde (16 a 20h), Más por la noche (20 a 6h)",Más por la noche (20 a 6h),No,60.0,No,No,Si,Si,Si,Si,Si,No,Si,Si,Sí y trato de usar la funcionalidad,Personas mayores de 80 años
JLG,0.1456643328550932,0.1643137881837943,0.028,1.648,0.06,0.095,0.155,2538.201,0.1444876495805492,0.121292984869326,0.0761143250688705,0.0637258953168044,0.0618360881542699,0.0606363636363636,0.0599421487603305,0.0589297520661157,0.0617892561983471,0.0813347107438016,0.1573402203856749,0.1780330578512396,0.1576446280991735,0.1655289256198347,0.2218126721763085,0.2169338842975206,0.2320385674931129,0.1949283746556473,0.1712438016528925,0.1777947658402204,0.1759407713498622,0.1969641873278237,0.2307589531680441,0.2022575757575757,0.0995615243342516,0.198147842056933,0.1924933425160697,0.0767211314091269,0.1493963210702341,0.1477867892976588,0.14776254180602,0.1505999163879598,0.1427075949367088,0.1430164626424651,0.1305911371237458,0.1490067119393556,0.1367737870195337,0.1412101753519387,0.1314371184371184,0.11651536643026,0.1955810491493383,86.833,93.412,73.791,77.157,105.761,128.187,196.506,90.612,95.634,77.513,89.734,113.696,85.019,86.867,76.378,85.255,90.299,153.635,153.311,79.14,84.127,94.597,87.778,,21.649,22.343,19.355,23.393,22.802,20.102,21.635,18.459,22.489,13.655,18.216,19.458,17.282,19.206,17.117,13.527,17.101,27.336,21.592,20.573,21.328,29.983,28.499,42.583,31.553,13.499,32.506,40.333,51.597,68.555,18.329,19.07,23.527,19.636,23.551,23.802,19.712,19.854,23.806,18.978,22.042,18.393,13.306,16.19,19.866,19.447,21.85,22.857,25.981,21.885,26.288,26.901,26.196,17.838,19.732,21.5,21.947,17.904,18.133,21.61,19.667,14.112,18.357,20.413,17.997,21.424,18.834,16.854,20.578,17.473,22.286,18.923,17.981,26.7,10.169,20.274,42.169,47.425,59.146,55.342,30.768,26.196,20.422,20.855,17.335,16.561,17.158,19.77,12.825,24.894,16.818,22.214,19.831,23.856,22.994,21.137,21.453,20.229,23.323,19.424,,,,108.7,4.407,28.509,20.277,23.721,24.984,,,,,,,,,,,,,,,,,,,,,,,,,,,
