vivienda,año,mes,n_clusters,cluster
FMB,2024,1,4,1
FMB,2024,2,2,1
FMB,2024,2,3,1
FMB,2024,2,4,1
FMB,2024,3,2,0
FMB,2024,3,3,0
FMB,2024,3,4,3
FMB,2024,4,2,0
FMB,2024,4,3,2
FMB,2024,4,4,2
FMB,2024,5,2,1
FMB,2024,5,3,1
FMB,2024,5,4,1
FMB,2024,6,2,0
FMB,2024,6,3,2
FMB,2024,6,4,2
FMB,2024,7,2,0
FMB,2024,7,3,2
FMB,2024,7,4,2
FMB,2024,8,2,1
FMB,2024,8,3,1
FMB,2024,8,4,1
FMB,2024,9,2,0
FMB,2024,9,3,2
FMB,2024,9,4,2
FMB,2024,10,2,1
FMB,2024,10,3,2
FMB,2024,10,4,2
FMB,2024,11,2,1
FMB,2024,11,3,2
FMB,2024,11,4,2
FMB,2024,12,2,0
FMB,2024,12,3,1
FMB,2024,12,4,1
GPC,2023,1,2,0
GPC,2023,1,3,2
GPC,2023,1,4,2
GPC,2023,2,2,0
GPC,2023,2,3,1
GPC,2023,2,4,1
GPC,2023,3,2,1
GPC,2023,3,3,2
GPC,2023,3,4,2
GPC,2023,4,2,1
GPC,2023,4,3,2
GPC,2023,4,4,2
GPC,2023,5,2,0
GPC,2023,5,3,2
GPC,2023,5,4,2
GPC,2023,6,2,1
GPC,2023,6,3,2
GPC,2023,6,4,2
GPC,2023,7,2,0
GPC,2023,7,3,2
GPC,2023,7,4,2
GPC,2023,8,2,1
GPC,2023,8,3,1
GPC,2023,8,4,1
GPC,2023,9,2,1
GPC,2023,9,3,2
GPC,2023,9,4,2
GPC,2023,10,2,1
GPC,2023,10,3,2
GPC,2023,10,4,2
GPC,2023,11,2,0
GPC,2023,11,3,2
GPC,2023,11,4,2
GPC,2023,12,2,1
GPC,2023,12,3,1
GPC,2023,12,4,1
GPC,2024,1,2,1
GPC,2024,1,3,1
GPC,2024,1,4,1
GPC,2024,2,2,1
GPC,2024,2,3,1
GPC,2024,2,4,1
GPC,2024,3,2,0
GPC,2024,3,3,0
GPC,2024,3,4,3
GPC,2024,4,2,0
GPC,2024,4,3,2
GPC,2024,4,4,2
GPC,2024,5,2,0
GPC,2024,5,3,1
GPC,2024,5,4,1
GPC,2024,6,2,0
GPC,2024,6,3,2
GPC,2024,6,4,2
GPC,2024,7,2,0
GPC,2024,7,3,2
GPC,2024,7,4,2
GPC,2024,8,2,1
GPC,2024,8,3,2
GPC,2024,8,4,2
GPC,2024,9,2,0
GPC,2024,9,3,2
GPC,2024,9,4,2
GPC,2024,10,2,0
GPC,2024,10,3,2
GPC,2024,10,4,3
GPC,2024,11,2,0
GPC,2024,11,3,2
GPC,2024,11,4,2
GPC,2024,12,2,0
GPC,2024,12,3,0
GPC,2024,12,4,0
JACL,2023,1,2,0
JACL,2023,1,3,0
JACL,2023,1,4,0
JACL,2023,2,2,0
JACL,2023,2,3,1
JACL,2023,2,4,3
JACL,2023,3,2,1
JACL,2023,3,3,1
JACL,2023,3,4,1
JACL,2023,4,2,1
JACL,2023,4,3,1
JACL,2023,4,4,1
JACL,2023,5,2,0
JACL,2023,5,3,2
JACL,2023,5,4,3
JACL,2023,6,2,1
JACL,2023,6,3,1
JACL,2023,6,4,1
JACL,2023,7,2,0
JACL,2023,7,3,2
JACL,2023,7,4,2
JACL,2023,8,2,1
JACL,2023,8,3,2
JACL,2023,8,4,2
JACL,2023,9,2,1
JACL,2023,9,3,1
JACL,2023,9,4,1
JACL,2023,10,2,1
JACL,2023,10,3,1
JACL,2023,10,4,1
JACL,2023,11,2,1
JACL,2023,11,3,1
JACL,2023,11,4,1
JACL,2023,12,2,1
JACL,2023,12,3,1
JACL,2023,12,4,3
JACL,2024,1,2,1
JACL,2024,1,3,1
JACL,2024,1,4,3
JACL,2024,2,2,1
JACL,2024,2,3,1
JACL,2024,2,4,3
JACL,2024,3,2,0
JACL,2024,3,3,0
JACL,2024,3,4,0
JACL,2024,4,2,0
JACL,2024,4,3,0
JACL,2024,4,4,0
JACL,2024,5,2,0
JACL,2024,5,3,0
JACL,2024,5,4,0
JACL,2024,6,2,0
JACL,2024,6,3,0
JACL,2024,6,4,0
JACL,2024,7,2,0
JACL,2024,7,3,0
JACL,2024,7,4,0
JACL,2024,8,2,0
JACL,2024,8,3,1
JACL,2024,8,4,0
JACL,2024,9,2,0
JACL,2024,9,3,0
JACL,2024,9,4,0
JACL,2024,10,2,0
JACL,2024,10,3,0
JACL,2024,10,4,0
JACL,2024,11,2,0
JACL,2024,11,3,0
JACL,2024,11,4,0
JACL,2024,12,2,0
JACL,2024,12,3,0
JACL,2024,12,4,0
JALG,2023,1,2,1
JALG,2023,1,3,1
JALG,2023,1,4,1
JALG,2023,2,2,0
JALG,2023,2,3,0
JALG,2023,2,4,0
JALG,2023,3,2,0
JALG,2023,3,3,0
JALG,2023,3,4,0
JALG,2023,4,2,0
JALG,2023,4,3,0
JALG,2023,4,4,0
JALG,2023,5,2,1
JALG,2023,5,3,0
JALG,2023,5,4,0
JALG,2023,6,2,0
JALG,2023,6,3,0
JALG,2023,6,4,0
JALG,2023,7,2,0
JALG,2023,7,3,0
JALG,2023,7,4,0
JALG,2023,8,2,1
JALG,2023,8,3,2
JALG,2023,8,4,0
JALG,2023,9,2,0
JALG,2023,9,3,0
JALG,2023,9,4,0
JALG,2023,10,2,0
JALG,2023,10,3,0
JALG,2023,10,4,0
JALG,2023,11,2,0
JALG,2023,11,3,0
JALG,2023,11,4,0
JALG,2023,12,2,0
JALG,2023,12,3,0
JALG,2023,12,4,0
JALG,2024,1,2,0
JALG,2024,1,3,0
JALG,2024,1,4,0
JALG,2024,2,2,0
JALG,2024,2,3,0
JALG,2024,2,4,0
JALG,2024,3,2,1
JALG,2024,3,3,1
JALG,2024,3,4,1
JALG,2024,4,2,1
JALG,2024,4,3,1
JALG,2024,4,4,1
JALG,2024,5,2,1
JALG,2024,5,3,1
JALG,2024,5,4,3
JALG,2024,6,2,1
JALG,2024,6,3,1
JALG,2024,6,4,1
JALG,2024,7,2,0
JALG,2024,7,3,0
JALG,2024,7,4,0
JALG,2024,8,2,1
JALG,2024,8,3,1
JALG,2024,8,4,0
JALG,2024,9,2,1
JALG,2024,9,3,1
JALG,2024,9,4,1
JALG,2024,10,2,1
JALG,2024,10,3,1
JALG,2024,10,4,1
JALG,2024,11,2,1
JALG,2024,11,3,1
JALG,2024,11,4,1
JALG,2024,12,2,0
JALG,2024,12,3,1
JALG,2024,12,4,1
JLG,2023,1,2,0
JLG,2023,1,3,0
JLG,2023,1,4,0
JLG,2023,2,2,0
JLG,2023,2,3,1
JLG,2023,2,4,3
JLG,2023,3,2,1
JLG,2023,3,3,1
JLG,2023,3,4,1
JLG,2023,4,2,1
JLG,2023,4,3,1
JLG,2023,4,4,1
JLG,2023,5,2,0
JLG,2023,5,3,2
JLG,2023,5,4,3
JLG,2023,6,2,1
JLG,2023,6,3,2
JLG,2023,6,4,2
JLG,2023,7,2,0
JLG,2023,7,3,2
JLG,2023,7,4,2
JLG,2023,8,2,1
JLG,2023,8,3,2
JLG,2023,8,4,2
JLG,2023,9,2,1
JLG,2023,9,3,1
JLG,2023,9,4,1
JLG,2023,10,2,1
JLG,2023,10,3,1
JLG,2023,10,4,1
JLG,2023,11,2,1
JLG,2023,11,3,1
JLG,2023,11,4,1
JLG,2023,12,2,1
JLG,2023,12,3,1
JLG,2023,12,4,3
JLG,2024,1,2,1
JLG,2024,1,3,1
JLG,2024,1,4,3
JLG,2024,2,2,1
JLG,2024,2,3,1
JLG,2024,2,4,3
JLG,2024,3,2,0
JLG,2024,3,3,0
JLG,2024,3,4,0
JLG,2024,4,2,0
JLG,2024,4,3,0
JLG,2024,4,4,0
JLG,2024,5,2,0
JLG,2024,5,3,0
JLG,2024,5,4,0
JLG,2024,6,2,0
JLG,2024,6,3,0
JLG,2024,6,4,0
JLG,2024,7,2,0
JLG,2024,7,3,0
JLG,2024,7,4,0
JLG,2024,8,2,1
JLG,2024,8,3,1
JLG,2024,8,4,0
JLG,2024,9,2,0
JLG,2024,9,3,0
JLG,2024,9,4,0
JLG,2024,10,2,0
JLG,2024,10,3,0
JLG,2024,10,4,0
JLG,2024,11,2,0
JLG,2024,11,3,0
JLG,2024,11,4,0
JLG,2024,12,2,0
JLG,2024,12,3,0
JLG,2024,12,4,0
JMM,2023,1,2,1
JMM,2023,1,3,1
JMM,2023,1,4,3
JMM,2023,2,2,0
JMM,2023,2,3,1
JMM,2023,2,4,1
JMM,2023,3,2,0
JMM,2023,3,3,0
JMM,2023,3,4,0
JMM,2023,4,2,0
JMM,2023,4,3,0
JMM,2023,4,4,0
JMM,2023,5,2,1
JMM,2023,5,3,1
JMM,2023,5,4,1
JMM,2023,6,2,0
JMM,2023,6,3,0
JMM,2023,6,4,3
JMM,2023,7,2,0
JMM,2023,7,3,0
JMM,2023,7,4,0
JMM,2023,8,2,0
JMM,2023,8,3,0
JMM,2023,8,4,3
JMM,2023,9,2,0
JMM,2023,9,3,0
JMM,2023,9,4,0
JMM,2023,10,2,0
JMM,2023,10,3,0
JMM,2023,10,4,0
JMM,2023,11,2,0
JMM,2023,11,3,2
JMM,2023,11,4,3
JMM,2023,12,2,1
JMM,2023,12,3,1
JMM,2023,12,4,1
JMM,2024,1,2,1
JMM,2024,1,3,1
JMM,2024,1,4,1
JMM,2024,2,2,0
JMM,2024,2,3,1
JMM,2024,2,4,1
JMM,2024,3,2,1
JMM,2024,3,3,1
JMM,2024,3,4,1
JMM,2024,4,2,1
JMM,2024,4,3,2
JMM,2024,4,4,2
JMM,2024,5,2,1
JMM,2024,5,3,1
JMM,2024,5,4,1
JMM,2024,6,2,1
JMM,2024,6,3,1
JMM,2024,6,4,3
JMM,2024,7,2,1
JMM,2024,7,3,1
JMM,2024,7,4,1
JMM,2024,8,2,0
JMM,2024,8,3,0
JMM,2024,8,4,3
JMM,2024,9,2,1
JMM,2024,9,3,1
JMM,2024,9,4,1
JMM,2024,10,2,1
JMM,2024,10,3,2
JMM,2024,10,4,3
JMM,2024,11,2,1
JMM,2024,11,3,2
JMM,2024,11,4,1
JMM,2024,12,2,0
JMM,2024,12,3,1
JMM,2024,12,4,1
MANA,2023,1,2,1
MANA,2023,1,3,1
MANA,2023,1,4,3
MANA,2023,2,2,0
MANA,2023,2,3,1
MANA,2023,2,4,1
MANA,2023,3,2,0
MANA,2023,3,3,2
MANA,2023,3,4,2
MANA,2023,4,2,0
MANA,2023,4,3,0
MANA,2023,4,4,0
MANA,2023,5,2,1
MANA,2023,5,3,1
MANA,2023,5,4,1
MANA,2023,6,2,0
MANA,2023,6,3,0
MANA,2023,6,4,0
MANA,2023,7,2,0
MANA,2023,7,3,0
MANA,2023,7,4,3
MANA,2023,8,2,0
MANA,2023,8,3,2
MANA,2023,8,4,2
MANA,2023,9,2,0
MANA,2023,9,3,0
MANA,2023,9,4,0
MANA,2023,10,2,0
MANA,2023,10,3,0
MANA,2023,10,4,0
MANA,2023,11,2,0
MANA,2023,11,3,0
MANA,2023,11,4,3
MANA,2023,12,2,0
MANA,2023,12,3,0
MANA,2023,12,4,1
MANA,2024,1,2,0
MANA,2024,1,3,0
MANA,2024,1,4,1
MANA,2024,2,2,0
MANA,2024,2,3,1
MANA,2024,2,4,1
MANA,2024,3,2,1
MANA,2024,3,3,1
MANA,2024,3,4,1
MANA,2024,4,2,1
MANA,2024,4,3,2
MANA,2024,4,4,2
MANA,2024,5,2,1
MANA,2024,5,3,1
MANA,2024,5,4,1
MANA,2024,6,2,1
MANA,2024,6,3,1
MANA,2024,6,4,1
MANA,2024,7,2,1
MANA,2024,7,3,1
MANA,2024,7,4,1
MANA,2024,8,2,0
MANA,2024,8,3,0
MANA,2024,8,4,3
MANA,2024,9,2,1
MANA,2024,9,3,1
MANA,2024,9,4,1
MANA,2024,10,2,1
MANA,2024,10,3,2
MANA,2024,10,4,3
MANA,2024,11,2,1
MANA,2024,11,3,2
MANA,2024,11,4,1
MANA,2024,12,2,0
MANA,2024,12,3,1
MANA,2024,12,4,1
MBGV,2023,1,2,0
MBGV,2023,1,3,2
MBGV,2023,1,4,2
MBGV,2023,2,2,0
MBGV,2023,2,3,1
MBGV,2023,2,4,1
MBGV,2023,3,2,1
MBGV,2023,3,3,2
MBGV,2023,3,4,2
MBGV,2023,4,2,1
MBGV,2023,4,3,2
MBGV,2023,4,4,2
MBGV,2023,5,2,0
MBGV,2023,5,3,2
MBGV,2023,5,4,2
MBGV,2023,6,2,0
MBGV,2023,6,3,2
MBGV,2023,6,4,2
MBGV,2023,7,2,0
MBGV,2023,7,3,2
MBGV,2023,7,4,2
MBGV,2023,8,2,1
MBGV,2023,8,3,1
MBGV,2023,8,4,1
MBGV,2023,9,2,0
MBGV,2023,9,3,2
MBGV,2023,9,4,2
MBGV,2023,10,2,0
MBGV,2023,10,3,2
MBGV,2023,10,4,2
MBGV,2023,11,2,0
MBGV,2023,11,3,2
MBGV,2023,11,4,2
MBGV,2023,12,2,1
MBGV,2023,12,3,1
MBGV,2023,12,4,1
MBGV,2024,1,2,1
MBGV,2024,1,3,1
MBGV,2024,1,4,1
MBGV,2024,2,2,0
MBGV,2024,2,3,1
MBGV,2024,2,4,1
MBGV,2024,3,2,1
MBGV,2024,3,3,1
MBGV,2024,3,4,3
MBGV,2024,4,2,0
MBGV,2024,4,3,2
MBGV,2024,4,4,2
MBGV,2024,5,2,1
MBGV,2024,5,3,1
MBGV,2024,5,4,1
MBGV,2024,6,2,0
MBGV,2024,6,3,2
MBGV,2024,6,4,2
MBGV,2024,7,2,0
MBGV,2024,7,3,2
MBGV,2024,7,4,2
MBGV,2024,8,2,1
MBGV,2024,8,3,1
MBGV,2024,8,4,1
MBGV,2024,9,2,1
MBGV,2024,9,3,2
MBGV,2024,9,4,1
MBGV,2024,10,2,1
MBGV,2024,10,3,2
MBGV,2024,10,4,3
MBGV,2024,11,2,0
MBGV,2024,11,3,2
MBGV,2024,11,4,2
MBGV,2024,12,2,0
MBGV,2024,12,3,0
MBGV,2024,12,4,0
MJS,2024,12,2,1
MJS,2024,12,3,2
MJS,2024,12,4,3
MTTA,2023,2,2,0
MTTA,2023,2,3,1
MTTA,2023,2,4,1
MTTA,2023,3,2,0
MTTA,2023,3,3,2
MTTA,2023,3,4,2
MTTA,2023,4,2,0
MTTA,2023,4,3,0
MTTA,2023,4,4,3
MTTA,2023,5,2,1
MTTA,2023,5,3,1
MTTA,2023,5,4,1
MTTA,2023,6,2,0
MTTA,2023,6,3,0
MTTA,2023,6,4,3
MTTA,2023,7,2,1
MTTA,2023,7,3,1
MTTA,2023,7,4,1
MTTA,2023,8,2,0
MTTA,2023,8,3,0
MTTA,2023,8,4,3
MTTA,2023,9,2,0
MTTA,2023,9,3,2
MTTA,2023,9,4,3
MTTA,2023,10,2,0
MTTA,2023,10,3,0
MTTA,2023,10,4,3
MTTA,2023,11,2,0
MTTA,2023,11,3,2
MTTA,2023,11,4,3
MTTA,2023,12,2,0
MTTA,2023,12,3,0
MTTA,2023,12,4,0
MTTA,2024,1,2,0
MTTA,2024,1,3,0
MTTA,2024,1,4,1
MTTA,2024,2,2,0
MTTA,2024,2,3,1
MTTA,2024,2,4,1
MTTA,2024,3,2,1
MTTA,2024,3,3,1
MTTA,2024,3,4,1
MTTA,2024,4,2,1
MTTA,2024,4,3,2
MTTA,2024,4,4,2
MTTA,2024,5,2,1
MTTA,2024,5,3,1
MTTA,2024,5,4,1
MTTA,2024,6,2,1
MTTA,2024,6,3,1
MTTA,2024,6,4,3
MTTA,2024,7,2,1
MTTA,2024,7,3,1
MTTA,2024,7,4,3
MTTA,2024,8,2,0
MTTA,2024,8,3,0
MTTA,2024,8,4,3
MTTA,2024,9,2,1
MTTA,2024,9,3,1
MTTA,2024,9,4,1
MTTA,2024,10,2,1
MTTA,2024,10,3,1
MTTA,2024,10,4,1
MTTA,2024,11,2,1
MTTA,2024,11,3,1
MTTA,2024,11,4,1
MTTA,2024,12,2,0
MTTA,2024,12,3,1
MTTA,2024,12,4,1
PAA,2023,1,2,1
PAA,2023,1,3,1
