hogar,cluster
ABLD,0
AJVG,0
ATF,0
FJAG,4
FMB,0
GPC,0
JACL,1
JALG,1
JLG,1
JMM,2
LFZA,0
MANA,3
MBGV,0
MTTA,3
PAA,1
RFM,0
RTF,1
