,0,1,2,3
media_consumo,0.16373923486766093,0.22988366114897757,0.3496728334956183,0.4432018137771108
std_consumo,0.16689072841481628,0.2666912991819237,0.47145753613230645,0.522408402756924
min_consumo,0.02725,0.0474,0.0565,0.0325
max_consumo,1.88975,2.3502,4.045,4.011
percentil_25_consumo,0.077375,0.08220000000000001,0.1395,0.158375
percentil_50_consumo,0.109125,0.126,0.20900000000000002,0.245
percentil_75_consumo,0.1761875,0.2367,0.34750000000000003,0.46875
promedio_por_dia,0.1637783274443338,0.2299365721928755,0.3496858915752403,0.4432332637054705
consumo_medio_diario,3.9288989581737397,5.5161336448598135,8.39051401869159,10.635871083908945
Mañana,0.1594221550865635,0.16871588785046723,0.2114135514018691,0.29456336397805627
Mediodia,0.19402094185690205,0.3190803738317757,0.4617535046728971,0.6008265786265706
Tarde,0.19065078950896272,0.2880077102803738,0.5103808411214954,0.7319375289516445
Noche,0.1748734466193715,0.2886209216357334,0.44544545544293795,0.39353078380720463
Madrugada,0.11094876729993357,0.10352897196261682,0.15875350467289714,0.2252987310375186
sum_consumo,792.21375,1180.4526,1795.57,2106.805699999994
Lunes,0.1668347109760705,0.23747483176312248,0.33771265141318974,0.4364206792887446
Martes,0.1673600388071895,0.23908555555555547,0.33940069444444443,0.4371954487179478
Miércoles,0.16827261029411758,0.23756999999999992,0.35820486111111105,0.4403308760683746
Jueves,0.16930557202719795,0.23255752688172038,0.33680645161290323,0.46162737256073194
Viernes,0.16227218137254898,0.2274013888888889,0.3778486111111111,0.42118997863247754
Sábado,0.15175279084528073,0.21276639784946233,0.37696034946236556,0.45221710374352664
Domingo,0.16082410207586614,0.2228048387096774,0.32161290322580643,0.45191608560793817
Entre semana,0.1668062441609987,0.23481974225390728,0.34983040855497666,0.4396325304687657
Fin de semana,0.15628844646057344,0.21778561827956983,0.349286626344086,0.45205834575978693
s_Mañana,130.03875,144.4208,180.97,234.15671999999893
s_Mediodia,231.002,409.6992,592.8915,712.8104399999957
s_Tarde,154.12687499999998,246.5346,436.88599999999997,573.6100399999992
s_Noche,141.895875,246.8668,380.983,313.82050000000004
s_Madrugada,135.15025,132.9312,203.8395,272.408
s_Lunes,117.291,176.4438,250.9205,299.216659999999
s_Martes,113.779375,172.14159999999998,244.36849999999998,293.92835999999943
s_Miércoles,113.8,171.0504,257.9075,295.4435999999991
s_Jueves,117.643125,173.02280000000002,250.584,318.62485999999944
s_Viernes,109.312125,163.72899999999998,272.05100000000004,280.49947999999927
s_Sábado,106.41825,158.2982,280.4585,312.68177999999887
s_Domingo,113.969875,165.76680000000002,239.28,306.41095999999857
s_Entre semana,571.8256250000001,856.3876,1275.8315,1487.7129599999962
s_Fin de semana,220.388125,324.065,519.7385,619.0927399999974
s_verano,792.21375,1180.4526,1795.57,2106.805699999994
std_Mañana,0.042844978038627315,0.04580166714407834,0.0922599282473654,0.11776726255870645
std_Mediodia,0.04735333146310471,0.0851112408721631,0.15265930924126425,0.1380356521438316
std_Tarde,0.028012375817685314,0.032929769792872224,0.0759023332934745,0.061204202287528396
std_Noche,0.03248007249145536,0.08772221230937795,0.1422736578782462,0.13022755512282014
std_Madrugada,0.021764558164429248,0.02230920854750772,0.04440445317645331,0.04566436830494586
std_Lunes,0.1659707731790796,0.28194600073362647,0.47272749263433217,0.5046004848781114
std_Martes,0.16350051493565668,0.26502619032051233,0.42523479530598696,0.503687851984794
std_Miércoles,0.16851564646727707,0.27227305706519667,0.5250259820852774,0.48648885114886764
std_Jueves,0.1661141172326551,0.25642207602624467,0.35989050526782307,0.5597190213010121
std_Viernes,0.16429366946835733,0.2597871693843026,0.5102329117711804,0.495554179864714
std_Sábado,0.1568115382760335,0.25752666001374946,0.5602006016735105,0.5473031953830483
std_Domingo,0.1759868937453305,0.2574820052340964,0.3652665443353732,0.5409375425545775
std_Entre semana,0.16632866174579372,0.2678810697670883,0.46741795710783945,0.513206616658691
std_Fin de semana,0.16709566829570033,0.2577916313617826,0.4770520453915852,0.5441558260366722
std_verano,0.16689072841481628,0.2666912991819237,0.4714575361323069,0.5224084027569239
Junio,372.353875,495.1014,643.3245,629.2758399999966
Julio,218.569625,336.184,544.2095,736.7518399999988
Agosto,201.29025000000001,349.1672,608.0360000000001,740.7780199999985
total_mean_consumption,4764.119091074028,7097.94766620088,10797.856246748028,12669.744245984348
