hour,0,1,2,3,4
0,0.09788541666666667,0.11946666666666667,0.3577333333333333,0.13748333333333332,0.1752
1,0.08671666666666666,0.10760416666666667,0.25053333333333333,0.13864444444444446,0.17413333333333333
2,0.08615416666666667,0.09896666666666668,0.22155,0.1313277777777778,0.1696
3,0.08524583333333333,0.09685,0.12616666666666668,0.11433888888888888,0.16058333333333333
4,0.08285208333333333,0.0942625,0.14301666666666665,0.11042222222222224,0.17593333333333333
5,0.10618333333333334,0.09904166666666667,0.18266666666666667,0.11972777777777778,0.22263333333333335
6,0.15297291666666665,0.17471666666666666,0.19036666666666668,0.23852222222222222,0.2719
7,0.13898125,0.18265416666666665,0.1907,0.2370833333333333,0.27116866666666367
8,0.146,0.1857375,0.18423333333333333,0.2257,0.2840853333333303
9,0.14332708333333333,0.2053,0.20471666666666666,0.2398,0.35763733333332737
10,0.14263958333333332,0.21360416666666665,0.21980000000000002,0.24347777777777777,0.5170726666666577
11,0.1556708333333333,0.23271666666666668,0.22141666666666668,0.3544777777777777,0.6666433333333184
12,0.220825,0.276125,0.2986166666666667,0.5369888888888888,0.6586266666666517
13,0.20968958333333332,0.3516708333333333,0.3169166666666667,0.47875,0.4517893333333244
14,0.16874375,0.2804625,0.26205,0.3671111111111111,0.3808726666666577
15,0.15390416666666668,0.23173749999999999,0.19203333333333333,0.29143888888888886,0.42123933333332436
16,0.1542,0.22745416666666665,0.21423333333333333,0.26440555555555556,0.48138733333332734
17,0.15340208333333333,0.22065,0.2274,0.24169444444444443,0.5085206666666607
18,0.15383125,0.24335833333333334,0.242,0.26186666666666664,0.6654833333333333
19,0.20266875,0.3254666666666667,0.24031666666666668,0.39888888888888885,0.526
20,0.18927708333333335,0.34852083333333334,0.23654999999999998,0.5439722222222222,0.43683333333333335
21,0.16074583333333334,0.28312499999999996,0.39566666666666667,0.3897722222222222,0.4827333333333333
22,0.13982083333333334,0.20782083333333334,0.21766666666666667,0.2741,0.2529
23,0.10966666666666666,0.16977916666666668,0.39405,0.1796388888888889,0.19675
total_mean_consumption,3.4414041666666666,4.977091666666667,5.730400000000001,6.519633333333334,8.909726666666577
