hogar,cluster
ABLD,0
AJVG,0
ATF,0
FJAG,1
FMB,0
GPC,0
JACL,0
JALG,1
JLG,0
JMM,1
LFZA,0
MANA,1
MBGV,1
MTTA,1
PAA,0
RFM,0
RTF,1
