,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_primavera,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_primavera,Abril
PC1,0.15720692560778673,0.14566399354106332,0.041798507178545836,0.0949727058814288,0.0903630652462442,0.11793843559418946,0.15182798810837983,0.1572069256077868,0.1572069256077868,0.12645301472792198,0.14328651391177885,0.13478136340722174,0.1406567347153137,0.09022711110623167,0.15579942155291518,0.15082411112290683,0.15217260203214653,0.15482410138302335,0.14823117116560078,0.14674073384471545,0.14546037473464732,0.14301823717609413,0.15570974996381706,0.14666785869907137,0.11777406542344075,0.14561343664943766,0.1462752626690002,0.13365588618024796,0.08601003883934427,0.14582419737737162,0.14309458504109934,0.15426266428136895,0.15355320239127873,0.1543110270208141,0.14272640479103527,0.1395981980142111,0.15468987470655185,0.14355238812769128,0.1557994215529152,0.0459307634077119,0.061759382327950745,0.030489071133112396,0.12150060849126142,0.06463703024430056,0.11559275990148273,0.12024146484054091,0.14238723147972035,0.13434096060417308,0.14957182157158336,0.13618897326288706,0.13884331976411118,0.14045477006050505,0.1429364936963915,0.14566399354106335,0.15579942155291518
PC2,0.07847531386157529,-0.17934893490118722,0.1639248621490731,-0.10873768993976395,0.3320011843829275,0.2881239438776116,0.07676804580822302,0.07847531386157526,0.07847531386157518,-0.14781888178723643,0.09038469418704138,0.007830637507400049,0.1387139881396522,0.20106659876888536,0.009725612590214113,0.0025640572558647792,-0.015177647604795915,0.05526988701666095,0.085762472881572,0.14029011161261315,0.11707580171692247,0.15214896604038478,0.05425654940366009,0.13662949550262674,-0.19659340766949726,0.03312284521196318,-0.0798121255238082,0.08729458474558831,0.15083219038797677,-0.05284574561627964,-0.07629851901358424,-0.023417801356438707,0.01834139930723775,0.08020115727958943,0.055930946154304,0.08783170259398577,-0.015104239438680885,0.07299364497401307,0.009725612590214153,-0.07463705321388613,0.030806062002137095,-0.29548473714322954,-0.0668850805539701,-0.1682274542428702,-0.2667789330395365,-0.2662228613766,-0.1400861795614821,-0.15237536795876025,-0.1076806532506893,-0.10330904017497916,-0.09134104521968504,-0.20090676898982726,-0.09617529771083388,-0.17934893490118717,0.00972561259021415
PC3,0.056935908823766986,0.052121129741869596,0.4354743958236112,0.3028167615659403,0.12485961089826558,0.062408166290082515,0.0152932011289759,0.05693590882376696,0.05693590882376682,0.06588778331465078,0.10965711568690795,0.24821262772909475,-0.09378110153583154,-0.16240389489223514,-0.12574678479691395,-0.006973073424510883,-0.01454690037011349,0.10297720273334697,0.10571721910488999,0.11148391470816761,0.07654908293798364,0.008728195991319106,0.060367987393094236,0.04380447772735975,-0.06933942204996545,-0.04455664961166361,0.06229829548182853,-0.21605793821051134,-0.2867873135479216,-0.14886704489459476,-0.17247135365181102,-0.10394102237689941,-0.08037912865825908,-0.07351268052970368,-0.08377776236561425,-0.15615247111720754,-0.12256997871557705,-0.12176167071360526,-0.12574678479691404,0.33349134527254615,0.13523698983792043,-0.054210767685052876,-0.0766759418627286,-0.11506582110455041,0.0041521036244567084,-0.04167397680582174,0.14110828091245217,0.100076976923734,0.08711252882655757,0.06596467632250642,-0.042354785651936795,0.06857836041866464,0.011175665924936304,0.052121129741869866,-0.12574678479691404
PC4,0.04124441020905297,0.021195572378789558,0.19140608204762571,-0.17646445885959938,-0.028646875494147715,0.025342095295569775,0.053325662419218225,0.04124441020905272,0.04124441020905268,0.17672943252742632,-0.08485192699104539,-0.003756420522489631,-0.04345176920487207,0.30998076514447176,-0.025312718556976296,0.18501073000524337,0.08080149717356856,0.06460909834788589,0.09822645761524232,0.054528104682615965,-0.17264094796559798,-0.05822772378846529,0.09944485443610028,-0.1181286417620888,0.12298037194854854,-0.14820828309215922,-0.09456603303453108,-0.08698526396722588,0.2637772968869052,0.13377001314231687,0.02081993654850697,-0.013355975184660005,0.033548335890105245,-0.014148453570840436,-0.23320513048746042,-0.11534184411784017,0.03451710562429622,-0.17758068407680014,-0.02531271855697633,0.18115070801212327,-0.2636783731772722,-0.2730411602686197,-0.234034953839397,0.280301489628617,0.13995017333419096,0.057415251788543224,-0.02080184767921662,0.11659874044259584,0.038130167325026804,-0.23559019253918428,-0.00026415915939037745,0.0665479919739478,-0.13047029862781784,0.021195572378789794,-0.025312718556976328
PC5,-0.03124899997145703,0.047227023989742906,0.08499193566482684,0.2014208376723734,0.0524382844014415,0.016259344959240436,-0.1606314974903554,-0.031248999971456855,-0.03124899997145681,-0.06979901809578662,-0.21962574771863397,0.073897516056356,0.04059681484757316,0.26843196790577367,-0.052168156647394284,-0.13725237396127066,-0.13753783415772503,-0.054292766528254995,-0.0313899672404925,-0.04700172088116516,0.11275560301261922,0.11812670802204624,-0.0853099937379891,0.11733593077790447,-0.08346063292180288,-0.24850586367916613,0.05679038549420617,0.02821338722805794,0.2558257266603435,-0.1499258711857004,-0.1530339014460137,-0.08542700621896215,-0.05809393530993288,-0.07620635268317408,0.09979202945735999,0.10566472786391382,-0.11077019734779767,0.10444223917887926,-0.05216815664739426,-0.028983852079602423,-0.031088453601238904,0.10713815089124916,-0.07104234900992118,0.5027039500409163,-0.14834263194181346,-0.021679276210001493,0.095107162789753,0.026311394730191083,-0.006679379778465138,0.22125186111081924,0.19250302075328402,-0.007453382883988073,0.2229751381035359,0.04722702398974349,-0.05216815664739427
