,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Viernes,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Viernes,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Viernes,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.16519276939338845,0.15581023458897614,0.05991307113798083,0.1417745463079865,0.13197522455616445,0.1448625212246518,0.16024715618947075,0.16519276939338862,0.16519276939338862,0.11284182550502944,0.15218565592532934,0.1490821285419727,0.15809143974213735,0.1086768633554415,0.16576225332652872,0.16519276939338862,0.16519276939338862,0.10612860450501704,0.15725263782020243,0.1579546907317674,0.14917854031283573,0.10589996314205902,0.1657622533265287,0.1657622533265287,0.14338564952166116,0.1604113131480834,0.1520154005238097,0.13781968165523342,0.07806006759191968,0.08465172890159088,0.05894568960683942,0.07759580110740279,0.05029598675156265,0.1558102345889761,0.1558102345889761,0.12208319660069449,0.1532784581047586,0.13524539016925347,0.1229656460607996,0.1263573548427112,0.1243755129441034,0.14061976031549334,0.15427345321473876,0.1523621735896804,0.14655330406584877,0.13862847742531245,0.10587854613667938,0.1526432130280681,0.15636007810178512,0.1623350751929111,0.14652653116162975
PC2,0.03389066632625561,-0.040688680901562184,0.29015702389262515,0.03181819127233919,0.1948800135061229,0.16807537577575465,0.005103082526519072,0.03389066632625566,0.033890666326255585,-0.2363721135666164,0.12260324603225232,0.11254411904506871,0.006847931806185435,0.018798309389623055,-0.01789752829023466,0.03389066632625564,0.03389066632625564,-0.2712212845024968,0.08102480061101022,0.07979803790032915,-0.034137298544877015,-0.020490350202335604,-0.017897528290234666,-0.017897528290234666,-0.19708226150360603,0.01708887531649842,-0.0896479320116075,0.21173264578293263,-0.19833090662658853,-0.013250004377655198,0.1903893208618867,0.15482432774476357,-0.24348175453396056,-0.040688680901562094,-0.040688680901562094,-0.24372130101026465,-0.06295150493669557,-0.18562094042090996,0.23173133429893267,-0.21458948218544815,-0.22820038903318815,-0.16850253174133306,-0.057554633065244915,-0.02221389401537688,0.10613269051580627,0.20180418244940404,0.2631380390559668,0.03899547005853556,0.048583804208614564,-0.027730932466382835,-0.07802927989426478
PC3,0.021053364727771036,0.18825804954971578,0.15342412310273817,0.1740662753998712,-0.01811046466008448,-0.08759406660485564,-0.07768633270192453,0.021053364727771265,0.021053364727771348,0.1458090123671277,0.0020996642150433367,0.15160652081692447,-0.034264055130786564,-0.2508349424885256,-0.08464284926419632,0.0210533647277711,0.021053364727771102,0.07430854741070099,-0.1037216224069373,0.06596056194930781,-0.11501355176308817,-0.31518759537667274,-0.0846428492641963,-0.0846428492641963,-0.06528313448292715,0.021105411698885235,-0.21087868296118575,-0.035413472003291875,0.42654467687889047,0.18365843417622643,0.220797818271289,0.024419807461527363,-0.00302151194619156,0.1882580495497159,0.1882580495497159,0.13084330440928757,0.16423960814752284,0.11740866778996115,0.12988060428208748,-0.08493652296713025,-0.08607032851186328,-0.18433517256120152,-0.19464635975287292,-0.2424704397724189,-0.12975083475383004,0.05125305225247622,-0.04519479411062066,0.019395577597790006,-0.017774750502301463,0.05330074833245553,0.004858901936392261
PC4,-0.055209290481701374,0.11191099204979944,0.09477133518392857,0.1993645700803441,-0.032898934022368764,-0.048219354364560506,-0.14711174473839603,-0.055209290481701534,-0.055209290481701485,-0.053490797502863355,-0.14834687471944177,-0.13462708142454435,-0.04522676436173316,0.3311619095463594,-0.0036703931042866562,-0.0552092904817014,-0.0552092904817014,-0.01707957249149283,-0.10763284837804757,-0.09531999299043024,-0.002441502872320648,0.35735852806834284,-0.0036703931042865725,-0.0036703931042865725,0.037753632136007284,-0.1609391360753522,-0.029545875641300852,0.09811525111147971,-0.002334127218227748,0.15308038291296544,0.33899915712475176,0.04774210940202503,0.4476375133018991,0.11191099204979969,0.11191099204979969,0.07297289097690472,-0.09693566555937454,-0.07953970793587081,0.17400966383957328,-0.031513126621131905,0.10367094687940338,0.00818687627353197,-0.05209179513343017,-0.04977849640082844,0.12916937173707135,0.04352922509159525,0.11203229671110099,-0.22661945257466143,-0.17988059732792022,-0.08294391185475238,0.03309361382014592
PC5,-0.09410953774994263,-0.0019907856261929327,-0.09984011627252411,0.1308592631539191,-0.10355666569037736,-0.1293939843889781,-0.06297101954781209,-0.09410953774994311,-0.09410953774994317,-0.07448856007948358,-0.060322026026950644,-0.10218476244936019,0.09588740734706212,-0.3176651805011278,0.05132365234345411,-0.09410953774994296,-0.09410953774994296,0.025566466401138663,0.08129936000409331,0.028167521164464426,0.2113085276932736,-0.206793146643983,0.05132365234345414,0.05132365234345414,0.08884947971705294,-0.06302086975945309,0.0908297547607804,0.04273964047500912,-0.050079826428198235,0.35472361357363985,0.09692384617124493,0.4700552515294868,-0.1847014573403197,-0.0019907856261930936,-0.0019907856261930936,-0.12738355568108323,-0.029407388196351195,-0.035102311186618225,0.0480991509427916,0.19153189065665308,0.2091043107382055,0.129190398308741,0.10956480225548963,0.02169237375723789,0.1356151344422522,-0.13352402558536164,0.14211191601361808,-0.0374234593158815,-0.10948836651528465,-0.043211593492508166,-0.21782923961891892
