,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_otoño,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_otoño,Noviembre
PC1,0.15415557216788783,0.14419531449260417,0.04161086537344894,0.11825766611751051,0.08102678177610634,0.1220796543494403,0.1492619028631102,0.15415557216788764,0.15415557216788764,0.12120932163555431,0.1375981933507917,0.1387019716927401,0.14561661866541029,0.06448504822383666,0.1534261768719177,0.14127446875128977,0.1487870134093364,0.15025453477249615,0.1510926020912445,0.14396104758045128,0.14879671547280562,0.14915502585034615,0.15085455593317232,0.15072039919833452,0.1252842326288195,0.1400958502264669,0.1392795306076827,0.14534457696700231,0.07099070966857589,0.14512851156375478,0.1487765941733043,0.15052961327858697,0.1497765813566116,0.1445468187395647,0.14894416112909625,0.14778726280498589,0.15081950626317164,0.15000003818447638,0.15342617687191767,0.08158756711718981,0.07462998013886936,0.08483129510560494,0.10608691800616137,0.09547867130223078,0.0921802806957858,0.15247879594445304,0.13867689931274166,0.14307946262516444,0.14047185751568175,0.1272928126827975,0.12570497241448694,0.1468891731016442,0.12972629116378906,0.14419531449260403,0.15342617687191767
PC2,0.05375618955324592,-0.16309980031178814,0.20326036287421248,-0.12952360763108756,0.3316701840477118,0.25642625161066956,0.059313615600094266,0.05375618955324563,0.05375618955324557,-0.1583900853544659,0.1167207922420767,-0.031074819542914547,0.003640645123241161,0.28201680916077243,0.05777387721489723,0.04170094250207758,0.11709779177365416,0.0779759921953553,0.0767941338764705,0.11602339580585816,-0.06370616579424235,-0.00520353610432133,0.09029521463043186,-0.03739909817713158,-0.14366971528163774,0.11808477161744298,-0.024793829666582373,0.00883991085829277,0.27787647979041824,0.04987055968173916,0.11696626174214017,0.08092691908734946,0.07890341825676545,0.11624900659904912,-0.05424077124295691,0.001966089749072828,0.09210858661309083,-0.02858956100420007,0.057773877214897254,-0.20920030662260553,-0.08558845326560008,-0.1417761126417999,-0.09769263257540717,0.055775956304398494,-0.2504619223135981,-0.05894963339234534,-0.132913920562936,-0.15123051244047833,-0.042589938814930325,-0.23945111774455222,-0.1840069017248573,-0.1317234049591085,-0.22101672103337985,-0.1630998003117884,0.057773877214897275
PC3,0.013726429788419264,-0.020713439332608854,0.38583790790955,0.12479428837148238,0.17652439235471049,0.05714156958458885,-0.02776702515127741,0.01372642978841888,0.013726429788418884,-0.0336998058407791,0.18564313722364673,0.1342966493084017,-0.08723943817279681,-0.30552488512997467,-0.009942400090999672,-0.029595125728035607,-0.007272546890224137,-0.021285799968467373,0.0008054140074028893,0.12064893501671939,-0.007046715148104573,0.015586786207753231,0.01773097373192216,0.003402521772078571,-0.05389063046954085,0.1528608311680254,0.11413051907864959,-0.09860361351133853,-0.3138748934506195,-0.0605095041507121,-0.026720606071113144,-0.04468736796037817,-0.022922835257314388,0.0979725862295712,-0.024569155630413415,-0.005358810631713797,-0.007221966666412418,-0.015866716242394958,-0.009942400090999679,0.19695456720978832,0.2565094326174252,0.29014819463714714,-0.3006243811446853,-0.3854854749444333,-0.08768678254004295,0.009135551590131807,-0.08080759993017395,-0.056493909252845295,0.0953804778207698,-0.0538954868944074,-0.049860211355035385,-0.005383311512680527,-0.05255490250571007,-0.020713439332608732,-0.009942400090999684
PC4,-0.030379748528699083,0.036420736180134514,-0.27324266612946513,0.3473173993396954,0.07696305751418439,-0.001865909560929295,-0.10070014449359839,-0.030379748528699374,-0.030379748528699325,-0.21982449909922733,-0.05444528537905102,0.13684773816260606,-0.08659930600367022,0.10709842843349343,0.017617824026588527,-0.27461056852900206,-0.06379764497691182,-0.10819542427010286,-0.11018105007117693,0.06984201344314321,0.06756054974135019,0.15648002543616568,-0.08825275853249007,0.10943303046028517,-0.16582431865848862,-0.00577103549881628,0.1603653243450219,-0.05059047090273835,0.14411074397970242,-0.18645251562182327,-0.0198566849063252,-0.050078233127092614,-0.05376493595584967,0.10061286835156415,0.10016636495450887,0.18595819166995942,-0.034180210312565615,0.14127954700159479,0.01761782402658847,-0.15753956681214043,-0.24581687973983302,0.12350062253788097,-0.14014452124397114,-0.04510599431974044,-0.3342805104253532,-0.019839821608947074,-0.02700081099974236,-0.022935534658688604,0.2088462575973896,0.07428898565722959,0.2015966050263753,-0.010390534454418468,0.13356147532043333,0.03642073618013471,0.017617824026588465
