,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_otoño,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_otoño,Octubre
PC1,0.15456156909084764,0.14443621019797123,0.11419824396334634,0.09953232530723324,0.10216957104809471,0.12667488817095682,0.1523938338825818,0.15456156909084756,0.15456156909084764,0.12393872816974069,0.1468491386217772,0.14123721511229564,0.1396987656060678,0.08340263298478813,0.15463769275719896,0.15255736351351423,0.14731381420993542,0.1502842190663782,0.15041491391150916,0.1414157315476101,0.13908908478921975,0.14465734196159882,0.1522225237086865,0.1443982496467855,0.12829620554872675,0.14910256401194769,0.14185886718137902,0.14207146981961702,0.09044901949148951,0.1515313818509065,0.14844223329568496,0.15102561095995612,0.15082538297001138,0.1438577286812986,0.14400954908136535,0.1445899658839772,0.15257680103036184,0.14616518783552282,0.15463769275719894,0.0215113957546014,0.08158413655164554,0.038009785766773996,0.12826535140865866,0.03103580211789927,0.1073453683571511,0.13295776654035005,0.13200840974318592,0.13109449059007672,0.1475838685532388,0.12341973396035377,0.1270894133127069,0.14189216346904712,0.1287700959217468,0.14443621019797112,0.1546376927571989
PC2,0.05603844604537472,-0.16978342883941894,0.19983713859970892,-0.18428971626098614,0.3161860251095832,0.2455642544042622,0.014724157193452108,0.056038446045374925,0.05603844604537479,-0.017329624515386527,0.037048608098760635,-0.05631974566991266,0.05391571700987743,0.29673188430429415,0.03637904263975275,0.0011878337766253167,0.1152704484725745,0.08778428667408708,0.048326095434441475,0.13647794326737817,-0.005274642190202098,-0.02596367931107929,0.08231729214921532,-0.016546736773123846,-0.03382465476220936,0.021559991290875845,-0.06330360514661046,0.037285569376018665,0.2648609609207826,-0.015843824630876045,0.09237986092177528,0.06920328579257405,0.032723982763788344,0.11566404374835848,-0.023141142388389182,-0.03828184851262304,0.062011992134666925,-0.03182358082961344,0.036379042639752654,-0.313508780702741,-0.22577306642110004,-0.17218500191645883,-0.033636790568157146,-0.051952478362695294,-0.28256281879030987,-0.08913480698784182,-0.13985795608974522,-0.192898597084427,-0.026336734294607297,-0.12675887619123716,-0.1969427864704117,-0.15875171437872324,-0.17020516714488446,-0.16978342883941921,0.036379042639752654
PC3,-0.022821641735638696,0.03406281230367772,-0.055984170789977805,0.22158832870015585,-0.09605274256229182,-0.05075235312962845,-0.020799194538467396,-0.02282164173563882,-0.022821641735638554,-0.06011546985145925,0.032274378492175286,-0.15356741181079048,1.9271660642673266e-05,0.08050717104683805,0.00763875785290104,0.03894670130647468,0.10405735554831703,0.08757524110704107,0.05062486950926925,-0.0054324804191075915,-0.23689263876338704,-0.2118332808900232,0.05835737990449924,-0.2276786448885587,-0.02241873178150577,0.0555921810930196,-0.12804665243167695,0.025266368749298024,0.10529592291996946,0.06693200380604422,0.12451003393574775,0.10662530410145228,0.07104556756400288,0.019696048729233313,-0.18751594576406283,-0.16900010567005105,0.08125074253503953,-0.17964665188824777,0.007638757852900919,-0.18312170714615914,0.06896555075792665,0.3539758493653402,0.25580707013639936,-0.08317516912463296,0.106081009157728,0.2630739752086582,0.22104101900603287,0.09873736447510799,0.004976030872445268,-0.2728646686718561,-0.1646782852801156,0.14319863533528382,-0.22291955479446962,0.03406281230367782,0.00763875785290093
PC4,-0.029423248412431116,0.03936928233899223,-0.17491012120210173,-0.07275052886555511,-0.1281398687221553,-0.06840021368930055,-0.026554414591776748,-0.029423248412431175,-0.029423248412431092,0.1530475441431667,-0.19391863953807825,-0.14218324619312828,0.006104736403148623,0.34238169347898206,0.013711390058054754,-0.030526953969178136,0.01025468386561853,-0.032014337361068713,0.035870705006922875,-0.14020641461240774,-0.06632795040456951,0.01511593691927177,-0.030886726445957788,-0.02313056340383994,0.18882115293476368,-0.14754141553839567,-0.10954251333165407,0.041701489777798625,0.36190672080307934,0.017212151793342848,0.04898643849530892,0.0048384912326826434,0.06717679646672514,-0.09714929587891756,-0.013658414047515085,0.05193261990538731,0.009763856861711863,0.022504039556348773,0.013711390058054634,-0.02170340306585821,-0.03630976773168171,-0.08447040453572179,-0.05510295405726657,0.6520647571215124,0.034851951105796225,0.0637095579141465,-0.02381851060122997,0.08230416460687623,-0.07237502174329744,-0.027620229908003877,0.1562816543133189,0.016102555439654703,0.07535450209723896,0.039369282338992166,0.013711390058054648
