,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,Febrero
PC1,0.1519439954991059,0.1475830260348287,0.003070705622716117,0.13606371599232428,0.04222623860853115,0.1177686344608239,0.1486476410607709,0.15194399549910576,0.15194399549910578,0.137689249682132,0.13662520183081178,0.13891064503151343,0.14896782136273504,0.06273295252689183,0.1500523940507696,0.14746787757668448,0.15043731331066507,0.14537711174247228,0.15003804109855412,0.14365290262526897,0.14175941411990578,0.14098393518371402,0.14957371534472094,0.14495759018702525,0.13805875955281988,0.14099977188961035,0.1461399104526662,0.1442633439078202,0.06896563005243725,0.1483452090873094,0.1483563288107307,0.1466832840034091,0.1469982743124175,0.14141922202733684,0.13925135417300577,0.143281307328729,0.14801854370438633,0.14419849766680493,0.1500523940507696,0.09319802178468957,0.0314759995723601,0.07503907981178774,0.07908830738808581,0.1149962995212524,0.1377518305574376,0.14042442772849548,0.14208917421906558,0.14315351222099398,0.14532418016577553,0.1280566044213012,0.14078913309399022,0.14632666441119724,0.14053661148883953,0.1475830260348288,0.1500523940507696
PC2,0.046201902830990724,-0.12721796322001938,0.3907431231325165,0.022726771140254544,0.40550484049680646,0.25403660393627686,-0.012342639610717706,0.046201902830990654,0.046201902830990745,-0.0691076138938204,0.0825750226733575,-0.0684286999684139,-0.008865081689938482,0.3487888987077051,0.04017102207115573,0.05440029362321148,0.03854567526719415,0.08144066115792602,0.0506931185596521,0.14324277978275676,-0.06719188431806677,0.028818486703700248,0.07318117530964136,-0.01908921495315719,-0.06772744239232274,0.07599164021025477,-0.07171014954023519,-0.013287694140201886,0.3220895089699992,0.05421507379923102,0.03474842136145243,0.07354140033346236,0.04777361528899352,0.12865264600718662,-0.06684180392251787,0.017820560535301032,0.06721962321291249,-0.025804877603419072,0.04017102207115568,-0.2596966547796907,0.06808725438181355,-0.08650492922444694,0.024802443792248385,-0.010867182532062378,-0.16328444923524152,-0.14339330637424086,-0.08342595949486559,-0.14070819634053594,-0.047563254832034635,-0.1975115381864412,-0.060120176343302044,-0.12080272043002652,-0.13888656364063742,-0.12721796322001974,0.040171022071155665
PC3,0.07939783513712725,-0.010600621115907554,0.144628670527416,0.15952202835820772,0.27231376283450787,0.20272807685126346,0.028389642251897915,0.0793978351371272,0.07939783513712714,0.003309104065938093,0.2212983791419231,0.2378979093806562,-0.021674779992446068,-0.19373942881950182,-0.10439705281363833,0.07559992087132052,0.03495903783030162,0.06907804617308802,0.02448847901648262,0.055982808809523096,0.08166055417244157,0.1823511956313404,0.05194799255895644,0.13597194206465654,-0.11395894679976172,0.004631979544051972,0.0302903633350567,-0.13899110616226787,-0.3040570278434645,-0.11041536671548213,-0.13574533622549007,-0.11743171712597775,-0.12905582235740268,-0.12114762817661158,-0.08624776177777167,-0.011079450606026987,-0.1243792438579828,-0.050378163986462776,-0.1043970528136383,0.16144978334663512,0.15224168531543938,0.35991724903960853,-0.21804354051971922,-0.26319319194760876,-0.049067374419967065,-0.015228476274827303,0.03133834466568237,-0.08305433430961268,-0.11559200095542782,-0.024821049047490225,0.11661123915438473,-0.03990985483475257,0.05759676715382423,-0.010600621115907422,-0.1043970528136383
PC4,-0.021871526752816197,-0.02994791591255197,0.005484758308155774,-0.07259524625453724,-0.008515561364035648,0.0007610923201913758,-0.0030895855989333185,-0.02187152675281643,-0.021871526752816294,-0.056040267398634866,0.01165285949124807,-0.0430822431001546,-0.029231545255709354,0.02752650921587651,0.051690202976227645,-0.0558669508060545,-0.11525730698573546,-0.13412758699715974,-0.07443349190708026,-0.08101578240872749,0.19700861726195612,0.08596153115162201,-0.09393917273556217,0.14440220616915767,-0.006890775267891589,0.09616657728531763,0.043911844372874605,0.02078785846184882,0.07151522004578906,0.02091643513938669,-0.039244512231043936,-0.054478875728128554,-0.007568065828387196,-0.00661221625812959,0.24784029150693254,0.16330972776518696,-0.01798386142455922,0.2106738116809278,0.051690202976227735,0.17103594431722086,0.4614889504382927,-0.37612837940697785,-0.4389734160103044,0.07440436977079114,-0.05155130856920428,-0.1577197790841065,-0.16892864127483923,-0.07636757199223036,-0.022711508138265637,0.1409853674105056,0.09529228840140767,-0.10533898431594654,0.12340408351561608,-0.02994791591255171,0.05169020297622774
