,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_primavera,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_primavera,Marzo,Abril,Mayo
PC1,0.1518244229129923,0.14114453457072348,0.03971191294913867,0.10734509374653378,0.08201051647669921,0.1090631657471455,0.14581289797962743,0.15182442291299234,0.1518244229129923,0.12954262536341388,0.13736796076625363,0.13209754752472008,0.14246058822558272,0.07931394710784156,0.15105921325200589,0.14981368747231255,0.1516523504265235,0.15244363293303145,0.1484656158587331,0.1399345268380288,0.13605733376208165,0.1398995109642979,0.1509996645844866,0.1398742775443799,0.1221260325134694,0.1415492521720554,0.1439192255850162,0.13533609086768586,0.07625353656724947,0.14553799785366245,0.14390349782262304,0.15140189045416827,0.1484741360016754,0.1472299361854702,0.13644529619823076,0.13972849051188999,0.14956862677185584,0.14018202293452278,0.1510592132520059,0.057266853301827715,0.06127473005350446,0.0732178059430634,0.10460897600080976,0.07530322000727609,0.1271899453812351,0.12905236208138976,0.13663242661219147,0.13433604184768896,0.1362553315191536,0.13244598658556928,0.1320843908874722,0.13763455794697035,0.1345275809029408,0.14114453457072326,0.1468602964216416,0.1481811767783019,0.14414480766382068
PC2,0.07864012207559354,-0.17973590443636975,0.12934118835822686,-0.16443696724963008,0.3283835136949281,0.29632342682206064,0.09377327502665739,0.07864012207559382,0.07864012207559377,-0.13745119290707225,0.08417038083911361,-0.010151458197851813,0.09793451746193614,0.2822693725798965,0.028275444538881037,0.03406900686394852,0.03310731028448105,0.03876615546939632,0.07358480010123189,0.13917100888031225,0.12109446205906978,0.09076333946245646,0.06540376124420892,0.1067256084317227,-0.16836769798775672,0.03928303218011369,-0.07725236700363818,0.05866375380515083,0.24614917798849895,-0.010392921447784078,-0.00959847428969737,-0.009225093334934742,0.02446326628543946,0.09747866052553804,0.06757080786992191,0.04111499261881901,0.017742053023534404,0.05452815289029746,0.028275444538881023,-0.09746818273684074,-0.014208200502019699,-0.20004887457549922,-0.12036172886148952,-0.0037452640014069755,-0.23164033736210285,-0.21937304374671585,-0.2030880572689331,-0.1974017396618735,-0.08630954748185064,-0.12110130334145894,-0.14656893710008168,-0.19118660535366758,-0.13620470166112056,-0.1797359044363696,-0.06502857133034538,0.05900737734081437,0.11011000670976903
PC3,0.07172030491120308,0.024784702148088315,0.43411975311841305,0.23647538914717023,0.16069043235366245,0.11000443310831957,0.03543425651307021,0.07172030491120328,0.07172030491120339,-0.013135200781212799,0.15160684017243783,0.2530487081591861,-0.03354244196912087,-0.15174659573923088,-0.11815080265763997,0.0010366816209964051,-0.028307869339684537,0.06638290786915779,0.06402756580567129,0.11134176865725291,0.14947056728003658,0.12333367801974823,0.044562507038274704,0.13783135877812158,-0.13987067587520768,-0.022169538616590635,0.06612006243309336,-0.16844999844243086,-0.27038658782627784,-0.16108091996494986,-0.18028511389521604,-0.11032865124073583,-0.12203501713455082,-0.0791325981721397,-0.06094661940765754,-0.06555579856782508,-0.1334277834189696,-0.06428243198986959,-0.11815080265764007,0.23748198559096986,0.0977763458125025,0.15220137836269715,-0.11388461270891266,-0.19879480215698178,-0.042924397776150744,-0.09981419222583673,0.014513212298055385,-0.01666687364213297,0.1239128155486886,0.09368368987417378,0.08504180769373992,0.0051798359736681095,0.0907214567732927,0.024784702148088977,-0.13563999816812922,-0.10950200297180078,-0.09341862280232789
PC4,0.007962103802009075,0.09561231533136624,0.2034940937145523,0.15363280717725153,-0.007193768199273533,0.0026945104063657898,-0.08036238567305529,0.007962103802009218,0.007962103802009393,0.030117531661939693,-0.1707705064617486,0.05735532355304285,-0.03850039170404134,0.3410126510104674,-0.06712532936991691,0.007982756426601366,-0.02334157909558673,0.01160291768471553,-0.01078216057318253,0.013404161905829708,0.011420480686559034,0.042564784295450526,0.00018880839141146053,0.028090943264917848,-0.01974500254788299,-0.25425300284666286,-0.02798724786744863,-0.0910169057429749,0.29216050127059456,-0.054060341679686374,-0.08152496984273262,-0.05647916543763139,-0.08571732385949421,-0.06487677385030205,-0.07515687054214988,-0.03371008023424311,-0.06936912577959478,-0.054274684323892416,-0.06712532936991698,-0.22460042482116502,-0.15862806904930518,-0.06035746770975981,-0.23832677108108066,0.5572349373606866,0.05622218853447455,0.05364642658124204,0.07620604565134646,0.09635829361102312,0.1337722586069545,0.08044389885527871,0.13970904771970108,0.08797432345154423,0.11163875522502642,0.09561231533136555,-0.02958551057403703,-0.08337788506313076,-0.09032217829067227
PC5,-0.051826665366947175,-0.01586591786739901,-0.14263639527576508,0.00016326915017581627,-0.04652437216216802,-0.034175456644537326,-0.08596948030177429,-0.05182666536694698,-0.051826665366946946,-0.06406124702153693,-0.1100311764896998,-0.01730209358080897,0.07319638380238251,-0.06585790447411477,0.03249856682278808,-0.16320672958686563,-0.15290235943972563,-0.07684626377934707,-0.15283593142313281,-0.1623416216712599,0.18394933747151418,0.20783877883483795,-0.14396251839497978,0.19888002042880157,-0.004001862941819862,-0.0339285770873656,0.07577407270374008,0.13237484850158499,-0.007165669746958132,-0.08838272087937413,-0.07941343500536469,0.0034140178381343086,-0.07577844138224282,-0.08952448762308268,0.2921686085633556,0.3040791557033388,-0.06663687536306398,0.3027582774940232,0.03249856682278799,0.23620693404420082,-0.0780125303755495,-0.0956613223612984,-0.1301380043086084,0.06800187417333525,-0.10656606746763249,-0.09272462295717425,-0.03007130053098976,-0.10395972549555939,-0.1993426164899895,0.24637243116493288,0.24372936682601903,-0.10910467920172195,0.2504504867020256,-0.015865917867399902,0.045997847016258114,0.0022385668639546396,0.04424756290542253
