,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Domingo,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Domingo,s_Fin de semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Domingo,std_Fin de semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.16628452009094263,0.15670338245579563,-0.014903049375195496,0.12521578808494097,0.1190226284913795,0.14773106564557745,0.16247740340392328,0.1662845200909425,0.16628452009094252,0.1359533167819585,0.1576178533886641,0.15100639788088677,0.1517810867610667,0.09587907043164089,0.16628452009094247,0.16628452009094244,0.16628452009094244,0.13595331678195846,0.1576178533886641,0.15100639788088677,0.15178108676106675,0.09575547841428927,0.1662845200909425,0.1662845200909425,0.15012255961579396,0.16100287222727508,0.16410514334824775,0.1371500489954875,0.0825306816341397,0.07589517780441804,0.05029503743079904,0.053947153628730184,0.07738481977776668,0.15670338245579565,0.15670338245579565,0.1276427256242259,0.13910155817490827,0.10873812423560861,0.1314420986996839,0.15423245865164728,0.1233513751577306,0.14729760934869396,0.1492382787340552,0.15404389212483233,0.1343937822358388,0.13884649591573137,0.12165332028504028,0.14825594598128955,0.149290503005409,0.15424580032869045,0.14247339011272114
PC2,-0.0214595633908514,0.06441914769242905,0.09890788160634142,-0.02199067940811285,-0.2146166160935911,-0.17019680667822285,-0.026060602371170857,-0.021459563390851435,-0.02145956339085147,0.07100332501130797,0.01835696077327373,-0.049056272817462096,0.03652175343562104,-0.22444432961069616,-0.02145956339085154,-0.021459563390851515,-0.021459563390851515,0.07100332501130792,0.01835696077327379,-0.04905627281746215,0.036521753435620995,-0.2245756858499476,-0.02145956339085154,-0.02145956339085154,0.1675875975069092,0.01942691445187144,0.003010483767786961,-0.229546695061049,0.23853299457931784,0.002256501027218387,0.1943237338882212,0.33169739081224925,-0.03984296332323867,0.06441914769242905,0.06441914769242905,0.23593415234329887,0.13437088886016463,0.2887609392729504,-0.2148564302045189,0.12738838623705992,0.17308664756630038,0.14100717660770387,-0.1087737059226041,-0.060926905052041055,-0.19217505635296375,-0.22006485587384803,-0.2533546818591868,-0.10654773309179012,0.08356096567311168,0.10301564932867317,0.16742660071084026
PC3,-0.013734394798306375,-0.04982346843015879,-0.26465190140923106,-0.11902952085904918,-0.04434829168824804,-0.03214264070131789,0.0026607425560346296,-0.013734394798306408,-0.013734394798306345,0.028378771644777628,-0.17929512353707375,-0.1264126431399539,0.22593537288685017,0.3510517940905112,-0.01373439479830641,-0.013734394798306468,-0.013734394798306468,0.028378771644777683,-0.17929512353707383,-0.1264126431399539,0.22593537288685012,0.3511589140834651,-0.013734394798306427,-0.013734394798306427,-0.012298238321215,0.036984985996419764,-0.031331826681500835,-0.029597412100837408,0.023788822773245327,-0.24238485547311867,0.4266966912632915,0.0655922255549166,0.3881902427347648,-0.04982346843015911,-0.04982346843015911,-0.01452612905000184,0.11560551822539934,-0.01983223780911211,-0.10690285308590051,0.012368862888745356,-0.003806499457058831,0.04648695310026183,-0.0633414092206801,-0.09438395158780256,-0.07636248816833745,-0.0021042642391122276,-0.0010145548383106023,0.09763113877011796,0.0062472009348937116,-0.012745222509641595,-0.03669778479855704
PC4,0.0001366664103844224,-0.18077260235430592,0.43456227384608326,0.0322345082421249,0.31929823617586695,0.13744058420832236,0.013024905551700994,0.00013666641038452825,0.00013666641038451537,0.3257736643227987,-0.04960370200034335,-0.13793679114869842,0.0598452720343923,0.08227960339032947,0.00013666641038457473,0.0001366664103845111,0.00013666641038451242,0.32577366432279853,-0.04960370200034342,-0.1379367911486984,0.05984527203439229,0.08288784243852482,0.00013666641038458227,0.00013666641038458227,0.00839204668425466,0.004439845150206243,0.0653751762547836,-0.06174261490984989,-0.03568082298328849,0.19257821436333075,0.20575721242005846,0.1439209864802608,-0.22258836544732302,-0.18077260235430564,-0.18077260235430564,-0.14571018888376258,-0.19894881092036493,-0.06306363038150259,-0.13634686508241853,0.05772619089639001,0.06539455768787608,-0.04188125273172048,0.13637211024803525,0.1127479082727686,-0.1270798459997455,-0.0445201162436076,0.002358646903398916,0.031658435877380854,0.046755039710269855,-0.06756821693035418,-0.07721331782356834
PC5,-0.024437093529176,0.07961222022771827,0.14843790930255388,0.3939405443569798,0.016860432878883943,0.019464791886657895,-0.10924563989564078,-0.024437093529176026,-0.024437093529176085,-0.1475046875340212,0.032165990947098114,-0.14778329865824588,-0.020139874305767403,0.16421715761056196,-0.02443709352917618,-0.024437093529176175,-0.024437093529176175,-0.147504687534021,0.03216599094709797,-0.14778329865824588,-0.020139874305767313,0.16370930543011783,-0.02443709352917617,-0.02443709352917617,0.03586996797122816,-0.101471212488879,-0.02248603007248841,-0.023219629241320185,-0.175380897583095,0.5654281746835074,0.04025289181616302,-0.13883246007770964,0.2416850755933732,0.07961222022771841,0.07961222022771841,0.06572771545584073,0.06737494792332506,0.19864985651192663,0.007256209904101394,-0.007777537291150587,0.13728013164656508,0.09468982502584487,-0.05720788783911401,-0.14155823602678397,-0.10609522926476235,-0.07332082365825808,0.12483566069859402,-0.1402720147052677,-0.21025334454572786,0.0654358995584559,-0.014271844854673588
