,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.14569903680366394,0.13793131595729716,0.05578445591864918,0.09856840015041426,0.09697002319375674,0.11683508925228712,0.1403974058342658,0.14570272278801907,0.14571205653761862,0.11342190039654138,0.12461329667586678,0.1287066141997432,0.13613420014644198,0.09208945447920207,0.14628884036369807,0.14541135121666932,0.14692038963160137,0.14583162240249936,0.14397864634353855,0.13866365414095663,0.14569903680366397,0.11057018103850218,0.13068075382680727,0.13864218266547948,0.1298078983897471,0.09370359268815416,0.14354107553602163,0.1445741156768409,0.14653349429007842,0.14503884278306223,0.14436985154372334,0.1462888403636981,0.1280034230955589,0.14021001953873435,0.135392213733268,0.10854446769405034,0.08349001198003476,0.07732871901152275,0.05661780199380946,0.08095192861607736,0.06510280024000831,0.13239110350653985,0.13500941664839256,0.13458942674184224,0.13443937547304122,0.13377478712005153,0.13793131595729693,0.1027512335401877,0.12967519419455073,0.1156145782390693,0.0969048467576001,0.11995515454416585,0.12216776845950773,0.12847870703147848,0.13321966280850386,0.1339015101242516,0.12437205995858455,0.10634891467890192,0.08733716141580439,0.1316709874798866,0.1374729949207407,0.14341689180977463,0.13385895185744318
PC2,0.052077904873977045,-0.06395024157181167,0.15875710872696236,0.002447262699223574,0.24568994277236955,0.21487622414713112,0.0457663069051309,0.052048741597936495,0.05196555311021232,-0.18976636399431945,0.1508835647561821,0.0863688896077081,-0.03495626774674152,0.14658863806794198,0.0021479070248184963,0.027345007183095855,0.03248214865427393,0.03505738139033521,0.0506133042866763,0.10917252594083073,0.05207790487397708,-0.2160251138321915,0.10887092147949794,0.040039213066683926,-0.06807129798943876,0.10941082230947798,-0.021752710639684158,-0.016309307929677476,-0.012440111491250546,0.0019080845360256336,0.06018434881445738,0.0021479070248184746,-0.1768417221824929,0.04826333253796415,-0.07357051268118792,0.23097004208710234,-0.12540100919096664,0.00428755767721,-0.21736927624433014,-0.15646970278001998,-0.11458862368092251,-0.091103659812164,-0.10313557876466606,-0.08398525431313893,-0.052997283722872726,0.008495159508136528,-0.06395024157181174,-0.24835371108984153,-0.1045523037207092,-0.2049529705311934,0.23490084632233893,-0.18768769188301662,-0.18811913385844964,-0.1554599153763782,-0.06041319237097474,0.017483222689061623,0.13173209437902636,0.23864498540170098,0.2588447052529921,0.09119621167682096,0.06895218084493748,-0.014837901934425865,-0.1202575989213174
PC3,0.03706050362079473,0.12985885135948053,0.42942016587908294,0.11327826304525389,0.053107015482363074,-0.015170555261420625,-0.03935453952663324,0.03692132491695431,0.036716109033095856,0.06484754996567674,0.03587143762659036,0.22741584319299546,-0.03418256198137245,-0.20364917872680927,-0.08723884255127304,-0.0024695934813757604,-0.006307707758257227,0.04558982349407512,0.04734914251041659,0.0955612552392663,0.0370605036207947,-0.01560886736428518,-0.0849598425319923,0.1099114042908462,-0.11684670080559327,-0.28540534945117,-0.12549693528202602,-0.12018505754275065,-0.07066620073272066,-0.07353196608316907,-0.041279422239701095,-0.08723884255127305,-0.07017936658231783,-0.007965638004715737,-0.18698120065711482,-0.02911806022430663,0.23946987999661112,0.07780173673588463,0.2501196756354288,0.09958555454950065,-0.16166373182270566,0.07949827118276623,0.08176102206437011,0.10028636941977989,0.16919824025305383,0.1847538231498949,0.12985885135948155,0.0711735904527718,0.040727983803687764,0.04875030663679637,0.11526065952412624,-0.06476404820351761,-0.10542717520433134,-0.15238507781525404,-0.18798119787303105,-0.21083482758315616,-0.1930343269215731,0.02754949603432054,0.027676490923626555,0.049305245626948276,-0.04749975219774786,-0.021559590406253232,-0.013534935181635125
PC4,-0.012966947569631977,0.12133588441428929,0.019170195312708513,0.15139426908844483,-0.02348402839766854,-0.03291598587045591,-0.12435939601938852,-0.012916444440545896,-0.012988041478095163,0.022994071058894994,-0.17188345694642168,-0.01519618244112499,-0.026797472362056676,0.3138384025695831,-0.02206066073343458,0.005193336677331378,0.0012564849426451598,-0.00118511253690707,-0.04429884330781782,-0.02430131681952997,-0.012966947569631869,0.017287850808132242,-0.18470485994216976,-0.025159746768678524,-0.03251765057207397,0.29957506303890996,-0.0021683836270428064,-0.01082408061337937,-0.010048496560861549,-0.05320399566834502,-0.033222918620715435,-0.022060660733434496,-0.002386397250659562,-0.11717890933870632,-0.0944029824911902,0.09761100776907221,0.06819831559181617,-0.28549620991511326,0.10781215293568867,-0.27691957964605846,0.46280377818399765,0.13134538717509,0.13953389672438016,0.11533062897075633,0.09741411731379572,0.11025892740058216,0.12133588441428923,0.12910940840840468,-0.11502988510024699,-0.05120617688588812,0.12885050627983963,-0.0899410792836471,0.005941872954671484,-0.04989626117463998,-0.12670784913380062,-0.10787450204767926,0.04696140605979901,0.09930343065368538,0.11626885363325346,-0.17617391774669422,-0.10449467230836047,-0.06862986946662165,0.11929945430785209
