,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_verano,Junio
PC1,0.1613800908717967,0.15151769778589683,-0.07205306577272684,0.1085154630395339,0.10514854398927942,0.12873095418692526,0.13158017568916264,0.1613796421795564,0.16138009087179706,0.07981021488988145,0.15558084763952068,0.14990192794108514,0.1165455445126426,0.06637320868268105,0.16138009087179706,0.1370291177637467,0.14316198199015165,0.15385882221545757,0.15226611839866644,0.15345886993965294,0.1297957969340839,0.15222529754964223,0.1566992066690676,0.1497215728534991,0.07981021488988145,0.15558084763952068,0.14990192794108512,0.11649181201298472,0.06637320868268103,0.13702911776374668,0.14316198199015168,0.15385882221545757,0.15226611839866644,0.1534588699396529,0.12979579693408386,0.1522252975496423,0.15669920666906756,0.14972157285349905,0.16138009087179706,0.006340671261483639,0.12691672539637608,0.017261133146711446,0.1125886947815681,0.0722985446718592,0.12425615522639025,0.12775979774421134,0.13446303392583905,0.1503014115150754,0.15299478820204535,0.10898825085907098,0.14229385620253518,0.15194420806454564,0.12295088986827227,0.15151769778589674,0.16138009087179706
PC2,-0.006512670183046693,0.1204395202451315,0.2468537753288939,0.3020959188187564,0.11106677609289077,0.03276583471818404,-0.15756414204669553,-0.007004359827232197,-0.006512670183046664,0.004053307533202541,0.011619092902927385,0.018378317782027805,0.0034043386830921985,-0.12038486280227695,-0.006512670183046535,-0.13605599285441636,-0.14488848487483044,-0.09034861167478855,-0.08201922903974834,-0.037982834879946054,0.24597233914639108,0.01858266991163248,-0.09569284012493123,0.15253626811166898,0.004053307533202452,0.011619092902927404,0.01837831778202782,0.004170901726997976,-0.12038486280227693,-0.13605599285441639,-0.14488848487483041,-0.09034861167478851,-0.08201922903974834,-0.037982834879946054,0.24597233914639113,0.01858266991163239,-0.09569284012493119,0.15253626811166898,-0.006512670183046535,0.33643621439196336,0.06983428788461861,-0.11589910223328682,0.27987329654288773,0.002577076777617914,-0.21376582349815035,-0.11868327725979977,-0.06413025746864683,-0.05039161187800006,-0.04551342581506868,0.3031676437638461,-0.028186355570644667,-0.09668776496533452,0.26774960395568254,0.12043952024513174,-0.00651267018304654
PC3,0.02073331533453612,-0.07685491529739648,0.031817528076910156,0.019746159367526234,0.2542841179510137,0.25819663223354666,0.07670714162569889,0.020849066399517734,0.02073331533453629,0.4216899746335541,-0.023222147782760983,-0.13415293601604714,-0.04629889685745594,0.29704747568596657,0.0207333153345361,0.06976797125450428,0.02786090198752938,-0.012844837052106694,0.08164215024909031,0.0020372481309930517,0.04451688340833057,-0.06066084387730114,0.03295370526000057,-0.003515738132022902,0.42168997463355423,-0.02322214778276087,-0.1341529360160472,-0.04749148859932787,0.29704747568596657,0.06976797125450428,0.027860901987529434,-0.012844837052106652,0.08164215024909031,0.002037248130993081,0.04451688340833059,-0.060660843877301134,0.03295370526000056,-0.0035157381320229564,0.020733315334536095,0.12504299238753144,-0.183707678772602,0.11230761513150868,-0.003531649586692915,0.0467815058175221,-0.06764172529132034,-0.1685101822384374,-0.2322895930253819,-0.13551636506154954,-0.0870565010549794,-0.0038963677380909165,-0.1976152867212129,-0.1300093486950452,-0.04338788685114908,-0.07685491529739631,0.020733315334536102
PC4,-0.005723622601148982,-0.03489603283454152,0.2103320562120137,0.013012407976639034,0.05709505931596061,0.10980231533429975,-0.06241830103409539,-0.005529757496824432,-0.005723622601149144,-0.037560984754751954,0.03775086938933282,-0.08461408696284677,0.3859199179213635,-0.29221795766108366,-0.005723622601149208,0.1822882006996133,0.06646665940883346,-0.007579274682388742,-0.012694840861289044,-0.07347005584591156,-0.03860856465911178,-0.06034699153577399,0.02067595655902736,-0.05185954499920134,-0.03756098475475209,0.03775086938933287,-0.08461408696284684,0.3856920954317045,-0.2922179576610835,0.1822882006996131,0.0664666594088335,-0.007579274682388825,-0.012694840861289074,-0.07347005584591158,-0.03860856465911172,-0.06034699153577406,0.020675956559027247,-0.051859544999201326,-0.005723622601149212,0.0927222315222772,-0.04568259431271522,0.48418211653081006,0.02725156016811305,0.24557268997502438,0.10069175220123854,-0.0641875378871441,-0.11687520512752961,-0.017408142416020258,-0.05380789246348107,-0.02710962445867841,-0.046686928957464666,-0.025804922163505193,-0.037346302120157084,-0.034896032834541534,-0.005723622601149215
PC5,-0.01619420094598653,0.09159022477918614,-0.3012001089979016,0.13921028094499996,-0.26863863658809983,-0.14138383690198253,0.19332309135164139,-0.015285960231419864,-0.016194200945986434,-0.19431770003248885,-0.02576487963067924,-0.11855777090348917,0.0846045057038666,0.3009528623426086,-0.016194200945986687,-0.0027347410945206567,-0.051094457220841126,-0.10241229204892367,-0.06335563502565289,-0.02872393551567441,0.11969615133154546,-0.04754123396595565,-0.05052257980342127,0.04672221876796375,-0.19431770003248852,-0.02576487963067937,-0.11855777090348926,0.0823163266807058,0.3009528623426086,-0.0027347410945206476,-0.05109445722084126,-0.10241229204892353,-0.06335563502565288,-0.02872393551567443,0.1196961513315455,-0.04754123396595567,-0.05052257980342127,0.046722218767963765,-0.016194200945986642,0.04535982243520494,-0.09356242797424012,0.13617207172332288,-0.1509554198922491,0.48823917809737,0.10963720210186649,-0.016299368596999517,-0.052780325846873276,0.016991784302983395,0.023859357992828845,0.18628580976767534,-0.06878964785074174,0.0058335799996043535,0.13249606055625945,0.09159022477918669,-0.01619420094598665
