,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_primavera,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_primavera,Marzo
PC1,0.15474704272091722,0.14799747911738617,-0.052674714135682484,0.12732393892489124,0.05310623616520838,0.09417106354992277,0.15229865503690598,0.15474704272091733,0.15474704272091727,0.13639135156998355,0.14207712707412543,0.13589265714283036,0.14990727922788738,0.054481640938040206,0.15499355768233974,0.15188618156097577,0.15346792384979427,0.1559369404186129,0.1489535074718116,0.13818944718837692,0.12535323964890135,0.14341286222208105,0.15356960415486592,0.13898606157138382,0.13429318812990332,0.14672146731728164,0.14357471829195506,0.1471097775859848,0.055456597984600925,0.15067667711301697,0.14867980407538908,0.15524862011927498,0.14939797936466387,0.14380398795072186,0.13187615165894265,0.1420167720758051,0.1531632519294329,0.14120710082963642,0.15499355768233977,0.09277645723917141,0.07940602159380966,0.06477368441079781,0.10865372831931,0.070730350016658,0.1369350341984053,0.14290220002280904,0.13940969022667665,0.13655980923636798,0.13784825524300284,0.13152215315278576,0.1332813527000589,0.14422531944047534,0.13607782200126947,0.14799747911738637,0.15499355768233974
PC2,0.07729881407806886,-0.14644253252947925,0.12582543265361953,-0.1188395126909462,0.38647145507531777,0.32266002177464836,0.03910712504854991,0.07729881407806904,0.07729881407806904,-0.08823519138251193,0.0803819689960195,-0.008104076518215425,0.03963018574193306,0.3279576446647261,0.03226754693319495,0.0392667707378894,0.03802976294414282,0.017562428041817086,0.05092616873507988,0.14062498572770568,0.158055179946517,0.07316318158691237,0.058030407171020905,0.11599160481821416,-0.11292584706126019,0.03701933817706449,-0.061599861244433576,0.004544623057070471,0.2941280827065209,-0.007265754185685487,0.003733832228578891,-0.017588935329142647,0.011667540241107322,0.10363388822385373,0.10794640210301612,0.027090146587971757,0.01790075940583701,0.0652836713015609,0.03226754693319495,-0.24664988472881674,0.10206846606363693,-0.23683561528462233,-0.08573788538858323,0.07279295730810915,-0.17886008831714498,-0.1521950795140708,-0.179966019819705,-0.16388018796866485,-0.07980460905332426,-0.055460749767114334,-0.14785134903288125,-0.1566290916814849,-0.10929135320778462,-0.14644253252947914,0.03226754693319495
PC3,0.038017516542526525,0.0035300289909443484,0.34297150395895937,0.09194290694487953,0.10013205378297359,0.07419161703793337,0.010662221010284481,0.038017516542526754,0.03801751654252673,-0.05766667998837607,0.14959238915450873,0.17150000495372225,0.03225870930138286,-0.23720442350994775,-0.06551222960313828,-0.03578520399908812,-0.05372519556996372,0.0007420348063931395,-0.027709419498526577,-0.033956664521933105,0.2534775022769781,0.15001041791563077,-0.03073922878874199,0.204002706439441,-0.11870409137472838,0.046835360071605533,0.06579542808072891,-0.044776988823797784,-0.2955773543112035,-0.13868619204319224,-0.12734477106275455,-0.0857136819822829,-0.11996042359825645,-0.13263168298305844,0.13663270548885312,0.04964007928753874,-0.12357842166974095,0.09129317663043268,-0.06551222960313825,0.12239159585595137,0.26201673395109887,0.13855223976077322,-0.11622342615320909,-0.304436973171385,-0.05429303485610779,-0.0895039561408062,-0.07168395668892277,-0.11360679721740188,-0.08187726075810728,0.23529997151751988,0.14230731422626391,-0.07867736834061977,0.19280404397339404,0.0035300289909439837,-0.06551222960313827
PC4,-0.06838421961159254,0.03329525744272797,-0.30008686021373066,-0.12927476642134755,-0.15279410951212713,-0.07892401144249286,-0.06156206129677994,-0.06838421961159251,-0.06838421961159248,-0.09976837824023521,-0.13875641315383377,-0.06699461640026914,-0.07990581127022738,0.19391144704775035,0.04189425516373449,-0.08874326166248683,-0.1272732541603225,-0.07839800511059172,-0.18065727748922047,-0.20213397881532746,0.10825897159354428,0.1061734531269337,-0.13758923224990827,0.11030111320566462,-0.03143982669261301,-0.028983562673744582,0.05322024613395537,0.0028740300326819124,0.2573222279563338,0.02128199196873028,-0.04292385049537734,0.015151517566384118,-0.0808717047989372,-0.10131241582730062,0.2558451605366561,0.2133558414550362,-0.036821533465355306,0.2388766966995984,0.04189425516373452,0.16910953634359704,0.11037708356898683,-0.017928576305296404,-0.14438147096744444,0.3290429228728603,0.0427399864138199,-0.06713675643208954,-0.019289946530415148,-0.056081590652417884,-0.16646493372481777,0.18032006910273818,0.23581068872246483,-0.0511774110049464,0.2115244708222563,0.03329525744272853,0.04189425516373452
