,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Jueves,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Jueves,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Jueves,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.1668049999646139,0.15461597010709163,0.08801784048464256,0.13298397172339269,0.11418977822196927,0.1349658623666969,0.16201447886628872,0.16683488646355937,0.16688594980884258,0.1333142120099036,0.14470941576699717,0.14297887646549606,0.15005040918304735,0.1010490088545566,0.16787008163833805,0.16680499996461406,0.16680499996461406,0.1303879733051889,0.15101149844548822,0.15653030390441833,0.14256030010260107,0.1029065292440844,0.16787008163833805,0.16787008163833805,0.14425100278489292,0.16303596503604292,0.1552088582900866,0.1224705068364997,0.07143791525291612,0.10792356226920273,0.08612357100624932,0.09046640090283689,0.08259472775828097,0.15461597010709152,0.15461597010709152,0.11339982284149351,0.14437785532242778,0.12957765533548868,0.10521326215003106,0.13765422938309307,0.13689109069086403,0.14590646893510345,0.15231872664409227,0.14387674616979376,0.14822041005622322,0.12119734751829604,0.09768821138235274,0.1514524568990952,0.1577144703202921,0.1652769477480613,0.15205734894587564
PC2,0.05896816358488437,-0.04929966626210012,0.16202366079475333,-0.07229953616355043,0.24346595290820694,0.216318949909309,0.039407214380064524,0.05873259102661671,0.05832389215617295,-0.17937216739589734,0.1636394425005281,0.08680751965598558,-0.04324166971443083,0.14202853690832143,0.0011559908030553765,0.05896816358488449,0.058968163584884485,-0.21309547667579265,0.11652933650483133,0.03290066637836039,-0.0789481311951588,0.10014002831914669,0.0011559908030553975,0.0011559908030553975,-0.18071880971541004,0.01868813983167924,-0.07105626326113826,0.24390433860317143,-0.17701266367906254,0.09863210962535453,-0.10680073481014585,-0.1853635962535867,-0.10139874559662634,-0.04929966626209996,-0.04929966626209996,-0.2664109234217541,-0.14494706727348877,-0.21927107049488148,0.2440465936300672,-0.15744742666022665,-0.20681389245439452,-0.16212737747763417,-0.022777107315799537,0.0004166616918631024,0.13589668888542966,0.2456133987694635,0.27248637815338433,0.06750268062512423,0.026982434786377813,-0.030662737657553063,-0.15344600796727909
PC3,-0.01896931390031695,0.10524660559731637,-0.37135924860161795,0.19342872259155106,-0.05688040523637992,-0.013269771140446952,-0.09517769856926941,-0.018957612606814746,-0.01893723937787974,0.011612450994497345,-0.14482559278299348,-0.05059129578108635,-0.07641983997626375,0.36494751837028006,-0.013179267708407945,-0.01896931390031686,-0.01896931390031686,0.01652401923036652,-0.14431425481898635,-0.05093615891414642,-0.06867870421041565,0.3615004769056846,-0.01317926770840792,-0.01317926770840792,-0.03567221663651565,-0.09908259213351159,-0.03797709962752638,0.09619206529729066,0.013132026358071924,0.07511364597311614,0.3778322303102855,-0.14673452635100506,0.37446115156726456,0.10524660559731608,0.10524660559731608,0.05228514926000175,-0.0989562362799358,0.01185968155472119,0.11484105798684931,-0.1459241223279695,0.017514929676164713,-0.00395635092455545,-0.04331616015680213,-0.0661554219609295,0.042396966149221414,0.10329946314563615,0.10927347455169101,-0.18688940777277419,-0.06313112392561962,-0.0517762407397755,0.055073715376405985
PC4,0.042539107793636066,0.20569115266697804,0.08455701805125188,0.2544055390282158,0.012495042167767322,-0.05346866465863226,-0.06266171320931722,0.04193092835234496,0.0408762829265481,0.10313676579319443,0.015801122466170207,0.23921325188126366,-0.041020489489770114,-0.18699973899927144,-0.08375245181370833,0.04253910779363617,0.04253910779363616,0.01581600999411697,-0.10615221455488741,0.12838516594117202,-0.12018416567562905,-0.2694206489495775,-0.08375245181370833,-0.08375245181370833,-0.07907249672403908,-0.060093014889344126,-0.20656473699844993,0.04275446686740591,0.36019414674929123,0.2209744104800569,0.06769116308662897,0.17041112007640316,-0.18117321442227508,0.20569115266697796,0.20569115266697796,0.09195893607137456,-0.0007082096694822977,0.022212633720092596,0.21339849893162013,-0.10048726632491989,-0.09747832786403832,-0.12416940482755638,-0.21292954365617006,-0.26264018008777945,-0.10764790516589262,0.037756587622002194,0.11735467658190593,-0.026671126150195026,-0.1121041861837171,-0.035854275629354546,-0.003548853447739121
