,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Miércoles,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Miércoles,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Miércoles,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.16890769650090232,0.15639254725726356,0.06309759492580148,0.10945477073300568,0.10862584011045844,0.1319723778278613,0.16297234370775388,0.16890769650090237,0.16890769650090237,0.13312973673050466,0.14598816400637324,0.14993377103575994,0.15779860320242972,0.10628485838308861,0.17003554075234745,0.16890769650090234,0.16890769650090234,0.13052336778400933,0.15393341517146011,0.15902688512597227,0.1507799431083693,0.10831120118415553,0.17003554075234747,0.17003554075234747,0.14764279264355187,0.16141991769820332,0.15891175019298,0.12089245459540056,0.11752103779327487,0.04862222688576881,0.05483078391926572,0.08462435037118532,0.05170959222657021,0.15639254725726365,0.15639254725726365,0.11314984502980807,0.14692788256046813,0.13533213773943178,0.1035372479159989,0.13666278369843288,0.1425356044374455,0.14672148057947831,0.15652637197015482,0.15613166757621297,0.13613880155944955,0.12166359938566786,0.09389559737189995,0.1490300056101909,0.15820064493765232,0.16369837056219053,0.1468019773994529
PC2,0.039256371005057,-0.07333259298907481,0.1340302821509144,0.009086945191264403,0.25153481280388523,0.2228827222727103,0.028661780438044234,0.03925637100505715,0.0392563710050571,-0.18021885025960088,0.14093572276918823,0.016275076747156968,-0.020379803826857855,0.16132339250230543,0.0012864990916949895,0.03925637100505716,0.039256371005057154,-0.20428703584248126,0.10912952966188595,-0.021944344759392043,-0.04504084039400132,0.13147024014448935,0.0012864990916950404,0.0012864990916950404,-0.18390424963570842,0.04078040359672111,-0.06592748284678838,0.2577468193534941,-0.028311279678283077,0.10861598880117818,-0.22390771474852691,-0.16048667790134125,-0.10281428824361999,-0.07333259298907477,-0.07333259298907477,-0.25672903092448146,-0.10070453050572449,-0.21426180646143073,0.26174332789299115,-0.20443703652168568,-0.17189657724079804,-0.1642988054106001,-0.03399281719435,0.02765402279286073,0.14073602923084183,0.25290024907048264,0.2844602628551966,0.0657726117120574,0.07781100683819703,-0.016203071843545996,-0.14311403990733101
PC3,-0.05312655275399208,0.03893215329818479,0.3260513134591308,0.15054880598255116,-0.05640196960928747,-0.09153674496404836,-0.019575519567065675,-0.05312655275399235,-0.053126552753992445,-0.10401627755394267,0.032240386113008224,-0.12193675776939326,0.08223365683712251,-0.2102103405831984,0.015059661466324446,-0.05312655275399246,-0.05312655275399244,-0.05414035258836042,0.09794961136567493,-0.05604453946366095,0.12528871428626703,-0.16070789698567442,0.015059661466324294,0.015059661466324294,0.019100969178824125,-0.024069159409660312,0.0809850443225965,-0.033026693843198666,-0.33292622249143433,0.488755369382566,-0.15569993504980897,0.4099628084468764,-0.25088406592311746,0.03893215329818416,0.03893215329818416,-0.11791130581656668,0.07593572779630135,0.05659813244954347,0.09357695275533459,0.1200741071325245,0.026103304721506626,0.056713234200248354,0.12166904100141354,0.060415156848982104,0.0007973387690061808,-0.031119930104260347,-0.04744433247245437,-0.05017757787938926,-0.005279928768526492,-0.01678245233100631,-0.12983934272417647
PC4,-0.06735694274729613,0.02326347612406434,-0.33841518481009875,0.011895048077821978,-0.11672888346814679,-0.07568343894507912,-0.08327607695054466,-0.06735694274729612,-0.06735694274729627,-0.05262565887704373,-0.18422235107876536,-0.23273451491854674,0.048987009367334716,0.3122946934437149,0.06553066149873699,-0.06735694274729628,-0.06735694274729628,0.04199003416408386,-0.055502287435501535,-0.1097548844865821,0.13389302237401718,0.39740892497094354,0.06553066149873694,0.06553066149873694,0.08509507601602925,-0.11306748553128528,0.10633163665280218,0.09674087806125568,-0.2146815243029746,0.0925713621729272,-0.26428872432180495,0.045460657325906366,0.2814065791062011,0.02326347612406392,0.02326347612406392,-0.021330466126191168,-0.10698592016542731,-0.047362968577218834,0.05157359844340475,0.07274869646296658,0.13014266564580113,0.13833122901202527,0.09701755518566722,0.06443132541390535,0.22772390889942515,0.020128579859092846,0.07524771771998776,-0.23374456335985774,-0.06737203572815233,-0.0427732571504863,0.03443807954702521
PC5,0.01663397141999435,0.26088197520947237,0.012676771153434388,0.4704150855368615,0.04518671880403771,-0.026006772554445327,-0.12786883886914366,0.016633971419994693,0.016633971419994734,0.03779781003438808,-0.05473925468221845,0.11146813220564693,-0.019283115521938083,0.036245011886725576,-0.06693216560525508,0.016633971419994606,0.016633971419994554,-0.020222667896102907,-0.14392348894805873,0.04044806197748398,-0.07236942124683304,-0.02945315080603136,-0.06693216560525495,-0.06693216560525495,-0.021123456349323572,-0.16854945720530384,-0.14759457767815304,0.06627003381260632,0.08637590789951888,0.09536700294781607,0.06313615068856542,0.10759148311856082,0.147108970773925,0.26088197520947215,0.26088197520947215,0.133863236630567,-0.06381672856204812,0.04437040500717211,0.2873684262803633,-0.07904014980398885,-0.08810613024440114,-0.06952048294129792,-0.14739832508842032,-0.2220246234603182,-0.20883382478901555,0.10027664818080309,0.17388543263390338,-0.1594186636531293,-0.19716893281792577,-0.1393224559850591,0.1424085063656301
