,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Martes,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Martes,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Martes,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.1681971830136441,0.15615901279138847,0.05404405318861728,0.12433484950495728,0.10981395497100374,0.1345558722164154,0.1628054240921455,0.16819718301364406,0.168197183013644,0.13606948553589923,0.14367853873059577,0.14689517028150487,0.15422485605790626,0.10561596184028439,0.16897035812254624,0.16819718301364409,0.16819718301364409,0.1332006413426567,0.15075864422146046,0.15797361531947854,0.1492719880677866,0.10942836791678424,0.16897035812254618,0.16897035812254618,0.15010659352144848,0.1606646806133264,0.15505330838978185,0.12219642705342383,0.07522778919499053,0.10071707289283714,0.05409409261679639,0.09393739486506594,0.06188820491629928,0.15615901279138847,0.15615901279138847,0.11276426181218326,0.1554518301467913,0.12341421813778106,0.11277097331785646,0.1343557651379001,0.1387374822142406,0.14727131474940272,0.14401992406890002,0.15813064188090106,0.13779261032335977,0.11271993724697715,0.10030760442914345,0.14775690731379232,0.16024322129424737,0.16367606785588748,0.15813901536280406
PC2,-0.04299041525591345,0.08936215492075712,-0.14234820612225854,0.03721061817326477,-0.24587817774075424,-0.21297055616969948,-0.04529430246815115,-0.0429904152559133,-0.042990415255913315,0.18161443113019063,-0.13378577377592782,-0.0843330286062576,0.047428857839630835,-0.1311464621947653,0.0016347247691717523,-0.042990415255913364,-0.04299041525591337,0.20191834574890574,-0.09608504781225438,-0.03864860710546005,0.07564140842049365,-0.09924453791611036,0.0016347247691717753,0.0016347247691717753,0.16765447796952135,-0.07189351171093039,0.0811575498910813,-0.22852086572468422,0.17392330790582927,-0.12931395177631289,0.285097349452489,0.1357297587197115,0.13670683594689714,0.0893621549207574,0.0893621549207574,0.2554361359321224,0.058743061590516836,0.22721182449918947,-0.23868861949810996,0.1837327713298344,0.19538788587787292,0.15441047766361635,0.06861184032338823,-0.010930473711307101,-0.12532138668142684,-0.229688827148982,-0.2554788786760647,-0.10264304931761922,-0.0840396627989985,-0.027892778345888485,0.07290373405586498
PC3,0.01893587237508748,-0.04548201623283172,0.44771181307543617,0.014329280489003894,0.015069228649803298,0.009080946208740722,0.08416442098277496,0.0189358723750877,0.018935872375087558,0.007368406891375186,0.1728761400620811,0.08419273980954865,0.0019837329128705693,-0.35903809445881335,-0.01656237662711386,0.01893587237508748,0.01893587237508749,-0.015298179886066013,0.13871216312878565,0.04947412280896147,-0.02182949741292934,-0.376447728226352,-0.01656237662711387,-0.01656237662711387,-0.0059848643840889415,0.07291584616644786,0.029919878941340912,-0.13263288824378452,-0.19088809338102364,-0.013249877882753534,-0.03942327539801743,0.29010862607018695,-0.4193359827220368,-0.045482016232832254,-0.045482016232832254,-0.07668422262076675,0.14102953934323262,0.06471719862973299,-0.07113523104593512,0.07041003958200266,-0.03241341331040523,0.043361030008759356,0.06610639758931654,-0.03652873279037932,-0.127336550952996,-0.1712703152368719,-0.07435532361838416,0.14276090067258104,0.03815509472861613,0.048135216314577026,-0.08500745190163621
PC4,0.03650048789933172,0.17736725557909244,0.05817965785165195,0.3173538973256729,0.13491388709957886,0.006267099410734202,-0.12387191446620996,0.03650048789933157,0.03650048789933148,0.05991380663806549,-0.06709709778946969,0.199803628691553,0.045481748530263405,-0.03645203901697001,-0.06853117369896577,0.036500487899331684,0.03650048789933166,-0.0063801937464200795,-0.16848850948546146,0.09254214682525261,-0.028739796949645992,-0.1111810364786979,-0.0685311736989657,-0.0685311736989657,-0.02017871879888928,-0.07507832127887042,-0.2336569227750651,0.0759849684769434,0.176011054257921,-0.0018570789056613281,0.34929790990964354,0.21232788451172196,-0.10754004269132855,0.17736725557909186,0.17736725557909186,0.10290023328676036,-0.06646311378619835,-0.13246373725196836,0.23536727084374107,-0.03812404019843311,-0.02082879039015285,-0.1344912786389329,-0.3181330021342754,-0.22883966992194216,-0.18934685534989368,0.11279471911028767,0.19997550962107552,-0.014596547246932033,-0.11047511121861985,-0.08318760299032658,0.011783497093645658
PC5,0.03684394932095955,0.05382814329133568,-0.05481446678112711,-0.18460011496905573,-0.14309126254969437,-0.017465642361136274,0.07777963052499642,0.03684394932095941,0.03684394932095976,0.07476601217623503,0.08084136772673879,0.2072893791205913,-0.06839279073397031,-0.2003364297523231,-0.03393331396082151,0.03684394932095959,0.03684394932095958,0.028360086477208002,0.0150111081982504,0.125990947506075,-0.10857994372457105,-0.23890964550972724,-0.033933313960821526,-0.033933313960821526,-0.049347127526956525,0.14860498958908144,-0.13259413582706822,-0.03404755698593836,0.4682928289954647,-0.2326128601550378,-0.24764949146555726,-0.38796613286182474,0.11839232012182911,0.05382814329133567,0.05382814329133567,0.06640291766745152,0.14877682732024877,0.02339857533343275,0.010944244105211736,-0.08844589239710583,-0.11296486782532525,-0.1881541127041256,-0.07633887833646612,-0.1109331797390398,-0.020333693804595054,-0.05116583273426547,-0.0199674851042305,0.1947091575491251,0.09191580989805284,0.16495564140492033,0.10302898458386549
