,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_otoño,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_otoño,Septiembre,Octubre,Noviembre
PC1,0.1487278054468971,0.13972439923269717,0.09547501610574345,0.11842653343084432,0.10079621754396006,0.12237933886467424,0.1463007072009958,0.148727805446897,0.148727805446897,0.11983979140010269,0.13815483736735357,0.1367883025155571,0.13769099865845782,0.0832840955261949,0.14863547799512347,0.14409287493074255,0.14602830632337585,0.14638457473112432,0.14646626357280498,0.14030963289113577,0.14339314130201863,0.14097328471588644,0.14672418110173188,0.14411045731040553,0.12314510071169482,0.14112793850290958,0.13751530011182822,0.13834699141489304,0.08971206449473856,0.1454730608502964,0.14631541911371287,0.14739870955915246,0.14611315071027905,0.1422077506291697,0.14420322945221337,0.14031222706235894,0.14729186080077594,0.14379821539558663,0.14863547799512347,0.06207199171768165,0.07590270058689438,0.06664734167890643,0.10958800149452189,0.05693627865873149,0.10134765315238987,0.1423033494668859,0.13559819015468988,0.13305340087420262,0.1416319110436408,0.12418668593974524,0.12162524202907285,0.14032434056366264,0.12603727423373726,0.1397243992326971,0.14163379079524768,0.147408959830688,0.14773193060591075
PC2,0.06223492526095614,-0.17834461112476285,0.15206694218925162,-0.11267065467017603,0.32823863651707896,0.26664960070259114,0.046883396122536135,0.06223492526095609,0.06223492526095609,-0.12279632804908908,0.11322553162515096,0.009046294149020096,0.021252981408785378,0.20711439062586667,0.04938298258385728,0.03522084557965771,0.09014377794594412,0.06930794309770101,0.05172386520944635,0.14324472964607327,-0.002900245142691059,0.02280361788851866,0.08139409627093001,0.010432451476073211,-0.1225951996006434,0.09963061806070769,0.003018103998695932,0.013299827208419239,0.18760699508894463,0.022307942302646298,0.07627917173769531,0.056729597041899296,0.040426254920895764,0.12761720522508072,-0.011140186297823847,0.014229222699867502,0.06743485786400584,0.0018745106245709909,0.04938298258385731,-0.1968543621691775,-0.15113971139350665,-0.1324040835873026,-0.1546765097395978,-0.2217112389206609,-0.2873248547403476,-0.1032317200755091,-0.1587817205151882,-0.19472123448929735,-0.03268509100915152,-0.21502984129058364,-0.2082120449098644,-0.15262344083466609,-0.21707684837159064,-0.17834461112476255,0.1437496201103761,0.05152034511392881,-0.03826152895277006
PC3,-0.011558495409499277,-0.002509358169336322,-0.3431676220490538,-0.0486046809157695,-0.07093664662495885,0.020664916032981224,-0.01960548520943579,-0.011558495409499204,-0.011558495409499334,0.02615945761916744,-0.16598368772733615,-0.16403832924848843,0.06587374902418289,0.4496426966841872,0.01779823681531038,0.014248958120584921,0.01838955577035817,-0.01266298837255664,-0.010218823749743677,-0.08164082630514065,0.013702146573135923,-0.010623830410385117,-0.016389045127009907,0.001235181311804833,0.05357601107493342,-0.1306939104294002,-0.13599824299157917,0.08508848396956664,0.45180658860539324,0.047800457540757395,0.04364434139507341,0.01587281883292633,0.016878918952107663,-0.051371390341224066,0.04245285092399288,0.014474271766908407,0.013116693831071405,0.028436475023385706,0.017798236815310335,-0.23827358598457152,-0.0652255945779632,-0.1853738364123106,0.044716314319715796,0.46979523298467735,0.002701605696001197,-0.017172644409859373,-0.028174530789094186,-0.007240600063683793,-0.08113490962713363,0.05523558191948559,0.07526222371612432,-0.036469758014878284,0.06418636859828104,-0.002509358169335756,-0.022397175809468622,0.027840986671224782,0.042815907145415374
PC4,-0.0002683161153400251,-0.008579017586137385,-0.1407135321401766,0.246077319318755,0.05143306303302057,0.04237536344643094,0.0001763179379625666,-0.0002683161153401275,-0.00026831611534017035,-0.02075686531772116,-0.07580871533302298,0.19397256116681158,-0.04840638760296959,-0.027695368172597424,0.005161529873222653,-0.10607684743924978,-0.08469804849751723,-0.06338332973807113,-0.08607645175453961,0.004127145821903845,0.1381643922202602,0.1832349110207818,-0.06593785026794471,0.16351694401781486,-0.013767076707884759,-0.06670971535246238,0.18769981350662912,-0.04094857792846314,-0.021207972743916007,-0.09032218339337793,-0.07370990661692463,-0.05380871555143043,-0.07471884027258778,0.008727796022299034,0.13320903409484716,0.17444903428420436,-0.05576307981745212,0.1560550880337413,0.0051615298732226485,0.3839497826550443,-0.2643024171097474,-0.342448324722568,-0.3559827686379484,0.05429042050183292,-0.20088978276217337,-0.14172822229976476,-0.06990327626001436,-0.09614136567833621,0.04900910466496501,0.14687710995230574,0.1521016795753011,-0.0776674841149272,0.14977997217079975,-0.008579017586137858,0.017944036994934947,-0.0009101104785320712,-0.0007180701501109839
