,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Sábado,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Sábado,s_Fin de semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Sábado,std_Fin de semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.16509866873175286,0.15186661925696157,0.06215752258722514,0.14054721985484372,0.12389372548682483,0.14848832949948582,0.1600837596641248,0.16509866873175313,0.16509866873175316,0.13846810002505844,0.16133456625996476,0.15539288943509227,0.1583881092152575,0.11112248535847774,0.16509866873175305,0.16509866873175305,0.16509866873175305,0.1384681000250584,0.16133456625996473,0.15539288943509225,0.1583881092152576,0.11112248535847778,0.16509866873175305,0.16509866873175305,0.1410299571443487,0.14969761506332574,0.15789819285600307,0.13811676549978658,0.09623113433771337,0.10719760785202254,0.03265127593023704,0.08345426620865294,0.12418665314896793,0.15186661925696163,0.15186661925696163,0.10211541830255345,0.11945479898734364,0.13093253608502456,0.13276350859373107,0.14575206505591304,0.11429933100726257,0.15303627311370008,0.1541744114065146,0.13863081454008347,0.13287148035788662,0.12979707007497837,0.13361622279617735,0.13171452605662415,0.14332192173062963,0.12326418366216335,0.12807959501204583
PC2,-0.02242965737260208,0.02907251880919691,-0.020691445216410483,-0.012111757783330167,-0.23826329687870773,-0.16713776770815345,-0.014318585486779948,-0.022429657372602146,-0.022429657372602035,0.06020056063572438,0.03173424852402783,-0.0726004146108267,0.036332027582586156,-0.21578954900126376,-0.022429657372602052,-0.022429657372602,-0.022429657372602003,0.060200560635724376,0.03173424852402788,-0.07260041461082664,0.036332027582586204,-0.21578954900126368,-0.022429657372602062,-0.022429657372602062,0.20543850418954157,0.14464057541516373,-0.036158894886352724,-0.21773695743591986,0.24042272127957606,0.05662088089405301,-0.1804744969771882,-0.06195283262929809,-0.040417396767300134,0.02907251880919701,0.02907251880919701,0.2700814627466956,0.2588115067033222,0.23526454746747452,-0.1556176143815693,0.08871688804210569,0.21096256104636107,0.07679970085757147,-0.07574297940073524,-0.10923900908243499,-0.16019861946308334,-0.2480472942905796,-0.2139240605949359,-0.08519070788290438,0.13548736992093877,0.2603721600213857,0.24430760494212866
PC3,-0.018635422185063096,0.20944593503363515,0.17207119342404764,0.2529570499103847,-0.11449090453708875,-0.08572238297764201,-0.11130895606360003,-0.01863542218506303,-0.018635422185063085,-0.1623423316036792,0.033249313943963604,-0.027803093060945937,0.0950474780445399,-0.1701524962330458,-0.018635422185063148,-0.018635422185063026,-0.01863542218506302,-0.1623423316036791,0.0332493139439635,-0.027803093060945975,0.0950474780445399,-0.1701524962330458,-0.01863542218506314,-0.01863542218506314,-0.054840100470960045,-0.07400810647028568,-0.1364870310427544,0.11313276476076321,0.27418358341789945,-0.1308165298438803,0.34850921264590334,0.260958899874221,-0.13872562754781453,0.20944593503363548,0.20944593503363548,0.0008967228928496553,0.022311697194107385,0.009229790813238782,0.27356800052619434,-0.0869657597580422,-0.04598310396156965,-0.049567169760338405,-0.09955839359779158,-0.23771092598813895,0.2552022764931753,0.08205813215472944,-0.029953777291746832,-0.193745348356941,-0.03522820447210446,0.0011201703098914137,-0.014785405000213987
PC4,0.0053900215077458185,-0.07792584705518382,0.38161915768526644,-0.12409565617199086,0.07993416386532598,0.04302965501206924,0.019361702249067834,0.0053900215077457925,0.005390021507745826,0.16227879926662725,0.05497405025876537,-0.07520785311324514,0.06892173679133068,-0.20152930681103964,0.005390021507745794,0.005390021507745759,0.005390021507745744,0.16227879926662733,0.05497405025876533,-0.07520785311324514,0.06892173679133069,-0.20152930681103978,0.005390021507745788,0.005390021507745788,-0.11624050298105389,0.0699216925792979,0.07504590799648501,-0.0018412581677386085,0.14045817201355973,-0.2227085279918747,-0.3226582392232739,0.2400745847416739,-0.3080019132630829,-0.07792584705518352,-0.07792584705518352,-0.3213705027743632,-0.023256763818595743,0.06179830655740999,0.01804557895644486,0.18432866123841146,-0.32321672040531524,0.07110637566986441,0.009798986018236427,0.12801339993626848,-0.015430637294810482,0.011152579274678165,-0.0019154776005781914,0.09749836972921025,0.14459132796233914,-0.014706514926344534,-0.04721274131435246
