,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,Enero
PC1,0.1605579470186389,0.14849175806819348,0.054639868864923745,0.14248260164540696,0.05965990441033118,0.1018097320190791,0.14556765760802653,0.16055794701863874,0.16055794701863876,0.13644532491503514,0.12453079219498844,0.1499093133559848,0.12876112298108228,0.060433268575175655,0.16055794701863874,0.13893332627988575,0.14605965575719093,0.15494796485195828,0.15190384340518262,0.15368969826727133,0.1321850508041856,0.13808745346787638,0.1585978558737011,0.13881280733795695,0.1364453249150352,0.1245307921949884,0.1499093133559848,0.12876112298108225,0.06043326857517565,0.13893332627988578,0.1460596557571909,0.15494796485195822,0.1519038434051826,0.15368969826727133,0.13218505080418555,0.13808745346787638,0.15859785587370107,0.13881280733795695,0.16055794701863876,0.09533974448480327,0.1087069314219066,0.07660073102575356,0.05821574031349116,0.08043238075057854,0.11156675303765115,0.11188327135030388,0.13770067884457307,0.14690324608892313,0.1463938178265406,0.13665429467976012,0.14381310156180363,0.14332667112556785,0.145222683530958,0.14849175806819348,0.16055794701863876
PC2,0.0261964305057264,-0.12742345218006623,0.2342567571443696,-0.04297484215061878,0.2676474454862716,0.25755301734179314,0.11118367765176874,0.026196430505726353,0.02619643050572625,-0.12420574455597201,0.2016805829593323,0.0047357378459393865,-0.1577550869893133,0.17421166127339593,0.026196430505726297,-0.06678081846756585,-0.09754172901916483,-0.058486438478102226,0.07681725538779956,0.03312548654473613,0.19148387562824976,0.11217885729571536,-0.021192703387432742,0.15070869385736133,-0.12420574455597205,0.20168058295933228,0.00473573784593929,-0.1577550869893134,0.17421166127339596,-0.06678081846756583,-0.09754172901916472,-0.05848643847810227,0.07681725538779954,0.03312548654473614,0.19148387562824976,0.11217885729571535,-0.021192703387432746,0.15070869385736124,0.0261964305057263,-0.11718655762967972,0.16751681466159127,-0.22646101886129308,-0.24647374491294946,0.10080361274878712,-0.23263852366034998,-0.25295029913551537,-0.1404488937723485,-0.0451848346035433,-0.10043727762702608,0.03563398901373348,-0.03407049798799837,-0.152975466433781,-0.015532513280516668,-0.12742345218006615,0.026196430505726304
PC3,-0.02863289215864045,0.06258914826974744,-0.1836129657044034,-0.016079668936798932,-0.2723987364903734,-0.13796108925185835,0.005586398009363309,-0.028632892158640625,-0.02863289215864035,0.02278331543327275,0.08448434923643246,0.03477208771025264,-0.07118197028732366,-0.33235000644107465,-0.028632892158640413,-0.1981231651425819,-0.15013985994583193,0.024295542565907845,0.01943518652396116,-0.12253021674170969,0.11283794863140967,0.12169619543472214,-0.08174105945720822,0.12068588056229523,0.02278331543327275,0.0844843492364322,0.0347720877102528,-0.07118197028732376,-0.33235000644107454,-0.19812316514258185,-0.15013985994583193,0.024295542565907716,0.019435186523961152,-0.12253021674170973,0.11283794863140956,0.1216961954347221,-0.08174105945720823,0.12068588056229523,-0.028632892158640354,0.34057407428504305,0.05098117416326595,-0.11423190328704229,-0.22766003466750623,0.16385439790721873,-0.0495775224613046,-0.03495761526947789,0.059787834342763545,0.08262132278192286,-0.04523877566348771,0.24043152972437767,0.18103518358597076,0.013918832666378078,0.2021899710614977,0.06258914826974742,-0.028632892158640344
PC4,-0.04254432063231256,0.10686227577546238,-0.200835022471918,0.23653320886993223,0.04047471247157856,-0.09112804444190975,-0.16708326710667115,-0.04254432063231255,-0.04254432063231238,-0.1683971354882912,-0.09597924368899369,0.055965799501772336,-0.08927763020671463,0.3114412514642179,-0.0425443206323126,-0.12980767868499016,-0.12027646268361167,0.041431985172423295,-0.09162002922459096,0.0023234101337119197,-0.03124495617694706,0.0382776912660034,-0.05843082087831024,0.007852673908669082,-0.16839713548829113,-0.09597924368899359,0.055965799501772405,-0.08927763020671467,0.3114412514642181,-0.12980767868499013,-0.1202764626836117,0.04143198517242319,-0.091620029224591,0.0023234101337118525,-0.031244956176947163,0.038277691266003555,-0.05843082087831034,0.00785267390866908,-0.04254432063231259,-0.11205525029299282,0.13235443672382854,0.3733373659533174,-0.09369639516043803,0.40133333362677504,-0.030384222425973557,-0.023709681263385234,0.19714511879594165,0.16685034284932618,0.1049537905713962,-0.028488035394165757,0.09939878680317199,0.11617994150192164,0.058526487323611306,0.10686227577546316,-0.042544320632312574
