,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,Diciembre
PC1,0.15535906534547422,0.1455892983070285,0.011521128050857785,0.12823088421175532,0.05795811928793263,0.10065802901960004,0.1543719591176505,0.15537840919503645,0.155409770095304,0.14154953652258215,0.14117879056265537,0.14652793884758827,0.147890654660823,0.07345807748126626,0.1546234094719538,0.149369749792365,0.14968009423707623,0.14356606929337257,0.14873016437382933,0.13485852670914908,0.15218121070411383,0.14043061588625638,0.1538359973706855,0.14752200742044208,0.14173699060641437,0.14336166574284342,0.14834812437682368,0.14602373627395346,0.0775292560484878,0.14680015120924567,0.15148256983605007,0.14886984263203196,0.14778309934140957,0.13862677923822767,0.1482913510408721,0.13929960272371036,0.1542680330418679,0.14532034086145704,0.1546234094719538,0.10990663673498964,0.06457968204868324,0.1015466442167535,0.06776446438870005,0.04911426305087189,0.1372319663577602,0.13336229420637186,0.11865971966306478,0.12811818230142097,0.1328419647482688,0.13777503353978052,0.1291576654736978,0.1421595778243742,0.136733073656565,0.14558929830702844,0.15462340947195377
PC2,0.04510094496046096,-0.1492721042516128,0.2555285267030817,-0.04825991997594939,0.385919832037607,0.3404707421756375,0.007289019211236354,0.04472879718513808,0.0440913070208135,-0.11098921688876828,0.11785318671815971,0.04834100832599016,-0.09082168579006174,0.23539016306536015,0.04250457605443537,0.03236004726566741,0.03975272277252177,-0.08060808365185211,-0.03475429756537623,0.16349317170580466,0.04064135368211559,0.10959452257649029,0.027517508470248163,0.08357674490894301,-0.1079374936198921,0.11522405420225178,0.04231392007059048,-0.09216291461074097,0.23200752741214253,0.02686075388167985,0.03777813940879317,-0.06121235461830449,-0.026423107979897408,0.15401010648235558,0.034060535296376954,0.10043895770256814,0.027844483570968935,0.0744836255466136,0.042504576054435375,-0.03448011756023654,0.12077673652688437,-0.10328961278023252,-0.3160134221770774,0.015421175138901342,-0.12457500358924234,-0.15751088004736719,-0.21797371869193807,-0.2293237256478382,0.0010669995445241295,-0.1464538227823581,-0.04828004840732625,-0.15484735024952062,-0.09579373454885853,-0.14927210425161294,0.042504576054435375
PC3,0.008465491647563515,0.043899905212621715,0.0016840435195082603,0.15179425773481536,0.10453220658121881,0.008474241387703925,-0.034041215493252064,0.008502548234876322,0.00856588042883533,-0.012899436869355532,-0.13628692345444096,-0.0767876654028551,0.048434517042522766,0.38650129488480317,-0.02574750765124296,0.0544540321074979,0.09406350101624394,0.10237812527512677,0.026836338773978237,0.06280937960763384,-0.09312608454653105,-0.18768618714995838,0.07583234554280686,-0.15265755743519385,-0.03700380009110278,-0.16914708352821745,-0.10688566300571523,0.02644778963481005,0.34123717210518767,0.025355429156971386,0.0534835721834313,0.05571979237338039,-0.007724274911652487,0.04044251452481715,-0.12351425666341219,-0.2037026441336515,0.03734819685052831,-0.17369661271391232,-0.025747507651242993,-0.30919691769135665,0.11994668834672192,0.24303001667799795,0.15096643669108065,0.2728069422383888,0.06527386665731597,0.11816170204697925,0.1640932351371305,0.030652614810750715,0.08094985924797135,-0.12248931791573588,-0.21159071256526382,0.12404620813027475,-0.18226514612494032,0.04389990521262145,-0.025747507651242993
PC4,0.031382082195347945,-0.0766890864498756,0.45965625286006445,-0.024149847008675913,0.23142502751918897,-0.003940769093386588,0.036700093768165284,0.030904804855764304,0.030087525297450783,0.08160680456925756,-0.023032082996533816,0.100520295245023,0.1365382145181172,-0.19541893223495696,0.008588536588716375,-0.009320276247105247,-0.0005048076261064293,0.14844127452106967,0.15730978385564512,0.062044302035950516,-0.0010311221327918734,-0.11359547166317986,0.07301475003363789,-0.06968237511562891,0.06448567954710549,-0.043553512909244536,0.07338684830878923,0.11499384913218456,-0.20229936636924176,-0.0305878723512715,-0.02446833355171364,0.13708424085281093,0.13682665266584187,0.03215014220314317,-0.028046419827689722,-0.13237114078027948,0.05041051154074311,-0.09116054106884215,0.008588536588716377,-0.016135192214839406,-0.24361626528458918,0.11386021101298935,0.15767035810902919,-0.4089132472495527,-0.14192399008545864,-0.12009754161163447,0.11554031284328115,0.07493591895433543,0.0028908097111832068,-0.11964235742616379,-0.2488780541285228,-0.017606640641264024,-0.20216409290627982,-0.07668908644987549,0.008588536588716389
