,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Entre semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Entre semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Entre semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PC1,0.16729545602049845,0.15678141829709,0.04635617220697765,0.11576395598288096,0.10346830661292147,0.13239943394423986,0.16041506289898982,0.16729184611775524,0.16729127331270827,0.13153007872384495,0.13919543846171667,0.14536784350462198,0.15808906370360373,0.10617301760917655,0.16855733731810196,0.16729545602049828,0.16729545602049828,0.12983512242010403,0.14784768592911154,0.15585518010234503,0.1521159452268036,0.11055861934754323,0.1685573373181019,0.1685573373181019,0.15218107701179015,0.15948606558138592,0.157227211188426,0.12531863306947913,0.06803385894398083,0.09354310371221251,0.09044878233105369,0.11710523492615087,0.08356803664152535,0.15678141829709014,0.15678141829709014,0.12786057845364107,0.11765309502036266,0.12269514700541163,0.10701751826571791,0.14014651844308648,0.14378041776115585,0.14968699224106088,0.15445755476351405,0.15196140878931297,0.14217002837887352,0.11880628140812903,0.10213749989320799,0.15187357777262656,0.15064942362185932,0.1607215581901806,0.1585309313260042
PC2,0.03904422154043222,-0.061624494049539943,0.17226590999713473,0.10436306288986431,0.2737054512370403,0.21228808310282637,0.025801703191840088,0.03908623085560473,0.03909656606223479,-0.19233992316932383,0.12158585812005573,0.06362268679505566,-0.05415606360990823,0.20904522076010634,-0.006104027462533723,0.039044221540432085,0.03904422154043209,-0.2119925201972964,0.08349403901851146,0.01583188773453691,-0.0828751976912282,0.17472894980094122,-0.00610402746253378,-0.00610402746253378,-0.1547997388500417,0.026982546228722072,-0.09000333314504882,0.2366125508820545,-0.2027885337475472,0.0829158266753969,-0.06771888313075282,-0.13246128783668587,0.07238346148240812,-0.06162449404953971,-0.06162449404953971,-0.20709343288091284,-0.2001304321710287,-0.23594952483259143,0.24804903321564217,-0.1800313030002437,-0.1757520905205559,-0.1588546823034355,-0.08413312372420093,0.000571052203527134,0.11219460072066956,0.2527829149629605,0.27105923682131244,0.09510902937641316,0.04048921971989906,-0.055637827049772604,-0.06317655027057549
PC3,-0.041886674927092936,0.13895105990617598,-0.1377529719012955,0.1849469441129617,0.004617905625560585,-0.08972629973779833,-0.17613904091393687,-0.04169975202288856,-0.04192879870710446,0.07438274397270837,-0.2118529280795726,-0.12764045858818038,0.0629760930869777,0.19485961786320136,-0.012176473669837913,-0.04188667492709302,-0.04188667492709299,0.08942144621344587,-0.18692744654054466,-0.0992714382562666,0.07873164485522804,0.21239284154302362,-0.012176473669837944,-0.012176473669837944,0.045544910377727094,-0.1953098897242801,-0.0863250681963554,0.11192764324196583,0.18069541442850462,0.1589656374332996,0.40235924572192716,0.1650365180817121,0.21920314792689036,0.13895105990617623,0.13895105990617623,0.11913738125959612,-0.17489973035119902,-0.08095095266188924,0.144241439586075,0.012504859820838553,0.04772819075794852,0.008297276550735547,-0.09456084879308886,-0.18699706412615275,0.03626308234618926,0.08145059990453299,0.17284611586201684,-0.1656831577940994,-0.22702251869272644,-0.17119431888917075,0.08871532815911275
PC4,0.0465261550917949,0.14703115447765572,0.45563811726401265,0.2655121532116266,0.011903793902552761,0.008260205048728944,-0.011151948235394627,0.04638496151017134,0.046667078783860894,0.10059921547576801,0.055689736786137624,0.2395097118767441,-0.06817676593645378,-0.1870741284642882,-0.07651632976709925,0.04652615509179436,0.04652615509179438,0.02177665859568407,-0.06348902248359231,0.11488983099376635,-0.14333659256251097,-0.2783931647682445,-0.07651632976709931,-0.07651632976709931,-0.015237014628103058,-0.01838682252273368,-0.1482065610182481,-0.07986839284877333,-0.030632444107416754,0.27366580980348365,0.07012960056700819,0.17796823337313789,-0.296601436582238,0.14703115447765594,0.14703115447765594,0.07635859904211276,-0.01849525020010157,0.06507069457210085,0.13442396915705493,0.030885191662447402,-0.06284543998140422,-0.10477412890058996,-0.165072205914384,-0.16835294762326408,-0.2657262155811371,0.010920136065635532,-0.025539617526193232,-0.02220605068493585,-0.011830495708286821,-0.01988715054657272,-0.02584194839863011
PC5,-0.05768003603523397,0.023857502811722886,-0.409625535657731,0.2500510721013461,-0.098698020326838,0.026639106407904144,0.0034288349279218947,-0.057688557096297347,-0.05782123731721416,-0.14850895863878608,0.1577932115619329,-0.20165646170849946,-0.08044857744556215,-0.1151941460923553,0.027430643079797427,-0.057680036035233785,-0.057680036035233806,-0.09541768987810276,0.23490126836072264,-0.11088285508986113,-0.018291876925413446,-0.04874972715186486,0.027430643079797448,0.027430643079797448,-0.014104418398001162,-0.07122630298344804,0.11621521655838367,0.03893890607135523,-0.016693360132622046,0.4712174678755974,-0.16308159330680153,0.23179229607367682,-0.3343889398637848,0.023857502811722393,0.023857502811722393,-0.14052032154381686,0.07169643442957513,0.015986059983141766,0.13327575659256147,-0.022825537746074407,-0.008774064058221134,0.0807843870093398,0.10694734039743739,0.1575451713597185,0.08936188520710057,-0.045522001039570895,0.07434593534524819,-0.08390386104926928,-0.0804326863394124,-0.0423101692903727,-0.004731718583451587
