,0,1
media_consumo,0.17781079059829055,0.3341725529100527
std_consumo,0.22340728552564557,0.3721236407643022
min_consumo,0.0274,0.03829999999999246
max_consumo,2.216,3.5348571428571427
percentil_25_consumo,0.0651,0.11925
percentil_50_consumo,0.09755,0.20364285714285715
percentil_75_consumo,0.181475,0.40182142857142855
promedio_por_dia,0.17781079059829055,0.3341725529100527
consumo_medio_diario,4.267458974358974,8.020141269841265
Mañana,0.1502425213675213,0.23401028693528678
Mediodia,0.24115968660968656,0.4831933048433044
Tarde,0.20881410256410254,0.41843977411477395
Noche,0.20318119658119657,0.3808931623931624
Madrugada,0.09530618070021192,0.16470110604323032
sum_consumo,499.29269999999997,938.3565285714282
Lunes,0.21426875,0.38841369047619045
Miércoles,0.2017083333333333,0.32341369047619045
Jueves,0.13786249999999994,0.3009821428571428
Viernes,0.14885555555555552,0.3517027777777765
Sábado,0.17597259615384614,0.3341356227106225
Domingo,0.18115192307692304,0.3344926396520145
Entre semana,0.1717990384615384,0.3330399267399264
Fin de semana,0.17856225961538458,0.33431413118131853
s_Mañana,70.3135,109.51681428571423
s_Mediodia,169.29410000000001,339.2016999999997
s_Tarde,97.725,195.82981428571424
s_Noche,95.0888,178.258
s_Madrugada,66.87129999999999,115.55019999999989
s_Lunes,10.2849,18.643857142857144
s_Miércoles,19.363999999999997,31.047714285714285
s_Jueves,13.234800000000002,28.89428571428571
s_Viernes,10.717600000000001,25.32259999999991
s_Sábado,219.6138,417.00125714285696
s_Domingo,226.0776,417.4468142857141
s_Entre semana,53.6013,103.90845714285706
s_Fin de semana,445.6914,834.448071428571
s_invierno,149.6337,256.83885714285697
s_otoño,109.87950000000001,189.1788285714285
s_primavera,125.5498,245.60829999999993
s_verano,114.22970000000001,246.73054285714264
std_Mañana,0.05893831593584951,0.1138306795023178
std_Mediodia,0.06769027951841014,0.09764860082984254
std_Tarde,0.051403143959906396,0.05828590356595825
std_Noche,0.06458746291117154,0.08191695109324304
std_Madrugada,0.0294807183727044,0.056915540362725114
std_Lunes,0.2584046951389631,0.3715311112352004
std_Miércoles,0.25016389522164567,0.2849260350342474
std_Jueves,0.1644306458958458,0.28423174395110556
std_Viernes,0.17441123276788167,0.344428016377306
std_Sábado,0.21795429792423193,0.3927828845575904
std_Domingo,0.22399646320645433,0.35523510588468316
std_Entre semana,0.230438864395102,0.32716013875759264
std_Fin de semana,0.22170054949487436,0.3765520124945648
std_invierno,0.2567576141641782,0.34597976471845665
std_otoño,0.19587095235694638,0.29594538569303014
std_primavera,0.20053429322657573,0.2839079933188759
std_verano,0.19180938078227572,0.48707893502861394
Enero,51.0854,93.31479999999995
Febrero,42.2479,65.30834285714283
Marzo,51.5979,90.80529999999992
Abril,37.488099999999996,84.773
Mayo,36.4638,70.03
Junio,48.275400000000005,90.89482857142852
Julio,31.3036,78.22281428571424
Agosto,34.6507,77.6128999999999
Septiembre,33.6007,61.36
Octubre,32.1639,51.643857142857144
Noviembre,44.1149,76.17497142857137
Diciembre,56.3004,98.2157142857142
total_mean_consumption,3008.3576702903733,5652.437741932173
