,0,1,2
media_consumo,0.1773816170388751,0.4197432795698924,0.4643929301075262
std_consumo,0.18532636191345436,0.6434027427643083,0.6235021519854835
min_consumo,0.03784615384615385,0.073,0.036
max_consumo,1.5223076923076921,5.359,3.5843333333333334
percentil_25_consumo,0.07584615384615384,0.16075,0.12891666666666668
percentil_50_consumo,0.10661538461538463,0.264,0.2058333333333333
percentil_75_consumo,0.20548076923076924,0.42,0.4350833333333333
promedio_por_dia,0.1773816170388751,0.4197432795698924,0.4643929301075262
consumo_medio_diario,4.257158808933003,10.073838709677425,11.145430322580628
Mañana,0.14116842431761784,0.2016370967741935,0.25461172043010727
Mediodia,0.22606182795698923,0.5827177419354839,0.6185935842293887
Tarde,0.2173821339950372,0.7120403225806452,0.8600933870967733
Noche,0.21087748138957813,0.488907258064516,0.4418400537634408
Madrugada,0.10384594706368896,0.1611989247311828,0.20128136200716842
sum_consumo,258.16600000000005,624.578,691.0166799999989
Lunes,0.1884330929487179,0.4984375,0.4916979166666667
Martes,0.17766185897435893,0.4303055555555555,0.43607716049382717
Miércoles,0.18008137464387458,0.4823657407407407,0.4773030246913572
Jueves,0.1896676282051282,0.33335,0.5293986111111111
Viernes,0.1784507122507122,0.4779351851851852,0.3986791975308639
Sábado,0.1629995014245014,0.332375,0.4735178395061692
Domingo,0.16258373397435893,0.3995312499999999,0.43682465277777777
Entre semana,0.1828830743330743,0.4408101851851851,0.4674689753086417
Fin de semana,0.1628185436567789,0.3639779411764706,0.45625045751633797
s_Mañana,34.04546153846154,50.006,63.14370666666661
s_Mediodia,82.64315384615384,216.771,230.11681333333263
s_Tarde,52.942076923076925,176.586,213.30315999999974
s_Noche,51.316769230769225,121.249,109.57633333333335
s_Madrugada,37.218538461538465,59.966,74.87666666666667
s_Lunes,35.45223076923077,95.7,94.406
s_Martes,37.466692307692306,92.946,94.19266666666665
s_Miércoles,37.952,104.191,103.09745333333315
s_Jueves,44.535230769230765,80.004,127.05566666666668
s_Viernes,37.82184615384615,103.234,86.1147066666666
s_Sábado,34.43792307692308,71.793,102.27985333333255
s_Domingo,30.50007692307692,76.71,83.87033333333333
s_Entre semana,193.228,476.075,504.86649333333304
s_Fin de semana,64.938,148.503,186.15018666666592
s_verano,258.166,624.578,691.0166799999989
std_Mañana,0.044140225844605294,0.0278535999373702,0.1463335469223307
std_Mediodia,0.057511972884727154,0.2407660580508386,0.2122087427505969
std_Tarde,0.03516354782615517,0.1268015578068948,0.08210653745376234
std_Noche,0.052225417801245615,0.3797075077256774,0.1546491561651257
std_Madrugada,0.021042569433217615,0.0060799876856104,0.07064391927958487
std_Lunes,0.2067879219934703,0.8755627038820916,0.6461152049614435
std_Martes,0.17458662896221316,0.6819234214434773,0.5915342050438405
std_Miércoles,0.17708754716020494,0.8265056622900949,0.6204339186032543
std_Jueves,0.1909577611890829,0.2684053840913126,0.7082480303659157
std_Viernes,0.17935048352275607,0.7762723541853875,0.544401204706725
std_Sábado,0.173654739669091,0.2764555780372445,0.6047342708093285
std_Domingo,0.16534755730177803,0.5256739071039647,0.6031757222411601
std_Entre semana,0.18879879113599424,0.7101481812813202,0.6291176887446955
std_Fin de semana,0.1713073453085365,0.4137382488706499,0.6048738703282716
std_verano,0.18532636191345433,0.6434027427643083,0.6235021519854831
Agosto,258.166,624.578,691.0166799999989
total_mean_consumption,1560.2495487658512,3777.986364608667,4176.573681114933
