hogar,cluster
ABLD,0
AJVG,1
ATF,0
FJAG,4
FMB,1
GPC,0
JACL,0
JALG,2
JLG,0
JMM,2
LFZA,0
MANA,2
MBGV,1
MTTA,3
PAA,1
RFM,0
RTF,4
