hour,0,1,2,3
0,0.12029259259259258,0.17897301587301587,0.2885666666666667,0.25711944444444446
1,0.10516296296296297,0.14556190476190475,0.21361666666666665,0.2534638888888889
2,0.08031111111111111,0.12164603174603175,0.14066666666666666,0.22335833333333333
3,0.07563295880149813,0.10775922953451043,0.11762921348314608,0.2046938202247191
4,0.07494074074074074,0.09198412698412697,0.10345555555555555,0.1809388888888889
5,0.07234074074074075,0.08113015873015873,0.10566111111111111,0.12805833333333333
6,0.07634074074074074,0.082084126984127,0.10926666666666666,0.14151666666666668
7,0.07345925925925927,0.09983650793650793,0.1126388888888889,0.2271361111111111
8,0.09074074074074073,0.23956984126984127,0.1608777777777778,0.31522222222222224
9,0.1142925925925926,0.22976349206349206,0.23347777777777778,0.24503611111111112
10,0.13267777777777778,0.18688888888888888,0.34679444444444446,0.21260833333333334
11,0.1320925925925926,0.20383174603174603,0.3323111111111111,0.27021111111111107
12,0.11851851851851852,0.21107619047619047,0.2402388888888889,0.38674722222222224
13,0.10840740740740741,0.2020206349206349,0.24851666666666666,0.4839027777777778
14,0.12855185185185183,0.22341111111111114,0.3823888888888889,0.4521333333333334
15,0.1660111111111111,0.3050761904761905,0.4781222222222222,0.3779638888888889
16,0.12040740740740741,0.24629841269841268,0.3852388888888889,0.31200555555555554
17,0.10104074074074075,0.22912698412698412,0.27213888888888893,0.2761472222222222
18,0.09918888888888888,0.2292269841269841,0.2571888888888889,0.27429444444444445
19,0.10155185185185185,0.21718571428571432,0.20510555555555554,0.2984805555555556
20,0.10744444444444445,0.23264761904761905,0.20494444444444443,0.3245194444444444
21,0.13194074074074072,0.27210158730158734,0.34073333333333333,0.36267777777777777
22,0.14346296296296296,0.30515873015873013,0.49817222222222224,0.41071944444444447
23,0.13250000000000003,0.24131428571428573,0.43309444444444445,0.375375
total_mean_consumption,2.607310736579276,4.683673515248797,6.2108458801498125,6.99432993133583
