hour,0,1,2,3
0,0.14293888888888887,0.21766666666666667,0.24761666666666668,0.2529
1,0.11115370370370369,0.3756833333333333,0.18319722222222223,0.19698333333333334
2,0.09849444444444444,0.3577333333333333,0.13115833333333335,0.1752
3,0.08783703703703703,0.25053333333333333,0.12492500000000001,0.17413333333333333
4,0.08697962962962963,0.22155,0.11604444444444444,0.1696
5,0.08667592592592593,0.12616666666666668,0.10538333333333333,0.16058333333333333
6,0.08340740740740742,0.14301666666666665,0.10341111111111112,0.17593333333333333
7,0.10408888888888888,0.18266666666666667,0.11133611111111112,0.22263333333333335
8,0.15377037037037036,0.19036666666666668,0.20904722222222225,0.2719
9,0.14132592592592594,0.1907,0.21363055555555555,0.33525
10,0.14190555555555556,0.18423333333333333,0.21848333333333336,0.3481666666666667
11,0.14402037037037038,0.20471666666666666,0.2318388888888889,0.4858
12,0.1482925925925926,0.21980000000000002,0.2318888888888889,0.7093166666666666
13,0.16084814814814816,0.22141666666666668,0.29867222222222223,0.98705
14,0.21755555555555556,0.2986166666666667,0.42067777777777776,0.9790333333333333
15,0.22482037037037036,0.3169166666666667,0.41617777777777776,0.6440333333333333
16,0.18944259259259258,0.26205,0.31135833333333335,0.5731166666666667
17,0.16483333333333333,0.19203333333333333,0.25816666666666666,0.6134833333333333
18,0.15542407407407408,0.21423333333333333,0.25630277777777777,0.60955
19,0.15287037037037038,0.2274,0.2431777777777778,0.6366833333333334
20,0.15706851851851852,0.242,0.2626777777777778,0.6654833333333333
21,0.2147259259259259,0.24031666666666668,0.3645583333333333,0.526
22,0.20822407407407406,0.23654999999999998,0.44436666666666663,0.43683333333333335
23,0.17267592592592593,0.39566666666666667,0.33895000000000003,0.4827333333333333
total_mean_consumption,3.54937962962963,5.712033333333335,5.843047222222222,10.8324
