estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz,score
estacion_invierno,Agglomerative,3,0.4201846094872536,0.7159237559732343,11.493940123311235,2.1004223686354595
estacion_otono,Agglomerative,4,0.3337793669974125,0.5920739790550207,12.34080785787943,1.8629246325034372
estacion_primavera,Agglomerative,2,0.3431732445379933,1.0678781170541056,11.22814829773829,2.050823134094726
estacion_verano,KMeans,2,0.5533447094259931,0.7118117179690573,23.37648326391748,2.2261572633150246
festivo,Agglomerative,4,0.354645905759459,0.5874394268277648,14.631780477002684,2.141094721671834
global,Agglomerative,4,0.3895958334632167,0.5814985453074699,16.098232815547235,2.2702198232928144
laborable,Agglomerative,5,0.3543972114287508,0.5034348708770049,13.277098364527532,2.3504994798123953
mes_01,KMeans,2,0.3474207436938146,1.0444943224264722,11.696897971186296,1.9216109817897638
mes_02,KMeans,2,0.3630811557718633,0.9969781011363008,12.370446888940627,2.0281345329915066
mes_03,Agglomerative,3,0.3807391157413977,0.7317391273447623,11.476691351946576,2.2933972714986406
mes_04,Agglomerative,4,0.3695888125497495,0.6975667175868467,11.555942669835474,2.3486450678568684
mes_05,Agglomerative,2,0.49173891131483,0.3296075338337202,7.001848899778766,1.5
mes_06,Agglomerative,2,0.5638489493827711,0.2746619763031556,9.963410390315325,1.5
mes_07,KMeans,2,0.5541006656383609,0.6978763200148409,23.80140073789809,2.2235494159243503
mes_08,KMeans,2,0.575611224329358,0.6502260974608439,27.12113473013648,2.5
mes_09,KMeans,4,0.3393369507761284,0.5939515054156779,16.391768397286764,1.616729504045875
mes_10,Agglomerative,5,0.3326229310537407,0.5485979219650708,11.833521619767987,2.100212033404343
mes_11,KMeans,2,0.3499643244223314,1.0938384958322735,10.713715250695753,1.9552876015608205
mes_12,Agglomerative,5,0.3587394953149282,0.5287090196584348,13.996466401797164,2.158697501465222
