estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
global,KMeans,2,0.40169956320505534,0.9068453772170805,13.683326905655353
global,KMeans,3,0.3983030119511189,0.7314197373403669,14.087122375533163
global,KMeans,4,0.30765164917835325,0.9001456522825046,13.44129032529137
global,KMeans,5,0.2943109846404904,0.8531141495683346,14.234943797022158
global,Agglomerative,2,0.40169956320505534,0.9068453772170805,13.683326905655353
global,Agglomerative,3,0.3983030119511189,0.7314197373403669,14.087122375533163
global,Agglomerative,4,0.38959583346321675,0.5814985453074699,16.098232815547235
global,Agglomerative,5,0.3648699597856296,0.641363426931807,16.450525550471713
global,GMM,2,0.40169956320505534,0.9068453772170805,13.683326905655353
global,GMM,3,0.3983030119511189,0.7314197373403669,14.087122375533163
global,GMM,4,0.30765164917835325,0.9001456522825046,13.44129032529137
global,GMM,5,0.2943109846404904,0.8531141495683346,14.234943797022158
laborable,KMeans,2,0.3646764667481685,0.9850152079461899,11.542478195236148
laborable,KMeans,3,0.35003030257328105,0.8104333345472533,11.460594811381453
laborable,KMeans,4,0.23099951099084076,0.9277606398950811,11.04403024000998
laborable,KMeans,5,0.20571697586976576,0.7996931386846778,12.09178756341763
laborable,Agglomerative,2,0.3805321745713349,1.0099756897376142,11.901686245283337
laborable,Agglomerative,3,0.35632477300150023,0.8449414137691164,11.151375969824453
laborable,Agglomerative,4,0.34106182004861657,0.689151519393711,11.746115209040767
laborable,Agglomerative,5,0.35439721142875086,0.5034348708770049,13.277098364527532
laborable,GMM,2,0.36518781741732015,1.207493848090754,8.783934076256687
laborable,GMM,3,0.35003030257328105,0.8104333345472533,11.460594811381453
laborable,GMM,4,0.23099951099084076,0.9277606398950811,11.04403024000998
laborable,GMM,5,0.20571697586976576,0.7996931386846778,12.09178756341763
festivo,KMeans,2,0.3982955769620202,0.9266592041470139,14.19159284836995
festivo,KMeans,3,0.18323547263857556,1.0912359353240906,8.732815578980661
festivo,KMeans,4,0.2176771443796314,0.86810920611472,12.084582988520255
festivo,KMeans,5,0.22652822704375744,0.745554989515937,13.624025926375891
festivo,Agglomerative,2,0.3982955769620202,0.9266592041470139,14.19159284836995
festivo,Agglomerative,3,0.38375894516057896,0.7342439342355864,14.090200897990677
festivo,Agglomerative,4,0.35464590575945903,0.5874394268277648,14.631780477002685
festivo,Agglomerative,5,0.25984705489071075,0.7183938625397961,15.721616062969177
festivo,GMM,2,0.3982955769620202,0.9266592041470139,14.19159284836995
festivo,GMM,3,0.2084617642945957,1.055005059663549,8.774241824968977
festivo,GMM,4,0.24286117298409693,0.8443205743503326,12.157589158309804
festivo,GMM,5,0.2458298206374226,0.7238613769127384,13.7323664658919
estacion_invierno,KMeans,2,0.3872222072649741,0.9429979698996673,13.80246503293954
estacion_invierno,KMeans,3,0.35639487397901176,0.8150581108759201,10.402421324110797
estacion_invierno,KMeans,4,0.3343668821922194,0.9193018628383,9.719439608877845
estacion_invierno,KMeans,5,0.2816201238974859,0.6830229027539811,12.47869517331996
estacion_invierno,Agglomerative,2,0.40238408289895905,1.032893473413796,12.509809542959022
estacion_invierno,Agglomerative,3,0.4201846094872536,0.7159237559732343,11.493940123311237
estacion_invierno,Agglomerative,4,0.2981663745280179,0.7877730724737058,11.25102773257131
estacion_invierno,Agglomerative,5,0.2967269238300471,0.7018316364790844,13.28669081795634
estacion_invierno,GMM,2,0.38353410506571023,1.1350517379195237,10.237181977097784
estacion_invierno,GMM,3,0.34476664521128786,0.9901683627862014,7.446135300793907
estacion_invierno,GMM,4,0.3343668821922194,0.9193018628383,9.719439608877845
estacion_invierno,GMM,5,0.2816201238974859,0.6830229027539811,12.47869517331996
estacion_primavera,KMeans,2,0.3477979799501188,1.0796998066378898,10.949018004849236
estacion_primavera,KMeans,3,0.22641765637113875,1.1234404775898084,8.411091948826186
estacion_primavera,KMeans,4,0.2235663838627055,1.1579731468039176,7.988730524694322
estacion_primavera,KMeans,5,0.22419461868573698,0.886842175809058,9.481538691096048
estacion_primavera,Agglomerative,2,0.34317324453799336,1.0678781170541056,11.22814829773829
estacion_primavera,Agglomerative,3,0.3432762124650561,0.7779571333805108,9.35732409227692
estacion_primavera,Agglomerative,4,0.30585550310481696,0.6463594366730943,9.595082251880278
estacion_primavera,Agglomerative,5,0.2506974244678713,0.8523471324189306,10.94791611820655
estacion_primavera,GMM,2,0.3477979799501188,1.0796998066378898,10.949018004849236
estacion_primavera,GMM,3,0.22641765637113875,1.1234404775898084,8.411091948826186
estacion_primavera,GMM,4,0.2235663838627055,1.1579731468039176,7.988730524694322
estacion_primavera,GMM,5,0.22419461868573698,0.886842175809058,9.481538691096048
estacion_verano,KMeans,2,0.5533447094259931,0.7118117179690573,23.376483263917482
estacion_verano,KMeans,3,0.3057068336555697,0.809516462837126,14.925086339538044
estacion_verano,KMeans,4,0.2952616868813992,0.6904892271681463,16.43522736794863
estacion_verano,KMeans,5,0.2981777597306016,0.5306730779029258,17.11453817741167
estacion_verano,Agglomerative,2,0.46270089258695607,0.826688257019288,17.94889829512666
estacion_verano,Agglomerative,3,0.41053215208199867,0.8614078679852182,18.55675421490617
estacion_verano,Agglomerative,4,0.389318058712831,0.5769130748583376,17.48531270608396
estacion_verano,Agglomerative,5,0.3286950599847085,0.5559279941175334,20.39057615261253
estacion_verano,GMM,2,0.5533447094259931,0.7118117179690573,23.376483263917482
estacion_verano,GMM,3,0.3057068336555697,0.809516462837126,14.925086339538044
estacion_verano,GMM,4,0.2952616868813992,0.6904892271681463,16.43522736794863
