,0,1
media_consumo,0.1723781160968661,0.32519558293269213
std_consumo,0.20618153158014751,0.3588720736294997
min_consumo,0.035222222222222224,0.0402624999999934
max_consumo,1.7775555555555558,3.263375
percentil_25_consumo,0.06733333333333333,0.11190625
percentil_50_consumo,0.1,0.189375
percentil_75_consumo,0.179,0.3959375
promedio_por_dia,0.17237811609686607,0.32519558293269213
consumo_medio_diario,4.137074786324787,7.804693990384612
Mañana,0.14170352564102562,0.21742457932692288
Mediodia,0.21890384615384612,0.45733974358974316
Tarde,0.21712873931623927,0.4151509615384614
Noche,0.20755822649572644,0.3981568509615384
Madrugada,0.09308982066459864,0.15649123421744116
sum_consumo,215.1278888888889,405.84408749999983
Domingo,0.17237811609686607,0.32519558293269213
Fin de semana,0.17237811609686607,0.32519558293269213
s_Mañana,29.474333333333334,45.22431249999997
s_Mediodia,68.298,142.68999999999986
s_Tarde,45.16277777777778,86.35139999999998
s_Noche,43.17211111111111,82.816625
s_Madrugada,29.02066666666667,48.76175
s_Domingo,215.1278888888889,405.84408749999983
s_Fin de semana,215.1278888888889,405.84408749999983
s_invierno,56.49977777777778,111.21864999999993
s_otoño,51.52377777777778,88.94862499999999
s_primavera,50.672,100.41225
s_verano,56.43233333333333,105.2645624999999
std_Mañana,0.05946156211543463,0.10214590558891629
std_Mediodia,0.07336542485414159,0.12207117358980545
std_Tarde,0.05790299238867369,0.08092871702796386
std_Noche,0.07311060391763319,0.09675271777953173
std_Madrugada,0.020159677259993358,0.047068540852344215
std_Domingo,0.20618153158014751,0.35887207362949974
std_Fin de semana,0.20618153158014751,0.35887207362949974
std_invierno,0.21005776640679125,0.3747524664029056
std_otoño,0.17933870489038728,0.2953445831301942
std_primavera,0.18852822569179262,0.3041132617739384
std_verano,0.2012166667088711,0.3912613188084996
Enero,18.355333333333334,35.55782499999996
Febrero,16.489555555555555,33.652
Marzo,22.136333333333333,43.786125
Abril,14.266222222222224,30.087
Mayo,14.269444444444442,26.539125
Junio,27.147333333333332,44.11697499999995
Julio,14.940111111111113,31.160712499999953
Agosto,14.34488888888889,29.986874999999998
Septiembre,18.94633333333333,32.813250000000004
Octubre,15.68588888888889,25.535125
Noviembre,16.891555555555556,30.60025
Diciembre,21.65488888888889,42.00882499999996
total_mean_consumption,1300.3131020724024,2452.7064758475913
